,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi)
0,0.0,35.8097,26.8933,94.6758,15.078800000000001,2.0855,3996.27,27.0795,8.9164
1,0.416,35.8977,26.6631,102.3487,15.2528,1.7001,4283.0629,25.9988,9.2346
2,0.619,35.9998,26.6928,97.1782,15.2501,2.3054,4126.5473,26.0174,9.307000000000002
3,0.824,35.8854,26.8051,95.8759,15.291400000000001,1.9598,4076.8254,26.7147,9.080299999999998
4,1.028,35.7473,26.5403,101.6878,15.1951,2.0073,4005.8752,27.0434,9.207000000000004
5,1.234,35.8065,26.8414,95.0305,15.1922,2.2340999999999998,3996.27,29.3284,8.9651
6,1.435,35.7519,26.6961,97.2265,15.268600000000001,1.9721,4093.7004,28.4634,9.055799999999998
7,1.636,35.7003,26.7952,99.3157,15.2882,1.9095,4239.6835,27.0214,8.905099999999997
8,1.837,35.9687,26.7745,101.3229,15.2489,2.0394,3962.6628,28.9812,9.194199999999999
9,2.041,35.752,26.6292,94.2908,15.1583,2.0668,4225.9472,28.6152,9.122800000000002
10,2.24,35.8335,26.7473,95.7706,14.991200000000001,2.0375,4205.018,26.3728,9.086200000000002
11,2.443,35.9056,26.7779,94.2587,15.1692,1.9605,4084.5964,29.2555,9.1277
12,2.644,35.7198,26.5673,97.2043,15.241800000000001,1.8961999999999999,4198.5444,28.3947,9.1525
13,2.844,35.769,26.6998,100.7418,15.3709,2.0802,4263.9882,27.0154,9.069199999999999
14,3.046,35.8864,26.6523,101.4011,15.293000000000001,1.9290999999999998,4129.1982,26.3348,9.234100000000002
15,3.254,35.9367,26.5776,95.5881,15.144200000000001,2.0228,4205.6074,27.5208,9.359100000000002
16,3.457,35.8838,26.6202,99.7596,15.1142,1.978,4025.4047,25.7802,9.2636
17,3.666,35.8657,26.8084,95.1189,15.226,1.9682,4146.3188,28.119,9.057299999999998
18,3.868,35.7435,26.5805,98.8897,15.2386,2.1696,3949.2736,25.8753,9.162999999999997
19,4.079,35.9475,26.8018,96.9347,15.1883,1.9728999999999999,4184.2949,28.6063,9.145699999999998
20,4.281,35.8075,26.7575,100.8016,15.3292,2.0187,3965.2817,26.7755,9.049999999999997
21,4.492,35.9115,26.6367,96.8133,15.2646,1.8666999999999998,4256.728,26.1161,9.274799999999995
22,4.698,35.642,26.8877,99.4954,15.2111,2.0855,4245.083,28.3903,8.754300000000004
23,4.899,35.7911,26.4744,96.3441,15.1583,2.1204,3974.914,26.35,9.3167
24,5.109,35.8504,26.7202,102.0528,15.238800000000001,2.0294,4223.1708,26.1348,9.130200000000002
25,5.318,35.824,26.6828,96.4579,15.1959,2.0347,3949.9672,27.8188,9.141199999999998
26,5.527,35.9367,26.7258,95.0088,15.344100000000001,2.0308,4073.3198,28.8232,9.210900000000002
27,5.731,35.9604,26.8976,98.3065,15.2497,1.9666,3946.1567,26.9038,9.0628
28,5.942,35.8784,26.7919,95.2232,15.1906,2.0122,4212.497,25.158,9.086500000000001
29,6.152,35.7667,26.7473,95.2753,15.168600000000001,1.9016,4057.8928,26.1986,9.019400000000001
30,6.364,35.9028,26.7655,99.1784,15.1457,2.0381,3948.4077,28.8255,9.1373
31,6.573,35.8963,26.7721,99.4161,15.2741,1.9298,4061.0051,27.1743,9.124199999999998
32,6.782,35.6672,26.5805,92.6165,15.1394,2.028,4194.8261,25.8386,9.0867
33,6.991,35.8225,26.6373,101.5561,15.196100000000001,2.0449,3959.1765,27.4463,9.185199999999998
34,7.202,35.8056,26.6821,100.6452,15.2552,1.8985999999999998,4236.291,25.9674,9.1235
35,7.412,35.8131,26.6103,98.2478,15.2851,1.9301,4080.892,27.5624,9.2028
36,7.621,35.864,26.749,92.9371,15.3003,1.9076,4222.3789,25.5563,9.114999999999998
37,7.831,35.8435,26.8315,96.6429,15.1371,1.9850999999999999,4021.268,26.3767,9.012
38,8.043,35.9245,26.8186,100.4366,15.1394,2.0084,4006.0537,27.6208,9.105900000000002
39,8.256,35.8886,26.6565,103.0356,15.1912,2.0653,4254.1123,29.134,9.232099999999996
40,8.46,35.923,26.8322,95.9792,15.2064,2.0669,4131.8515,26.0192,9.090800000000002
41,8.672,35.9285,26.8051,98.8085,15.2363,2.0894,4038.9531,27.7237,9.1234
42,8.882,35.8504,26.5046,99.8917,15.2867,2.0443000000000002,4270.4628,25.2171,9.3458
43,9.094,35.791,26.6794,98.6901,15.3449,1.9751999999999998,4229.3232,26.9794,9.111599999999996
44,9.304,35.8155,26.6136,94.8322,15.1902,2.0073,4039.4975,25.9323,9.201899999999998
