,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
0,54.556,31.44734118,26.53895882,107.4031588,6.889582353,1.990752941,2259.467706,27.00948235,4.908382353,0
1,72.084,31.42921875,26.48154375,100.1587688,7.50615,1.8875125,2364.03135,27.324925,4.947675,0
2,86.881,31.4442375,26.500375,93.10085,8.2247375,1.796525,2480.811338,27.83021875,4.9438625,0
3,97.272,31.571275,26.53624375,89.59601875,8.91728125,1.69828125,2666.225631,26.92235,5.03503125,0
4,112.095,31.60143125,26.512475,83.18843125,9.7720875,1.59535,2830.184063,27.09000625,5.08895625,0
5,122.143,31.63236,26.42492,83.48822,10.42456,1.5017,2949.758267,26.21928667,5.20744,0
6,131.265,31.66754,26.3733,81.46354,11.17730667,1.396533333,3058.933227,26.24817333,5.29424,0
7,366.416,31.88984,26.20553,106.94421,9.1123,1.98383,2744.37177,25.61894,5.68431,5
8,387.661,31.95543333,26.1388,99.60262222,9.868788889,1.881322222,2910.953889,25.77501111,5.816633333,5
9,400.98,31.95852222,26.20995556,96.63608889,10.58141111,1.786366667,3033.875811,27.91842222,5.748566667,5
10,409.273,32.02024444,26.10675556,93.79092222,11.32616667,1.687733333,3205.321778,28.66185556,5.913488889,5
11,421.479,32.01285556,26.10244444,87.02771111,12.00092222,1.590544444,3299.323156,26.41273333,5.910411111,5
12,430.609,32.11237778,26.10145556,83.49035556,12.60425556,1.4899,3357.807433,26.59364444,6.010922222,5
13,458.455,31.8031125,26.2216875,107.5870875,8.3421375,2.07225,2609.24015,26.637125,5.581425,5
14,471.418,31.8575125,26.3790875,111.0575875,7.6596,2.1776125,2485.2843,26.7509625,5.478425,5
15,493.421,33.07725,25.3985,113.2467375,12.0046125,2.18405,3462.584663,26.719725,7.67875,10
16,521.851,33.1733625,25.352725,108.2659875,12.648025,2.0800875,3528.274025,26.0568625,7.8206375,10
17,532.28,33.18025,25.326375,101.930825,13.3000625,1.9795375,3682.4428,26.8982375,7.853875,10
18,542.787,33.2685125,25.296675,98.8918125,13.9356,1.8834,3761.912338,26.3147625,7.9718375,10
19,552.673,33.27185,25.2285625,94.011575,14.45275,1.7828,3917.772575,26.26405,8.0432875,10
20,564.953,33.336925,25.213,92.17145,15.115,1.6897625,3954.821088,26.3340625,8.123925,10
21,579.755,33.422225,25.146375,88.06955,15.6909375,1.5855125,4166.996088,25.6737625,8.27585,10
22,615.44,32.9651,25.41344286,120.6585571,10.8743,2.354485714,3287.169243,26.14884286,7.551657143,10
23,624.771,32.98558571,25.39782857,117.8278143,11.38904286,2.267457143,3345.210214,26.96187143,7.587757143,10
24,636.774,33.06127143,25.47291429,121.758,10.76775714,2.369714286,3201.615429,25.71912857,7.588357143,10
25,649.913,32.88152857,25.41485714,125.4059143,10.15184286,2.474342857,3084.147429,25.97247143,7.466671429,10
26,671.39,32.85874286,25.52611429,130.6271714,9.574571429,2.567342857,2986.221043,25.97785714,7.332628571,10
27,846.781,33.88165,24.84386667,133.0809,12.17028333,2.571016667,3563.832383,25.03086667,9.037783333,12.5
28,867.26,33.85961667,24.84333333,126.1778,12.61485,2.473583333,3605.929783,26.22015,9.016283333,12.5
29,877.067,34.00241667,24.76808333,122.8357333,13.29255,2.37185,3814.46105,25.722,9.234333333,12.5
30,886.921,33.98043333,24.66331667,117.2021167,13.70503333,2.264516667,3914.188067,25.57325,9.317116667,12.5
31,897.963,34.13756667,24.58355,113.21185,14.34915,2.164633333,4011.339017,25.47025,9.554016667,12.5
32,926.054,33.85111667,24.80116667,129.7254333,12.09745,2.5749,3568.365983,25.96988333,9.04995,12.5
33,941.059,33.78465,24.7566,135.4995833,11.47288333,2.67575,3490.90865,27.11786667,9.02805,12.5
34,952.75,33.81013333,24.81806667,139.4536833,10.97006667,2.777133333,3321.156383,26.39518333,8.992066667,12.5
35,964.608,33.67093333,24.79781667,144.8380833,10.34403333,2.874983333,3253.9513,25.66178333,8.873116667,12.5
36,980.233,33.6466,24.95205,147.5703667,9.5659,2.972483333,3197.799883,26.79813333,8.69455,12.5
37,998.549,33.66546667,25.04441667,152.45055,8.9042,3.064716667,2966.032417,25.86773333,8.62105,12.5
38,1091.931,33.8647,24.6994,152.04034,10.03916,3.06984,3258.11902,26.5463,9.1653,15
39,1114.586,34.03296,24.73512,155.42148,9.37654,3.17136,3116.49548,26.39702,9.29784,15
40,1126.774,33.93906,24.72042,160.5086,8.62524,3.26454,2954.6478,25.70654,9.21864,15
41,1140.5379,33.86232,24.8547,164.28608,7.89034,3.36284,2876.24366,26.38126,9.00762,15
42,1168.4129,34.13826,24.74452,147.86444,10.59606,2.97562,3336.12106,26.06802,9.39374,15
43,1181.02,34.13134,24.56508,144.65638,11.25604,2.86996,3392.1545,25.09618,9.56626,15
44,1192.3239,34.23482,24.57656,137.3484,11.83654,2.77354,3577.01542,26.27306,9.65826,15
45,1203.6479,34.20312,24.53464,138.03798,12.4524,2.67274,3684.50364,26.22592,9.66848,15
46,1217.9279,34.35528,24.54968,127.52418,12.92068,2.57678,3831.106,25.61396,9.8056,15
47,1230.864,34.40396,24.49448,123.52258,13.4899,2.47424,3889.68422,25.06302,9.90948,15
48,1243.911,34.43432,24.44146,122.72578,14.05842,2.37236,3981.14816,26.00834,9.99286,15
