,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi)
0,0.0,34.4011,28.1591,72.5476,12.6091,,3246.9875,25.6155,6.242000000000001
1,0.29,34.3876,28.3505,75.4383,12.4908,1.4989999999999999,3275.4667,26.6727,6.037099999999999
2,0.57,34.2656,27.961,71.2414,12.7902,1.4915999999999998,3369.903,27.0896,6.304600000000001
3,0.845,34.4118,27.9733,74.397,12.5996,1.5744,3283.7128,25.8121,6.438500000000001
4,1.128,34.4109,28.0006,73.8422,12.7248,1.5497999999999998,3506.3112,25.9378,6.410299999999999
5,1.404,34.3796,28.2204,73.5614,12.8598,1.5694,3495.5529,26.5949,6.159200000000002
6,1.678,34.3643,28.1261,71.7286,12.541400000000001,1.6670999999999998,3436.8198,27.6679,6.238199999999999
7,1.951,34.3175,28.071,78.1138,12.6327,1.5694,3265.7207,25.5446,6.246500000000001
8,2.237,34.3087,28.0812,76.2203,12.609200000000001,1.507,3299.4831,25.9572,6.227500000000003
9,2.521,34.2842,28.245,76.9332,12.781500000000001,1.4269999999999998,3546.3786,26.6776,6.0391999999999975
10,2.795,34.262,28.2543,79.5047,12.571800000000001,1.4377,3461.6716,27.2007,6.0077
11,3.069,34.215,27.9841,72.2306,12.724,1.505,3377.364,27.7215,6.230900000000002
12,3.345,34.2891,28.0336,71.7628,12.7635,1.5244,3368.1374,26.3919,6.255499999999998
13,3.627,34.2953,27.9964,77.7061,12.4989,1.5185,3515.625,27.2372,6.298899999999996
14,3.9,34.1555,27.9115,73.6657,12.6203,1.4696,3383.2043,26.6893,6.244000000000003
15,4.179,34.4249,28.2713,74.0567,12.809000000000001,1.5052999999999999,3502.0817,26.8434,6.153600000000001
16,4.456,34.1871,28.1822,74.212,12.311200000000001,1.4909999999999999,3418.4138,25.8826,6.004899999999999
17,4.739,34.1503,27.951,78.827,12.562000000000001,1.4465,3328.0332,26.4168,6.199300000000001
18,5.022,34.4827,28.3275,72.0445,12.7547,1.5335999999999999,3254.5019,27.7902,6.155200000000001
19,5.303,34.392,28.1228,72.7533,12.5912,1.5307,3357.4572,26.2448,6.269200000000001
20,5.586,34.262,28.1695,78.9052,12.641300000000001,1.5263,3267.7365,27.0274,6.092500000000001
21,5.87,34.3108,28.0439,74.9624,12.449200000000001,1.5055999999999998,3462.071,27.9467,6.2669
22,6.144,34.3613,28.1525,75.6387,12.5382,1.4843,3423.7456,26.8494,6.2088
23,6.425,34.2756,28.1525,72.5113,12.6799,1.6783,3252.7377,26.6289,6.123099999999997
24,6.712,34.2835,28.06,75.9557,12.709800000000001,1.5694,3240.5573,26.8523,6.223499999999998
25,6.998,34.4236,28.2441,74.2131,12.5159,1.4685,3525.9548,26.2467,6.179500000000001
26,7.278,34.3554,28.1423,71.8694,12.5288,1.6445999999999998,3345.8493,27.0314,6.213100000000004
27,7.561,34.4453,28.1321,75.3861,12.417200000000001,1.4304999999999999,3525.9548,26.276,6.313200000000002
28,7.842,34.2081,28.0832,78.5977,12.5382,1.5099,3321.5234,26.7039,6.1249
29,8.127,34.5102,28.3595,74.2913,12.647400000000001,1.4428999999999998,3287.9113,25.9896,6.150699999999997
30,8.417,34.3803,28.1932,77.5758,12.9472,1.6367999999999998,3390.9799,26.4954,6.187099999999997
31,8.701,34.3654,28.3374,71.8343,12.7531,1.4954999999999998,3325.5737,27.3342,6.028000000000002
32,8.985,34.3129,28.0303,75.0792,12.708300000000001,1.4831999999999999,3535.0957,26.1161,6.282599999999999
33,9.267,34.2186,28.1987,80.8433,12.850000000000001,1.5611,3424.7878,27.2098,6.019900000000003
34,9.548,34.3323,28.2368,74.2131,12.6697,1.4871999999999999,3282.635,26.089,6.095499999999998
35,9.839,34.2361,28.2577,77.9971,12.6469,1.5171999999999999,3428.3103,26.4868,5.978400000000001
36,10.124,34.3737,28.1219,70.4334,12.5319,1.5442,3408.3161,27.1936,6.251799999999999
37,10.408,34.4347,28.3663,75.4904,12.4075,1.5283,3341.3774,25.8276,6.0684000000000005
38,10.7,34.2107,28.1188,73.6044,12.5949,1.6040999999999999,3519.612,25.9914,6.0919000000000025
39,10.986,34.3651,28.312,77.3151,12.8724,1.4904,3484.8603,26.879,6.053099999999997
40,11.27,34.4249,28.1796,72.8315,12.4916,1.5605,3434.8522,26.9994,6.2453
