,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi)
0,27.44,35.05889444,28.69797778,75.28552222,12.94653889,1.520177778,3472.774228,26.79613889,6.360916667
1,142.462,35.38665,28.58695,53.80105,15.93196429,1.034671429,3994.605107,26.96614286,6.7997
2,153.487,35.32588462,28.56745385,57.20699231,15.27848462,1.126530769,3862.325069,26.69427692,6.758430769
3,164.058,35.26127692,28.67930769,62.07294615,14.71948462,1.221838462,3797.821338,27.15807692,6.581969231
4,174.964,35.16752308,28.69909231,67.41482308,14.08013077,1.324353846,3682.894538,27.40045385,6.468430769
5,183.445,35.16471667,28.73588333,71.059,13.55520833,1.411458333,3555.237042,27.106925,6.428833333
6,192.638,35.065325,28.7665,74.99046667,12.871975,1.516066667,3455.686075,26.9369,6.298825
7,202.588,34.93809167,28.6703,79.5303,12.37674167,1.605108333,3300.906342,26.96659167,6.267791667
8,212.318,34.99176667,28.89785833,83.864675,11.72539167,1.708416667,3243.104308,26.99879167,6.093908333
9,220.777,34.86081818,28.76006364,87.51584545,11.12738182,1.795954545,3124.1353,27.0431,6.100754545
10,231.536,34.85754545,28.86330909,92.05433636,10.4317,1.901290909,3045.922264,26.78419091,5.994236364
11,242.106,34.75880909,28.87856364,97.81359091,9.726981818,1.994663636,2874.392218,26.84446364,5.880245455
12,256.235,34.72992,28.90852,100.68518,9.00665,2.09268,2753.12709,27.02664,5.8214
13,265.229,34.66521,29.00483,103.05392,8.38317,2.18769,2646.55987,26.68639,5.66038
14,276.263,34.62789,28.89368,108.96021,7.64657,2.28785,2518.6041,27.12217,5.73421
15,288.228,34.71343,29.06618,113.8345,6.87145,2.38934,2342.46367,26.79666,5.64725
16,298.791,34.54795556,29.07074444,117.6625,6.116188889,2.481411111,2205.078778,27.0547,5.477211111
17,399.696,35.08773333,28.63115556,118.7272,8.942177778,2.475611111,2841.303767,26.74413333,6.456577778
18,436.636,35.1331625,28.641825,119.9478875,8.8907125,2.4834875,2793.402625,26.9868625,6.4913375
19,448.484,35.245025,28.588425,115.8849875,9.4679375,2.3839625,2922.97535,26.86495,6.6566
20,458.181,35.236525,28.58945,109.500075,10.2838375,2.2829875,3068.225225,27.0755375,6.647075
21,471.702,35.3279625,28.6427625,103.9981,10.9711,2.189525,3171.51675,26.45045,6.6852
22,482.348,35.3132125,28.4517875,101.496975,11.6372625,2.08965,3356.97695,27.3181125,6.861425
23,491.52,35.410175,28.5778625,95.7569125,12.3032875,1.99675,3433.327588,26.784025,6.8323125
24,500.78,35.4510375,28.57235,91.3880875,12.9898125,1.8986125,3583.052112,26.7506375,6.8786875
25,515.562,35.4691625,28.4739625,88.995,13.5947625,1.8046125,3680.60505,26.8593,6.9952
26,526.593,35.510175,28.4132625,83.003725,14.20925,1.7037,3757.354163,27.2874,7.0969125
27,535.342,35.5759,28.44705,79.1467,14.8208125,1.6060875,3914.819938,26.994525,7.12885
28,548.192,35.7039625,28.3579,74.9953375,15.4284,1.5118875,3990.275163,26.9182625,7.3460625
29,562.061,35.666125,28.3321,70.0085,15.9472875,1.4161375,4090.91065,26.8910375,7.334025
30,574.464,35.75435,28.1335,66.4067875,16.4920125,1.313175,4280.34115,26.9363875,7.62085
31,738.936,36.64875714,27.68064286,83.16917143,17.49891429,1.707428571,4509.306871,26.62891429,8.968114286
32,749.893,36.56658333,27.68023333,86.07306667,16.9837,1.788316667,4370.7974,26.88988333,8.88635
33,763.024,36.45261667,27.70328333,91.5482,16.3545,1.883933333,4348.355517,26.57601667,8.749333333
34,776.345,36.37778333,27.7941,97.24328333,15.72451667,1.97285,4196.89345,27.0565,8.583683333
35,786.728,36.37095,27.81313333,100.1841,15.09,2.073666667,4048.3126,26.88121667,8.557816667
36,797.253,36.22988333,27.88768333,105.5655333,14.43158333,2.175016667,3989.47125,26.2209,8.3422
37,806.861,36.18225,27.9097,108.0177667,13.71293333,2.278866667,3815.306533,26.8649,8.27255
38,817.668,36.1763,27.93016667,111.8381667,13.05066667,2.377933333,3685.174267,26.54643333,8.246133333
39,826.412,36.0767,27.91278333,116.7337833,12.40105,2.47705,3598.95485,27.11593333,8.163916667
40,837.441,35.98658333,28.0298,121.5519,11.73496667,2.578116667,3453.082833,26.78261667,7.956783333
41,847.518,36.02741667,28.04036667,127.8752667,11.06718333,2.680116667,3387.876417,26.9296,7.98705
42,858.834,36.04636667,28.14801667,133.33635,10.33925,2.778533333,3223.3282,26.49725,7.89835
43,869.173,35.87903333,27.9849,136.4033333,9.754866667,2.875733333,3095.7412,26.95965,7.894133333
44,878.455,36.02393333,28.24481667,137.59425,9.028166667,2.96995,2965.726733,26.53556667,7.779116667
45,1000.525,37.29376,27.1437,117.62996,15.33816,2.47764,4255.03052,27.00314,10.15006
46,1017.013,37.29104,27.19612,122.22112,14.55272,2.5824,4004.41148,26.36182,10.09492
47,1032.473,37.12832,27.15604,125.76478,13.94894,2.67814,3979.85658,26.3886,9.97228
48,1042.8859,37.12918,27.24292,131.9994,13.3627,2.77834,3912.5792,26.74106,9.88626
49,1054.7259,37.14404,27.28502,135.88052,12.70868,2.88536,3794.20986,26.63092,9.85902
50,1064.031,37.05428,27.27466,140.17084,12.05238,2.97044,3616.1599,26.2004,9.77962
51,1076.13,36.97362,27.33048,143.8092,11.4411,3.06682,3520.31578,26.34904,9.64314
