,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi)
0,0.0,36.5259,30.1604,113.392,8.8041,,2729.6716,26.8464,6.365500000000001
1,0.304,36.2611,30.2165,114.2001,8.6978,2.5044,2873.288,26.9595,6.044599999999999
2,0.599,36.5556,30.1007,120.7168,8.745800000000001,2.4793,2819.1955,28.366,6.4548999999999985
3,0.89,36.5512,30.2399,117.0674,8.600900000000001,2.0939,2932.4558,27.7416,6.311300000000003
4,1.179,36.5087,30.4014,109.2777,8.909600000000001,2.584,2773.5832,27.0635,6.107299999999999
5,1.478,36.4474,30.1439,119.6364,8.941,2.4061,2835.2707,28.5503,6.303500000000003
6,1.769,36.5462,30.3123,116.6764,8.6729,2.3829,2937.2409,27.3958,6.233899999999998
7,2.059,36.5999,30.3816,113.1574,8.667100000000001,2.4374,2830.0996,26.9465,6.218299999999999
8,2.358,36.4649,30.2925,121.3425,8.5828,2.4187,2908.5737,28.5704,6.1724
9,2.647,36.6545,30.5012,118.3187,8.5112,2.5419,2959.9418,27.0324,6.153299999999998
10,2.939,36.6541,30.2165,114.2374,8.8111,2.5494,2847.2001,28.5146,6.4376
11,3.23,36.5651,30.4096,114.7145,8.670200000000001,2.4081,2736.394,27.8326,6.1555
12,3.53,36.4682,30.0634,111.5245,8.8245,2.5566,2780.0085,27.5499,6.404800000000002
13,3.829,36.6413,30.2026,117.276,8.889100000000001,2.4491,2874.4809,27.3178,6.438700000000001
14,4.125,36.4338,30.3485,108.84,8.6742,2.3977999999999997,2857.8686,28.5481,6.085299999999997
15,4.418,36.5142,30.3689,111.6957,8.6592,2.4295,2772.6433,27.9627,6.145300000000002
16,4.716,36.4812,30.3417,108.9275,8.9473,2.5071,2822.9096,27.0846,6.139500000000002
17,5.016,36.3514,29.8136,118.6443,8.8686,2.6146,2920.1818,28.4246,6.537799999999997
18,5.307,36.3718,30.1339,116.6243,8.696200000000001,2.4818,2794.8576,27.1561,6.2379
19,5.608,36.551,30.3717,118.0946,8.831100000000001,2.4280999999999997,2896.5915,27.0715,6.179300000000001
20,5.905,36.2091,29.8564,113.4963,8.8922,2.4152,2945.6044,28.4756,6.352699999999999
21,6.196,36.5874,29.9061,114.3304,8.695400000000001,2.4318,2841.8957,27.822,6.681300000000004
22,6.495,36.58,30.3585,112.5839,8.7962,2.4701,2892.4956,26.9247,6.221499999999999
23,6.795,36.6947,30.3112,121.1079,8.644200000000001,2.4048,2964.915,26.7912,6.383499999999998
24,7.092,36.3287,29.9523,115.2949,8.5324,2.5408,2779.6652,28.8563,6.376399999999997
25,7.391,36.5764,30.4096,118.9964,8.624600000000001,2.4374,2811.3579,27.1047,6.1667999999999985
26,7.694,36.3967,30.2892,120.8951,8.809600000000001,2.3472,2959.3581,28.1733,6.107500000000002
27,7.987,36.4885,30.1788,113.2877,9.0001,2.5967,2898.4575,26.9525,6.309700000000003
28,8.288,36.6778,30.5352,120.9254,8.668600000000001,2.4099999999999997,2726.0336,26.8731,6.142599999999998
29,8.597,36.4788,30.276,120.5605,8.756,2.4313,2750.2751,29.1677,6.2028
30,8.896,36.4385,30.0295,114.6432,8.5991,2.4908,2798.0725,28.0573,6.408999999999999
31,9.197,36.447,30.0396,111.0284,8.8198,2.5093,2917.7202,26.9525,6.407400000000003
32,9.498,36.5404,30.3451,121.3288,8.845,2.4773,2771.9599,26.4772,6.1953
33,9.807,36.5874,29.9263,121.0818,8.5553,2.4577,2814.9628,26.7774,6.661100000000001
34,10.114,36.5466,30.2569,121.9159,8.5348,2.5589999999999997,2810.1289,27.4752,6.289699999999996
35,10.421,36.6001,30.2026,119.6742,8.8292,2.4737999999999998,2757.6909,27.4514,6.397499999999997
36,10.729,36.5984,30.2363,118.2267,8.8146,2.4817,2768.6342,26.9974,6.362099999999998
37,11.038,36.5912,30.3519,123.6924,8.819,2.5338,2829.6547,28.5324,6.2393
38,11.34,36.4398,30.019,112.6882,8.5624,2.5391,2943.2924,27.7595,6.4208
39,11.64,36.7381,30.1849,113.7619,8.766300000000001,2.4459,2745.1579,27.5884,6.553200000000004
40,11.95,36.5492,30.4179,112.9693,8.9466,2.4497999999999998,2824.1496,26.7431,6.1312999999999995
41,12.26,36.6185,30.2,116.1132,8.6104,2.5286,2878.8024,28.3848,6.418499999999998
42,12.561,36.5008,30.3651,115.4252,8.912700000000001,2.4482999999999997,2759.0434,28.5626,6.135699999999996
43,12.868,36.6087,30.3315,114.0245,8.648200000000001,2.4838999999999998,2733.8173,27.9103,6.277200000000001
44,13.177,36.4746,30.1652,113.0271,8.667900000000001,2.4983,2823.4406,27.6375,6.309400000000004
45,13.487,36.5718,30.4113,113.2599,8.723,2.4211,2818.4011,27.9971,6.1605000000000025
46,13.793,36.4652,30.0943,111.437,8.793000000000001,2.5366,2790.0053,28.4157,6.3709000000000024
47,14.099,36.217,30.0349,112.4145,8.7787,2.5138,2771.3625,27.367,6.182099999999998
48,14.411,36.6359,30.1009,114.2902,8.837100000000001,2.4646,2894.9145,27.2963,6.535
49,14.72,36.6331,30.1958,114.6693,8.6844,2.5667,2885.2626,26.9296,6.4373000000000005
50,15.029,36.6727,30.1381,114.0958,8.56,2.4473,2936.4743,26.9396,6.5345999999999975
51,15.337,36.3944,29.9457,114.7735,8.6646,2.4696,2942.6188,27.9242,6.448699999999999
52,15.64,36.5225,29.982,107.7603,8.981200000000001,2.5551999999999997,2839.5646,27.5843,6.5405000000000015
53,15.949,36.5312,30.3814,112.9228,8.602500000000001,2.4546,2864.6909,27.7743,6.149799999999999
54,16.257,36.4503,30.3948,113.4977,8.893500000000001,2.5241,2900.8864,27.2729,6.0554999999999986
55,16.565,36.5836,30.2127,112.9749,8.8245,2.4842999999999997,2913.187,26.9028,6.370899999999995
56,16.874,36.6545,30.189,115.0342,8.6495,2.3889,2970.9833,28.805,6.465499999999999
57,17.174,36.598,29.9853,116.7286,8.9237,2.5057,2869.3488,27.7997,6.6127
58,17.484,36.4963,30.3519,111.9844,8.842600000000001,2.5112,2912.1501,27.7838,6.144399999999997
59,17.792,36.4021,30.2874,113.3399,8.863900000000001,2.4886999999999997,2925.0219,27.4349,6.114699999999996
60,18.1,36.5242,30.2132,114.1053,8.819,2.493,2730.7482,27.4308,6.311
61,18.417,36.6151,30.4232,116.31,8.7474,2.4724999999999997,2947.9199,27.1916,6.191899999999997
62,18.726,36.5487,30.1109,120.013,8.8048,2.5097,2785.6015,27.3567,6.437799999999996
63,19.042,36.4244,30.2908,113.2877,8.7773,2.4485,2759.2973,27.4669,6.133599999999998
64,19.359,36.429,29.9887,117.7333,8.9292,2.5236,2741.5622,27.6051,6.440300000000001
65,19.677,36.3316,30.2429,112.1503,8.9536,2.582,2981.0209,28.17,6.088700000000003
66,19.982,36.3776,30.3349,111.3066,8.7269,2.4184,2941.8493,27.2372,6.0427
