,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV,power
0,218.957,39.49456667,31.57835,51.13825,17.626825,1.032666667,4429.3524,28.95301667,0,18.20263462
1,230.693,39.38844167,31.58035,55.57203333,16.99763333,1.133633333,4312.898633,28.72414167,0,19.26908373
2,238.398,39.36255833,31.744725,57.8076,16.37248333,1.226125,4175.4666,28.785025,0,20.07471113
3,246.265,39.26884545,31.89569091,64.05278182,15.71775455,1.321318182,4052.089882,28.46890909,0,20.76815486
4,255.324,39.22793636,31.74323636,63.68204545,15.77521818,1.315945455,4137.053773,28.38475455,0,20.75932666
5,264.544,39.18494545,31.91880909,68.27891818,15.17418182,1.411954545,4029.666309,28.16137273,0,21.42525499
6,273.988,39.07904545,31.9068,71.93234545,14.58717273,1.514727273,3946.795491,28.97999091,0,22.09558836
7,286.3,39.0251,31.9259,77.20988182,14.06141818,1.602218182,3794.360173,29.04258182,0,22.52945987
8,295.643,39.00488,32.03439,81.09342,13.52699,1.70029,3757.68135,28.3834,0,22.99980583
9,304.062,38.92708,32.1048,85.8786,12.98925,1.79146,3621.1271,28.18948,0,23.26972181
10,315.57,38.84094,32.04266,90.02415,12.44631,1.89932,3508.98906,29.08019,0,23.63952551
11,323.776,38.91299,32.18533,96.47348,11.76493,1.98836,3441.28191,28.23952,0,23.39291621
12,336.402,38.74161,32.06977,97.89602,11.26695,2.09353,3290.01191,28.79883,0,23.58769783
13,344.374,38.70082,31.99612,100.43047,11.22494,2.0916,3277.6761,28.61768,0,23.4780845
14,354.366,38.71436667,32.15678889,104.0332222,10.57776667,2.178788889,3213.341989,28.52698889,0,23.04672048
15,363.914,38.57123333,32.23518889,107.8563889,9.989644444,2.2859,3089.660411,29.06524444,0,22.83532824
16,377.592,38.66048889,32.19993333,111.9254667,9.309311111,2.381733333,2985.270911,28.67528889,0,22.17229658
17,387.648,38.48768889,32.24654444,114.4126222,8.730933333,2.478088889,2816.230967,28.87626667,0,21.63602888
18,407.956,38.42345,32.501275,137.7041,5.1220875,2.9726,2166.943288,29.059,0,15.2259173
19,416.111,38.4006625,32.405525,140.0079625,5.1567375,2.972175,2152.648325,28.9857,0,15.32672628
20,469.432,38.8604375,32.05715,137.367425,7.607575,2.9702,2690.449088,28.6457375,4.38,22.59601926
21,499.841,38.8553625,32.002025,129.18575,8.9569875,2.7769125,3005.562538,28.2808125,4.38,24.87277055
22,511.681,39.0091875,31.9009,121.5843375,10.2759375,2.5804125,3284.827038,28.8009625,4.38,26.51615757
23,521.961,39.1859125,32.0008875,113.031325,11.5838875,2.3776625,3479.1084,29.0620375,4.38,27.54257491
24,533.063,39.3259625,31.9065875,104.92975,12.7880375,2.18255,3644.89525,28.5899125,4.38,27.91053125
25,545.884,39.3658125,31.7658875,93.7703,13.996525,1.9846625,3846.897675,28.5460625,4.38,27.7783783
26,565.36,39.3847875,31.775775,87.084475,15.111875,1.794125,4071.081713,27.895825,4.38,27.11259273
27,578.563,39.506525,31.4573625,76.37125,16.16505,1.603925,4234.519538,28.73885,4.38,25.92752782
28,620.098,40.9273,30.62388571,77.59975714,19.92314286,1.605528571,5091.3469,28.29028571,8.76,31.98717509
29,643.546,40.7938,30.87322857,85.14055714,18.7455,1.802914286,4925.664371,28.48285714,8.76,33.79652974
30,655.088,40.59488571,30.83138571,95.47821429,17.72288571,1.980457143,4665.4862,28.33294286,8.76,35.0994156
31,674.149,40.3952,30.7823,102.2197,16.58782857,2.179842857,4560.460314,28.6103,8.76,36.15885963
32,687.095,40.26755714,30.9068,111.4136429,15.4132,2.374657143,4301.965843,28.73142857,8.76,36.60106547
33,701.241,40.3104,31.19545714,118.0046,14.72951429,2.475928571,4175.958486,28.32682857,8.76,36.46922526
34,711.779,40.22131429,31.17152857,120.5537286,14.08888571,2.576842857,4103.219729,27.71434286,8.76,36.30484452
35,721.496,40.11745714,31.2494,126.4806857,13.33331429,2.716442857,3899.849614,28.16147143,8.76,36.21918635
36,729.375,40.14738571,31.26262857,128.8599571,12.88741429,2.771285714,3839.459586,27.87531429,8.76,35.7147071
37,742.352,39.93431667,31.25516667,138.74125,11.60083333,2.9667,3560.627033,28.89316667,8.76,34.41619225
38,762.771,39.92068333,31.31775,146.00755,10.27365,3.163366667,3327.422217,28.08198333,8.76,32.49932195
39,806.93,40.86465,30.83756667,146.41365,12.57676667,3.16585,3966.917517,27.91531667,10.95,39.81615675
40,827.381,40.89635,30.58461667,138.0157833,13.85718333,2.974516667,4133.671667,28.47475,10.95,41.21842278
41,842.615,40.98245,30.51135,128.5351333,15.19138333,2.758166667,4383.275833,28.3017,10.95,41.90036713
42,853.558,41.17165,30.459,120.3191,16.28638333,2.568583333,4531.88135,28.41903333,10.95,41.83293279
43,864.607,41.18856667,30.51768333,116.3419167,16.90563333,2.477766667,4696.0146,27.76436667,10.95,41.88821475
44,877.993,41.24836667,30.35131667,111.7545,17.51241667,2.377616667,4837.709017,28.45213333,10.95,41.63781374
45,938.732,41.51345,30.06471667,138.93395,15.25481667,2.968283333,4448.419633,27.53418333,12.26,45.28061806
