,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi)
0,0.0,38.3282,32.3994,122.7444,6.7608999999999995,2.5882,2370.4797,28.0347,5.9288000000000025
1,0.532,38.172,32.2968,123.2193,6.7231,2.6888,2549.4306,27.8167,5.8751999999999995
2,0.786,38.4129,32.5645,125.5449,6.780399999999999,2.6385,2564.3217,28.2934,5.848399999999998
3,1.038,38.3053,32.5615,123.7928,6.8567,2.6804,2571.0612,32.0999,5.7438
4,1.286,38.2,32.2211,122.3746,6.7517,2.7474,2458.6135,28.4834,5.978900000000003
5,1.546,38.4673,32.4952,122.903,6.8313999999999995,2.8186,2587.8427,28.4412,5.972100000000005
6,1.799,38.0829,32.3918,123.48,6.8232,2.6603,2374.4821,29.3213,5.691099999999999
7,2.062,38.1444,32.2492,124.9919,6.8012,2.7039999999999997,2544.6733,28.8141,5.8951999999999956
8,2.317,38.5348,32.2357,125.5653,6.6076,2.7813,2555.2211,29.8442,6.299099999999996
9,2.57,38.0906,31.9635,125.5977,6.7969,2.64,2553.9885,28.4612,6.127100000000002
10,2.825,38.2975,32.5377,122.9586,6.6831,2.6187,2360.9035,31.7756,5.7597999999999985
11,3.087,38.0932,32.1067,122.4633,6.797199999999999,2.7536,2489.351,31.3982,5.986500000000007
12,3.341,38.4204,32.2051,121.4989,6.675999999999999,2.6505,2513.2644,30.5259,6.215299999999999
13,3.596,38.4317,32.4766,120.795,6.8506,2.5202999999999998,2532.0017,28.9881,5.955100000000002
14,3.853,38.3655,32.624,123.5106,6.6697,2.761,2368.7326,31.261,5.741499999999995
15,4.116,38.4571,32.439,127.2886,6.8454,2.6843,2534.426,29.8028,6.018099999999997
16,4.371,38.3928,32.2904,126.1525,6.728,2.7291,2546.257,28.8688,6.102400000000003
17,4.627,38.2609,32.4393,124.6269,6.728,2.523,2573.0458,29.5421,5.8215999999999966
18,4.881,38.2414,32.3994,125.0694,6.774699999999999,2.5911999999999997,2381.1413,28.1885,5.841999999999999
19,5.149,38.4739,32.439,123.4006,6.6579,2.5833999999999997,2409.9611,30.1152,6.0349
20,5.412,38.2727,32.3436,126.8166,6.8216,2.7372,2574.8125,29.8442,5.929099999999998
21,5.666,38.3868,32.5024,126.6341,6.883,2.6616,2592.0166,31.2905,5.884399999999999
22,5.917,38.323,32.5744,128.3611,6.7931,2.6627,2568.3464,32.1254,5.748600000000003
23,6.168,38.0283,32.198,128.4195,6.8248,2.5412,2540.1484,31.8033,5.830300000000001
24,6.422,38.406,32.4699,128.7194,6.7387,2.7137,2568.7131,32.6048,5.936099999999996
25,6.674,38.2469,32.231,128.8498,6.9367,2.6675,2547.3381,32.2105,6.015899999999995
26,6.927,38.4344,32.6056,128.1981,6.7713,2.6172999999999997,2522.987,32.1537,5.828799999999994
27,7.181,38.2193,32.0758,128.8759,6.900399999999999,2.5536,2543.9538,31.8923,6.143499999999996
28,7.436,38.2084,32.4886,128.3189,6.763199999999999,2.61,2549.2861,31.2797,5.719799999999999
29,7.691,38.4011,32.3796,127.7377,6.6873,2.5829,2561.4023,31.2637,6.021499999999996
30,7.946,38.2777,32.273,127.4943,6.8107,2.8230999999999997,2364.6252,28.6512,6.0047
31,8.216,38.4201,32.6396,122.3793,6.6895999999999995,2.6921,2453.2519,29.3048,5.780499999999996
32,8.481,38.1415,32.012,125.1222,6.79,2.6624,2433.2214,32.3762,6.1295
33,8.742,38.0244,32.2442,121.4207,6.7059,2.6780999999999997,2536.4973,28.933,5.780200000000001
34,9.004,38.5155,32.5843,123.2728,6.6895999999999995,2.6871,2472.3237,31.0429,5.931200000000004
35,0.0,38.3174,32.5547,122.9326,6.8843,,2365.7438,27.8634,5.762700000000002
36,0.266,38.3324,32.2425,123.7928,6.805899999999999,2.6469,2555.0761,30.4064,6.0899
37,0.516,38.0388,32.2425,120.6908,6.8744,2.7558,2487.906,30.7472,5.796300000000002
38,0.769,38.3888,32.5579,120.7366,6.7962,2.6385,2473.5468,29.9299,5.830900000000007
39,1.024,38.2331,32.4495,122.7501,6.8004,2.586,2542.6601,29.8809,5.7836
40,1.277,38.269,32.29,121.4207,6.853899999999999,2.7854,2515.0202,29.9299,5.978999999999999
41,1.53,38.1794,32.6837,122.2027,6.7886,2.7502,2532.2153,29.7614,5.495699999999999
42,1.783,38.4839,32.5513,121.942,6.831099999999999,2.7033,2518.3981,28.2737,5.932600000000001
