PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
42.416,22.074,135.4,24.3,2.42,5700,27.24,20.342,15
41.728,21.921,144.52,23.3,2.62,5760,26.996,19.807,15
41.507,22.004,153.44,22.2,2.818,5640,27.48,19.503,15
41.452,22.234,161.2,21.2,3.018,5460,26.753,19.218,15
41.41,22.448,170.4,20.1,3.219,5280,27.24,18.962,15
41.315,22.517,178.8,19,3.42,5100,26.753,18.798,15
48.09,21.791,160.8,24.6,3.01,6180,27.24,26.299,20
47.7,21.926,169.6,23.7,3.219,6060,27.24,25.774,20
47.465,22.044,178.4,22.8,3.42,5880,27.24,25.421,20
47.157,22.121,187.2,21.8,3.618,5820,27.483,25.036,20
44.992,32.707,122.24,18.9,2.42,4770,26.996,12.285,15
44.756,33.046,131.2,17.6,2.62,4590,27.483,11.71,15
44.62,33.107,140,16.5,2.818,4410,27.483,11.513,15
44.509,33.223,149,15.4,3.018,4230,27.483,11.286,15
44.104,32.813,157.92,14.3,3.219,4050,27.726,11.291,15
44.054,33.218,166.4,13.2,3.42,3870,27.726,10.836,15
47.147,35.117,122.36,20,2.42,5070,27.483,12.03,15
46.62,35.501,131.32,18.9,2.62,4860,27.483,11.119,15
46.403,34.59,140.08,17.85,2.818,4710,27.24,11.813,15
46.342,34.94,149,16.7,3.018,4530,27.361,11.402,15
46.103,34.901,157.56,15.7,3.219,4350,27.481,11.202,15
46.231,34.551,166,14.6,3.42,4170,27.604,11.68,15
44.1,31,120,17.6,2.42,4710,27.483,13.1,15
44.032,31.628,130,16.6,2.62,4560,27.483,12.404,15
43.698,31.689,138.8,15.5,2.818,4350,27.604,12.009,15
43.671,31.435,146.8,14.4,3.018,4170,27.726,12.236,15
43.365,31.907,156,13.2,3.219,3990,27.726,11.458,15
43.504,31.574,163.6,12,3.42,3780,27.726,11.93,15
51.1,31.235,148,20.2,3.01,5370,27.726,19.865,18
51.313,31.774,152,19.8,3.11,5340,27.726,19.539,18
51.0163,31.674,166,18.5,3.42,5130,27.604,19.3423,18
51.13,31.3,156,19.3,3.2,5280,27.726,19.83,18
