,Time (sec),DP1 (psi),PT1 (psi),PT2 (psi),Torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV Angle (deg)
0,0.0,11.6086,17.4827,14.0104,558.4014,9.0572,20.8238,3600.0,14.5926,0.0
1,0.421,7.691,3.6464,0.9016,443.4908,6.5117,15.5849,3000.0,14.5926,0.0
2,0.839,6.385,-1.1717,-3.0232,368.1118,4.6101,12.3779,3600.0,12.1605,0.0
3,1.259,5.1615,-4.6592,-6.0566,262.7237,5.3436,12.0674,3600.0,14.5926,0.0
4,1.68,6.902,2.0857,0.749,362.9079,6.2185,13.2246,3600.0,14.5926,0.0
5,2.099,7.7851,6.205,4.4753,539.5255,7.5439,15.4594,3600.0,14.5926,0.0
6,2.518,9.1568,10.0286,7.2737,488.5934,7.9963,13.0538,3600.0,14.5926,0.0
7,2.937,7.4089,4.3391,2.6457,476.7255,6.9673,14.6564,3600.0,14.5926,0.0
8,3.355,7.0223,1.7506,-1.1478,423.8725,5.9818,10.7201,3600.0,12.1605,0.0
9,3.775,4.8329,-5.0693,-6.3414,204.0455,4.8449,11.1459,3600.0,14.5926,0.0
10,4.197,6.4188,0.6331,-1.5874,277.1409,5.5503,12.3535,3600.0,14.5926,0.0
11,4.617,8.303,7.4689,4.7996,557.8222,7.172,15.1475,3600.0,14.5926,0.0
12,5.036,9.0016,9.2795,6.4061,528.5552,6.8814,14.918,3600.0,14.5926,0.0
13,5.454,8.1405,6.6916,4.1329,410.0054,6.4427,14.7068,3600.0,14.5926,0.0
14,5.872,6.7361,1.3508,-1.1022,457.1752,6.419,14.2775,3600.0,14.5926,0.0
15,6.291,6.0675,-1.7607,-4.386,329.6348,5.4894,12.8346,3600.0,14.5926,0.0
16,6.712,5.4042,-3.5634,-4.774,234.7276,4.9751,11.7102,3600.0,14.5926,0.0
17,7.133,7.5478,4.7509,2.5975,331.5412,6.4116,13.8544,3600.0,14.5926,0.0
18,7.552,8.7862,8.9295,5.645,550.7565,7.6524,16.0787,3600.0,14.5926,0.0
19,7.97,9.25,9.9252,7.4165,514.7371,7.4951,16.2338,3600.0,14.5926,0.0
20,8.388,8.7112,7.7136,4.798,550.3288,7.1711,15.5921,3600.0,14.5926,0.0
21,8.807,7.1648,1.6021,-1.5026,393.2565,5.9794,13.835,3600.0,14.5926,0.0
22,9.227,5.4487,-3.8848,-5.8401,302.5258,5.1739,12.276,3600.0,14.5926,0.0
