,Time (sec),DP1 (psi),PT1 (psi),PT2 (psi),Torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV Angle (deg)
0,0.0,30.0,-0.392,-0.5615,470.0511,0.2298,0.2028,0.0,0.0,0.0
1,1.23,30.0,-0.3709,-0.5637,771.5682,0.2299,0.2136,0.0,0.0,0.0
2,2.46,30.0,-0.376,-0.5659,443.8018,0.2241,0.1968,0.0,0.0,0.0
3,3.69,30.0,-0.3725,-0.5671,753.6192,0.2191,0.2158,0.0,0.0,0.0
4,4.92,30.0,-0.3704,-0.5581,795.2521,0.2238,0.2039,0.0,0.0,0.0
5,6.151,30.0,-0.3926,-0.5481,462.6393,0.2281,0.1999,0.0,0.0,0.0
6,7.383,30.0,-0.4095,-0.5806,451.9952,0.2278,0.2031,0.0,0.0,0.0
7,8.614,30.0,-0.3793,-0.5677,389.9815,0.235,0.2136,0.0,0.0,0.0
8,9.844,30.0,0.1795,0.0022,400.0883,0.302,0.2459,0.0,3.4049,0.0
9,11.072,30.0,1.6889,1.4905,468.6136,0.3001,0.3717,0.0,5.3506,0.0
10,12.301,30.0,3.5191,3.1384,2000.0,0.2956,0.351,0.0,7.7827,0.0
11,13.532,30.0,4.8804,4.1583,2000.0,0.3028,0.3629,420.0,9.242,0.0
12,14.765,30.0,6.2881,5.4922,2000.0,0.7535,0.4488,600.0,10.7013,0.0
13,16.0,30.0,7.4149,6.291,2000.0,2.3974,0.4754,900.0,11.1877,0.0
14,17.233,30.0,8.1539,6.7993,2000.0,3.2493,0.4536,1020.0,11.9173,0.0
15,18.467,30.0,9.5908,8.0161,2000.0,4.3562,0.4601,1320.0,12.6469,0.0
16,19.701,30.0,9.5832,8.0071,2000.0,4.7499,0.4714,1380.0,12.6469,0.0
17,20.935,30.0,9.9844,8.4243,2000.0,5.079,0.4773,1500.0,13.6198,0.0
18,22.169,30.0,10.7408,9.0585,2000.0,5.82,0.4892,1620.0,14.1062,0.0
19,23.405,30.0,12.4292,10.3351,2000.0,7.024,0.4779,1860.0,15.079,0.0
20,24.641,30.0,12.9669,10.8415,2000.0,7.5123,0.3966,1980.0,15.3223,0.0
21,25.877,30.0,14.0382,11.6927,2000.0,8.2858,0.4336,2160.0,15.8087,0.0
22,27.113,30.0,14.6753,12.1227,2000.0,8.776,0.4611,2220.0,17.2679,0.0
23,28.35,30.0,17.0994,14.1054,2000.0,10.2028,0.418,2520.0,17.9976,0.0
24,29.587,30.0,17.9876,14.8209,2000.0,10.8103,0.4314,2700.0,18.2408,0.0
25,30.824,30.0,20.0136,16.4628,2000.0,11.9923,0.5946,2880.0,19.7,0.0
26,32.061,30.0,22.1123,18.0967,2000.0,13.1545,0.47,3060.0,20.4297,0.0
27,33.298,30.0,23.1016,18.8,2000.0,13.7242,0.4539,3240.0,20.9161,0.0
28,34.535,30.0,24.8956,20.241,2000.0,14.4688,0.4712,3360.0,21.4025,0.0
29,35.772,30.0,27.3605,21.9512,2000.0,15.5073,0.5092,3600.0,23.3482,0.0
30,37.009,30.0,29.7639,22.5062,2000.0,16.9358,0.5182,3900.0,23.3482,0.0
31,38.246,30.0,29.9803,23.3912,2000.0,17.1646,0.4994,3900.0,23.5914,0.0
32,39.483,30.0,30.2807,23.7577,2000.0,17.0769,0.4769,3960.0,24.321,0.0
33,40.72,30.0,32.5048,25.8641,2000.0,18.1085,0.4596,4080.0,24.8075,0.0
34,41.957,30.0,33.7727,26.8501,2000.0,18.6396,0.4609,4200.0,25.2939,0.0
35,43.194,30.0,33.651,27.0155,2000.0,18.6492,0.4791,4200.0,25.0507,0.0
36,44.431,30.0,33.9679,27.2279,2000.0,18.6823,0.5212,4200.0,24.8075,0.0
37,45.668,30.0,33.8444,26.959,2000.0,18.6814,0.5067,4260.0,24.8075,0.0
38,46.905,30.0,33.6533,26.9555,2000.0,18.6816,0.4428,4200.0,25.2939,-3.0
39,49.925,30.0,25.7017,19.0403,2000.0,18.6142,0.5073,4200.0,24.8075,-3.0
40,51.164,30.0,25.7611,19.0532,2000.0,18.6779,0.5479,4200.0,24.8075,-3.0
41,52.403,30.0,25.8693,19.0304,2000.0,18.6529,0.4723,4200.0,25.2939,-3.0
42,53.642,30.0,25.6005,18.9012,2000.0,18.6378,0.5062,4200.0,24.8075,-3.0
43,54.881,30.0,25.524,18.8193,2000.0,18.6122,0.4926,4200.0,25.2939,-3.0
44,56.121,30.0,25.4812,18.78,2000.0,18.6045,0.4856,4200.0,25.2939,-3.0
45,57.36,30.0,25.4232,18.5551,2000.0,18.6494,0.4978,4260.0,25.2939,-3.0
46,58.598,30.0,26.7138,19.7517,2000.0,19.122,0.4496,4320.0,26.0235,-3.0
47,59.836,30.0,28.2276,20.9755,2000.0,19.6174,0.4929,4440.0,26.2667,-3.0
48,61.074,30.0,29.5268,21.9837,2000.0,20.1735,0.5051,4560.0,26.2667,-3.0
49,62.312,30.0,30.6428,22.75,2000.0,20.5389,0.4734,4560.0,26.9964,-3.0
50,63.55,30.0,30.6535,22.8396,2000.0,20.5727,0.5116,4620.0,26.5099,-3.0
51,64.788,30.0,30.4971,22.6336,2000.0,20.5761,0.4677,4620.0,26.7531,-3.0
52,66.027,30.0,30.5783,22.7517,2000.0,20.5241,0.4916,4620.0,26.7531,-3.0
53,67.265,30.0,30.635,22.6022,2000.0,20.6554,0.5582,4560.0,26.7531,-3.0
54,68.503,30.0,30.733,22.8559,2000.0,20.573,0.5346,4560.0,26.7531,-3.0
