,Time (sec),DP1 (psi),PT1 (psi),PT2 (psi),Torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV Angle (deg)
0,0.0,0.0,38.2855,30.817,377.7568,3.0231,6.1979,4320.0,26.9964,0.0
1,0.0,30.0,38.3005,30.7456,385.3314,3.2153,6.7281,4380.0,27.2396,0.0
2,4.055,30.0,38.2951,30.7269,457.6088,3.5473,5.4784,4320.0,26.9964,0.0
3,8.11,30.0,38.1841,30.6431,358.2618,3.1079,6.4601,4320.0,27.2396,0.0
4,12.165,30.0,38.2829,30.6333,890.6649,5.4131,6.4902,4320.0,27.2396,0.0
5,16.222,30.0,38.2198,30.645,889.5988,5.4909,6.6007,4320.0,27.2396,0.0
6,20.278,30.0,38.2256,30.6873,891.4556,5.5331,6.6583,4320.0,26.9964,0.0
7,24.334,30.0,38.3687,30.6893,891.3677,5.514,6.6184,4320.0,27.2396,0.0
8,28.389,30.0,38.2858,30.7097,891.7191,5.504,6.4939,4260.0,27.2396,0.0
9,32.444,30.0,38.1777,30.6635,1006.7664,5.8906,6.658,4020.0,27.2396,0.0
10,36.5,30.0,37.9479,30.9284,1007.9994,5.965,6.6997,4020.0,26.7531,0.0
11,40.556,30.0,37.9063,31.0425,393.5706,3.2612,6.5134,3960.0,26.7531,0.0
12,44.611,30.0,37.9924,30.9136,384.9084,3.1772,6.5415,3960.0,27.2396,0.0
13,48.666,30.0,37.9667,30.9303,512.1762,3.5259,6.5823,4020.0,26.9964,0.0
14,52.721,30.0,37.957,30.9487,348.6861,1.8411,6.2482,3960.0,26.5099,0.0
15,56.776,30.0,38.0057,30.8806,536.9179,3.5284,6.4471,3960.0,26.7531,0.0
16,60.831,30.0,38.0158,30.8854,1006.909,5.8803,6.6436,4020.0,26.5099,0.0
17,64.887,30.0,37.9652,31.0363,387.7001,3.1993,6.3006,4020.0,26.7531,0.0
18,68.942,30.0,37.9619,30.9648,388.6138,3.2152,6.196,4020.0,26.7531,0.0
19,72.998,30.0,37.9684,30.8883,380.45,3.1232,6.4002,4020.0,26.7531,0.0
20,77.053,30.0,37.9832,30.9445,530.6096,3.5424,6.4851,4020.0,26.7531,0.0
21,81.108,30.0,37.9689,30.9842,454.5815,3.5016,5.4532,3960.0,26.9964,0.0
22,85.164,30.0,37.9233,30.9406,1007.1373,5.9217,6.4475,3960.0,26.7531,0.0
23,89.221,30.0,38.0285,30.938,387.9704,3.1844,6.3206,4020.0,26.7531,0.0
24,93.278,30.0,38.0042,30.9032,384.6824,3.1744,6.3307,3780.0,27.726,0.0
25,97.334,30.0,37.7134,30.8509,505.7412,3.5068,6.4959,3780.0,27.726,0.0
26,101.39,30.0,37.6714,30.8287,1003.4103,5.8743,6.6439,3780.0,27.2396,0.0
27,105.447,30.0,37.7166,30.7158,893.1959,5.5018,6.515,3840.0,27.4828,0.0
28,109.503,30.0,37.6326,30.8156,1002.4595,5.9353,6.6143,3840.0,27.4828,0.0
29,113.56,30.0,37.6473,30.7095,384.6198,3.134,6.3528,3780.0,27.726,0.0
30,117.616,30.0,37.6467,30.8435,507.9105,3.5828,6.4082,3780.0,27.2396,0.0
31,121.672,30.0,37.7284,30.7866,389.8661,3.1477,6.405,3840.0,27.4828,0.0
32,125.728,30.0,37.705,30.8225,892.4042,5.5027,6.413,3840.0,27.2396,0.0
33,129.784,30.0,37.6581,30.8725,1002.8771,5.9174,6.649,3840.0,27.2396,0.0
34,133.841,30.0,37.5963,30.9658,387.6808,3.2324,6.382,3600.0,26.7531,0.0
35,137.897,30.0,37.705,30.9956,376.6142,3.2015,6.3365,3600.0,27.2396,0.0
36,141.955,30.0,37.729,30.973,508.7831,4.0332,6.5322,3600.0,26.7531,0.0
37,146.012,30.0,37.8329,31.0244,363.1871,3.0982,6.4394,3600.0,26.7531,0.0
38,150.069,30.0,37.7494,31.0146,392.8832,3.2167,6.28,3600.0,27.2396,0.0
