,Time (sec),DP1 (psi),PT1 (psi),PT2 (psi),Torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV Angle (deg)
0,0.0,30.0,36.6947,31.2572,82.378,9.6419,1.8022,3000.0,26.7531,3.0
1,0.271,30.0,36.7502,31.1461,82.8224,9.7573,2.0181,2700.0,26.7531,3.0
2,0.542,30.0,36.5661,30.5852,82.3664,9.6673,1.8155,2700.0,26.7531,3.0
3,0.815,30.0,36.5778,30.7907,83.3015,9.556,1.7622,2700.0,27.9692,3.0
4,1.086,30.0,36.9269,31.435,104.1268,9.9268,1.7835,2700.0,26.7531,3.0
5,1.358,30.0,37.0668,31.3702,76.4241,9.6408,1.8448,2700.0,26.7531,3.0
6,1.63,30.0,36.8779,30.9687,88.9116,9.8208,1.9568,3000.0,26.7531,3.0
7,1.901,30.0,36.601,30.7129,80.8673,9.5938,1.6529,2700.0,27.9692,3.0
8,2.173,30.0,36.6225,31.1517,75.9797,9.4673,1.7462,2700.0,26.7531,3.0
9,2.444,30.0,36.5719,31.2461,94.4367,9.7652,2.1301,2700.0,26.7531,3.0
10,2.715,30.0,36.7724,30.8407,85.2565,9.756,1.6529,2700.0,27.9692,3.0
11,2.988,30.0,36.3043,30.824,97.6628,9.9506,1.5889,2700.0,26.7531,3.0
12,3.259,30.0,37.0491,30.9351,80.6664,9.5891,1.8528,3000.0,26.7531,3.0
13,3.53,30.0,36.5196,31.1295,93.8416,9.6116,1.6049,3000.0,27.9692,3.0
14,3.802,30.0,36.537,31.2183,83.6415,9.5812,2.3194,2700.0,26.7531,3.0
15,4.073,30.0,36.5391,31.1374,78.0314,9.5229,1.8155,2700.0,26.7531,3.0
16,4.344,30.0,36.6709,31.419,95.7078,9.7904,1.8845,2700.0,26.7531,3.0
17,4.616,30.0,36.6243,31.0462,84.0665,9.7116,1.9595,2700.0,26.7531,3.0
18,4.887,30.0,36.7669,31.4072,102.2838,10.0473,1.7435,2700.0,26.7531,3.0
19,5.16,30.0,36.728,31.1628,83.4444,9.5825,1.8049,3000.0,26.7531,3.0
20,5.431,30.0,36.8512,31.1906,89.2516,9.9466,1.5942,3000.0,26.7531,3.0
21,5.702,30.0,37.0782,31.0295,76.3352,9.7052,1.7089,3000.0,27.9692,3.0
22,5.975,30.0,36.5487,31.0128,81.1764,9.2872,1.7889,2700.0,27.9692,3.0
23,6.246,30.0,36.9211,31.596,95.2017,9.8791,1.6556,2700.0,26.7531,0.0
24,9.466,30.0,36.828,31.2072,82.1114,9.4951,1.7417,3000.0,26.7531,0.0
25,9.738,30.0,36.8338,31.2517,70.2112,9.3111,1.5436,2700.0,26.7531,0.0
26,10.009,30.0,36.473,30.8018,92.0643,9.9043,1.8807,2700.0,27.9692,0.0
27,10.281,30.0,36.4892,31.2406,84.5997,9.5679,1.7115,2700.0,27.9692,0.0
28,10.553,30.0,37.0258,31.5905,115.0804,9.3137,1.7755,2700.0,26.7531,0.0
29,10.826,30.0,36.828,30.9629,92.0169,9.7679,1.7275,2700.0,27.9692,0.0
30,11.099,30.0,36.2059,30.9018,112.4145,9.5653,2.1905,2700.0,26.7531,0.0
