,Time (sec),DP1 (psi),PT1 (psi),PT2 (psi),Torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV Angle (deg)
0,0.0,30.0,51.4163,31.4109,117.047,17.625,3.2071,5100.0,27.9692,3.0
1,0.474,30.0,51.3352,31.1906,107.4419,17.6939,3.5057,5100.0,27.9692,3.0
2,0.948,30.0,51.2908,31.0351,103.7868,17.8713,3.1272,5100.0,27.9692,3.0
3,1.421,30.0,51.524,31.5627,118.8128,17.949,3.3324,5100.0,26.7531,3.0
4,1.894,30.0,51.213,30.9462,157.7628,18.3374,3.3618,5100.0,27.9692,3.0
5,2.367,30.0,50.9964,30.9129,168.4884,18.8559,3.3404,5100.0,26.7531,3.0
6,2.84,30.0,51.213,31.0961,189.3717,18.4519,3.3911,5100.0,27.3612,3.0
7,3.314,30.0,50.9409,30.8462,174.8481,18.9348,3.2818,5250.0,27.3612,3.0
8,3.787,30.0,51.5796,31.0184,211.274,19.296,3.2765,5250.0,27.9692,3.0
9,4.26,30.0,51.4852,30.6629,201.7935,18.9809,3.0632,5100.0,27.9692,3.0
10,4.736,30.0,51.2241,31.0239,95.3524,18.0819,3.4349,5100.0,27.3612,3.0
11,5.209,30.0,51.6182,31.4982,112.627,17.539,3.3164,5100.0,27.9692,3.0
12,5.683,30.0,51.1686,30.3852,96.4767,18.0858,3.4604,5250.0,27.9692,3.0
13,6.156,30.0,51.1852,31.2239,103.9568,17.7588,3.3058,5100.0,26.7531,3.0
14,6.629,30.0,51.2297,30.9962,122.3674,17.9921,3.8416,5100.0,27.9692,3.0
15,7.102,30.0,51.0686,31.1795,153.2577,18.6022,3.4951,5100.0,27.3612,3.0
16,7.575,30.0,50.9075,30.9406,190.7047,18.5988,3.3138,5100.0,27.3612,3.0
17,8.048,30.0,51.063,31.0961,201.8785,18.7717,3.0818,5250.0,27.3612,3.0
18,8.522,30.0,50.9575,31.3405,223.2649,19.4589,3.2365,5250.0,26.7531,3.0
19,8.995,30.0,50.7965,31.0117,225.9842,18.7836,3.1315,5250.0,27.9692,3.0
20,9.468,30.0,51.313,31.0017,235.1991,18.6194,3.4311,5250.0,27.9692,3.0
21,9.943,30.0,51.0519,31.1628,235.4541,19.2735,3.5084,5250.0,27.3612,3.0
22,10.417,30.0,51.2352,31.0906,224.4889,19.2696,3.0499,5250.0,26.7531,3.0
23,10.892,30.0,51.2019,31.185,173.7315,18.6658,3.1111,5100.0,27.9692,3.0
24,11.366,30.0,51.0464,30.8851,177.997,18.4354,3.2071,5100.0,27.9692,3.0
25,11.84,30.0,51.1963,30.9906,158.5355,18.8816,3.4834,5100.0,26.7531,3.0
26,12.314,30.0,51.2741,30.9851,163.4231,18.6102,3.5543,5250.0,27.3612,3.0
27,12.788,30.0,51.1075,30.8851,183.1215,18.536,3.2231,5250.0,27.9692,3.0
28,13.262,30.0,51.1575,31.1421,183.0623,18.4367,3.3831,5100.0,27.9692,3.0
29,13.736,30.0,51.2797,31.0462,187.3278,18.6486,3.4764,5100.0,27.3612,3.0
30,14.211,30.0,51.2297,31.0406,137.119,18.2606,3.3164,5100.0,27.9692,3.0
31,14.686,30.0,51.3019,31.0128,84.3215,18.2103,3.2205,5250.0,27.9692,3.0
32,15.159,30.0,51.2357,31.5564,102.1718,17.5986,3.3618,5100.0,27.9692,3.0
33,15.633,30.0,51.0908,30.7296,123.8781,18.0516,3.3351,5100.0,26.7531,3.0
34,16.107,30.0,51.1186,30.9851,134.1323,18.3784,3.1645,5100.0,27.9692,3.0
35,16.581,30.0,51.1963,31.3961,133.7421,18.2568,3.4814,5100.0,27.3612,3.0
36,17.055,30.0,51.1519,31.1073,128.5109,18.7492,3.3058,5100.0,27.9692,3.0
37,17.529,30.0,51.2463,31.3683,130.8096,18.4063,3.1009,5100.0,27.9692,3.0
38,18.004,30.0,51.3407,31.085,153.3813,18.442,3.0419,5100.0,27.9692,3.0
39,18.479,30.0,51.0408,30.9073,142.8952,18.6406,3.2615,5100.0,26.7531,3.0
40,18.954,30.0,50.8964,31.1128,118.3221,17.8038,3.5004,5100.0,27.3612,3.0
41,19.428,30.0,51.4241,31.2794,125.4776,17.9547,3.2054,5100.0,27.3612,3.0
42,19.902,30.0,50.9298,30.7962,130.0098,18.5996,3.0499,5100.0,27.3612,3.0
43,20.376,30.0,51.1575,31.0462,150.1976,18.6234,3.3804,5100.0,26.7531,3.0
44,20.851,30.0,51.3463,31.0351,107.8824,17.7616,2.9405,5100.0,26.7531,3.0
45,21.326,30.0,51.3352,31.419,124.6779,18.1891,3.2845,5100.0,27.3612,3.0
46,21.8,30.0,51.163,31.1961,150.982,18.4672,3.2921,5100.0,27.9692,3.0
47,22.275,30.0,50.9742,30.9073,123.8472,17.8872,3.3164,5100.0,27.9692,3.0
48,22.75,30.0,51.3407,31.5016,86.1992,17.9782,3.2791,5100.0,26.7531,3.0
49,23.223,30.0,51.3852,31.1628,142.7175,18.3149,3.0419,5100.0,27.9692,6.0
50,25.479,30.0,50.852,31.3461,192.7486,18.5784,3.3324,5100.0,26.7531,6.0
51,25.954,30.0,50.7187,31.0184,187.5055,18.9382,3.2045,5100.0,26.7531,6.0
52,26.428,30.0,51.063,31.5294,119.7671,18.0554,3.1458,5250.0,27.3612,6.0
53,26.902,30.0,50.9742,31.435,125.8022,18.2368,3.0818,5100.0,27.9692,6.0
54,27.376,30.0,51.1352,31.0406,197.3696,18.4316,3.3484,5250.0,27.9692,6.0
55,27.851,30.0,51.0853,31.2294,190.4203,18.9942,3.1618,5100.0,27.9692,6.0
56,28.325,30.0,51.1812,31.2683,112.4145,18.3109,3.8283,5100.0,27.3612,6.0
57,28.801,30.0,51.3741,31.9848,126.7372,17.8475,3.5457,5100.0,27.9692,6.0
58,29.276,30.0,51.1019,31.1739,160.4905,18.31,3.2338,5250.0,27.9692,6.0
59,29.751,30.0,51.213,31.2406,204.0886,18.3586,3.5297,5100.0,27.9692,6.0
60,30.225,30.0,51.4074,31.6071,145.028,18.3657,3.3778,5250.0,27.9692,6.0
61,30.699,30.0,51.113,31.1461,113.477,18.3149,3.2765,5100.0,27.9692,6.0
62,31.173,30.0,51.1297,31.1906,161.8235,18.6088,3.3001,5250.0,27.3612,6.0
63,31.647,30.0,51.3296,31.7182,187.4226,18.9319,3.4044,5100.0,27.3612,6.0
64,32.121,30.0,51.4963,31.7626,125.8022,18.2421,3.3164,5250.0,27.9692,6.0
65,32.596,30.0,51.1575,31.1961,146.7164,18.2685,3.1565,5100.0,27.9692,6.0
66,33.071,30.0,51.3352,31.3905,190.7433,18.5281,3.2391,5100.0,26.7531,6.0
67,33.546,30.0,51.363,31.5905,162.9478,18.6181,3.1592,5100.0,27.9692,6.0
68,34.02,30.0,51.2797,31.335,108.771,18.2619,3.5617,5100.0,27.9692,6.0
69,34.494,30.0,50.9797,30.9906,161.2903,18.2818,3.2207,5100.0,27.3612,6.0
70,34.968,30.0,50.7853,31.1795,201.724,18.6836,3.4391,5250.0,26.7531,6.0
71,35.443,30.0,51.3074,31.5016,174.253,18.9796,3.3698,5100.0,26.7531,6.0
72,35.918,30.0,50.9853,31.5575,116.0579,18.3573,3.7817,5250.0,27.9692,6.0
73,36.392,30.0,51.5463,31.3405,155.7807,18.2447,3.2738,5100.0,27.3612,6.0
74,36.867,30.0,51.1797,31.1906,198.7026,18.4433,3.6058,5100.0,27.9692,6.0
75,37.342,30.0,50.952,31.5238,183.6882,18.5506,3.3724,5100.0,26.7531,6.0
76,37.816,30.0,50.9409,31.2794,118.4573,18.0845,3.4553,5100.0,26.7531,6.0
77,38.29,30.0,51.0853,31.1628,157.2025,18.0991,3.2564,5100.0,27.9692,6.0
78,38.764,30.0,51.002,31.5849,205.6341,19.0256,3.4311,5100.0,26.7531,6.0
79,39.238,30.0,51.2297,31.3739,135.5194,18.5837,3.4094,5250.0,27.9692,6.0
80,39.713,30.0,51.4796,31.8626,110.2469,18.1057,3.3884,5100.0,27.9692,6.0
81,40.188,30.0,51.2686,31.5516,155.1586,18.1361,3.7435,5100.0,27.3612,6.0
82,40.664,30.0,51.3407,31.6904,198.0805,18.5175,3.4018,5100.0,27.3612,6.0
83,41.139,30.0,51.1408,31.6127,195.77,18.4759,3.639,5100.0,27.3612,6.0
84,41.614,30.0,50.9242,31.3627,160.8228,18.4751,3.4204,5100.0,27.9692,6.0
85,42.088,30.0,50.9464,31.7182,118.8321,17.8422,3.3644,5100.0,27.3612,6.0
86,42.562,30.0,51.0519,31.496,179.3531,18.8247,3.2631,5250.0,27.9692,6.0
87,43.036,30.0,51.2908,31.3072,183.1511,18.75,3.3058,5100.0,27.3612,6.0
88,43.51,30.0,51.1797,31.7126,112.5033,18.044,3.759,5100.0,27.3612,6.0
89,43.985,30.0,51.1241,31.2572,170.4434,18.4976,3.1911,5250.0,27.9692,6.0
90,44.46,30.0,51.3907,31.4627,197.5473,18.6684,3.2978,5100.0,27.9692,6.0
91,44.935,30.0,51.1019,32.1459,147.2496,18.4708,3.2898,5250.0,26.7531,6.0
92,45.41,30.0,51.3185,31.8626,109.5708,18.234,3.1885,5100.0,27.9692,6.0
93,45.884,30.0,50.9853,31.0351,182.7957,18.69,3.2045,5250.0,27.9692,6.0
94,46.358,30.0,51.1019,31.2017,184.9285,18.6552,3.3202,5100.0,27.9692,6.0
95,46.832,30.0,51.0575,31.4905,130.543,18.3414,3.1901,5250.0,27.3612,6.0
96,47.307,30.0,50.9409,31.2961,127.4682,18.5572,3.4284,5100.0,27.9692,6.0
97,47.781,30.0,50.9938,31.3128,203.057,18.826,3.3911,5100.0,27.9692,6.0
98,48.257,30.0,51.2019,31.1739,192.0184,18.5228,3.1485,5100.0,27.9692,6.0
99,48.732,30.0,51.4074,31.8182,147.4273,18.6022,3.3074,5250.0,28.5772,6.0
100,49.207,30.0,51.2408,31.4016,113.2143,18.0567,3.2285,5100.0,27.3612,6.0
101,49.681,30.0,51.2186,31.6571,180.9682,18.8551,3.4497,5250.0,26.7531,6.0
102,50.155,30.0,50.9575,31.5627,190.3183,18.581,3.2311,5100.0,27.9692,6.0
103,50.629,30.0,51.2297,31.3294,127.5215,18.3043,3.5934,5250.0,27.3612,6.0
104,51.103,30.0,51.0297,31.3683,138.9378,18.3109,3.2738,5250.0,27.3612,6.0
105,51.577,30.0,50.9686,31.2628,202.9681,18.6216,3.2898,5250.0,27.9692,6.0
106,52.052,30.0,51.3185,31.4572,166.8,18.4725,3.1672,5250.0,27.9692,6.0
107,52.527,30.0,50.8131,31.646,115.7913,17.8705,3.1938,5100.0,27.9692,6.0
108,53.002,30.0,51.2519,31.5794,121.1271,17.9441,3.927,5100.0,27.3612,6.0
109,53.476,30.0,51.1575,31.0239,197.9917,18.0911,3.2998,5100.0,26.7531,6.0
110,53.95,30.0,51.1352,31.285,169.578,18.7452,3.815,5100.0,27.9692,6.0
111,54.424,30.0,51.213,31.5905,113.392,18.0633,3.6542,5250.0,26.7531,6.0
112,54.899,30.0,51.0408,31.4405,128.4373,18.4764,3.0818,5100.0,27.9692,6.0
113,55.374,30.0,51.2963,31.4761,199.058,18.111,3.4553,5250.0,27.9692,6.0
114,55.848,30.0,51.2241,31.4127,179.1522,19.1425,3.3111,5100.0,27.3612,6.0
115,56.323,30.0,50.9464,31.5016,132.6023,18.2474,3.7163,5250.0,27.9692,6.0
116,56.798,30.0,51.0075,31.7682,120.0221,17.731,3.3031,5100.0,26.7531,6.0
117,57.272,30.0,51.1908,31.3294,193.8884,18.6525,3.2365,5250.0,26.7531,6.0
118,57.746,30.0,50.9964,31.7182,175.9531,19.0551,3.3404,5100.0,27.9692,6.0
119,58.22,30.0,51.313,31.907,109.7485,18.0719,3.3458,5100.0,27.9692,6.0
120,58.694,30.0,51.0742,30.8462,164.9338,18.5188,3.5446,5250.0,27.9692,6.0
121,59.169,30.0,51.1686,31.285,196.8364,18.3138,3.3858,5250.0,27.3612,6.0
122,59.644,30.0,51.002,31.5072,199.1469,18.4215,3.2685,5100.0,27.3612,6.0
123,60.12,30.0,51.0575,31.1628,155.2475,18.3904,3.3049,5250.0,27.9692,6.0
124,60.595,30.0,51.1241,31.7793,109.8374,17.9946,3.5777,5100.0,27.3612,6.0
125,62.069,30.0,51.2297,31.5294,208.928,18.4685,3.1698,5100.0,27.4828,6.0
126,63.343,30.0,51.1241,31.4238,132.3203,18.4227,3.6322,5250.0,27.4828,6.0
127,64.617,30.0,51.0075,31.846,130.2764,18.5903,3.0754,5250.0,27.4828,6.0
128,66.89,30.0,51.3963,31.5571,157.1847,18.4169,3.4551,5160.0,27.726,6.0
129,68.964,30.0,50.952,31.8682,148.2271,18.7419,3.3005,5160.0,27.4828,6.0
130,71.038,30.0,51.1686,31.2961,121.8342,18.0143,3.3991,5160.0,27.726,6.0
131,73.112,30.0,51.1741,31.5349,116.4134,17.9997,3.3698,5130.0,27.6044,6.0
132,75.188,30.0,50.9686,31.4016,161.5569,18.1004,3.31,5160.0,27.726,6.0
133,77.262,30.0,51.4574,31.7123,188.9274,18.1783,3.4284,5160.0,27.4828,6.0
134,79.336,30.0,51.0853,31.4183,198.1694,18.724,3.3661,5130.0,27.9692,6.0
135,81.411,30.0,50.9242,31.6016,179.4188,18.8141,3.3618,5130.0,27.6044,6.0
136,83.485,30.0,51.0797,31.7349,117.3021,17.9654,3.4711,5160.0,27.6044,6.0
137,85.56,30.0,51.3296,31.3794,144.9391,18.6314,3.2029,5130.0,27.726,6.0
138,87.634,30.0,50.902,31.1017,197.8139,18.6181,3.6491,5130.0,27.726,6.0
139,89.709,30.0,50.952,31.3461,135.164,18.7178,3.1378,5160.0,27.4828,6.0
140,91.785,30.0,51.5074,31.4683,115.7913,18.1023,3.0552,5160.0,27.4828,6.0
141,93.859,30.0,51.063,31.9485,118.5462,17.8766,3.2513,5130.0,27.6044,6.0
142,95.933,30.0,51.1797,31.3516,152.8481,18.2593,3.0805,5160.0,27.726,6.0
143,98.008,30.0,51.163,31.1739,199.5912,18.5546,3.3763,5130.0,27.4828,6.0
144,100.082,30.0,51.0464,32.0515,175.1031,18.941,3.6684,5160.0,27.6044,6.0
145,102.158,30.0,51.163,31.5127,163.0676,18.6241,3.0605,5160.0,27.726,6.0
146,104.233,30.0,50.9754,31.4794,118.3684,17.8581,3.4044,5130.0,27.6044,6.0
147,106.308,30.0,51.0742,31.6738,138.9852,18.5281,3.6168,5160.0,27.6044,6.0
148,108.384,30.0,51.113,31.6627,193.7261,18.6353,3.0626,5130.0,27.726,6.0
149,110.459,30.0,50.9123,31.1572,198.7026,18.2302,3.3138,5130.0,27.4828,6.0
150,112.534,30.0,51.5185,31.8348,143.5173,18.4526,3.4757,5160.0,27.6044,6.0
151,114.61,30.0,50.9353,32.0681,134.7196,18.246,3.1544,5160.0,27.6044,6.0
152,116.685,30.0,50.7798,31.2561,135.6083,18.3414,3.5624,5130.0,27.726,6.0
153,118.76,30.0,50.8353,31.2183,186.8835,18.2977,3.644,5130.0,27.726,6.0
154,120.836,30.0,51.1241,31.746,136.1415,17.8369,2.9428,5160.0,27.4828,6.0
155,122.911,30.0,51.1575,31.6349,137.5041,18.0686,3.5857,5160.0,27.4828,6.0
156,124.986,30.0,51.2908,31.5738,50.12,18.5281,3.2156,5220.0,27.4828,6.0
157,127.06,30.0,51.002,31.9126,40.3448,17.8064,3.1325,5220.0,27.8476,6.0
158,129.134,30.0,51.113,31.1739,58.3844,19.1583,3.2336,5280.0,27.726,6.0
159,131.209,30.0,51.3074,31.7404,150.6265,19.1687,2.9512,5340.0,27.6044,6.0
160,133.284,30.0,51.2908,30.9073,161.0237,19.5172,3.3661,5340.0,27.726,6.0
161,135.36,30.0,51.2408,31.4461,191.5045,19.6085,3.2972,5310.0,27.9692,6.0
162,137.436,30.0,51.413,31.4294,108.5933,19.4073,3.1952,5340.0,27.9692,6.0
163,139.511,30.0,51.4074,31.7123,203.3236,20.2428,3.3591,5310.0,27.726,6.0
164,141.586,30.0,51.3296,31.6127,134.1864,19.4033,3.0728,5340.0,27.726,6.0
165,143.662,30.0,51.0186,31.5183,92.1532,18.9677,3.0677,5340.0,27.6044,6.0
166,145.736,30.0,51.0797,31.2905,170.2657,19.7598,2.8846,5340.0,27.9692,6.0
167,147.812,30.0,51.1519,31.8182,143.2275,18.879,3.0232,5340.0,27.726,6.0
168,149.888,30.0,51.3019,31.4572,107.6157,19.5542,3.1723,5340.0,27.726,6.0
169,151.963,30.0,51.313,31.4683,185.3728,19.9766,2.8484,5340.0,27.726,6.0
170,154.04,30.0,51.1852,31.7737,159.6019,19.8892,3.083,5340.0,27.726,6.0
171,156.115,30.0,51.3741,31.5683,117.5687,19.6337,3.0525,5340.0,27.726,6.0
172,158.19,30.0,51.1908,31.2628,195.77,20.0958,3.2845,5340.0,27.4828,6.0
173,160.266,30.0,51.1352,31.1461,88.7763,19.0683,3.0371,5340.0,27.726,6.0
174,162.34,30.0,51.3463,31.2072,182.7957,19.7449,2.9657,5340.0,27.726,6.0
175,164.416,30.0,51.2741,31.3183,143.695,19.3901,3.0167,5340.0,27.8476,6.0
176,166.492,30.0,51.6351,31.3905,91.9755,19.2934,3.004,5340.0,27.8476,6.0
