,Time (sec),DP1 (psi),PT1 (psi),PT2 (psi),Torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV Angle (deg)
0,1144.4279,30.0,40.6325,31.8015,78.2014,16.6154,1.7035,4320.0,27.726,-4.0
1,1144.4279,30.0,40.6325,0.0,77.0461,16.7657,1.8235,4350.0,27.9692,3.0
2,0.473,30.0,40.0382,31.4294,73.2249,16.5472,1.6849,4350.0,27.3612,3.0
3,0.946,30.0,40.7752,31.7015,70.9144,16.8213,1.5249,4350.0,27.9692,3.0
4,1.419,30.0,40.4511,31.3178,82.3664,16.526,1.3543,4200.0,27.9692,3.0
5,1.891,30.0,40.3715,31.5505,70.1262,16.4016,1.5409,4200.0,27.9692,3.0
6,2.363,30.0,40.3715,31.1684,74.0247,16.7015,1.5782,4200.0,27.9692,3.0
7,2.835,30.0,40.4565,31.632,77.6914,16.7922,1.7089,4200.0,27.9692,3.0
8,3.307,30.0,40.3159,31.1184,73.4027,16.4052,1.5489,4200.0,27.3612,3.0
9,3.779,30.0,40.3548,31.9737,78.1125,16.3261,2.0502,4350.0,27.3612,3.0
10,4.252,30.0,40.1104,31.5183,79.1364,16.4878,1.3623,4350.0,26.7531,3.0
11,4.724,30.0,40.5415,31.632,79.2441,16.6743,1.8848,4350.0,27.9692,3.0
12,5.196,30.0,40.4458,31.8356,87.2965,16.3208,1.4529,4350.0,27.9692,3.0
13,5.669,30.0,40.233,31.7404,81.5783,16.6267,1.429,4350.0,26.7531,3.0
14,6.142,30.0,40.0938,31.5294,88.6875,16.767,1.6342,4350.0,27.9692,3.0
15,6.615,30.0,40.6743,31.5272,84.4065,16.8571,1.9541,4350.0,27.9692,3.0
16,7.088,30.0,40.3992,31.496,81.2614,16.5247,1.6982,4200.0,27.9692,3.0
17,7.561,30.0,40.6477,31.7949,85.2565,16.73,1.3063,4350.0,27.9692,3.0
18,8.033,30.0,40.3604,31.5571,74.0363,16.5472,1.8502,4350.0,27.3612,3.0
19,8.505,30.0,39.9677,31.8473,79.9864,16.681,1.8128,4350.0,27.9692,3.0
20,8.977,30.0,40.2865,31.7193,80.0714,16.6677,1.5276,4350.0,26.7531,3.0
21,9.449,30.0,40.527,32.0515,76.0763,16.5724,1.5649,4350.0,27.9692,3.0
22,9.921,30.0,40.7911,31.8647,80.4964,16.4175,1.6102,4350.0,27.9692,3.0
23,10.393,30.0,40.5415,31.8938,75.3963,16.5049,1.3607,4350.0,27.9692,3.0
24,10.866,30.0,40.7103,31.4905,72.2513,16.5711,1.8395,4350.0,27.3612,3.0
25,11.339,30.0,40.5103,31.4294,77.5497,16.6717,1.4236,4350.0,27.3612,3.0
26,11.812,30.0,40.0327,31.6349,71.6254,16.5102,1.8848,4350.0,26.7531,3.0
27,12.288,30.0,40.3548,31.7182,87.9765,16.9286,1.4357,4350.0,27.3612,3.0
28,12.762,30.0,40.5103,32.0681,77.7571,16.7167,1.8635,4200.0,27.9692,3.0
29,13.236,30.0,40.1437,31.6516,82.3664,16.6333,1.5276,4350.0,26.7531,3.0
30,13.709,30.0,40.3659,31.7015,70.1146,16.9764,1.8502,4350.0,26.7531,3.0
31,14.182,30.0,40.4936,31.8126,73.1013,16.7127,1.5623,4350.0,27.9692,3.0
32,14.655,30.0,40.5658,31.4127,71.7413,16.6955,1.4929,4350.0,27.9692,3.0
33,15.128,30.0,40.5492,31.9737,70.7367,16.9339,1.7111,4350.0,26.7531,3.0
34,15.602,30.0,40.6547,31.8515,81.2228,16.8235,1.3943,4350.0,26.7531,3.0
35,16.075,30.0,40.6103,31.8404,78.462,16.5419,1.5836,4350.0,27.3612,3.0
36,16.548,30.0,40.5325,31.5294,87.9765,16.9244,1.7115,4350.0,27.3612,3.0
37,17.024,30.0,40.688,32.2847,76.7795,16.4784,1.5275,4350.0,27.9692,3.0
38,17.498,30.0,40.5658,31.4183,73.2249,16.9054,1.3756,4350.0,27.9692,3.0
39,17.972,30.0,40.3992,32.2458,70.2035,16.9295,1.6422,4200.0,27.9692,3.0
40,18.445,30.0,40.3659,31.3794,79.5614,16.5155,1.8795,4200.0,27.9692,3.0
41,18.918,30.0,40.6492,31.7849,75.8909,16.718,1.8921,4350.0,27.3612,3.0
42,19.391,30.0,40.5103,31.4627,82.9112,16.2937,1.8742,4350.0,27.9692,3.0
43,19.864,30.0,40.3104,31.2406,84.5108,17.0398,1.8743,4350.0,27.9692,3.0
44,20.338,30.0,40.5214,31.6349,79.7121,16.7167,1.5569,4350.0,27.3612,3.0
45,20.811,30.0,40.1715,31.4572,86.8035,16.9418,1.437,4200.0,27.9692,3.0
46,21.284,30.0,40.277,31.4072,74.8013,16.5697,1.7462,4350.0,27.9692,3.0
47,21.76,30.0,40.227,31.8293,75.1413,16.7882,1.4929,4350.0,27.9692,3.0
48,22.234,30.0,40.7991,31.6793,72.6763,16.5737,1.7729,4350.0,27.9692,3.0
49,22.708,30.0,40.9046,31.5794,87.0879,16.7856,1.7519,4350.0,27.3612,3.0
50,23.181,30.0,40.5936,31.8626,82.5558,16.9067,1.9621,4350.0,27.3612,3.0
51,23.654,30.0,40.4103,31.8182,85.7549,16.6306,1.7222,4350.0,26.7531,3.0
52,24.127,30.0,40.2382,31.796,83.089,16.6914,1.6609,4200.0,27.9692,3.0
