,Time (sec),DP1 (psi),PT1 (psi),PT2 (psi),Torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV Angle (deg)
0,0.0,0.0,37.3334,32.1403,81.4005,10.1439,1.8528,2850.0,26.7531,-7.0
1,0.0,30.0,37.8002,32.0858,87.1265,9.6183,1.5649,2700.0,27.9692,3.0
2,0.271,30.0,37.34,32.2236,88.8652,9.913,1.5569,3000.0,26.7531,3.0
3,0.542,30.0,37.3516,31.6793,84.5997,10.1181,2.1594,3000.0,26.7531,3.0
4,0.816,30.0,37.8277,31.7015,85.3995,9.7851,1.9781,2700.0,26.7531,3.0
5,1.087,30.0,37.7333,31.9126,89.7538,10.038,1.7195,3000.0,26.7531,3.0
6,1.359,30.0,37.5222,31.8404,82.7335,9.8447,1.6728,2700.0,26.7531,3.0
7,1.632,30.0,37.3633,31.7904,88.4016,9.7295,1.7275,2700.0,26.7531,3.0
8,1.903,30.0,37.5666,31.6378,89.0816,9.9082,1.7869,3000.0,27.9692,3.0
9,2.174,30.0,37.7055,32.2403,80.9562,10.079,1.7702,3000.0,27.9692,3.0
10,2.446,30.0,37.4,32.0509,79.4764,9.8129,2.2794,3000.0,27.9692,3.0
11,2.717,30.0,37.4778,31.5016,85.5772,10.38,1.7675,3000.0,26.7531,3.0
12,2.99,30.0,37.4445,31.9793,78.2014,10.181,1.8288,3000.0,27.9692,3.0
13,3.262,30.0,37.848,32.3014,78.3791,9.9387,1.9408,3000.0,29.1852,3.0
14,3.533,30.0,37.6611,31.8671,84.2442,10.2525,1.8342,3000.0,26.7531,3.0
15,3.806,30.0,37.7524,32.1091,77.5214,10.2048,1.7542,3000.0,27.9692,3.0
16,4.078,30.0,37.6999,32.0681,80.7785,10.136,2.4868,3000.0,29.1852,3.0
17,4.35,30.0,37.8721,31.7404,85.4883,10.0168,1.8182,3000.0,27.9692,3.0
18,4.622,30.0,37.6222,32.1292,76.6907,10.0244,1.8582,2700.0,26.7531,3.0
19,4.894,30.0,37.5111,31.9626,79.1789,9.801,2.6087,3000.0,26.7531,3.0
20,5.167,30.0,37.8277,31.5571,81.5783,10.0327,1.5623,3000.0,26.7531,3.0
21,5.439,30.0,37.9166,32.0348,75.5663,9.9864,1.7622,2700.0,29.1852,3.0
22,5.71,30.0,37.2527,31.7775,80.3341,9.9744,2.0681,2700.0,27.9692,0.0
23,8.931,30.0,37.7222,31.7293,82.7335,10.1227,2.3247,2700.0,26.7531,0.0
24,9.203,30.0,37.4445,32.3292,79.0012,9.8288,1.9202,2700.0,26.7531,0.0
25,9.476,30.0,37.7444,32.0903,93.6639,9.7719,1.8022,3000.0,26.7531,0.0
26,9.747,30.0,37.5666,31.6738,95.619,9.7772,1.8742,2700.0,26.7531,0.0
27,10.018,30.0,37.2056,31.7833,77.9348,9.6593,1.836,3000.0,26.7531,0.0
28,10.291,30.0,37.5833,31.9462,84.5765,10.0155,1.8475,3000.0,27.9692,0.0
29,10.564,30.0,37.2279,31.4905,76.9573,9.891,1.783,2700.0,29.1852,0.0
30,10.836,30.0,37.6722,32.0237,89.3984,9.699,2.0502,3000.0,27.9692,0.0
31,11.108,30.0,38.1443,31.8959,103.4391,9.7957,1.4796,2700.0,26.7531,0.0
32,11.381,30.0,37.4111,32.0237,85.2395,9.8751,1.8102,2700.0,29.1852,0.0
33,11.654,30.0,37.65,31.9793,84.2442,9.7162,2.448,3000.0,26.7531,0.0
34,11.926,30.0,37.8055,32.1731,81.5164,9.9387,1.8368,2700.0,26.7531,0.0
35,12.198,30.0,37.4476,31.9182,89.9316,9.6831,1.8029,3000.0,26.7531,0.0
36,12.47,30.0,37.3223,31.8237,100.3288,9.6752,1.706,2700.0,29.1852,0.0
37,12.743,30.0,37.7666,32.1459,87.8065,9.5008,2.0501,2700.0,29.1852,0.0
38,13.016,30.0,37.6833,32.0126,81.4005,9.7321,1.8742,3000.0,27.9692,0.0
39,13.288,30.0,37.6777,32.2736,83.4444,9.6328,1.7755,2700.0,26.7531,0.0
40,13.56,30.0,37.5823,31.8531,91.0868,9.805,1.8896,3000.0,26.7531,0.0
41,13.833,30.0,37.468,31.8126,97.3267,9.8036,1.9381,2700.0,26.7531,0.0
42,14.106,30.0,37.5722,32.007,93.3973,9.7705,1.5914,2700.0,26.7531,0.0
43,14.379,30.0,37.2167,31.7238,78.3791,9.7348,1.8207,3000.0,26.7531,0.0
44,14.651,30.0,37.6444,31.9681,82.378,9.6143,1.7264,2700.0,29.1852,0.0
45,14.923,30.0,37.7895,32.4408,87.5855,9.9427,1.9435,3000.0,29.1852,0.0
46,15.196,30.0,37.5666,31.9015,94.4637,9.9193,1.7969,3000.0,26.7531,0.0
47,15.468,30.0,37.3223,31.3516,98.5515,9.8381,1.6397,2700.0,27.9692,0.0
48,15.74,30.0,37.7111,31.4905,80.8364,9.7202,1.9008,3000.0,26.7531,0.0
49,16.013,30.0,37.832,31.7309,79.4764,9.654,1.7782,2700.0,26.7531,0.0
50,16.285,30.0,37.6195,32.3069,89.6766,9.9045,1.8182,3000.0,26.7531,0.0
51,16.558,30.0,37.7888,32.0515,93.2196,9.97,1.9248,3000.0,26.7531,0.0
52,16.83,30.0,36.9279,31.4794,95.619,9.7798,1.9329,2700.0,26.7531,0.0
53,17.102,30.0,37.7736,32.1498,84.5997,9.8367,2.0101,3000.0,26.7531,0.0
54,17.375,30.0,37.4889,31.7793,77.0461,10.1002,1.8528,2700.0,26.7531,0.0
55,17.649,30.0,37.9054,32.2681,83.5565,9.8836,1.8368,2700.0,27.9692,0.0
56,17.922,30.0,37.3723,31.8737,91.1757,9.7268,2.0714,3000.0,27.9692,0.0
57,18.194,30.0,37.6089,31.6378,96.9867,9.6699,1.7035,2700.0,27.9692,0.0
58,19.466,30.0,37.6666,32.0126,85.3106,9.9241,1.6929,3000.0,26.7531,0.0
59,19.838,30.0,37.6388,32.1181,93.3973,9.7308,1.7489,3000.0,27.3612,0.0
60,20.21,30.0,37.5889,31.7293,84.3331,9.6027,2.0885,3000.0,27.9692,0.0
61,20.582,30.0,37.7777,32.0848,99.8845,9.8156,1.6524,3000.0,27.3612,0.0
62,20.955,30.0,37.6277,32.2181,79.7121,9.7613,1.5463,3000.0,26.7531,0.0
63,21.327,30.0,37.4111,31.8515,100.0622,9.7136,1.7089,3000.0,27.3612,0.0
64,21.701,30.0,37.9221,32.4514,79.7314,9.8937,2.3,3000.0,26.7531,0.0
65,22.073,30.0,37.7944,32.5235,96.8631,9.5812,1.9915,3000.0,27.9692,0.0
66,22.446,30.0,37.7555,31.6516,84.4219,9.756,1.6716,3000.0,27.9692,0.0
67,22.818,30.0,37.8499,31.9404,92.953,9.8751,1.8475,3000.0,27.9692,0.0
68,23.19,30.0,37.3056,31.8571,84.3331,9.5216,2.063,3000.0,27.9692,0.0
69,24.561,30.0,37.4389,31.5016,98.7292,10.2829,1.6689,2850.0,27.3612,0.0
70,25.034,30.0,37.3889,32.0015,86.0215,9.7957,1.7675,2850.0,27.9692,0.0
71,25.506,30.0,37.2556,31.4027,83.0001,9.7626,1.7009,2850.0,27.9692,0.0
72,25.978,30.0,37.3516,31.9681,80.3341,9.9241,1.9431,2850.0,27.9692,0.0
73,26.45,30.0,37.4167,32.0348,88.332,9.4964,2.2211,2700.0,27.3612,0.0
74,26.924,30.0,37.4222,31.6405,99.7067,10.083,1.9755,2850.0,27.9692,0.0
75,27.398,30.0,37.3889,31.7904,77.7571,9.7732,1.757,2850.0,27.9692,0.0
76,27.871,30.0,37.3001,32.0792,85.4883,9.5772,1.604,2850.0,27.3612,0.0
77,28.343,30.0,37.7111,32.3125,87.6211,9.8142,1.9049,2700.0,27.9692,0.0
78,28.815,30.0,37.7111,31.6516,101.1518,9.9864,2.0448,2850.0,27.3612,0.0
79,29.288,30.0,37.7888,32.2236,87.5322,9.9016,1.6476,2700.0,27.3612,0.0
80,29.76,30.0,37.5666,31.6127,77.5214,9.756,1.9088,2850.0,27.9692,0.0
