,Time (sec),DP1 (psi),PT1 (psi),PT2 (psi),Torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV Angle (deg)
0,0.0,30.0,38.8892,33.5177,159.513,1.4023,3.0978,1500.0,27.9692,3.0
1,0.473,30.0,38.683,33.2289,151.8706,1.5691,3.1858,1500.0,27.9692,3.0
2,0.946,30.0,38.9849,33.2733,154.6254,1.2487,3.1672,1500.0,27.9692,3.0
3,1.419,30.0,39.1017,33.2845,156.0627,1.3599,3.0552,1500.0,27.9692,3.0
4,1.891,30.0,38.9052,33.5344,148.8492,1.4883,3.4178,1500.0,28.5772,3.0
5,2.363,30.0,38.9496,33.6233,154.892,1.3189,3.0658,1350.0,27.9692,3.0
6,2.835,30.0,38.9689,33.2379,141.8675,1.7095,3.0872,1350.0,27.3612,3.0
7,3.307,30.0,39.0662,33.601,138.7185,1.6287,3.0685,1350.0,27.9692,3.0
8,3.779,30.0,38.9496,33.4566,137.6174,1.2037,2.9699,1350.0,28.5772,3.0
9,4.252,30.0,38.6441,32.9956,135.0751,1.4021,2.578,1500.0,27.9692,3.0
10,4.724,30.0,39.0486,33.4939,140.5018,1.3175,3.1442,1500.0,27.9692,0.0
11,6.977,30.0,38.8885,33.4011,151.7817,1.0885,3.1565,1200.0,27.9692,0.0
12,7.449,30.0,38.6077,33.3136,146.2026,1.1812,2.9091,1200.0,27.9692,0.0
13,7.921,30.0,38.8467,33.8256,142.3775,1.0989,2.8918,1200.0,27.9692,0.0
14,8.393,30.0,38.833,33.5455,147.1607,1.1136,3.1938,1200.0,27.9692,0.0
15,8.866,30.0,39.2186,33.2408,137.741,1.2955,2.9059,1200.0,27.9692,0.0
16,9.338,30.0,38.6119,33.3844,134.453,1.0355,3.3839,1200.0,27.9692,0.0
17,9.81,30.0,38.6449,33.3659,142.3775,1.3189,2.7619,1200.0,27.9692,0.0
18,10.284,30.0,38.8496,33.6566,135.2528,1.2924,2.8659,1200.0,27.9692,0.0
19,10.758,30.0,38.5219,32.9401,143.8225,1.0355,2.9912,1200.0,27.9692,0.0
20,11.232,30.0,38.8552,33.2789,143.5675,1.2301,2.9246,1200.0,27.3612,0.0
21,11.705,30.0,38.9274,33.3955,149.5176,1.1401,3.1538,1350.0,27.9692,0.0
22,12.178,30.0,38.6441,33.5233,149.8576,1.0064,3.1085,1350.0,27.9692,0.0
23,12.651,30.0,39.1273,33.5788,144.5025,0.9084,2.8339,1350.0,27.9692,0.0
24,13.124,30.0,38.6664,33.5177,159.4628,1.1507,2.9493,1350.0,27.9692,0.0
25,13.597,30.0,38.8496,33.4622,149.6026,1.2445,2.726,1350.0,27.9692,0.0
26,14.07,30.0,38.6497,33.3067,147.6476,0.7985,3.2445,1350.0,27.9692,20.0
27,20.98,30.0,44.1927,30.463,145.1939,14.3479,3.3511,4200.0,27.9692,20.0
28,21.455,30.0,44.2426,30.6463,152.1527,14.1215,3.4071,4200.0,27.3612,20.0
29,21.933,30.0,44.2426,30.7296,159.513,14.7014,2.7326,4200.0,26.7531,20.0
30,22.409,30.0,44.0982,30.9629,147.9026,14.2142,3.2658,4200.0,27.3612,20.0
31,22.884,30.0,43.9705,30.8129,149.7378,14.0341,2.9645,4200.0,27.3612,20.0
32,23.359,30.0,43.9705,30.9073,139.8274,14.2195,3.0365,4200.0,27.9692,20.0
33,23.834,30.0,43.9705,30.8296,143.1618,14.4274,3.042,4200.0,27.9692,20.0
34,24.309,30.0,44.0927,30.874,136.8524,14.4406,2.9459,4200.0,26.7531,20.0
35,24.784,30.0,43.752,30.8851,141.029,14.4816,3.0525,4200.0,26.7531,20.0
36,25.261,30.0,44.3537,30.9073,152.8481,14.1784,3.1485,4200.0,26.7531,20.0
37,25.737,30.0,43.9872,30.774,149.2935,14.3103,3.2365,4200.0,26.7531,20.0
38,26.212,30.0,44.0927,30.8296,157.9328,14.5796,3.0952,4200.0,26.7531,20.0
39,26.687,30.0,44.1427,30.8573,150.9626,14.7398,3.1405,4200.0,27.9692,20.0
40,27.162,30.0,44.6259,30.6463,144.2475,14.7716,3.1588,4200.0,26.7531,20.0
41,27.637,30.0,44.5148,31.2794,142.8478,14.2777,3.0499,4200.0,27.9692,20.0
42,28.112,30.0,44.306,31.0961,160.2239,14.5849,3.0792,4200.0,27.3612,20.0
43,28.589,30.0,44.3315,30.6963,144.6725,14.1083,3.4579,4200.0,27.3612,20.0
