,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),Flow Rate (GPM)
0,0.0,-0.46,-0.65,0.2117,0.027,
1,0.233,-0.4583,-0.65,0.212,0.0278,0.0
2,0.467,-0.4616,-0.6647,0.2179,0.0265,0.0
3,0.701,-0.4469,-0.6745,0.2096,0.0269,0.0
4,0.935,-0.4517,-0.6582,0.2117,0.027,0.0
5,1.169,-0.4504,-0.6512,0.2129,0.0271,0.0
6,1.404,-0.4951,-0.7168,0.2101,0.0282,0.0
7,1.639,-0.4573,-0.6232,0.2137,0.0267,0.0
8,1.874,-0.434,-0.6484,0.2089,0.0278,0.0
9,2.109,-0.4573,-0.6126,0.2139,0.0272,0.0
10,2.345,-0.4458,-0.6582,0.212,0.027,0.0
11,2.581,-0.4486,-0.6711,0.2133,0.0292,0.0
12,2.818,-0.5062,-0.7107,0.212,0.0276,0.0
13,3.054,-0.4992,-0.7335,0.214,0.0274,0.0
14,3.291,-0.5062,-0.7234,0.2136,0.0271,0.0
15,3.528,-0.4591,-0.6733,0.2124,0.0276,0.0
16,3.765,-0.4451,-0.676,0.2117,0.0274,0.0
17,4.002,-0.4635,-0.6256,0.2136,0.029,0.0
18,4.24,-0.4748,-0.6891,0.2126,0.0267,0.0
19,4.478,-0.4951,-0.725,0.2171,0.0283,0.0
20,4.716,-0.4608,-0.6624,0.2078,0.0284,0.0
21,4.954,-0.4434,-0.676,0.2109,0.0262,0.0
22,5.192,-0.5045,-0.6624,0.2109,0.0275,0.0
23,5.431,-0.5027,-0.709,0.2113,0.0276,0.0
24,5.671,-0.4497,-0.6745,0.2159,0.0289,0.0
25,5.91,-0.4451,-0.6578,0.2159,0.0276,0.0
26,6.15,-0.4434,-0.6694,0.2093,0.0267,0.0
27,6.39,-0.4537,-0.668,0.2113,0.0259,0.0
28,6.63,-0.5167,-0.7168,0.2117,0.028,0.0
29,6.871,-0.508,-0.7123,0.2132,0.0278,0.0
30,7.111,-0.4399,-0.511,0.2117,0.0278,0.0
31,7.352,-0.4434,-0.5307,0.215,0.0268,0.0
32,7.593,-0.4556,-0.5116,0.205,0.0282,0.0
33,7.834,-0.5027,-0.7134,0.2113,0.0263,0.0
34,8.075,-0.4416,-0.6566,0.2128,0.0279,0.0
35,8.317,-0.4832,-0.6859,0.2097,0.0268,0.0
36,8.559,-0.4538,-0.666,0.2128,0.0272,0.0
37,8.802,-0.5167,-0.709,0.2133,0.0267,0.0
38,9.044,-0.4616,-0.6582,0.2124,0.0243,0.0
39,9.287,-0.4608,-0.6642,0.2109,0.026,0.0
40,9.53,-0.473,-0.5588,0.209,0.0275,0.0
41,9.774,-0.4504,-0.6712,0.2105,0.0259,0.0
42,10.017,-0.4793,-0.6973,0.2144,0.028,0.0
43,10.262,-0.4552,-0.6452,0.2163,0.0291,0.0
44,10.508,-0.4501,-0.5539,0.2124,0.0258,0.0
45,10.755,-0.5112,-0.65,0.2082,0.0282,0.0
46,11.0,-0.4819,-0.5165,0.214,0.0259,0.0
47,11.245,-0.4518,-0.5913,0.2101,0.0256,0.0
48,11.491,-0.4636,-0.6403,0.2122,0.0246,0.0
49,11.738,-0.4484,-0.6321,0.212,0.028,0.0
50,11.984,-0.453,-0.4448,0.2097,0.0274,0.0
51,12.23,-0.445,-0.6168,0.2148,0.0278,0.0
52,12.477,-0.4772,-0.6175,0.2117,0.0281,0.0
53,12.724,-0.4331,-0.6191,0.2074,0.0264,0.0
54,12.972,-0.4433,-0.5898,0.2109,0.0261,0.0
55,13.219,-0.459,-0.523,0.2124,0.0237,0.0
56,13.467,-0.4687,-0.6733,0.2089,0.0232,0.0
57,13.715,-0.4687,-0.6224,0.2065,0.0226,0.0
58,13.963,-0.5078,-0.7299,0.2082,0.0253,0.0
59,14.212,-0.5196,-0.7185,0.212,0.0245,0.0
60,14.461,-0.4513,-0.5784,0.2148,0.0222,0.0
61,14.71,-0.4609,-0.6615,0.2132,0.0248,0.0
62,0.0,-0.4499,-0.6615,0.2097,0.0234,
63,0.233,-0.4535,-0.668,0.2078,0.0252,0.0
64,0.467,-0.4616,-0.65,0.2113,0.0223,0.0
65,0.701,-0.4469,-0.6529,0.2124,0.0232,0.0
66,0.935,-0.4438,-0.637,0.2085,0.0238,0.0
67,1.169,-0.4643,-0.6615,0.2057,0.0229,0.0
68,1.404,-0.4616,-0.5295,0.2117,0.023,0.0
69,1.639,-0.4765,-0.6331,0.2107,0.0249,0.0
70,1.874,-0.4714,-0.681,0.2093,0.0246,0.0
71,2.109,-0.4696,-0.6727,0.2077,0.0232,0.0
72,2.345,-0.4596,-0.6696,0.2089,0.0241,0.0
73,2.581,-0.4661,-0.6628,0.2064,0.0238,0.0
74,2.818,-0.4399,-0.5687,0.2078,0.0246,0.0
75,3.054,-0.4591,-0.6551,0.2124,0.0223,0.0
76,3.291,-0.4451,-0.6578,0.2078,0.0224,0.0
77,3.528,-0.4538,-0.6496,0.2175,0.0257,0.0
78,3.765,-0.4469,-0.6529,0.2082,0.0229,0.0
79,4.002,-0.4438,-0.6696,0.2105,0.0229,0.0
80,4.24,-0.4573,-0.6545,0.212,0.0243,0.0
81,4.478,-0.4438,-0.6615,0.2078,0.0258,0.0
82,4.716,-0.4504,-0.6642,0.2105,0.0217,0.0
83,4.954,-0.4521,-0.5224,0.2144,0.0237,0.0
84,5.192,-0.4329,-0.6569,0.2074,0.0233,0.0
85,5.431,-0.4242,-0.5868,0.2074,0.0231,0.0
86,5.671,-0.4458,-0.681,0.2101,0.0239,0.0
87,5.91,-0.4643,-0.6644,0.2093,0.0223,0.0
88,6.15,-0.4364,-0.6446,0.2109,0.0239,0.0
89,6.39,-0.4478,-0.5686,0.2109,0.0249,0.0
90,6.63,-0.4643,-0.6694,0.209,0.0226,0.0
91,6.871,-0.4556,-0.6678,0.2085,0.0235,0.0
92,7.111,-0.4486,-0.6314,0.2132,0.0237,0.0
93,7.352,-0.4469,-0.6611,0.2077,0.0247,0.0
94,7.593,-0.4478,-0.6305,0.2097,0.0238,0.0
95,7.834,-0.4416,-0.666,0.205,0.0215,0.0
96,8.075,-0.4713,-0.6595,0.2117,0.0214,0.0
97,8.317,-0.4734,-0.6305,0.207,0.0253,0.0
98,8.559,-0.4504,-0.6733,0.2066,0.0219,0.0
99,8.802,-0.4486,-0.6182,0.2064,0.0267,0.0
100,9.044,-0.4438,-0.6566,0.2062,0.0231,0.0
101,9.287,-0.4399,-0.6533,0.2132,0.0247,0.0
102,9.53,-0.4451,-0.6529,0.2081,0.0241,0.0
103,9.774,-0.4608,-0.6631,0.2093,0.0238,0.0
104,10.017,-0.4911,-0.6843,0.2078,0.0241,0.0
105,10.262,-0.4653,-0.6729,0.2101,0.0237,0.0
106,10.508,-0.4467,-0.6663,0.2085,0.0239,0.0
107,10.755,-0.4382,-0.6484,0.2128,0.0235,0.0
108,11.0,-0.4361,-0.6647,0.2093,0.026,0.0
109,11.245,-0.4653,-0.6751,0.2148,0.0238,0.0
110,11.491,-0.4365,-0.6598,0.2126,0.0233,0.0
111,11.738,-0.4535,-0.6729,0.2085,0.0224,0.0
112,11.984,-0.4399,-0.5295,0.2117,0.0242,0.0
113,12.23,-0.4382,-0.6569,0.2113,0.0215,0.0
114,12.477,-0.4365,-0.6647,0.21,0.025,0.0
115,12.724,-0.4552,-0.5295,0.2124,0.0235,0.0
116,12.972,-0.4501,-0.643,0.2093,0.0221,0.0
117,13.219,-0.4494,-0.6549,0.2089,0.0226,0.0
118,13.467,-0.4484,-0.6514,0.2089,0.0216,0.0
119,13.715,-0.4602,-0.6729,0.2109,0.0245,0.0
120,13.963,-0.4772,-0.6957,0.2062,0.024,0.0
121,14.212,-0.445,-0.4497,0.2105,0.0233,0.0
122,14.461,-0.4532,-0.6712,0.2074,0.0249,0.0
123,14.71,-0.4609,-0.6598,0.2109,0.0246,0.0
124,14.959,-0.4331,-0.666,0.2082,0.0225,0.0
125,15.209,-0.4416,-0.6628,0.2107,0.0257,0.0
126,15.459,-0.4399,-0.6484,0.207,0.0236,0.0
127,15.709,-0.4416,-0.6468,0.2109,0.0228,0.0
128,15.96,-0.4433,-0.6452,0.2089,0.0264,0.0
129,16.21,-0.4456,-0.6386,0.2074,0.0212,0.0
130,16.461,-0.438,-0.6484,0.2136,0.023,0.0
131,16.712,-0.4755,-0.6624,0.2101,0.026,0.0
132,16.963,-0.4382,-0.5092,0.2128,0.0232,0.0
133,17.214,-0.5061,-0.7299,0.2191,0.0245,0.0
134,17.466,-0.4467,-0.7168,0.2065,0.0242,0.0
