,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A)
0,0.0,38.3344,32.4699,12.6211,1.3765
1,0.0,38.0787,32.3307,12.5438,1.3437
2,0.233,38.3338,32.3341,12.466,1.3686
3,0.466,38.2717,32.2475,12.3833,1.3494
4,0.699,38.1342,32.3511,12.518,1.3605
5,0.932,38.321,32.5208,12.418,1.3351
6,1.165,38.1996,32.4851,12.5121,1.3602
7,1.398,38.2416,32.2897,12.5212,1.3545
8,1.631,38.3304,32.4257,12.4326,1.3707
9,1.864,38.1076,32.1941,12.4516,1.3594
10,2.097,38.1634,32.4122,12.4498,1.3558
11,2.33,38.296,32.3765,12.4666,1.3468
12,2.563,38.3333,32.5785,12.5527,1.372
13,2.796,38.2357,32.3709,12.5681,1.3525
14,3.03,38.1875,32.312,12.4933,1.357
15,3.263,38.1058,32.3697,12.4812,1.3398
16,3.496,38.1759,32.3595,12.4565,1.3353
17,3.729,38.0757,32.3494,12.5059,1.3684
18,3.962,38.2209,32.4189,12.5212,1.3623
19,4.195,38.2654,32.4597,12.4774,1.356
20,4.428,38.1625,32.1831,12.4243,1.3533
21,4.661,38.2581,32.5174,12.5127,1.344
22,4.894,38.413,32.4968,12.507,1.3713
23,5.127,38.2598,32.57,12.344,1.3366
24,5.36,38.4061,32.572,12.4815,1.3764
25,5.593,38.3218,32.4003,12.418,1.3352
26,5.826,37.9741,32.322,12.4775,1.3509
27,6.06,38.2185,32.4308,12.433,1.3579
28,6.293,38.2416,32.3731,12.526,1.3615
29,6.526,38.2102,32.3714,12.452,1.3573
30,6.759,38.2615,32.5836,12.4489,1.3653
31,6.992,38.2096,32.331,12.6142,1.3437
32,7.225,38.1772,32.4003,12.4584,1.3613
33,7.458,38.2255,32.3799,12.6008,1.3544
34,7.691,38.2722,32.3137,12.4314,1.3593
35,7.924,38.133,32.2242,12.5588,1.3517
36,8.157,38.3553,32.4325,12.3726,1.3456
37,8.39,38.2874,32.557,12.4451,1.3626
38,8.623,38.0923,32.4825,12.5285,1.3589
39,8.856,38.1858,32.3502,12.5568,1.3355
40,9.09,38.391,32.402,12.522,1.3398
41,9.323,38.2993,32.4601,12.4569,1.3392
42,9.558,38.3321,32.3545,12.5216,1.3491
43,9.791,38.3958,32.5547,12.4521,1.3383
44,10.024,38.1927,33.978,12.3929,1.3476
45,0.0,38.4011,36.1508,12.5434,1.3399
46,0.233,38.2043,36.1542,12.4763,1.3358
47,0.466,38.1645,35.6938,12.4435,1.342
48,0.699,38.1755,36.2968,12.5161,1.3704
49,0.932,38.2771,36.0575,12.5107,1.3506
50,1.165,38.308,36.2187,12.4978,1.3652
51,1.398,38.2923,36.8161,12.5353,1.3481
52,1.631,38.2603,36.5681,12.5022,1.3585
53,1.864,38.2484,36.7772,12.4213,1.3768
54,2.097,38.2099,36.682,12.6312,1.347
55,2.33,38.4028,36.7879,12.6033,1.3407
56,2.563,38.2323,36.5615,12.4779,1.3413
57,2.796,38.2667,36.7516,12.4285,1.3535
58,3.03,38.3166,36.8381,12.4471,1.3331
59,3.263,38.2409,36.6956,12.5493,1.3532
60,3.496,38.1969,36.699,12.554,1.3402
61,3.729,38.223,37.1996,12.5252,1.3556
62,3.962,38.172,37.2149,12.4233,1.3487
63,4.195,38.1497,37.5996,12.5211,1.3455
64,4.428,38.3286,41.0237,12.5022,1.3263
65,4.661,38.1893,38.2447,12.539,1.3544
66,4.894,38.0361,36.6494,12.5224,1.3446
67,5.127,38.043,36.6667,12.5042,1.3587
68,5.36,38.3808,36.7497,12.5871,1.3546
69,5.593,38.1583,36.94,12.3836,1.3538
70,5.826,38.3468,36.8891,12.4755,1.3487
71,6.06,38.1806,37.9755,12.6389,1.3761
72,6.293,38.3774,38.5955,12.4476,1.3744
73,6.526,38.1984,37.8708,12.4338,1.3545
74,6.759,38.3183,38.5023,12.5493,1.3438
75,6.992,38.2792,36.3765,12.4744,1.3557
76,7.225,38.1893,36.2068,12.539,1.3413
77,7.458,38.1194,36.3375,12.5786,1.3659
78,7.691,38.3493,45.7445,12.4022,1.3485
79,7.924,38.3655,45.3664,12.4006,1.3449
80,8.157,38.2564,44.4813,12.5519,1.3547
81,8.39,38.3304,43.9642,12.5245,1.3573
82,8.623,38.1497,43.6342,12.5086,1.3639
83,8.856,38.1583,43.563,12.4678,1.3262
84,9.09,38.2654,42.8671,12.6045,1.3567
85,9.323,38.222,42.1762,12.3861,1.3308
86,9.558,38.2736,42.736,12.4789,1.358
87,9.791,38.2603,42.8202,12.4745,1.3549
88,10.024,38.2446,42.4883,12.5086,1.3389
89,10.257,38.2529,42.4905,12.4628,1.3527
90,10.49,38.2397,42.7215,12.5378,1.3532
91,10.723,38.0877,42.7079,12.481,1.339
92,10.956,38.2255,42.6713,12.4192,1.3509
93,11.189,38.1669,42.8846,12.607,1.3603
94,11.422,38.2822,42.9393,12.4099,1.3533
95,11.655,38.2168,42.7046,12.5831,1.3451
96,11.888,38.3149,42.9263,12.5455,1.3569
97,12.121,38.1497,42.919,12.454,1.36
98,12.354,38.2099,43.2037,12.4722,1.3503
99,12.588,38.222,43.0563,12.471,1.3406
100,12.821,38.4302,43.2153,12.5489,1.3475
101,13.054,38.1205,42.6501,12.5556,1.3642
102,13.287,38.2822,42.6228,12.5171,1.3647
103,13.52,38.1892,42.5015,12.4524,1.3407
104,13.753,38.3528,42.2538,12.5256,1.3519
105,13.986,38.447,42.3734,12.4678,1.3578
106,14.219,38.3441,41.7221,12.573,1.3527
107,14.452,38.1162,42.2462,12.5139,1.3443
108,14.685,38.1703,42.239,12.3962,1.338
109,14.918,38.37,42.4304,12.4322,1.3575
110,15.151,38.3235,42.1003,12.5507,1.3492
111,15.384,38.1342,41.7101,12.5103,1.3752
112,15.618,38.0722,42.2935,12.5916,1.3613
113,15.851,38.3837,42.4569,12.3796,1.3495
114,16.086,38.4113,42.5541,12.5515,1.3433
115,16.319,38.3235,42.4503,12.4866,1.3602
116,16.552,38.1453,42.2803,12.4269,1.3434
117,16.785,38.1187,42.5494,12.4749,1.3275
118,17.018,38.193,42.0557,12.6114,1.3675
119,17.251,38.2719,42.163,12.5152,1.3602
120,17.484,38.172,41.7998,12.5082,1.3487
121,17.717,38.1583,41.9649,12.5005,1.3434
122,17.95,38.1497,42.6128,12.4565,1.3441
123,18.183,38.2271,42.9325,12.5665,1.3584
124,18.416,38.3476,42.6639,12.6405,1.3789
125,18.649,38.37,42.8714,12.4605,1.3455
126,18.882,38.3338,42.8371,12.575,1.3482
127,19.116,38.3373,43.0679,12.503,1.35
128,19.349,38.2632,42.9209,12.5206,1.3547
129,19.582,38.4584,43.058,12.5204,1.3354
130,19.815,38.2314,43.2421,12.5247,1.3511
131,20.048,38.279,42.2646,12.5972,1.3564
132,20.281,38.2805,41.4596,12.5717,1.3598
133,20.514,38.3725,40.646,12.4795,1.3357
134,20.747,38.1738,42.6799,12.615,1.3443
135,20.98,38.2047,42.8004,12.5596,1.3538
136,21.213,38.2331,42.8337,12.5976,1.3568
137,21.446,38.3132,43.3984,12.5451,1.3569
138,21.679,38.2564,43.6438,12.5196,1.3495
139,21.912,38.2443,43.5003,12.4079,1.3232
140,22.146,38.0757,43.2806,12.4937,1.3449
141,22.379,38.2246,43.3057,12.5633,1.36
142,22.614,38.2891,43.2906,12.573,1.3472
143,22.847,38.2237,43.2148,12.5632,1.3472
144,23.08,38.447,43.2974,12.4565,1.3458
145,23.313,38.3768,38.0284,12.5171,1.3642
146,23.546,38.2331,38.3867,12.4253,1.3452
147,23.779,38.1273,41.022,12.5079,1.3429
148,24.012,38.4011,41.036,12.52,1.3516
149,24.245,38.2116,40.497,12.499,1.3613
150,24.478,38.2436,40.9022,12.4921,1.345
151,24.711,38.1686,41.2185,12.5195,1.3686
152,24.944,38.172,40.7672,12.5503,1.3695
153,25.177,38.2168,40.6753,12.4658,1.3501
154,25.41,38.4904,40.8824,12.5074,1.3517
155,25.644,38.3545,40.7615,12.613,1.3718
156,25.877,38.2701,40.6555,12.4906,1.3281
157,26.11,38.0059,37.1962,12.4496,1.3561
158,26.343,38.3097,40.5746,12.5133,1.3507
159,26.576,38.0995,40.3279,12.5244,1.3563
160,26.809,38.2667,40.8503,12.4552,1.3427
161,27.042,38.2574,35.6044,12.4654,1.3484
162,27.275,38.2374,35.6078,12.5409,1.3733
163,27.508,38.2116,35.7677,12.4128,1.3543
164,27.741,38.2271,35.7283,12.5693,1.356
165,27.974,38.1979,35.7602,12.5374,1.345
166,28.207,38.1669,35.8642,12.4625,1.3681
167,28.44,38.1824,35.8982,12.6523,1.358
168,28.674,38.1531,36.0439,12.4544,1.3627
169,28.907,38.3304,35.8623,12.5414,1.3517
170,29.142,38.172,36.2985,12.4937,1.3404
171,29.375,38.351,36.6583,12.5103,1.3487
172,29.608,38.1816,37.0588,12.5078,1.3701
173,29.841,38.3028,37.2263,12.5325,1.3552
174,30.074,38.3267,36.9417,12.5851,1.3681
175,30.307,38.2805,37.0469,12.47,1.3481
176,30.54,38.3657,36.8727,12.5491,1.3477
177,30.773,38.4853,36.8602,12.5147,1.3376
178,31.006,38.1583,36.7546,12.5479,1.3425
179,31.239,38.2426,36.3667,12.5475,1.3592
180,31.472,38.2065,36.7649,12.5839,1.3491
181,31.705,38.1686,36.6345,12.4565,1.3491
182,31.938,38.2306,36.6701,12.3921,1.3518
183,32.172,38.3872,36.8806,12.579,1.3498
184,32.405,38.3269,36.9179,12.531,1.3392
185,32.638,38.3152,36.6226,12.45,1.3521
186,32.871,38.2856,36.6192,12.5386,1.3529
187,33.104,38.195,36.5242,12.4815,1.3688
188,33.337,38.191,36.6498,12.5852,1.3491
189,33.57,38.3362,36.7007,12.5909,1.3644
190,33.803,38.3252,36.8008,12.4552,1.3581
191,34.036,38.1398,36.7208,12.4293,1.353
192,34.269,38.3183,36.587,12.5548,1.344
193,34.502,38.1824,36.3881,12.563,1.3576
194,34.735,38.1239,31.8742,12.4734,1.3699
195,34.968,38.1566,32.0156,12.5653,1.3574
196,35.202,38.2581,32.0235,12.3913,1.3394
197,35.435,38.2529,32.0235,12.5515,1.3618
198,0.0,38.3061,32.7787,12.4459,1.3418
199,0.233,38.2196,32.8129,12.5282,1.3684
200,0.466,38.2121,32.8483,12.4747,1.358
201,0.699,38.1839,32.6649,12.4897,1.3408
202,0.932,38.2454,32.9248,12.5463,1.3543
203,1.165,38.4096,32.7872,12.4337,1.3577
204,1.398,38.2198,32.7227,12.3703,1.3571
205,1.631,38.1076,32.7905,12.5483,1.3509
206,1.864,38.2684,32.807,12.4722,1.3593
207,2.097,38.2705,32.7544,12.4799,1.3529
208,2.33,38.2925,32.8126,12.484,1.3553
209,2.563,38.2162,32.7618,12.4124,1.348
210,2.796,38.3367,32.8377,12.3865,1.3549
211,3.03,38.2484,32.8284,12.4488,1.3606
212,3.263,38.3791,32.7787,12.4987,1.3582
213,3.496,38.3243,32.8245,12.5491,1.3529
214,3.729,38.3269,32.7787,12.4745,1.3586
215,3.962,38.3305,32.8789,12.384,1.3533
216,4.195,38.2667,32.7889,12.4785,1.3707
217,4.428,38.3362,32.5836,12.5159,1.3588
218,4.661,38.3596,32.7261,12.3683,1.3501
219,4.894,38.1738,32.6885,12.5119,1.365
220,5.127,38.3665,32.8687,12.4621,1.3556
221,5.36,38.4027,33.0025,12.4787,1.3526
222,5.593,38.1428,32.811,12.4415,1.3503
223,5.826,38.2288,32.7186,12.3666,1.3485
224,6.06,38.2518,32.8542,12.5135,1.3324
225,6.293,38.4388,32.9501,12.4243,1.3474
226,6.526,38.3299,32.7787,12.4715,1.3642
227,6.759,38.0906,32.8422,12.4785,1.3532
228,6.992,38.2999,32.9506,12.5495,1.3514
229,7.225,38.4061,32.8636,12.5094,1.348
230,7.458,38.2773,32.7533,12.5392,1.3615
231,7.691,38.1583,32.7482,12.5362,1.3558
232,7.924,38.2736,32.8765,12.4888,1.349
233,8.157,38.2552,32.833,12.4362,1.3581
234,8.39,38.2392,32.7901,12.4346,1.35
235,8.623,38.3027,32.7804,12.5382,1.3613
236,8.856,38.1531,32.6322,12.5337,1.3405
237,9.09,38.203,32.7482,12.5228,1.3504
238,9.323,38.3112,32.8042,12.442,1.3538
239,9.558,38.3717,33.1097,12.5151,1.3476
240,9.791,38.296,32.7584,12.5578,1.346
241,10.024,38.2303,32.553,12.6853,1.3683
242,10.257,38.3451,32.5961,13.0123,1.353
