,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),,
0,550.447,-0.4466,-0.643,0.2093,0.0203,16.5,0
1,0,-0.4382,-0.6393,0.2082,0.0208,16.7,0
2,550.447,-0.4466,-0.643,0.2093,0.0203,16.9,0
3,0,-0.475,-0.6826,0.2058,0.0208,17.1,0
4,0.233,-0.4746,-0.6582,0.2096,0.0201,17.195,0
5,0.466,-0.451,-0.6512,0.2058,0.0203,17.3,0.385462555
6,0.699,-0.458,-0.6512,0.2107,0.0216,17.5,1.119676946
7,0.932,-0.4528,-0.6598,0.2074,0.0216,17.7,1.853891336
8,1.165,-0.468,-0.5393,0.2126,0.0207,17.9,2.588105727
9,1.398,-0.4714,-0.6044,0.2105,0.0204,18.1,3.322320117
10,1.631,-0.3662,-0.6484,0.207,0.0197,18.3,4.056534508
11,1.864,-0.4762,-0.646,0.2074,0.0241,18.5,4.790748899
12,2.097,-0.4098,-0.6566,0.2089,0.0195,18.7,5.524963289
13,2.33,-0.463,-0.6624,0.2128,0.0204,18.9,6.25917768
14,2.563,-0.4547,-0.5604,0.207,0.0219,19.1,6.99339207
15,2.796,-0.46,-0.6627,0.2082,0.0197,19.3,7.727606461
16,3.03,-0.4481,-0.7217,0.2078,0.0221,19.5,8.461820852
17,3.263,-0.4762,-0.6468,0.2091,0.0216,19.7,9.196035242
18,3.496,-0.4251,-0.6566,0.2089,0.0202,19.9,9.930249633
19,3.729,-0.4531,-0.6582,0.2035,0.0199,20.1,10.66446402
20,3.962,-0.4658,-0.6517,0.2082,0.0216,20.3,11.39867841
21,4.195,-0.4633,-0.6452,0.2077,0.0206,20.5,12.1328928
22,4.428,-0.4547,-0.643,0.2089,0.0215,20.7,12.8671072
23,4.661,-0.501,-0.5735,0.2062,0.022,20.9,13.60132159
24,4.894,-0.4531,-0.5092,0.2093,0.0208,21.1,14.33553598
25,5.127,-0.4597,-0.6314,0.2066,0.0211,21.281,15
26,5.36,-0.4516,-0.6429,0.2062,0.0199,21.3,15
27,5.593,-0.4031,-0.6696,0.2089,0.0211,21.5,15
28,5.826,-0.5303,-0.6591,0.2062,0.0185,21.7,15
29,6.06,-0.4616,-0.4611,0.2097,0.0208,21.9,15
30,6.293,-0.4481,-0.6566,0.2109,0.0188,22.1,15
31,6.526,-0.3899,-0.5881,0.2082,0.0202,22.3,15
32,6.759,-0.4498,-0.5158,0.2064,0.0201,22.5,15
33,6.992,-0.451,-0.6631,0.2082,0.0208,22.7,15
34,7.225,-0.463,-0.6712,0.2078,0.0209,22.9,15
35,7.458,-0.4695,-0.6712,0.207,0.0202,,
36,7.691,-0.4483,-0.6615,0.2097,0.0193,,
37,7.924,-0.4663,-0.6077,0.2089,0.0275,,
38,8.157,-0.393,-0.6175,0.2287,0.0471,,
39,8.39,-0.2814,-0.4472,0.2287,0.0654,,
40,8.623,-0.003,-0.4529,0.2202,0.0503,,
41,8.856,0.176,0.0776,0.2287,0.0543,,
42,9.09,0.2322,0.1515,0.2579,0.0616,,
43,9.323,0.361,0.145,0.2284,0.0581,,
44,9.558,0.6079,0.1515,0.2377,0.064,,
45,9.791,0.4485,-0.0196,0.2104,0.0656,,
