,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),Speed (RPM)
0,0.0,37.6645,32.0863,12.7653,1.2569,3300.0
1,0.844,37.5055,32.1426,12.7228,1.2567,3300.0
2,1.266,37.8163,31.9845,12.9114,1.2569,3300.0
3,1.688,37.9672,32.0761,12.6757,1.2602,3300.0
4,2.11,37.8019,31.8589,12.9678,1.2493,3450.0
5,2.532,37.8809,32.3748,13.0431,1.243,3300.0
6,2.954,37.96,32.1576,12.785,1.2566,3300.0
7,3.377,37.3945,31.8012,12.7676,1.2538,3300.0
8,3.8,37.9349,32.0558,12.772,1.2518,3300.0
9,4.222,37.8196,31.7707,13.0164,1.2609,3300.0
10,4.645,38.0139,32.2832,12.9792,1.2298,3300.0
11,5.068,37.9097,32.0204,12.7041,1.247,3300.0
12,5.49,37.9025,32.2323,12.758,1.2412,3300.0
13,5.912,37.6611,32.4489,12.819,1.2543,3300.0
14,6.334,37.9924,32.0829,12.8392,1.2393,3450.0
15,6.756,37.7731,31.9268,13.0908,1.2526,3300.0
16,7.178,37.7875,32.2391,12.8586,1.2541,3300.0
17,7.601,37.9349,32.0558,12.946,1.2482,3300.0
18,8.024,38.0211,32.5513,12.8991,1.2609,3300.0
19,8.446,37.9089,32.3334,12.7931,1.2543,3300.0
20,8.869,37.712,32.0965,12.7955,1.2511,3300.0
21,9.292,37.6438,31.9025,12.6741,1.2497,3300.0
22,9.714,37.7875,32.0218,12.9143,1.2396,3300.0
23,10.136,38.0067,31.9879,12.6774,1.2531,3300.0
24,10.559,38.0427,32.3443,12.7769,1.2694,3300.0
25,10.982,37.9528,32.1406,12.9776,1.2587,3300.0
26,11.405,37.7156,32.2051,12.7728,1.2401,3300.0
27,11.828,37.7166,32.1121,13.0099,1.2579,3300.0
28,12.252,37.8953,31.9098,12.8926,1.241,3300.0
29,12.676,37.9636,32.1746,12.9533,1.2643,3300.0
30,13.1,37.8091,32.2085,12.5163,1.2362,3300.0
31,13.523,37.8619,31.9947,12.9298,1.2514,3300.0
32,13.947,37.8713,32.015,12.8991,1.251,3300.0
33,14.37,37.8306,32.0878,12.9096,1.2419,3300.0
34,14.793,37.9456,32.032,12.6948,1.2479,3300.0
35,15.216,38.0211,32.2934,12.7453,1.258,3450.0
36,15.64,37.7983,32.2221,12.967,1.2556,3300.0
37,16.063,37.7516,32.4699,12.8473,1.2512,3300.0
38,16.486,38.323,32.2696,12.8934,1.246,3300.0
39,16.909,37.6797,32.0218,12.6126,1.2438,3300.0
40,17.332,37.9384,31.92,12.9355,1.2593,3300.0
41,17.756,37.824,31.9899,13.0067,1.2465,3300.0
42,18.18,37.9241,32.1746,12.9201,1.2403,3300.0
43,18.604,38.0642,32.256,12.8756,1.2556,3450.0
44,19.027,37.6504,32.1915,12.8125,1.2411,3450.0
45,19.451,37.9841,32.2594,12.7495,1.2505,3300.0
46,19.874,37.748,31.7423,12.8659,1.2727,3300.0
47,20.297,37.9097,31.9777,12.4919,1.2512,3300.0
48,20.72,37.7048,32.0015,12.6539,1.2629,3300.0
49,21.144,37.7552,31.9845,12.696,1.2567,3300.0
50,21.567,37.8989,32.2289,12.6757,1.2563,3300.0
51,21.99,38.0031,32.066,12.878,1.2553,3300.0
52,22.413,37.73,31.9641,12.8473,1.2572,3300.0
53,22.836,37.6352,31.904,12.7308,1.2516,3450.0
54,23.26,37.6537,31.7224,12.6984,1.2484,3450.0
55,23.684,37.924,32.0163,12.7842,1.2628,3450.0
