,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),Speed (RPM),Flow Rate (GPM)
0,0.0,9.1613,7.5586,0.8157,0.6697,0.0,0.0
1,1.456,9.1094,7.5487,0.9094,0.647,0.0,0.0
2,2.187,9.2723,7.6544,0.8802,0.6585,0.0,0.0
3,2.918,9.2909,7.6246,0.792,0.6478,0.0,41.6742
4,3.65,9.3242,7.5364,0.759,0.6478,0.0,33.3165
5,4.383,9.3057,7.6857,0.6467,0.6573,0.0,55.4895
6,5.117,9.3108,7.585,0.5748,0.6454,0.0,0.0
7,5.852,9.2686,7.6511,0.6511,0.6855,0.0,0.0
8,6.586,9.2649,7.6378,0.6637,0.6904,0.0,18.4642
9,7.322,9.2797,7.5534,0.6795,0.6697,0.0,16.6082
10,8.059,9.2571,7.585,0.8141,0.6763,0.0,15.0894
11,8.798,9.2909,7.5635,0.8849,0.6402,0.0,27.6438
12,9.536,9.1724,7.6544,0.8708,0.6519,0.0,25.5044
13,10.275,9.0502,7.5825,0.7645,0.6698,0.0,11.8351
14,11.017,9.2704,7.6973,0.5535,0.6524,0.0,11.038
15,11.759,9.1253,7.7072,0.7818,0.6715,0.0,10.3415
16,12.502,9.0756,7.5982,0.8298,0.644,0.0,19.4537
17,13.245,9.2856,7.5388,0.7417,0.6897,0.0,9.1812
18,13.988,9.2205,7.5488,0.8928,0.6635,0.0,8.6935
19,14.732,9.1131,7.7105,0.5399,0.6474,0.0,16.509
20,15.477,9.2093,7.7336,0.759,0.6625,0.0,15.7143
21,16.225,9.1635,7.5355,0.5362,0.6733,0.0,14.9899
22,16.972,9.2551,7.5798,0.8464,0.6757,0.0,14.3301
23,17.72,9.278,7.6808,0.5496,0.6535,0.0,13.7252
24,18.468,9.068,7.5432,0.8361,0.6673,0.0,13.1693
25,19.217,9.2284,7.5751,0.8149,0.6402,0.0,12.656
26,19.968,9.0795,7.7898,0.755,0.6554,0.0,12.18
27,20.718,9.0909,7.6808,0.8897,0.6712,0.0,11.7391
28,21.47,9.2589,7.8294,0.7999,0.6772,0.0,11.3279
29,22.222,9.1749,7.588,0.5826,0.6556,0.0,16.4169
30,22.975,9.0871,7.552,0.8298,0.6678,0.0,10.5859
31,23.729,9.2398,7.5454,0.8598,0.6515,0.0,15.3742
32,24.483,9.3353,7.6369,0.8039,0.6791,0.0,9.9338
33,25.237,9.2575,7.6048,0.6936,0.6592,0.0,9.6371
34,25.993,9.194,7.6114,0.5433,0.6333,0.0,9.3568
35,26.748,9.1544,7.7898,0.7149,0.6434,0.0,18.1853
36,27.505,9.0833,7.5883,0.835,0.6384,0.0,8.8424
37,28.262,9.1057,7.7197,0.8165,0.6711,0.0,17.2111
38,29.022,9.0718,7.5619,0.9582,0.6407,0.0,8.3802
39,29.782,9.1909,7.6993,0.7621,0.6658,0.0,12.2495
40,30.542,9.1864,7.5513,0.748,0.6599,0.0,15.9263
41,31.303,9.1406,7.6411,0.57,0.6443,0.0,15.5391
42,32.065,9.2589,7.6544,0.5787,0.6673,0.0,15.1698
43,32.828,9.2933,7.6312,0.7338,0.6411,0.0,14.8173
44,33.592,9.1329,7.5652,0.7913,0.6632,0.0,14.4803
45,34.357,9.1253,7.552,0.8062,0.6528,0.0,14.1578
46,35.123,9.278,7.6114,0.5133,0.6324,0.0,13.8491
47,35.89,10.4846,8.7409,0.4905,0.6188,0.0,16.9414
48,36.658,14.1923,11.8418,0.7283,0.5909,0.0,19.9037
49,37.428,15.0973,12.6443,0.7047,0.6587,0.0,19.4943
50,38.2,15.1317,12.7632,0.7212,0.6106,0.0,19.1003
51,38.972,15.1469,12.6872,0.8566,0.6139,0.0,18.7219
52,39.743,15.1775,12.8887,0.7795,0.6046,0.0,18.3587
53,40.515,15.2844,12.8359,0.5787,0.603,0.0,18.0089
54,41.288,15.3493,12.8061,0.7205,0.623,0.0,17.6717
55,42.062,15.3073,12.8258,0.7361,0.5991,0.0,17.3466
56,42.838,15.2577,12.8458,0.5559,0.6095,0.0,19.8711
57,43.614,15.3035,12.8689,0.8755,0.6051,0.0,16.7293
58,44.391,15.3569,12.7929,0.7102,0.6087,0.0,16.4365
59,45.168,15.2997,12.9151,0.8046,0.5977,0.0,16.1537
60,45.947,15.4839,12.8887,0.781,0.6169,0.0,21.1731
61,46.726,15.3951,13.0868,0.6732,0.6197,0.0,18.2176
62,47.505,15.483,13.0472,0.5787,0.6158,0.0,17.9189
63,48.285,15.3226,12.7368,0.8338,0.6228,0.0,20.1479
64,49.067,15.3111,12.7896,0.7212,0.6174,0.0,19.8268
65,49.85,15.3035,12.9085,0.7684,0.6307,0.0,19.5154
66,50.632,15.3302,12.8821,0.6991,0.6203,0.0,16.8122
67,51.416,15.3455,12.9283,0.7361,0.611,0.0,18.921
68,52.2,15.3455,12.8887,0.5511,0.6342,0.0,18.6368
69,52.985,15.5708,12.8992,0.8125,0.6037,0.0,18.3607
70,53.771,15.3646,12.9283,0.6732,0.6076,0.0,18.0923
71,54.557,15.4219,12.8326,0.7344,0.6078,0.0,17.8317
72,55.345,15.3646,12.8722,0.8881,0.6036,0.0,17.5778
73,56.133,15.544,13.0901,0.8086,0.5592,0.0,21.6638
74,56.923,19.5763,16.528,0.7527,0.5539,0.0,21.3631
75,57.712,22.0354,18.6217,0.77,0.5622,0.0,21.071
76,58.504,23.9637,20.3224,0.7165,0.5997,0.0,22.8644
77,59.295,24.1699,20.5632,0.7137,0.6224,0.0,24.6102
78,60.088,24.2768,20.405,0.5952,0.574,0.0,24.2854
79,60.881,24.4086,20.6243,0.5818,0.5859,0.0,19.9742
80,61.674,24.5097,20.7193,0.7573,0.5766,0.0,23.6609
81,62.469,24.4983,20.6626,0.7487,0.5728,0.0,23.3598
82,63.264,24.5212,20.6956,0.7133,0.61,0.0,19.2219
83,64.061,24.4104,20.6362,0.6684,0.585,0.0,24.6775
84,64.859,24.651,20.9862,0.5732,0.5894,0.0,22.499
85,65.656,24.3913,20.8863,0.5393,0.6002,0.0,24.078
86,66.454,24.5555,20.7286,0.7787,0.6131,0.0,21.959
87,67.254,24.525,20.9334,0.8424,0.5915,0.0,21.6978
88,68.055,24.5441,20.777,0.6653,0.5829,0.0,23.2293
89,68.856,24.6434,21.0288,0.5724,0.5987,0.0,22.959
90,69.657,24.6395,20.7683,0.7771,0.6018,0.0,22.695
91,70.46,24.6548,21.0886,0.6858,0.6108,0.0,20.7105
92,71.264,24.6357,20.9367,0.849,0.5642,0.0,23.8897
93,72.069,24.6625,20.9664,0.6928,0.5953,0.0,23.6228
94,72.875,24.609,20.7683,0.603,0.5739,0.0,21.6929
95,73.68,24.5899,20.8376,0.8086,0.5917,0.0,21.4559
96,74.487,24.5174,21.0044,0.7393,0.5918,0.0,22.856
97,75.294,24.5746,20.7286,0.5546,0.5851,0.0,22.611
98,76.102,24.5899,20.6791,0.5606,0.5968,0.0,22.3709
99,76.912,24.6434,20.7683,0.5755,0.5754,0.0,22.1353
100,77.722,24.6128,20.7193,0.7417,0.6071,0.0,21.9046
101,78.532,24.7159,20.9763,0.6798,0.5822,0.0,21.6787
102,79.343,24.6166,20.8856,0.6661,0.5946,0.0,21.4571
103,80.155,24.567,20.9365,0.5677,0.5973,0.0,21.2398
104,80.969,24.5861,20.7385,0.6128,0.5918,0.0,21.0262
105,81.782,24.4715,20.9012,0.7458,0.5913,0.0,20.8172
106,82.596,24.6548,21.1266,0.7373,0.5739,0.0,22.0843
107,83.411,24.565,20.6141,0.7818,0.6001,0.0,23.3265
108,84.229,24.6128,20.8754,0.6829,0.5835,0.0,23.0999
109,85.047,26.2433,22.0661,0.7349,0.5491,0.0,25.7375
110,85.865,30.1648,25.444,0.5763,0.5682,0.0,25.4923
