,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV (deg),DP (psi)
0,13.569,39.87112727,33.27156364,59.77664091,13.87998636,1.090231818,3407.448182,27.87479545,0,6.599563636
1,61.745,39.74707727,33.33517727,68.48475,12.64011364,1.253404545,3201.617295,27.60794545,0,6.4119
2,76.947,39.63006818,33.44565909,77.37135,11.43262727,1.433881818,2993.881755,27.56878636,0,6.184409091
3,89.909,39.48271364,33.43157273,86.23893636,10.20768182,1.618859091,2788.736805,27.72577727,0,6.051140909
4,105.525,39.35432273,33.46407727,95.20086818,8.885009091,1.787359091,2558.380132,27.77105,0,5.890245455
5,117.193,39.26324762,33.50310476,104.1094524,7.479385714,2.003147619,2310.335695,27.80221905,0,5.760142857
6,129.838,39.27312273,33.63835909,112.8701909,6.000659091,2.190763636,2046.5606,27.79656818,0,5.634763636
7,143.315,39.25250476,33.6896381,121.4560524,4.449580952,2.366166667,1768.401662,27.70248095,0,5.562866667
8,157.05,39.27598571,33.79347143,129.9925524,2.924633333,2.546257143,1491.703048,27.73392857,0,5.482514286
9,171.592,39.37470455,33.95292727,138.2607682,1.480877273,2.742427273,1227.112436,27.71504545,0,5.421777273
10,197.312,39.24755238,33.82370476,144.7312381,0.40812381,2.907485714,1010.888643,27.67283333,0,5.423847619
11,218.354,39.2508381,33.83169524,142.2712095,0.8466,2.840119048,1096.953986,27.75974762,0,5.419142857
12,305.173,39.52029545,33.54921818,143.1481,2.792459091,2.842627273,1529.6869,27.68406364,3.0091,5.971077273
13,318.406,39.53194762,33.58220952,147.2234667,2.095814286,2.94762381,1402.9901,27.58863333,3.0091,5.949738095
14,330.639,39.42208182,33.44287273,138.8979318,3.531268182,2.742663636,1665.110841,27.69229091,3.0091,5.979209091
15,344.103,39.47371364,33.4089,130.3675773,5.020509091,2.574159091,1929.057655,27.69218182,3.0091,6.064813636
16,357.06,39.54165455,33.35239545,121.5131864,6.51825,2.370881818,2196.120727,27.733,3.0091,6.189259091
17,368.822,39.59439545,33.31547727,112.8321545,7.937577273,2.175868182,2447.943382,27.61798636,3.0091,6.278918182
18,380.538,39.70422727,33.28481818,104.0143227,9.383704545,1.994895455,2703.148227,27.63585,3.0091,6.419409091
19,393.237,39.81647619,33.26075714,95.01119048,10.73339048,1.794709524,2940.434224,27.63255238,3.0091,6.555719048
20,411.735,39.96655714,33.21674286,86.22714286,12.05041429,1.613695238,3168.105152,27.51393333,3.0091,6.749814286
21,440.211,40.05988182,33.13940909,77.34427273,13.30795909,1.426068182,3383.453873,27.95538636,3.0091,6.920472727
22,451.959,40.1194381,33.01391905,68.37244762,14.50649048,1.246766667,3587.777348,27.64281429,3.0091,7.105519048
23,463.222,40.26986364,32.9548,59.77665,15.66349091,1.047690909,3780.418927,27.62673182,3.0091,7.315063636
24,551.512,40.43146667,32.79241429,104.096419,11.71952857,2.018166667,3203.575524,27.86304762,5.0705,7.639052381
