,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV (deg),DP (psi)
0,0.201,39.0617,33.4339,111.6083,6.1367,2.1892,0.0,27.0102,0.0,5.627800000000001
1,0.444,39.095,33.4289,111.8658,6.1213,2.2052,2076.4694,28.0597,0.0,5.6661
2,0.691,39.2132,33.5339,111.8175,6.1579,2.1878,2103.2854,27.856,0.0,5.679299999999998
3,0.939,39.1203,33.4844,111.7692,6.0905,2.1345,2101.8706,27.784,0.0,5.6358999999999995
4,1.185,39.1667,33.4753,112.2681,6.1042,2.2173,2099.664,28.1957,0.0,5.691400000000002
5,1.437,39.2536,33.5369,111.9785,6.1745,2.2115,2105.145,27.8764,0.0,5.716699999999996
6,1.684,39.1465,33.4379,111.0129,6.2268,2.2115,2105.145,27.8279,0.0,5.708600000000004
7,1.931,39.2081,33.4652,111.4796,6.1404,2.1539,2108.1413,28.2783,0.0,5.742899999999999
8,2.178,39.2253,33.4672,111.0772,6.1986,2.1466,2104.082,28.1944,0.0,5.758099999999999
9,2.425,39.2607,33.5975,111.6727,6.1177,2.212,2107.748,27.681,0.0,5.663200000000003
10,2.679,39.2132,33.5369,111.3347,6.1495,2.2154,2098.4304,28.1097,0.0,5.676299999999998
11,2.926,39.2607,33.6086,111.4313,6.0876,2.1868,2089.8059,27.6237,0.0,5.652099999999997
12,3.173,39.2808,33.545,112.4934,6.1115,2.182,2094.621,27.7492,0.0,5.735799999999998
13,3.42,39.199,33.4672,110.5944,6.1584,2.2808,2094.621,27.7974,0.0,5.7318
14,3.666,39.2758,33.5612,111.8497,6.0965,2.2377,2097.5668,27.9122,0.0,5.714599999999997
15,3.919,39.3323,33.6086,111.6244,6.2001,2.1316,2099.8698,27.8905,0.0,5.723699999999994
16,4.165,39.2293,33.5339,111.0289,6.17,2.2289,2107.0671,27.6225,0.0,5.695399999999999
17,4.412,39.3808,33.6621,111.2542,6.1312,2.1907,2104.082,27.6225,0.0,5.718699999999998
18,4.659,39.2243,33.5713,111.3508,6.1495,2.226,2097.4621,27.9154,0.0,5.652999999999999
19,4.905,39.299,33.5733,111.4313,6.1447,2.2735,2101.2524,27.9347,0.0,5.725699999999996
20,5.153,39.194,33.5006,111.8336,6.1709,2.1514,2101.2524,27.8943,0.0,5.693400000000004
21,5.4,39.2465,33.6036,111.4152,6.1673,2.2323,2107.9797,27.0926,0.0,5.642899999999997
22,5.647,39.3384,33.6137,111.6405,6.1591,2.2585,2100.5754,28.0384,0.0,5.724699999999999
23,5.894,39.1597,33.5147,110.9485,6.1731,2.1495,2105.7951,27.7904,0.0,5.645000000000003
24,6.141,39.1607,33.5137,110.7714,6.1329,2.1258,2102.2241,27.8502,0.0,5.6469999999999985
25,6.389,39.2596,33.544,111.0933,6.1887,2.2289,2109.4672,27.7049,0.0,5.715600000000002
26,6.642,39.196,33.5541,111.3347,6.1753,2.2096,2106.5639,28.1467,0.0,5.6419
27,6.888,39.3,33.5531,111.5278,6.1825,2.182,2106.5639,27.8336,0.0,5.746899999999997
28,7.135,39.3111,33.5652,111.4313,6.2222,2.1732,2109.1396,28.0403,0.0,5.745900000000006
29,7.382,39.1506,33.4763,111.5278,6.1413,2.1999,2110.5654,28.1702,0.0,5.674299999999995
30,7.629,39.1364,33.4349,111.8336,6.1892,2.1902,2103.8459,27.8924,0.0,5.701500000000003
31,7.876,39.2152,33.5268,111.3508,6.1233,2.2047,2106.2683,27.9964,0.0,5.6884000000000015
32,8.123,39.3414,33.6328,111.2542,6.1038,2.0914,2100.0756,27.5799,0.0,5.708599999999997
33,8.37,39.2879,33.5793,111.5922,6.1529,2.2149,2102.0178,27.7656,0.0,5.708599999999997
34,8.617,39.2081,33.5258,111.2703,6.1127,2.241,2102.0178,27.8298,0.0,5.682300000000005
35,8.865,39.3162,33.5531,111.8336,6.1726,2.1815,2103.2236,27.9777,0.0,5.763100000000001
36,9.112,39.2192,33.5187,111.3508,6.163,2.135,2102.0769,27.8317,0.0,5.700499999999998
37,9.359,39.0789,33.3986,111.2221,6.1558,2.1781,2100.7519,28.0216,0.0,5.6802999999999955
38,9.606,39.2768,33.5884,111.4152,6.118,2.0977,2102.4304,27.9565,0.0,5.6884000000000015
39,9.853,39.2516,33.6409,111.6405,6.1502,2.2473,2098.8708,27.7695,0.0,5.610700000000001
