,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV (deg),DP (psi)
0,0.201,-0.0693,-0.2975,7.885,0.0041,0.0271,0.0,0.0,0.0,0.2282
1,0.442,-0.0925,-0.2945,7.885,0.0155,0.0286,0.0,0.0,0.0,0.20199999999999999
2,0.683,-0.0895,-0.3005,7.885,0.0228,0.0349,0.0,0.0,0.0,0.211
3,0.923,-0.0915,-0.3248,7.885,0.0201,0.0427,0.0,0.0,0.0,0.23329999999999998
4,1.164,-0.0854,-0.3126,7.885,0.0136,0.0286,0.0,0.0,0.0,0.22719999999999999
5,1.404,-0.1137,-0.3328,7.885,0.0126,0.0344,0.0,0.0,0.0,0.2191
6,1.645,-0.0834,-0.3005,7.885,0.0104,0.0378,0.0,0.0,0.0,0.2171
7,1.886,-0.0996,-0.3076,7.885,0.0078,0.0417,0.0,0.0,0.0,0.208
8,2.127,-0.0693,-0.3046,7.885,0.0116,0.0296,0.0,0.0,0.0,0.23529999999999998
9,2.368,-0.044,-0.2884,7.885,0.0286,0.0383,0.0,0.0,0.0,0.2444
10,2.609,0.1014,-0.14,7.885,0.0397,0.1372,0.0,0.0,0.0,0.2414
11,2.848,0.2387,0.0438,7.885,0.049,0.0868,0.0,0.0,0.0,0.1949
12,3.087,0.3236,0.1256,7.885,0.0257,0.094,0.0,0.0,0.0,0.198
13,3.326,0.3094,-0.0511,7.885,0.0468,0.0887,0.0,0.0,0.0,0.3605
14,3.565,0.4316,0.1529,7.885,0.0339,0.0916,0.0,0.0,0.0,0.27869999999999995
15,3.804,0.6649,0.4649,7.885,0.0158,0.1139,0.0,0.0,0.0,0.20000000000000007
16,4.043,0.9294,0.575,7.885,0.0189,0.0906,0.0,0.0,0.0,0.35440000000000005
17,4.281,1.0466,0.7416,7.885,0.0453,0.157,0.0,0.0,0.0,0.30499999999999994
18,4.52,1.3596,1.0001,7.885,0.0603,0.1348,0.0,0.0,0.0,0.35949999999999993
19,4.759,1.6343,1.3314,7.885,0.0279,0.1464,0.0,0.0,0.0,0.30290000000000017
20,4.998,1.8444,1.3889,7.885,0.0526,0.0936,0.0,5.1208,0.0,0.4555
21,5.236,2.0191,1.5788,7.885,0.0463,0.1236,0.0,5.1208,0.0,0.4402999999999999
22,5.475,2.2624,1.7656,7.885,0.0734,0.2099,0.0,5.1208,0.0,0.4967999999999999
23,5.714,2.7421,2.1443,7.885,0.041,0.1367,0.0,5.1208,0.0,0.5978000000000003
