t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g ()
134.3708131739,45.6346652174,12.3411217391,33.2935434783,3174.8986695652,25.6941608696,7.975273913,61.466926087,12.2445913043,0,1.0972826087,366.6300232723,2.6515677194,13.43575934,0.0072333034,5.067674487
160.335670913,45.4908173913,12.3506869565,33.1401304348,2983.8426434783,25.7282,7.9801608696,70.6320370435,11.0182565217,0,1.2938913043,365.3934432392,2.4935374464,14.2565207543,0.0068246326,5.7179896618
174.5548948261,45.4290434783,12.3847565217,33.0442869565,2664.8626913044,25.8261086957,7.9920652174,79.3165978435,9.2578,0,1.4801913043,365.7088142651,2.2303127437,13.7035982226,0.0060991831,6.1447678945
190.548239,45.2750826087,12.3772913043,32.8977913043,2392.5470869565,25.7971521739,8.0039608696,88.658038887,7.7578130435,0,1.6805826087,363.6561337094,2.0053334872,13.0378784783,0.0055146734,6.502334965
215.9436842609,46.2722434783,12.9277391304,33.3445043478,2038.9604913044,25.8744086957,8.0067565217,98.4972577391,5.9580956522,0,1.8916521739,369.7679923209,1.7096300902,11.2716124839,0.004624783,6.5942788564
259.9931515217,46.8635826087,13.0334652174,33.8301173913,3055.0011608696,25.621073913,8.0179434783,67.3318269217,11.7513913043,0,1.2230956522,371.5618820106,2.5650634297,14.37297702,0.0069037629,5.6042554833
276.503374,47.2711666667,13.0863875,34.1847791667,3254.887275,25.9100541667,8.0010041667,58.8193653,12.9466,0,1.0404875,379.7496643916,2.7271520569,13.470580095,0.0071819255,4.9397378684
290.5855292609,46.7109956522,12.8566956522,33.8543,3496.4007086957,25.6206130435,8.0018608696,50.1248479304,14.3074391304,0,0.853973913,371.8234810288,2.9298141895,12.2178565365,0.0078797694,4.1708747477
309.8707176957,47.3666434783,12.9751608696,34.3914826087,3684.7632826087,25.8433565217,7.9969608696,41.0691832348,15.4973304348,0,0.6597130435,381.1000423815,3.085779817,10.2236094783,0.0080976741,3.3138162924
321.7987965217,47.4362869565,12.9700695652,34.4662173913,3790.8851,26.0269,8.0179565217,37.5237324174,16.2023913043,0,0.5836565217,384.6502384465,3.1829755414,9.4566689878,0.0082753681,2.9713988103
59.3829704783,48.0063086957,12.3135826087,35.692726087,4210.4859434783,25.3687391304,8.0025565217,67.5057248696,17.1527565217,5.6794,1.226826087,388.4581303249,3.528510238,21.0437043126,0.0090840589,5.9653721238
81.441695087,48.1551608696,12.4918869565,35.663273913,3958.5075652174,25.6050434783,8.0102521739,76.0814474435,15.7683347826,5.6794,1.4107913043,391.7509690865,3.3205114234,22.2460839583,0.0084768119,6.7011398705
95.2145017826,48.0290086957,12.5040478261,35.5249608696,3730.8458217391,25.5236304348,8.0116565217,85.3600582261,14.3577826087,5.6794,1.6098347826,388.96671179,3.1300943679,23.113849307,0.0080478036,7.3859797142
109.4429800435,47.714326087,12.4569,35.257426087,3513.7474521739,25.4732434783,7.9815608696,94.1072466087,13.1743086957,5.6794,1.7974782609,385.2347892961,2.9368590795,23.6808890948,0.0076239022,8.0634806874
123.6706217826,47.741,12.4985608696,35.2424391304,3268.9646478261,25.6137826087,7.9906608696,103.5482026783,11.7203695652,5.6794,2.0000043478,387.1945710475,2.7353668871,23.4402086348,0.0070653195,8.5701119722
