,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g ()
0,0.0,53.678,47.6574,6.020599999999995,2021.6723,28.0941,7.9494,89.31147359999997,4.9676,0.0,1.6946,67.57559431508714,1.6829597467562099,8.418094960000001,0.024904845659351707,5.001958588864235
1,0.259469,53.678,47.6574,6.020599999999995,2021.6723,28.0941,7.9494,89.31147359999997,4.9676,0.0,1.6946,67.57559431508714,1.6829597467562099,8.418094960000001,0.024904845659351707,5.001958588864235
2,0.27947,53.6528,47.617,6.035800000000002,0.0,27.048,8.0298,87.57269679999997,5.0481,0.0,1.6573,65.2382161165263,0.0,8.36621613,0.0,0.0
3,1.206817,53.5195,47.4372,6.082300000000004,1947.8748,27.9206,7.885,86.03436879999997,5.0316,0.0,1.6243,67.90763023557588,1.6083899628533243,8.17282788,0.023684966730155615,5.081372098033488
4,1.432804,53.4094,47.2949,6.1145,2023.6633,27.8668,8.062,84.67784319999997,5.035,0.0,1.5952,68.16710239608356,1.7084790863765982,8.031832,0.025063102674505882,4.701159097612479
5,1.661554,53.7113,47.6251,6.086199999999998,2023.6633,27.8037,7.9333,87.23239999999997,4.9887,0.0,1.65,67.67047771123828,1.6812053009118666,8.231354999999999,0.024843999300342798,4.896103406011988
6,1.890784,53.5185,47.4221,6.096400000000003,2018.0147,27.7517,8.0781,90.48619679999997,5.0605,0.0,1.7198,67.66704864506886,1.707112600751376,8.7030479,0.02522812262295674,5.098110046267248
7,2.120323,53.5962,47.4877,6.1085000000000065,2016.2916,27.6143,7.9494,86.28143359999997,4.9955,0.0,1.6296,67.47737095212956,1.6784805334290198,8.1406668,0.02487471740147943,4.8500215747925175
8,2.345565,53.6326,47.5261,6.106499999999997,2021.6723,27.6357,7.9816,81.42404639999997,5.0316,0.0,1.5254,67.50562066571165,1.6897767774560803,7.67520264,0.02503164567323761,4.542139969253713
9,2.57542,53.5043,47.3999,6.104399999999998,2018.7609,28.0895,8.3678,86.03436879999997,5.0399,0.0,1.6243,68.58845695009393,1.768987620024647,8.18630957,0.025791331350576832,4.627680531696396
10,2.816518,53.6235,47.515,6.108499999999999,2018.7609,27.7593,7.9011,87.45615679999997,4.9662,0.0,1.6548,67.83168805551645,1.6703253046890147,8.21806776,0.024624557527183264,4.920040268162051
11,3.045764,53.2175,47.0959,6.121600000000001,2013.9904,27.6917,7.9977,82.69200159999997,5.0716,0.0,1.5526,67.82430114284013,1.686751569545917,7.87416616,0.02486942793547647,4.668242971974687
12,3.271147,53.5538,47.4605,6.093299999999999,2026.1508,27.9007,8.1586,89.42335199999997,5.0825,0.0,1.697,67.99273238518812,1.7310755561899638,8.625002499999999,0.02545971452335794,4.982452943292276
13,3.500526,53.3751,47.3403,6.034800000000004,2018.7882,28.1337,8.0298,90.57476719999997,4.9982,0.0,1.7217,67.84462397542053,1.6975559743770146,8.605400939999999,0.025021230495610426,5.069288477016548
14,3.730402,53.5013,47.3868,6.1145,2018.7882,27.7157,8.0298,85.37708319999997,5.0462,0.0,1.6102,67.79748517515944,1.6975559743770146,8.12539124,0.02503862746518197,4.786523309183919
15,3.955291,53.4619,47.3827,6.0792,2024.6193,27.7555,7.9172,86.62173039999998,5.1402,0.0,1.6369,67.46865147698566,1.6785860361652503,8.41399338,0.024879495875767363,5.012548179670235
16,4.188547,53.475,47.3504,6.124600000000001,2023.718,27.7707,7.9816,88.67749599999998,5.0396,0.0,1.681,68.0540331252881,1.6914866373347768,8.4715676,0.024855053545771996,5.008356207500633
17,4.417875,53.5851,47.5716,6.0135000000000005,2016.9694,27.9109,7.9977,88.78937439999997,5.0418,0.0,1.6834,67.04873659346465,1.6892465332387316,8.48736612,0.02519430818631391,5.024350178021368
18,4.643026,53.6285,47.5827,6.0458,2016.9694,28.1565,7.9011,82.35170479999996,4.9652,0.0,1.5453,68.0343326441233,1.6688430153384777,7.67272356,0.024529424343263988,4.597630507770561
19,4.873224,53.3508,47.2625,6.088299999999997,2009.3502,27.8254,8.0137,86.73360879999997,4.9868,0.0,1.6393,67.74871062317187,1.6862320208765569,8.17486124,0.024889507200448777,4.848004983175713
20,5.101877,53.4882,47.3948,6.093400000000003,2012.1804,27.7296,7.9172,88.24862879999996,4.9936,0.0,1.6718,67.57697570973006,1.6682731028423012,8.348300479999999,0.024687004491118342,5.004156972726275
21,5.327259,53.5912,47.4908,6.1004000000000005,2023.5268,27.8387,8.3034,83.27936319999996,5.0071,0.0,1.5652,67.92761941207408,1.7595172860595407,7.83711292,0.02590282570313053,4.45412669832378
