,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),real V,g (deg),real I,I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g ()
0,178.7658865217,55.0518173913,45.9837434783,9.068073913,3351.8828869565,27.3152565217,7.9780652174,28.7933663304,10.2479652174,,6.5902,2.56,0.396373913,101.9112351967,2.8003572715,4.0622736061,0.0274796194,1.4505957013
1,202.1506945652,54.7777956522,45.8102347826,8.9675608696,3159.1735304348,27.1759608696,8.0165347826,37.3739531826,9.3172695652,,6.5902,2.77,0.5804434783,100.2032178727,2.6520959481,5.4083717148,0.0264680759,2.0395414503
2,229.1607939565,54.9677304348,46.1469434783,8.8207869565,2957.5475695652,27.7629130435,8.0165478261,49.6846307478,8.3352608696,8.4,6.5902,2.95,0.8445304348,100.5972803354,2.4828381658,24.78,0.0246821669,2.8359715374
3,304.5672222609,54.5706173913,45.9279043478,8.6427130435,2574.8014478261,27.2337434783,7.9913652174,94.2272321391,6.4982043478,7.2,6.5902,3.13,1.8000521739,96.5681360151,2.1547506433,22.536,0.0223138547,5.4292998609
4,345.8806274783,54.4973304348,46.1801391304,8.3171913043,2074.3171043478,27.5384130435,8.0459391304,149.0669025739,4.1688956522,4.5,6.5902,3.53,2.9764652174,93.7487582925,1.7477442574,15.885,0.0186437863,7.1007503517
5,374.0747426957,54.4402608696,45.9862521739,8.4540086957,2341.9809695652,27.2559478261,8.0578434783,123.7454967304,5.4280695652,5.8,6.5902,3.33,2.433273913,94.4110755095,1.97621013,19.314,0.0209341272,6.6855982447
6,434.6258186957,54.9470217391,45.7668608696,9.1801608696,2573.2407695652,27.1548608696,7.9850608696,110.1251122435,6.340926087,7.1,7.5018,3.33,2.1410913043,102.6373734917,2.1517181833,23.643,0.0209654398,6.3099056457
7,481.6505376522,55.1477565217,45.8978304348,9.249926087,2774.0257478261,27.673973913,7.9766608696,85.2072388174,7.3372304348,8.1,7.5018,3.1,1.6065565217,105.4412492267,2.3171649001,25.11,0.0219779932,5.0873517635
8,516.0109354783,55.1791478261,45.8794826087,9.2996652174,2944.5697043478,27.4756086957,8.0130565217,62.4444433391,8.1275173913,9.2,7.5018,2.9,1.1182521739,105.2796940995,2.4708825198,26.68,0.0234713827,3.6788910079
9,564.3365410435,55.0941434783,45.5745,9.5196434783,3160.2309478261,27.1724652174,8.0179521739,44.2301533913,9.0768913043,10.3,7.5018,2.7,0.7275217391,106.7172380311,2.6534341097,27.81,0.0248663265,2.4896818981
10,594.0611545652,55.3167478261,45.7036391304,9.6131086957,3366.2047913044,27.6553956522,8.0312521739,32.2640288696,10.0125,11.6,7.5018,2.5,0.470826087,109.73807779,2.8310854204,29,0.0258004357,1.6655764988
11,614.7560287391,55.3286521739,45.5847304348,9.7439217391,3591.2427,27.5063434783,7.9878565217,24.0288057739,11.0525782609,12,7.5018,2.3,0.2941652174,110.7112920978,3.0040363385,27.6,0.0271347577,1.0824507988
12,638.6608751304,55.3582347826,45.4784826087,9.8797521739,3764.035526087,27.287573913,8.0088434783,18.7490370783,11.8345434783,13.8,7.5018,2.1,0.1809043478,111.4417827426,3.1568447869,28.98,0.0283285796,0.6782155775
13,665.8196475652,55.5432086957,45.5185347826,10.024673913,3970.3506565217,27.5006434783,8.0102521739,14.7039843478,12.8015565217,15,7.5018,1.9,0.0941304348,114.0469015323,3.3304437488,28.5,0.0292041892,0.3620203809
14,722.336924,55.7993086957,45.1767565217,10.6225521739,4397.0228217391,27.2502652174,8.0144391304,11.2645342609,14.4711608696,17.3,7.5018,1.7,0.0203478261,120.0957513189,3.6902570108,29.41,0.0307283275,0.0798719282
