,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g ()
0,0.0,0.3801,-0.7762,1.1562999999999999,0.0,0.0,385.7951,11.625909599999947,0.21380000000000002,0.0,0.1481,0.0,0.0,0.03166378,0.0,0.0
1,1.194583,0.3347,-0.8155,1.1502,0.0,0.0,384.7329,11.514031199999947,0.2114,0.0,0.1457,0.0,0.0,0.03080098,0.0,0.0
2,1.478019,0.3316,-0.8034,1.135,0.0,0.0,385.087,11.402152799999946,0.2131,0.0,0.14329999999999998,0.0,0.0,0.03053723,0.0,0.0
3,1.70343,0.3397,-0.8095,1.1492,0.0,0.0,384.8939,10.991931999999945,0.2121,0.0,0.1345,0.0,0.0,0.028527450000000003,0.0,0.0
4,1.929254,0.3246,-0.8044,1.129,0.0,0.0,385.3767,11.425460799999946,0.2119,0.0,0.14379999999999998,0.0,0.0,0.030471219999999997,0.0,0.0
5,2.153985,0.3347,-0.8095,1.1442,0.0,0.0,385.0226,10.973285599999945,0.2087,0.0,0.1341,0.0,0.0,0.027986669999999998,0.0,0.0
6,2.379358,0.3155,-0.8236,1.1391,0.0,0.0,385.2157,11.061855999999946,0.2092,0.0,0.136,0.0,0.0,0.028451200000000003,0.0,0.0
7,2.600952,0.3246,-0.8105,1.1351,0.0,0.0,385.3123,11.266966399999946,0.2078,0.0,0.1404,0.0,0.0,0.029175120000000002,0.0,0.0
8,2.826049,0.3195,-0.8176,1.1371,0.0,0.0,385.1031,11.173734399999946,0.2121,0.0,0.1384,0.0,0.0,0.02935464,0.0,0.0
9,3.051966,0.3336,-0.8065,1.1401,0.0,0.0,384.9904,11.537339199999947,0.2141,0.0,0.1462,0.0,0.0,0.03130142,0.0,0.0
10,3.276688,0.3266,-0.8034,1.13,0.0,0.0,385.1997,11.378844799999946,0.2119,0.0,0.14279999999999998,0.0,0.0,0.030259319999999996,0.0,0.0
11,3.501995,0.3377,-0.8044,1.1421000000000001,0.0,0.0,385.3123,11.266966399999946,0.2119,0.0,0.1404,0.0,0.0,0.02975076,0.0,0.0
12,3.727293,0.3236,-0.8004,1.124,0.0,0.0,385.4089,11.108471999999946,0.2102,0.0,0.137,0.0,0.0,0.0287974,0.0,0.0
13,3.952564,0.3296,-0.8034,1.133,0.0,0.0,385.2157,11.490723199999946,0.21330000000000002,0.0,0.1452,0.0,0.0,0.03097116,0.0,0.0
14,4.178589,0.3347,-0.8014,1.1360999999999999,0.0,0.0,385.3767,11.355536799999946,0.2109,0.0,0.14229999999999998,0.0,0.0,0.030011069999999997,0.0,0.0
15,4.403397,0.3316,-0.8004,1.1320000000000001,0.0,0.0,385.2801,11.150426399999946,0.2116,0.0,0.1379,0.0,0.0,0.02917964,0.0,0.0
16,4.628381,0.3276,-0.8095,1.1371,0.0,0.0,385.6503,11.490723199999946,0.20850000000000002,0.0,0.1452,0.0,0.0,0.0302742,0.0,0.0
17,4.853623,0.3266,-0.7984,1.125,0.0,0.0,385.2319,11.378844799999946,0.2104,0.0,0.14279999999999998,0.0,0.0,0.030045119999999998,0.0,0.0
18,5.079035,0.3347,-0.8075,1.1421999999999999,0.0,0.0,385.2801,11.308920799999946,0.21430000000000002,0.0,0.14129999999999998,0.0,0.0,0.03028059,0.0,0.0
19,5.304714,0.3306,-0.8085,1.1391,0.0,0.0,385.3123,11.402152799999946,0.2114,0.0,0.14329999999999998,0.0,0.0,0.030293619999999997,0.0,0.0
20,5.529795,0.3316,-0.8176,1.1492,0.0,0.0,385.2479,11.015239999999945,0.2107,0.0,0.135,0.0,0.0,0.0284445,0.0,0.0
21,5.755299,0.3437,-0.8085,1.1522000000000001,0.0,0.0,385.5054,11.467415199999946,0.2111,0.0,0.1447,0.0,0.0,0.03054617,0.0,0.0
22,5.980824,0.3347,-0.7953,1.13,0.0,0.0,385.3445,11.378844799999946,0.2126,0.0,0.14279999999999998,0.0,0.0,0.03035928,0.0,0.0
23,6.206062,0.3437,-0.7974,1.1411,0.0,0.0,385.0709,11.220350399999946,0.2114,0.0,0.1394,0.0,0.0,0.02946916,0.0,0.0
24,6.431918,0.3336,-0.7974,1.131,0.0,0.0,385.4893,11.490723199999946,0.2136,0.0,0.1452,0.0,0.0,0.031014720000000003,0.0,0.0
25,6.656551,0.3437,-0.8004,1.1441,0.0,0.0,385.1675,11.425460799999946,0.2121,0.0,0.14379999999999998,0.0,0.0,0.03049998,0.0,0.0
26,6.881896,0.3579,-0.8065,1.1644,0.0,0.0,385.6663,11.490723199999946,0.2104,0.0,0.1452,0.0,0.0,0.03055008,0.0,0.0
27,7.106924,0.3387,-0.8024,1.1411,0.0,0.0,385.3123,11.444107199999946,0.2126,0.0,0.1442,0.0,0.0,0.03065692,0.0,0.0
28,7.332649,0.3347,-0.7964,1.1311,0.0,0.0,385.2479,11.672525599999947,0.2131,0.0,0.1491,0.0,0.0,0.03177321,0.0,0.0
29,7.558761,0.3195,-0.8155,1.135,0.0,0.0,385.4411,11.425460799999946,0.2114,0.0,0.14379999999999998,0.0,0.0,0.030399319999999997,0.0,0.0
30,7.783268,0.3286,-0.8034,1.1320000000000001,0.0,0.0,385.0709,11.579293599999946,0.2119,0.0,0.1471,0.0,0.0,0.031170490000000002,0.0,0.0
31,8.008513,0.3286,-0.7994,1.1280000000000001,0.0,0.0,385.3284,11.784403999999945,0.2182,0.0,0.1515,0.0,0.0,0.0330573,0.0,0.0
32,8.234112,0.3256,-0.8186,1.1442,0.0,0.0,385.1353,11.784403999999945,0.2136,0.0,0.1515,0.0,0.0,0.0323604,0.0,0.0
33,8.459427,0.3306,-0.8024,1.133,0.0,0.0,385.1031,11.402152799999946,0.2111,0.0,0.14329999999999998,0.0,0.0,0.030250629999999997,0.0,0.0
34,8.685179,0.3437,-0.8135,1.1572,0.0,0.0,385.4089,11.761095999999945,0.2167,0.0,0.151,0.0,0.0,0.0327217,0.0,0.0
35,8.909912,0.3266,-0.8155,1.1421000000000001,0.0,0.0,385.1997,11.173734399999946,0.2141,0.0,0.1384,0.0,0.0,0.029631440000000002,0.0,0.0
36,9.131504,0.3185,-0.8115,1.13,0.0,0.0,385.3767,11.625909599999947,0.21330000000000002,0.0,0.1481,0.0,0.0,0.03158973,0.0,0.0
37,9.356676,0.3246,-0.8065,1.1311,0.0,0.0,385.4732,11.490723199999946,0.2102,0.0,0.1452,0.0,0.0,0.03052104,0.0,0.0
38,9.581909,0.3215,-0.8004,1.1219000000000001,0.0,0.0,385.1675,11.266966399999946,0.2087,0.0,0.1404,0.0,0.0,0.029301479999999998,0.0,0.0
