,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g ()
0,0.0,56.659,51.8785,4.780499999999996,1829.3798,24.2739,1220.168,105.42196319999998,5.0043,0.0,2.1602,45.29260128117395,233.7502735690467,10.81028886,5.160893103002365,0.04624717094419479
1,1.714362,56.6651,51.9068,4.7583000000000055,1883.7595,24.2386,1221.1015,104.87655599999998,5.0322000000000005,0.0,2.1485000000000003,44.99266738307287,240.88282606598625,10.811681700000003,5.353824080156917,0.04488357213576656
2,1.734365,56.5631,51.7927,4.770399999999995,1883.7595,24.3849,1219.2348,104.28919439999997,4.9708000000000006,0.0,2.1359,45.392582837339674,240.51458806822978,10.617131720000001,5.298543793599334,0.044143400220647354
3,1.900194,56.6732,51.8401,4.833100000000002,1872.0047,24.4482,1220.458,104.38242639999997,4.9095,0.0,2.1379,46.177215829651225,239.2535501523578,10.496020050000002,5.1812034539927545,0.04386986125520849
4,2.133815,56.6833,51.8967,4.7866,1872.9398,24.4639,1221.2463,106.12120319999998,4.9818,0.0,2.1752000000000002,45.712035472697075,239.52767387379714,10.836411360000001,5.239925796278804,0.04524074894873948
5,2.363081,56.6045,51.7896,4.8149000000000015,1872.9398,24.3244,1219.653,104.11205359999998,5.0116000000000005,0.0,2.1321000000000003,45.75081251764076,239.21517389505973,10.685232360000002,5.228654109756461,0.044667870294413096
6,2.596457,56.6106,51.8755,4.735099999999996,1879.5197,24.0175,1220.3291,104.83460159999997,4.9134,0.0,2.1476,44.33987262091024,240.18864224950897,10.552017840000001,5.41698990213694,0.04393220987126661
7,2.825866,56.6509,51.8361,4.814799999999998,1867.8321,24.2092,1220.0234,101.66937519999998,4.9153,0.0,2.0797,45.533084263398145,238.6352592843508,10.22234941,5.240920160468423,0.04283671005138158
8,3.06741,56.7166,51.9472,4.769399999999997,1877.0882,24.3371,1221.6165,104.49430479999998,4.974,0.0,2.1403000000000003,45.29301651996127,240.13097655105574,10.645852200000002,5.301721876820164,0.044333523116858356
9,3.297482,56.5671,51.8038,4.763300000000001,1877.0882,24.2425,1220.4417,106.59668639999997,5.0280000000000005,0.0,2.1854,45.05263315955076,239.90004821040856,10.988191200000001,5.32488406084544,0.04580320546814819
10,3.53029,56.7469,51.9451,4.8018,1878.1928,24.1769,1221.7453,102.75552799999998,4.9573,0.0,2.103,45.33561608112434,240.2976180206626,10.425201900000001,5.300415849443181,0.04338454116138414
11,3.763566,56.6459,51.9047,4.741199999999999,1873.3139,24.4634,1221.1015,106.46149999999997,4.9733,0.0,2.1825,45.227982658799235,239.54711115760495,10.854227250000001,5.296435902630302,0.04531145125293827
12,3.993087,56.6035,51.8452,4.758299999999998,1866.577,24.6654,1220.4095,100.99344319999997,4.8817,0.0,2.0652,45.784910765079,238.55037701250438,10.08168684,5.210240077489704,0.04226229682073206
13,4.238713,56.6711,51.9451,4.726000000000006,1866.577,24.3854,1222.6948,102.97928479999997,4.9515,0.0,2.1078,44.922542891603605,238.99707885855415,10.436771700000001,5.320203698959007,0.04366903457500752
14,4.477115,56.66,51.9239,4.736099999999993,1867.0185,24.706,1220.7796,104.65279919999996,4.9476,0.0,2.1437,45.621692798965796,238.67916077460472,10.60617012,5.231703300146183,0.044436934022974356
15,4.705602,56.6469,51.8825,4.764400000000002,1870.9774,24.0639,1221.0534,104.42904239999997,4.9621,0.0,2.1389,44.732234543255885,239.2389106909034,10.613435690000001,5.348244127164279,0.04436333395495416
16,4.93916,56.5823,51.8633,4.718999999999994,1870.9774,24.3703,1220.9246,104.54092079999998,4.978800000000001,0.0,2.1413,44.820519662447495,239.2136751265153,10.661104440000003,5.33714639919578,0.04456728669195671
17,5.172579,56.6883,51.9381,4.7501999999999995,1868.4604,23.9564,1221.5522,105.44527119999998,4.9701,0.0,2.1607000000000003,44.38442757879723,239.01466345565868,10.738895070000002,5.385101858784313,0.044929858757357166
18,5.401839,56.6186,51.8694,4.749200000000002,1872.1215,24.3698,1219.9749,102.68560399999997,5.0048,0.0,2.1015,45.13974009050186,239.1737670610529,10.517587200000001,5.298518923270871,0.04397466883278725
19,5.635883,56.6812,51.8886,4.7926,1863.354,24.3313,1220.8763,103.23101119999998,4.9418,0.0,2.1132,45.5277691512416,238.22956111361952,10.44301176,5.232621003726968,0.04383591906555787
20,5.86474,56.8186,52.032,4.786600000000007,1863.354,24.2082,1223.5638,102.12155039999998,4.917800000000001,0.0,2.0894,45.23424707958041,238.7539729197074,10.27525132,5.278168386436687,0.04303698570685378
21,6.098308,56.7085,51.932,4.776499999999999,1865.3931,24.4138,1221.6809,103.29627359999996,4.9832,0.0,2.1146,45.51116108742083,238.64743316432993,10.537474719999999,5.243712255679881,0.04415498872239708
22,6.331561,56.5338,51.7331,4.800699999999999,1876.7829,24.3833,1218.3012,103.31958159999998,4.9486,0.0,2.1151,45.71098243158675,239.44034370713626,10.46678386,5.238136022683261,0.043713535062420844
23,6.56103,56.6297,51.8502,4.779499999999999,1876.7829,24.3206,1220.3774,105.24016079999998,4.9527,0.0,2.1563000000000003,45.36915941827,239.84839225999391,10.679507010000002,5.286595461220024,0.044526072947045206
24,6.795047,56.6893,51.8866,4.8027000000000015,1872.0804,24.4501,1220.1359,104.24723999999998,4.954400000000001,0.0,2.1350000000000002,45.85748250715878,239.200079363061,10.577644000000003,5.216162473064666,0.04422090506059204
25,7.027817,56.6207,51.7927,4.827999999999996,1877.2292,24.2232,1219.1704,105.78090639999996,5.0062,0.0,2.1679,45.69850268754486,239.66815267968548,10.85294098,5.244551540744618,0.04528320036957462
26,7.257296,56.6449,51.8411,4.8038000000000025,1876.2194,24.4334,1220.1359,102.97928479999997,4.9701,0.0,2.1078,45.837851916120606,239.72892904733936,10.475976780000002,5.2299337561896015,0.04369925991673415
