,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g ()
,0,36.3806,31.6182,4.7624,1087.6816,24.4148,897.942,129.6669448,0.643,0,2.6803,45.3632799043,102.2771658001,1.7234329,2.2546245778,0.0168506126
,0.229342,36.4291,31.7546,4.6745,1087.6816,23.9023,901.0963,130.3661848,0.597,0,2.6953,43.4971197092,102.6364460923,1.6090941,2.3596147694,0.0156776093
,0.462835,36.4866,31.8485,4.6381,1070.5721,24.2415,902.3677,129.7135608,0.582,0,2.6813,43.73055917,101.1644861804,1.5605166,2.3133590812,0.0154255377
,0.692879,36.4331,31.8404,4.5927,1070.5721,24.2841,902.1906,130.1843824,0.463,0,2.6914,43.327830015,101.1446314908,1.2461182,2.334403349,0.0123201616
,0.925642,36.3402,31.7919,4.5483,1070.5721,24.3952,901.6918,133.5966736,0.3408,0,2.7646,43.0548952987,101.0887109989,0.94217568,2.3479028412,0.0093202858
,1.155019,36.4028,31.8404,4.5624,1020.6582,24.2667,902.1264,129.2380776,0.2955,0,2.6711,42.9769436525,96.4220451526,0.78931005,2.2435761354,0.0081859916
,1.38849,36.4947,31.8889,4.6058,1020.6582,24.1127,903.1241,132.6503688,0.3047,0,2.7443,43.1594207745,96.5286823982,0.83618821,2.2365611184,0.008662588
,1.617954,36.5361,31.9434,4.5927,998.4291,23.9267,903.9288,130.7297896,0.295,0,2.7031,42.6901548923,94.5105023323,0.7974145,2.2138711506,0.008437311
,1.872391,36.4846,31.9424,4.5422,998.4291,24.1242,903.6552,130.81836,0.2749,0,2.705,42.5125971921,94.4818960157,0.7436045,2.222444693,0.0078703385
,2.101159,36.4644,31.8757,4.5887,998.4291,24.1587,902.7861,132.2215016,0.2928,0,2.7351,43.0620552762,94.3910270473,0.80083728,2.1919768214,0.0084842522
,2.334642,36.5482,31.9747,4.5735,992.4836,24.993,904.669,131.5176,0.3122,0,2.72,44.3839158632,94.0246369837,0.849184,2.1184394201,0.0090315052
,2.564052,36.4553,31.8636,4.5917,992.4836,24.0023,902.8666,132.240148,0.3326,0,2.7355,42.8146000416,93.8373087944,0.9098273,2.1917128434,0.0096957949
,2.797463,36.4139,31.8434,4.5705,992.4836,24.1414,902.5608,132.4685664,0.2761,0,2.7404,42.840094774,93.8055261932,0.75662444,2.1896666356,0.0080658834
,3.027492,36.4947,31.9293,4.5654,991.1982,24.2531,903.1723,131.3404592,0.2754,0,2.7162,42.9845074024,93.7475078934,0.74804148,2.1809603869,0.0079793212
,3.25629,36.6028,32.0181,4.5847,991.1982,24.2338,905.2968,132.1049616,0.3086,0,2.7326,43.1537524403,93.9680268138,0.84328036,2.1775169365,0.0089741201
,3.489609,36.5795,32.0605,4.519,991.4078,23.9211,905.4577,130.6831736,0.2892,0,2.7021,41.913279356,94.0046020443,0.78144732,2.2428357668,0.0083128624
,3.719111,36.4483,31.8586,4.5897,991.4078,24.0802,903.5748,131.7693264,0.2863,0,2.7254,42.9326064036,93.8091194004,0.78028202,2.1850320132,0.008317763
,3.952479,36.5179,32.001,4.5169,991.4078,23.989,904.4277,130.7297896,0.2877,0,2.7031,42.0103365887,93.8976674629,0.77768187,2.2351086682,0.0082822278
,4.182539,36.5361,31.9868,4.5493,989.2893,24.065,905.2324,131.3824136,0.2933,0,2.7171,42.4825960103,93.7803866798,0.79692543,2.2075013179,0.0084977836
,4.415365,36.5472,31.9899,4.5573,989.2893,24.1875,904.8784,130.9535464,0.2982,0,2.7079,42.7830194829,93.7437129407,0.80749578,2.1911429832,0.008613866
