,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g ()
0,0.0,-0.6418,-0.7741,0.13229999999999997,0.0,0.0,386.3906,11.560647199999947,0.21280000000000002,0.0,0.1467,-0.0,0.0,0.03121776,0.0,0.0
1,0.265829,-0.6418,-0.7741,0.13229999999999997,0.0,0.0,386.3906,11.560647199999947,0.21280000000000002,0.0,0.1467,-0.0,0.0,0.03121776,0.0,0.0
2,0.28583,-0.6782,-0.8165,0.13829999999999998,0.0,0.0,385.7951,11.355536799999946,0.2124,0.0,0.14229999999999998,-0.0,0.0,0.030224519999999998,0.0,0.0
3,1.206394,-0.6954,-0.8165,0.12109999999999999,0.0,0.0,385.7307,11.672525599999947,0.2136,0.0,0.1491,-0.0,0.0,0.03184776,0.0,0.0
4,1.432697,-0.6843,-0.8216,0.13729999999999998,0.0,0.0,385.3767,11.602601599999947,0.21530000000000002,0.0,0.1476,-0.0,0.0,0.031778280000000006,0.0,0.0
5,1.657337,-0.6923,-0.8145,0.12219999999999998,0.0,0.0,385.425,12.012822399999946,0.22010000000000002,0.0,0.15639999999999998,-0.0,0.0,0.03442364,0.0,0.0
6,1.88243,-0.6833,-0.8176,0.13429999999999997,0.0,0.0,385.5859,11.719141599999945,0.21430000000000002,0.0,0.15009999999999998,-0.0,0.0,0.032166429999999996,0.0,0.0
7,2.111464,-0.6772,-0.8155,0.13829999999999998,0.0,0.0,385.8434,11.579293599999946,0.2087,0.0,0.1471,-0.0,0.0,0.03069977,0.0,0.0
8,2.337025,-0.6792,-0.8024,0.12319999999999998,0.0,0.0,385.4732,11.332228799999946,0.2104,0.0,0.14179999999999998,-0.0,0.0,0.029834719999999995,0.0,0.0
9,2.562847,-0.6772,-0.8165,0.13929999999999998,0.0,0.0,386.0205,11.308920799999946,0.20650000000000002,0.0,0.14129999999999998,-0.0,0.0,0.029178449999999998,0.0,0.0
10,2.791806,-0.6853,-0.8125,0.12719999999999998,0.0,0.0,385.779,11.243658399999946,0.20800000000000002,0.0,0.1399,-0.0,0.0,0.029099200000000002,0.0,0.0
11,3.016956,-0.6752,-0.8075,0.13229999999999997,0.0,0.0,385.7629,11.579293599999946,0.2126,0.0,0.1471,-0.0,0.0,0.03127346,0.0,0.0
12,3.246174,-0.6822,-0.7984,0.11619999999999997,0.0,0.0,385.5376,11.332228799999946,0.2121,0.0,0.14179999999999998,-0.0,0.0,0.030075779999999996,0.0,0.0
13,3.471709,-0.6802,-0.8095,0.12929999999999997,0.0,0.0,385.8273,11.150426399999946,0.2097,0.0,0.1379,-0.0,0.0,0.02891763,0.0,0.0
14,3.6974,-0.6883,-0.8034,0.11509999999999998,0.0,0.0,386.0848,11.308920799999946,0.20820000000000002,0.0,0.14129999999999998,-0.0,0.0,0.02941866,0.0,0.0
15,3.925967,-0.6802,-0.7974,0.11719999999999997,0.0,0.0,385.94,11.467415199999946,0.2184,0.0,0.1447,-0.0,0.0,0.03160248,0.0,0.0
16,4.151561,-0.6833,-0.8135,0.13019999999999998,0.0,0.0,385.8917,11.061855999999946,0.20850000000000002,0.0,0.136,-0.0,0.0,0.028356000000000006,0.0,0.0
17,4.380806,-0.6762,-0.7994,0.12319999999999998,0.0,0.0,385.9882,11.085163999999946,0.2104,0.0,0.1365,-0.0,0.0,0.0287196,0.0,0.0
18,4.606068,-0.658,-0.8095,0.15149999999999997,0.0,0.0,386.1331,11.197042399999946,0.2092,0.0,0.1389,-0.0,0.0,0.029057879999999998,0.0,0.0
19,4.832173,-0.6752,-0.8155,0.14029999999999998,0.0,0.0,386.0526,10.973285599999945,0.2099,0.0,0.1341,-0.0,0.0,0.02814759,0.0,0.0
20,5.056662,-0.6802,-0.8115,0.13129999999999997,0.0,0.0,386.0043,11.560647199999947,0.2167,0.0,0.1467,-0.0,0.0,0.03178989,0.0,0.0
21,5.281533,-0.6772,-0.7994,0.12219999999999998,0.0,0.0,385.9078,11.285612799999946,0.2111,0.0,0.14079999999999998,-0.0,0.0,0.029722879999999997,0.0,0.0
22,5.507273,-0.66,-0.7943,0.13429999999999997,0.0,0.0,385.5859,11.695833599999947,0.2097,0.0,0.1496,-0.0,0.0,0.03137112,0.0,0.0
23,5.736772,-0.6701,-0.8085,0.13839999999999997,0.0,0.0,386.0043,11.514031199999947,0.2109,0.0,0.1457,-0.0,0.0,0.03072813,0.0,0.0
24,5.962515,-0.659,-0.8105,0.15149999999999997,0.0,0.0,385.7468,11.308920799999946,0.2141,0.0,0.14129999999999998,-0.0,0.0,0.030252329999999997,0.0,0.0
25,6.18677,-0.6944,-0.8105,0.11609999999999998,0.0,0.0,385.9721,11.355536799999946,0.2092,0.0,0.14229999999999998,-0.0,0.0,0.029769159999999996,0.0,0.0
26,6.412304,-0.6691,-0.8115,0.14239999999999997,0.0,0.0,385.8917,11.150426399999946,0.21530000000000002,0.0,0.1379,-0.0,0.0,0.02968987,0.0,0.0
27,6.641408,-0.659,-0.8115,0.15249999999999997,0.0,0.0,385.9882,11.266966399999946,0.2109,0.0,0.1404,-0.0,0.0,0.02961036,0.0,0.0
28,6.866934,-0.66,-0.8075,0.14749999999999996,0.0,0.0,385.8917,11.425460799999946,0.20820000000000002,0.0,0.14379999999999998,-0.0,0.0,0.02993916,0.0,0.0
