,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g ()
0,0.0,47.6786,40.7936,6.885000000000005,3423.1726,27.6904,1044.7316,85.98775279999997,12.6585,0.0,1.7433,77.01634332574257,374.5089024476301,22.06756305,4.86271986276517,0.05892400128748834
1,1.960686,47.7463,40.8804,6.865899999999996,3429.9826,27.8502,1046.2124,84.24897599999997,12.5979,0.0,1.706,77.22941202651523,375.78582795800156,21.492017399999998,4.865838261580739,0.057192197791987996
2,1.980675,47.8099,40.9339,6.875999999999998,3414.6008,28.0209,1046.5502,86.78022479999997,12.6183,0.0,1.7603,77.82587556847832,374.2214009247401,22.211993489999998,4.8084444690309445,0.059355219757907605
3,2.143653,47.8493,40.9511,6.898200000000003,3423.2507,27.8139,1047.6124,85.78730399999996,12.6486,0.0,1.7389999999999999,77.5195428762905,375.55016177538437,21.995915399999998,4.84458689823166,0.058569846691094496
4,2.377455,47.5453,40.6754,6.869899999999994,3428.1796,28.0254,1042.8808,85.62880959999997,12.6045,0.0,1.7355999999999998,77.76400997852393,374.3922547269072,21.876370199999997,4.814466934386524,0.05843168474721057
5,2.610679,47.6715,40.8027,6.8688,3407.6967,27.4603,1044.2327,85.19994239999997,12.495099999999999,0.0,1.7264,76.18284853514554,372.6377424651494,21.57154064,4.891360058468278,0.05788877019621129
6,2.844128,47.7503,40.8814,6.868900000000004,3406.2265,27.359,1046.3088,83.59169039999998,12.537799999999999,0.0,1.6919,75.90300300471444,373.2175166783813,21.212703819999998,4.917032289950376,0.05683737464627085
7,3.07353,47.6685,40.8319,6.836600000000004,3427.2397,28.017,1045.4881,84.47273279999997,12.634699999999999,0.0,1.7107999999999999,77.33486935034558,375.2253672316406,21.615444759999995,4.8519557915302,0.05760656567405257
8,3.307212,47.719,40.9248,6.794200000000004,3414.3676,28.0519,1046.5502,85.49362319999997,12.5247,0.0,1.7327,76.91382380578399,374.1958434918784,21.701547689999998,4.865131194579075,0.057995159666895155
9,3.541357,47.6635,40.7612,6.902299999999997,3415.0673,27.4963,1043.1545,84.00191119999997,12.552299999999999,0.0,1.7006999999999999,76.68340523668671,373.05813950017955,21.347696609999996,4.864913580046676,0.057223511162634
10,3.770078,47.8927,40.9945,6.898199999999996,3432.9655,27.8898,1048.4173,87.18578399999997,12.6306,0.0,1.7690000000000001,77.73108218952267,376.9052918358868,22.3435314,4.848836285553345,0.05928155397119997
11,4.003501,47.7957,40.9339,6.861799999999995,3433.0441,27.7783,1046.7274,85.87587439999997,12.608799999999999,0.0,1.7409,76.9804895820451,376.3063895432352,21.950659919999996,4.888334584338689,0.05833188202476165
12,4.236941,47.6251,40.7915,6.833600000000004,3424.1884,27.6438,1044.957,85.35843679999996,12.6229,0.0,1.7298,76.26865698523385,374.7008590390011,21.83509242,4.912907527813763,0.05827339834768639
13,4.470579,47.5302,40.6421,6.888100000000001,3447.8002,27.5218,1042.382,84.33754639999997,12.6975,0.0,1.7079,76.58452229571836,376.35493167336796,21.68606025,4.914242726750141,0.057621299536526234
14,4.708865,47.5291,40.7138,6.815300000000001,3424.423,27.9797,1042.5592,86.23947919999998,12.6158,0.0,1.7487,76.972669765566,373.866668323825,22.06124946,4.857135259339486,0.059008334599359426
15,4.941728,47.716,40.8592,6.8568,3419.1931,27.7504,1045.5363,85.98775279999997,12.583599999999999,0.0,1.7433,76.84281585474328,374.36165760080473,21.93698988,4.871784739232672,0.05859838857587333
16,5.171161,47.8402,40.9198,6.920400000000001,3418.6477,27.7428,1046.3088,84.00191119999997,12.5499,0.0,1.7006999999999999,77.58928869003013,374.57849764020676,21.343614929999998,4.827708875340397,0.05698035275506162
17,5.408597,47.8826,40.9844,6.898199999999996,3425.2048,28.1116,1047.4677,85.19994239999997,12.604199999999999,0.0,1.7264,78.34925636178765,375.71263575874144,21.759890879999997,4.7953567551916585,0.057916313716882294
18,5.642102,47.6493,40.7522,6.897099999999995,3425.6743,28.0054,1043.7016,86.43992799999997,12.6379,0.0,1.7530000000000001,78.03986821785578,374.41310068086733,22.1542387,4.797715696234356,0.0591705756548387
19,5.876162,47.7341,40.8229,6.911200000000001,3429.5905,28.2987,1044.2972,85.82925839999996,12.649,0.0,1.7399,79.03074500327203,375.05503364899965,22.0079951,4.745685158775507,0.058679375359607835
20,6.109109,47.7715,40.8693,6.902200000000001,3434.1445,27.5855,1045.9709,84.11378959999996,12.6587,0.0,1.7031,76.93097184228014,376.15495310300236,21.55903197,4.889512560353138,0.05731423125537443
21,6.342615,47.5766,40.7108,6.8658,3430.4533,28.197,1043.7177,84.06717359999998,12.572,0.0,1.7021000000000002,78.18987193458523,374.9412108085197,21.3988012,4.795265697866866,0.05707241717669772
22,6.57604,47.6735,40.8087,6.864799999999995,3411.3393,27.4301,1045.1822,87.34427839999998,12.514,0.0,1.7724000000000002,76.05133749275113,373.3752615721595,22.179813600000003,4.9095160437875,0.059403543519750496
23,6.813495,47.6877,40.7875,6.900199999999998,3441.6298,27.5468,1044.1523,86.80353279999997,12.717899999999998,0.0,1.7608000000000001,76.79907927731001,376.31941108246,22.39367832,4.900051076440992,0.05950710396677636
24,7.04761,47.7291,40.8138,6.915300000000002,3437.9226,27.6633,1045.2468,86.19286319999996,12.604199999999999,0.0,1.7477,77.30557830563131,376.3080934822819,22.02836034,4.867799992317886,0.05853809875879585
25,7.280337,47.7543,40.8441,6.910200000000003,3430.2963,27.9867,1044.5385,85.26520479999996,12.647599999999999,0.0,1.7277999999999998,78.14723797427358,375.2188986462955,21.852523279999996,4.801435193011162,0.05823939934485958
26,7.513807,47.8452,40.9693,6.8759000000000015,3420.2065,27.9148,1047.4837,85.21858879999996,12.5831,0.0,1.7268,77.52997678012102,375.17010003911065,21.728497079999997,4.839032792478608,0.05791638800036263
27,7.747222,47.8573,40.9764,6.880900000000004,3436.426,27.7682,1046.84,87.41420239999997,12.630899999999999,0.0,1.7738999999999998,77.18320772340928,376.7176102988173,22.405953509999996,4.880823451246128,0.05947678817623445
28,7.980646,47.4776,40.5815,6.896100000000004,3432.0229,27.7264,1042.1406,86.57511439999996,12.628,0.0,1.7559,77.25034585722625,374.5459540505421,22.1735052,4.848469607408312,0.05920102716423378
29,8.214702,47.7139,40.7814,6.9325000000000045,3427.4746,27.63,1044.8927,87.07390559999997,12.652899999999999,0.0,1.7666,77.41924461567169,375.03738132042474,22.35261314,4.844239738868588,0.059601027133085585
30,8.44769,47.8765,40.9905,6.886000000000003,3431.0024,27.5999,1047.3068,87.61465119999997,12.601099999999999,0.0,1.7782,76.77663802614268,376.29076739342406,22.407276019999998,4.9011102474335475,0.05954776986747717
31,8.681097,47.411,40.5189,6.892099999999999,3411.1064,27.3805,1040.4348,86.39331199999997,12.572899999999999,0.0,1.7519999999999998,76.23896995881758,371.65395055288576,22.027720799999994,4.874855349615086,0.059269438054487956
32,8.92266,47.1737,40.4179,6.755799999999994,3395.6625,27.4368,1038.3907,85.98775279999997,12.443299999999999,0.0,1.7433,74.769022341918,369.2444071387056,21.69240489,4.93846777145426,0.05874809332413615
33,9.152501,46.9545,40.2069,6.747600000000006,3403.3669,27.7967,1034.7698,85.80595039999997,12.4142,0.0,1.7393999999999998,75.65064998030351,368.7916958991418,21.593259479999997,4.874930962194784,0.05855137119439203
34,9.386433,46.7112,39.9695,6.741700000000002,3347.6911,27.4163,1031.7282,85.74068799999998,12.226099999999999,0.0,1.738,74.5450023537616,361.6923275848329,21.248961799999996,4.85199968025196,0.05874872143926296
