,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A)
0,0.0,17.8971,15.121,2.776099999999998,0.0,0.0,43.90282799999996,43.90282799999996,6.0689,0.0,2.776099999999998,0.0,15.121,26.0,3000.0,0.0,0.7205,0.0,0.7205,0.0,0.0,4.372642450000001,0.0,0.0,6.2689,17.8971,15.121,0.0,0.8905000000000001
1,1.651606,18.2215,15.3727,2.848799999999999,1774.4561,16.7209,47.86984959999996,47.86984959999996,5.8946,0.132,2.776099999999998,0.0,15.121,26.0,3000.0,0.0,0.7205,0.0,0.8056,17.14934931002663,8.895204559946272,4.7486897599999995,0.5186904995133288,0.5338482918518382,6.0946,18.2215,15.3727,0.0,0.9756
2,1.801606,18.1928,15.3281,2.864699999999999,1774.4561,16.7209,46.583247999999955,46.583247999999955,5.9916,0.109,2.776099999999998,0.0,15.121,20.63530763554641,1889.659241404331,0.0,0.7205,0.0,0.778,17.264997225044628,8.65612746831584,4.6614648,0.5013685988758371,0.5385161918031399,6.1916,18.1928,15.3281,0.0,0.9480000000000001
3,1.951619,18.1439,15.3262,2.8176999999999985,1774.4561,16.845,45.10552079999995,45.10552079999995,5.9211,0.112,2.776099999999998,0.0,15.121,21.461454597830674,1856.8069330859198,0.0,0.7205,0.0,0.7463,17.048745928785348,8.381535301479438,4.41891693,0.49162180822508084,0.5272204639190639,6.1211,18.1439,15.3262,0.0,0.9163
4,2.158299,18.1268,15.3269,2.799899999999999,1789.1424,16.845,46.350167999999954,46.350167999999954,6.0173,0.114,2.776099999999998,0.0,15.121,21.433277414395036,1852.1667145748327,0.0,0.7205,0.0,0.773,16.918317563490135,8.684100444316018,4.6513729,0.5132957465614888,0.535619426539965,6.2173,18.1268,15.3269,0.0,0.9430000000000001
5,2.396293,18.0957,15.1631,2.9326000000000008,1789.1424,16.9091,43.35742079999996,43.35742079999996,5.9551,0.119,2.776099999999998,0.0,15.121,21.481281907825913,1849.6335539509957,0.0,0.7205,0.0,0.7088,17.958747418702348,8.123383657070598,4.22097488,0.45233575970954726,0.519607968574285,6.1551,18.0957,15.1631,0.0,0.8788
6,2.609947,18.2313,15.4026,2.8287000000000013,1789.1424,16.9091,43.87485839999996,43.87485839999996,6.0059,0.107,2.776099999999998,0.0,15.121,21.467653731194112,1848.373402190262,0.0,0.7205,0.0,0.7199,17.194529751269858,8.220330017482189,4.3236474099999995,0.4780782107097228,0.5259700523950853,6.2059,18.2313,15.4026,0.0,0.8899
7,2.862508,18.191,15.3751,2.815899999999999,1786.8183,16.9222,44.04267599999996,44.04267599999996,5.9078,0.125,2.776099999999998,0.0,15.121,21.43403405452437,1843.7329884139788,0.0,0.7205,0.0,0.7235,17.11362985698644,8.241053009834182,4.2742933,0.4815490973395027,0.5186586343880347,6.1078,18.191,15.3751,0.0,0.8935000000000001
8,3.110175,18.2246,15.4118,2.8127999999999993,1786.8183,16.9222,48.97464879999996,48.97464879999996,5.874,0.109,2.776099999999998,0.0,15.121,21.41094403219783,1839.2533303402074,0.0,0.7205,0.0,0.8293,17.090810702374778,9.163899961455842,4.8713082,0.5361887227609696,0.5315758815012325,6.074,18.2246,15.4118,0.0,0.9993000000000001
9,3.340444,18.227,15.38,2.8469999999999995,1786.8183,16.8611,49.15178959999996,49.15178959999996,5.878,0.113,2.776099999999998,0.0,15.121,21.432714119323418,1840.1990942198559,0.0,0.7205,0.0,0.8331,17.27993974455302,9.197045693177602,4.8969618,0.5322382964950265,0.532449436848246,6.078,18.227,15.38,0.0,1.0030999999999999
10,3.571755,18.1122,15.2578,2.854400000000002,1780.4255,16.8611,52.02333519999996,52.02333519999996,5.9802,0.118,2.776099999999998,0.0,15.121,21.46516388728597,1845.879336664651,0.0,0.7205,0.0,0.8947,17.33421459774051,9.699528300314773,5.35048494,0.5595597219373927,0.5516232103602774,6.1802,18.1122,15.2578,0.0,1.0647
11,3.811257,18.0651,15.1796,2.8855000000000004,1780.4255,16.9151,46.131072799999956,46.131072799999956,5.9047,0.11,2.776099999999998,0.0,15.121,21.49365843050871,1849.1628012304323,0.0,0.7205,0.0,0.7683,17.618561409888365,8.600941182015582,4.53658101,0.48817499805564885,0.5274516955755856,6.1047,18.0651,15.1796,0.0,0.9383
12,4.040138,18.1397,15.3617,2.7780000000000005,1780.4255,16.9151,47.007453599999955,47.007453599999955,5.9321,0.108,2.776099999999998,0.0,15.121,21.44957821855384,1848.231431586789,0.0,0.7205,0.0,0.7871,16.827584023560114,8.764338633155019,4.669155910000001,0.5208316666780071,0.5327448088708984,6.1321,18.1397,15.3617,0.0,0.9571000000000001
13,4.269767,18.1959,15.388,2.807900000000002,1789.0916,16.5422,48.83946239999996,48.83946239999996,5.9125,0.128,2.776099999999998,0.0,15.121,21.42554611830537,1847.4061727184862,0.0,0.7205,0.0,0.8264,16.671765397837998,9.150231228660793,4.88609,0.5488459686367347,0.533985412816187,6.1125,18.1959,15.388,0.0,0.9964000000000001
14,4.517847,18.0963,15.179,2.917299999999999,1789.0916,16.5422,46.44806159999996,46.44806159999996,5.9963,0.109,2.776099999999998,0.0,15.121,21.476468108567534,1852.3315345215854,0.0,0.7205,0.0,0.7751,17.458977247517925,8.702194554931879,4.64773213,0.4984366742427043,0.5340873616030505,6.1963,18.0963,15.179,0.0,0.9451
15,4.721575,18.0218,15.3434,2.678399999999998,1789.0916,16.8843,47.431659199999956,47.431659199999956,5.9845,0.112,2.776099999999998,0.0,15.121,21.409469865969033,1852.697894469586,0.0,0.7205,0.0,0.7962,16.06542804743879,8.886474746270672,4.7648589,0.5531427310887858,0.5361922512636,6.1845,18.0218,15.3434,0.0,0.9662000000000001
16,4.98122,18.114,15.2658,2.8482000000000003,1796.2535,16.8843,43.01712399999995,43.01712399999995,5.9934,0.116,2.776099999999998,0.0,15.121,21.416410290012575,1854.992715572233,0.0,0.7205,0.0,0.7015,17.312529484055386,8.091659816478892,4.2043701,0.467387496664263,0.5195930371958647,6.1934000000000005,18.114,15.2658,0.0,0.8715
