,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A)
0,0.0,37.2361,32.3057,4.930399999999999,0.0,25.1314,99.32459039999998,99.32459039999998,6.16,0.0,4.930399999999999,0.0,32.3057,26.0,3000.0,0.0,1.9094,0.0,1.9094,48.531307708032976,0.0,11.761904,0.0,0.0,6.36,37.2361,32.3057,0.0,2.0794
1,1.652776,37.0729,31.8988,5.174099999999996,2144.531,25.1314,96.05680879999997,96.05680879999997,6.1664,0.122,4.930399999999999,0.0,32.3057,26.0,3000.0,0.0,1.9094,0.0,1.8393,51.195424410390835,21.57193487002845,11.34185952,0.42136450900581107,0.5257692269300386,6.3664000000000005,37.0729,31.8988,0.0,2.0093
2,1.802779,37.2623,32.186,5.076300000000003,2144.531,24.3387,97.30145599999997,97.30145599999997,6.1217,0.113,4.930399999999999,0.0,32.3057,25.56579756250293,2165.902390123097,0.0,1.9094,0.0,1.866,48.54518566349929,21.851451217385634,11.4230922,0.4501260200929781,0.5227612613166609,6.3217,37.2623,32.186,0.0,2.036
3,1.952789,37.0717,31.9899,5.081800000000001,2150.2292,24.3387,96.82131119999997,96.82131119999997,6.2515,0.119,4.930399999999999,0.0,32.3057,25.838998325634513,2160.687240991688,0.0,1.9094,0.0,1.8557,48.60341490065916,21.801397456065885,11.60090855,0.44855690697095885,0.5321176577500648,6.4515,37.0717,31.9899,0.0,2.0257
4,2.162801,37.2037,32.0925,5.111199999999997,2150.2292,24.593,100.08909279999997,100.08909279999997,6.2337,0.109,4.930399999999999,0.0,32.3057,25.31481929893188,2165.8304358219107,0.0,1.9094,0.0,1.9258,49.425755797758775,22.537208658974066,12.004859459999999,0.45598106281251893,0.5326684258753489,6.4337,37.2037,32.0925,0.0,2.0958
5,2.396021,37.0846,32.2183,4.8663000000000025,2157.7072,24.593,96.53695359999996,96.53695359999996,6.1521,0.122,4.930399999999999,0.0,32.3057,24.844149921553875,2158.0279317142267,0.0,1.9094,0.0,1.8496,46.80587622655605,21.812965776637288,11.378924159999999,0.466030497347283,0.5216587362085059,6.3521,37.0846,32.2183,0.0,2.0196
6,2.637517,37.252,32.175,5.077000000000005,2157.7072,24.2648,99.66488719999998,99.66488719999998,6.0758,0.113,4.930399999999999,0.0,32.3057,24.849744589650783,2147.4445602717333,0.0,1.9094,0.0,1.9167,48.405175599786766,22.51973666616735,11.64548586,0.46523406613293133,0.517123536239909,6.2758,37.252,32.175,0.0,2.0867
7,2.871539,37.0265,32.0839,4.942599999999999,2145.4353,24.2648,98.70925919999998,98.70925919999998,6.1667,0.121,4.930399999999999,0.0,32.3057,24.94089214639191,2147.6593763999504,0.0,1.9094,0.0,1.8962,46.98658519407119,22.176955861210118,11.69329654,0.4719848392814983,0.527272390907935,6.3667,37.0265,32.0839,0.0,2.0662000000000003
8,3.112586,36.9575,32.1114,4.8461,2145.4353,24.4449,97.72566159999997,97.72566159999997,6.1148,0.115,4.930399999999999,0.0,32.3057,24.775144446963417,2142.951231743666,0.0,1.9094,0.0,1.8751,46.309216155130834,21.955971520559807,11.46586148,0.47411667360142074,0.5222206391214911,6.3148,36.9575,32.1114,0.0,2.0451
9,3.352064,36.886,31.9709,4.9151000000000025,2147.1333,24.4449,102.19613599999998,102.19613599999998,6.1776,0.118,4.930399999999999,0.0,32.3057,24.717113906491726,2141.2280917395788,0.0,1.9094,0.0,1.971,47.04291593577976,22.978522503853128,12.1760496,0.4884587200168898,0.529888272753754,6.3776,36.886,31.9709,0.0,2.141
