,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A)
0,0.0,37.7859,32.1469,5.638999999999996,2912.3813,24.4409,72.31061839999997,72.31061839999997,10.5391,0.0,5.638999999999996,2912.3813,32.1469,26.0,3000.0,0.0,1.3299,0.0,1.3299,54.73142628411098,22.053571244025335,14.01594909,0.4029416505527407,0.6355410166866804,10.739099999999999,37.7859,32.1469,0.0,1.4999
1,1.917246,37.5006,32.0681,5.432499999999997,2963.1062,24.6776,73.06113599999998,73.06113599999998,10.5038,0.116,5.638999999999996,2912.3813,32.1469,26.0,3000.0,0.0,1.3299,0.0,1.346,53.04479235308942,22.67056037841381,14.1381148,0.42738522242689936,0.6236332302337734,10.7038,37.5006,32.0681,0.0,1.516
2,2.067248,37.3686,31.9978,5.370799999999999,2963.1062,24.6776,73.45737199999996,73.45737199999996,10.4806,0.109,5.638999999999996,2912.3813,32.1469,25.833433760294678,2926.923021947011,0.0,1.3299,0.0,1.3545,52.38247044917653,22.793510727312036,14.195972700000002,0.4351362303430719,0.6228076433609614,10.6806,37.3686,31.9978,0.0,1.5245
3,2.217257,37.5165,32.0516,5.4649,2954.0454,24.4123,73.54128079999997,73.54128079999997,10.5204,0.121,5.638999999999996,2912.3813,32.1469,25.358391249791456,2926.014296254708,0.0,1.3299,0.0,1.3563,52.81858731430762,22.74976801314035,14.268818520000002,0.4307151926984204,0.6272072098387236,10.7204,37.5165,32.0516,0.0,1.5263
4,2.380288,37.5049,32.1065,5.398400000000002,2954.0454,24.4123,71.63934799999996,71.63934799999996,10.5284,0.109,5.638999999999996,2912.3813,32.1469,25.28493942576087,2933.4258264688565,0.0,1.3299,0.0,1.3155,52.1124138776882,22.161410977392578,13.850110199999998,0.4252616474340854,0.6249651799756274,10.728399999999999,37.5049,32.1065,0.0,1.4854999999999998
5,2.612866,37.1719,31.7846,5.3873,2959.4243,24.4304,73.69045199999996,73.69045199999996,10.565,0.125,5.638999999999996,2912.3813,32.1469,24.721420227779745,2929.8775766880494,0.0,1.3299,0.0,1.3595,52.03309160718193,22.837421806378757,14.363117499999998,0.43890188149471004,0.6289290280564075,10.764999999999999,37.1719,31.7846,0.0,1.5294999999999999
6,2.858532,37.3754,31.8554,5.52,2959.4243,24.4304,71.85844319999997,71.85844319999997,10.5419,0.108,5.638999999999996,2912.3813,32.1469,24.73506308362126,2929.5637127063383,0.0,1.3299,0.0,1.3202,53.44329752926045,22.269663615418036,13.91741638,0.416697034894325,0.6249495556082179,10.7419,37.3754,31.8554,0.0,1.4902
7,3.087393,37.4811,32.0265,5.454599999999999,2962.6081,24.653,70.71168959999997,70.71168959999997,10.4702,0.116,5.638999999999996,2912.3813,32.1469,24.748271883169192,2923.4513299902096,0.0,1.3299,0.0,1.2956,53.22891149073189,21.9378487471072,13.565191120000001,0.41214159998231364,0.6183464603286936,10.6702,37.4811,32.0265,0.0,1.4656
8,3.353086,37.3851,32.0473,5.337800000000001,2962.6081,24.653,71.47619199999997,71.47619199999997,10.577,0.109,5.638999999999996,2912.3813,32.1469,24.717554074096736,2922.520152965796,0.0,1.3299,0.0,1.312,51.976365584108194,22.17503071960529,13.877024,0.42663680829552497,0.6257950293494343,10.777,37.3851,32.0473,0.0,1.482
9,3.588804,37.4988,32.1536,5.3452000000000055,2962.7211,24.554,72.36655759999996,72.36655759999996,10.5182,0.113,5.638999999999996,2912.3813,32.1469,24.670033185719237,2919.770840408264,0.0,1.3299,0.0,1.3311,51.846679923749655,22.452117281197754,14.00077602,0.43304831310737424,0.6235837736214204,10.7182,37.4988,32.1536,0.0,1.5010999999999999
10,3.822167,37.511,32.1047,5.406300000000002,2962.7211,24.554,74.21255119999996,74.21255119999996,10.5563,0.108,5.638999999999996,2912.3813,32.1469,24.64904690497797,2920.77066638398,0.0,1.3299,0.0,1.3707,52.49927605562327,23.02484681514398,14.469520410000001,0.4385745584519876,0.6284306916857774,10.7563,37.511,32.1047,0.0,1.5407
