,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A)
0,0.0,47.4774,40.7472,6.7302000000000035,3256.3925,27.1898,90.15056159999996,90.15056159999996,11.6252,0.0,6.7302000000000035,3256.3925,40.7472,26.0,3000.0,0.0,1.7126,0.0,1.7126,73.79313377189506,30.74211903470661,19.90931752,0.4165986381569703,0.6476234607485314,11.825199999999999,47.4774,40.7472,0.0,1.8825999999999998
1,1.685945,47.4731,41.0521,6.420999999999999,3256.3925,27.1898,90.09462239999998,90.09462239999998,11.4952,0.109,6.7302000000000035,3256.3925,40.7472,26.0,3000.0,0.0,1.7126,0.0,1.7114,70.1361205390655,30.72304328504311,19.672885280000003,0.4380487978078359,0.6403299665817073,11.6952,47.4731,41.0521,0.0,1.8814
2,1.835943,47.5165,40.7881,6.728400000000001,3305.2529,27.7117,87.54006559999998,87.54006559999998,11.5443,0.113,6.7302000000000035,3256.3925,40.7472,25.604650652025768,3230.418577690007,0.0,1.7126,0.0,1.6566,75.18787283974362,30.29982918311496,19.124287380000002,0.4029882484865132,0.6311681582237204,11.744299999999999,47.5165,40.7881,0.0,1.8266
3,1.985954,47.5067,40.5114,6.9953,3305.2529,27.7117,88.49569359999997,88.49569359999997,11.6057,0.109,6.7302000000000035,3256.3925,40.7472,25.726065646665386,3240.175283793585,0.0,1.7126,0.0,1.6771,78.40518185646974,30.630596186362457,19.46391947,0.3906705585153224,0.6354404384288754,11.8057,47.5067,40.5114,0.0,1.8471
4,2.135955,47.6515,40.8773,6.7742,3307.7648,27.4813,91.28799199999997,91.28799199999997,11.5369,0.117,6.7302000000000035,3256.3925,40.7472,26.07894912301535,3225.1866324810426,0.0,1.7126,0.0,1.737,75.11024707191352,31.621094135175863,20.0395953,0.42099574116565713,0.6337413631019048,11.736899999999999,47.6515,40.8773,0.0,1.907
5,2.373667,47.726,41.0123,6.713699999999996,3307.7648,27.4813,90.69596879999996,90.69596879999996,11.5557,0.109,6.7302000000000035,3256.3925,40.7472,26.67788619841911,3251.552839861102,0.0,1.7126,0.0,1.7243,74.38702165367901,31.4160242138503,19.92549351,0.42233206163452486,0.6342461851431697,11.7557,47.726,41.0123,0.0,1.8942999999999999
6,2.605933,47.4982,40.556,6.9422,3315.227,27.4881,88.05750319999997,88.05750319999997,11.6327,0.117,6.7302000000000035,3256.3925,40.7472,26.99910552177105,3252.3843906597945,0.0,1.7126,0.0,1.6677,77.13762473643837,30.570902182523636,19.399853789999998,0.3963163538801904,0.634585583185381,11.832699999999999,47.4982,40.556,0.0,1.8377
7,2.842402,47.3974,40.4967,6.9007000000000005,3315.227,27.4881,89.57718479999997,89.57718479999997,11.5988,0.109,6.7302000000000035,3256.3925,40.7472,27.110706890853635,3245.770752589341,0.0,1.7126,0.0,1.7003,76.64140520727136,31.098489677670567,19.72143964,0.4057661729135428,0.6341606889726368,11.7988,47.3974,40.4967,0.0,1.8702999999999999
8,3.084537,47.5232,40.9054,6.617800000000003,3321.5234,27.4088,88.37449199999998,88.37449199999998,11.6056,0.118,6.7302000000000035,3256.3925,40.7472,27.030566969241455,3243.1218013403286,0.0,1.7126,0.0,1.6745,73.04739941342491,30.739221488941258,19.433577200000002,0.4208119896913386,0.6322078523358643,11.8056,47.5232,40.9054,0.0,1.8445
9,3.312956,47.7291,41.1895,6.5396,3321.5234,27.4088,91.53039519999997,91.53039519999997,11.5066,0.109,6.7302000000000035,3256.3925,40.7472,26.933690081276197,3234.1743820073902,0.0,1.7126,0.0,1.7422,72.115051918137,31.836936511308327,20.04679852,0.44147422298813194,0.6296710901464867,11.7066,47.7291,41.1895,0.0,1.9122
10,3.545601,47.6906,40.7551,6.935500000000005,3313.3681,27.5029,91.21806799999997,91.21806799999997,11.5243,0.117,6.7302000000000035,3256.3925,40.7472,27.119174101456608,3233.1367868665243,0.0,1.7126,0.0,1.7355,77.09900109134009,31.650397869929893,20.00042265,0.41051631567098124,0.6319169424723665,11.7243,47.6906,40.7551,0.0,1.9055
