,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A)
0,0.0,47.4927,41.1009,6.391799999999996,3245.614,28.0366,91.92663119999996,91.92663119999996,11.1469,0.0,6.391799999999996,3245.614,41.1009,26.0,3000.0,0.0,1.7507,0.0,1.7507,71.96432796814544,31.244014486600197,19.51487783,0.4341597478743936,0.6245957233942988,11.3469,47.4927,41.1009,0.0,1.9206999999999999
1,1.915748,47.621,41.0856,6.535400000000003,3256.6772,27.9215,89.56319999999997,89.56319999999997,11.2138,0.119,6.391799999999996,3245.614,41.1009,26.0,3000.0,0.0,1.7507,0.0,1.7,73.41300075124113,30.544493874891767,19.063460000000003,0.4160638246949111,0.6241209979802801,11.4138,47.621,41.0856,0.0,1.8699999999999999
2,2.065751,47.9179,41.0197,6.898200000000003,3256.6772,27.9215,86.76157839999996,86.76157839999996,11.2435,0.109,6.391799999999996,3245.614,41.1009,25.483468557165132,3167.2048174091387,0.0,1.7507,0.0,1.6399,77.81943260097812,29.589033219165255,18.438215649999997,0.380226792077553,0.6231435651658024,11.443499999999998,47.9179,41.0197,0.0,1.8098999999999998
3,2.215763,47.6918,40.8785,6.813299999999998,3260.9528,27.5769,90.58875199999997,90.58875199999997,11.2893,0.119,6.391799999999996,3245.614,41.1009,25.782890626906266,3165.561523879748,0.0,1.7507,0.0,1.722,75.84056810189017,30.934806715866966,19.440174600000002,0.40789260273349637,0.6284239878579497,11.4893,47.6918,40.8785,0.0,1.892
4,2.376963,47.7328,40.8205,6.912299999999995,3260.9528,27.5769,92.21565039999996,92.21565039999996,11.2937,0.11,6.391799999999996,3245.614,41.1009,27.01010591182089,3168.692680594386,0.0,1.7507,0.0,1.7569,77.02814481322731,31.49037003293698,19.841901529999998,0.4088164152115142,0.6300942640320388,11.493699999999999,47.7328,40.8205,0.0,1.9268999999999998
5,2.605231,47.6961,40.7649,6.931200000000004,3269.0073,28.1672,92.74707279999997,92.74707279999997,11.2645,0.114,6.391799999999996,3245.614,41.1009,27.613931192817635,3176.613321665569,0.0,1.7507,0.0,1.7683,78.90855046656655,31.75007237185676,19.91901535,0.40236542407795495,0.6273691321616073,11.4645,47.6961,40.7649,0.0,1.9383
6,2.838972,47.6405,41.1015,6.5390000000000015,3269.0073,28.1672,90.51882799999997,90.51882799999997,11.2541,0.109,6.391799999999996,3245.614,41.1009,28.087783317219095,3182.4259805590555,0.0,1.7507,0.0,1.7205,74.10311996860257,30.987278123732377,19.362679049999997,0.41816428426848506,0.6248589815692979,11.454099999999999,47.6405,41.1015,0.0,1.8904999999999998
7,3.07492,47.7768,40.9989,6.7779000000000025,3260.7861,27.9819,90.26243999999997,90.26243999999997,11.2726,0.117,6.391799999999996,3245.614,41.1009,28.096551252635866,3184.233629158537,0.0,1.7507,0.0,1.715,76.52349309487674,30.82179998621679,19.332509,0.4027756541119045,0.6272349119339335,11.4726,47.7768,40.9989,0.0,1.885
8,3.311132,47.7254,41.071,6.6544000000000025,3260.7861,27.9819,88.87794479999997,88.87794479999997,11.2477,0.109,6.391799999999996,3245.614,41.1009,28.18527305350745,3179.515121834808,0.0,1.7507,0.0,1.6853,75.02026393627436,30.34903818035072,18.95574881,0.40454454020757086,0.6245914185930534,11.4477,47.7254,41.071,0.0,1.8553
9,3.544881,47.7163,41.1602,6.556099999999994,3262.6496,27.7729,91.16212879999996,91.16212879999996,11.1987,0.121,6.391799999999996,3245.614,41.1009,28.224359133402093,3174.341630184795,0.0,1.7507,0.0,1.7343,73.27236843181107,31.14680542814078,19.42190541,0.4250825528743035,0.6235601097136123,11.3987,47.7163,41.1602,0.0,1.9042999999999999
10,3.787436,47.7572,41.2384,6.518799999999999,3262.6496,27.7729,93.85653359999998,93.85653359999998,11.1457,0.109,6.391799999999996,3245.614,41.1009,28.178755703506994,3175.728190555242,0.0,1.7507,0.0,1.7921,72.82174777551421,32.06738619073316,19.97420897,0.44035452554072846,0.6228823531545628,11.345699999999999,47.7572,41.2384,0.0,1.9621
11,4.043173,47.6729,41.0001,6.672799999999995,3257.1208,27.5595,90.92904879999998,90.92904879999998,11.2396,0.116,6.391799999999996,3245.614,41.1009,28.276874248098654,3181.530544330083,0.0,1.7507,0.0,1.7293,74.10837967150826,31.014524806105616,19.43664028,0.41850226578397953,0.6266947632282808,11.439599999999999,47.6729,41.0001,0.0,1.8993
12,4.281462,47.7322,40.9512,6.780999999999999,3257.1208,27.5595,97.79092399999998,97.79092399999998,11.1547,0.109,6.391799999999996,3245.614,41.1009,28.249422777079907,3176.8798489436517,0.0,1.7507,0.0,1.8765,75.40549809663645,33.355006768859866,20.93179455,0.442341839929411,0.6275458042941205,11.3547,47.7322,40.9512,0.0,2.0465
13,4.509961,47.7169,40.8297,6.8872,3259.4802,28.1334,92.63985599999997,92.63985599999997,11.3119,0.115,6.391799999999996,3245.614,41.1009,28.05716656254689,3216.667637233372,0.0,1.7507,0.0,1.766,78.27539891890314,31.620944361062556,19.9768154,0.40397040191163114,0.6317589750608169,11.511899999999999,47.7169,40.8297,0.0,1.936
