,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A)
0,0.0,41.8719,35.5346,6.337299999999999,3235.8496,25.138,69.15471519999997,69.15471519999997,11.8783,0.0,6.337299999999999,3235.8496,35.5346,26.0,3000.0,0.0,1.2622,0.0,1.2622,63.9282553860715,23.43358542259541,14.99279026,0.3665606902781372,0.639799244956492,12.078299999999999,41.8719,35.5346,0.0,1.4322
1,1.900477,41.7864,35.6525,6.133899999999997,3266.8852,25.6341,69.60222879999996,69.60222879999996,11.9007,0.113,6.337299999999999,3235.8496,35.5346,26.0,3000.0,0.0,1.2622,0.0,1.2718,62.92184691090303,23.811438764908658,15.13531026,0.3784287959415037,0.6356319082366907,12.1007,41.7864,35.6525,0.0,1.4418
2,2.05048,41.5744,35.4374,6.1370000000000005,3266.8852,25.6341,69.89124799999996,69.89124799999996,11.8889,0.109,6.337299999999999,3235.8496,35.5346,25.54912687090168,3193.7255477015437,0.0,1.2622,0.0,1.278,62.95641384021668,23.910314377102885,15.1940142,0.3797915560722255,0.6354585707392525,12.088899999999999,41.5744,35.4374,0.0,1.448
3,2.20049,41.9361,35.7399,6.196200000000005,3264.8776,25.7768,67.89608319999996,67.89608319999996,11.8842,0.115,6.337299999999999,3235.8496,35.5346,26.209063929800678,3198.814032009899,0.0,1.2622,0.0,1.2352,63.97067141550983,23.213479540513536,14.67936384,0.3628769094783235,0.6323637873581471,12.0842,41.9361,35.7399,0.0,1.4052
4,2.399577,41.6709,35.6592,6.011700000000005,3264.8776,25.7768,68.34825839999996,68.34825839999996,11.8057,0.11,6.337299999999999,3235.8496,35.5346,26.484069330423367,3182.2402917848735,0.0,1.2622,0.0,1.2449,61.901929061839226,23.368076967334286,14.69691593,0.37750159520860616,0.6289313387038433,12.0057,41.6709,35.6592,0.0,1.4148999999999998
5,2.628777,42.0864,35.848,6.238399999999999,3263.7353,25.3823,70.69770479999997,70.69770479999997,11.896,0.122,6.337299999999999,3235.8496,35.5346,26.395913347176172,3191.7251056605137,0.0,1.2622,0.0,1.2953,63.4575689033777,24.16288911490218,15.4088888,0.38077237329550523,0.6377088735840264,12.096,42.0864,35.848,0.0,1.4652999999999998
6,2.84831,42.0094,35.6647,6.344699999999996,3263.7353,25.3823,72.77677839999997,72.77677839999997,11.8978,0.11,6.337299999999999,3235.8496,35.5346,26.32784457802032,3201.0967783642736,0.0,1.2622,0.0,1.3399,64.6312369227306,24.87346981905144,15.94186222,0.3848521396672129,0.6409183091853788,12.0978,42.0094,35.6647,0.0,1.5099
7,3.077574,41.6233,35.6317,5.991599999999998,3270.0971,25.6408,72.73482399999996,72.73482399999996,11.9262,0.113,6.337299999999999,3235.8496,35.5346,26.367401449322013,3209.0085430245954,0.0,1.2622,0.0,1.339,61.35114454432846,24.907587132694708,15.9691818,0.4059840662743962,0.6411372452467788,12.126199999999999,41.6233,35.6317,0.0,1.509
8,3.336171,41.8542,35.6898,6.1644000000000005,3270.0971,25.6408,68.39953599999996,68.39953599999996,11.8356,0.11,6.337299999999999,3235.8496,35.5346,26.289583380395342,3211.2559222321966,0.0,1.2622,0.0,1.246,63.27847570406741,23.42299477834563,14.7471576,0.37015738002108745,0.629601711461492,12.035599999999999,41.8542,35.6898,0.0,1.416
9,3.570497,41.8652,35.6256,6.239600000000003,3266.718,25.7039,70.40868559999996,70.40868559999996,11.9012,0.121,6.337299999999999,3235.8496,35.5346,26.35611778382814,3210.322063394194,0.0,1.2622,0.0,1.2891,64.27500913107323,24.08610082254218,15.341836919999999,0.37473508208181566,0.6369580960003943,12.101199999999999,41.8652,35.6256,0.0,1.4590999999999998
