,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A)
0,0.0,37.4939,32.2874,5.206499999999998,0.0,23.7061,92.21565039999996,92.21565039999996,7.7629,0.0,5.206499999999998,0.0,32.2874,26.0,3000.0,0.0,1.7569,0.0,1.7569,48.626039078912726,0.0,13.63863901,0.0,0.0,7.9629,37.4939,32.2874,0.0,1.9268999999999998
1,1.691003,37.4969,32.1114,5.385499999999993,2428.7221,23.7061,93.94976559999998,93.94976559999998,7.7482,0.113,5.206499999999998,0.0,32.2874,26.0,3000.0,0.0,1.7569,0.0,1.7941,50.47187960380408,23.894730852527314,13.90104562,0.4734266098290178,0.581761966928776,7.9482,37.4969,32.1114,0.0,1.9641
2,1.841006,37.2831,31.7094,5.573699999999999,2428.7221,24.5897,45.874684799999955,45.874684799999955,9.3475,0.113,5.206499999999998,0.0,32.2874,25.73273587785348,2806.2343171745633,0.0,1.7569,0.0,0.7628,54.3661702210069,11.667546366294768,7.130273000000001,0.2146104152428686,0.6111201769549378,9.5475,37.2831,31.7094,0.0,0.9328000000000001
3,1.991014,37.6197,31.3655,6.254200000000001,2983.445,24.5897,45.091535999999955,45.091535999999955,14.8321,0.117,5.206499999999998,0.0,32.2874,24.58697305411676,3271.935602295673,0.0,1.7569,0.0,0.746,61.645013913413564,14.087751517936741,11.064746600000001,0.22853026747182445,0.7854160819000957,15.0321,37.6197,31.3655,0.0,0.916
4,2.157343,37.8812,31.159,6.722200000000001,3807.1066,24.0258,48.31736319999996,48.31736319999996,15.638,0.116,5.206499999999998,0.0,32.2874,22.039521629701376,3492.024906257775,0.0,1.7569,0.0,0.8152,65.12242764261984,19.26313110875363,12.748097600000001,0.29579872566278126,0.6617874076663974,15.838,37.8812,31.159,0.0,0.9852000000000001
5,2.397565,38.2258,31.4993,6.726499999999998,3854.9179,24.0258,43.91681279999995,43.91681279999995,15.7023,0.11,5.206499999999998,0.0,32.2874,25.918308290029,3608.4103917514244,0.0,1.7569,0.0,0.7208,65.16736705057707,17.728605040610205,11.318217839999999,0.27204728137705564,0.6384155896120316,15.902299999999999,38.2258,31.4993,0.0,0.8908
6,2.627235,37.9051,31.3783,6.526799999999998,3859.6791,24.2997,46.00987119999996,46.00987119999996,15.7974,0.116,5.206499999999998,0.0,32.2874,26.276350522594043,3681.3278732416584,0.0,1.7569,0.0,0.7657,63.79942816455807,18.596483675122943,12.09606918,0.2914835478957111,0.6504492672548232,15.997399999999999,37.9051,31.3783,0.0,0.9357000000000001
7,2.870442,38.0413,31.2842,6.757100000000001,3839.3579,24.2997,47.580830399999954,47.580830399999954,15.6304,0.115,5.206499999999998,0.0,32.2874,26.437231119451866,3728.6964859300188,0.0,1.7569,0.0,0.7994,66.23373816593286,19.13018778296017,12.49494176,0.2888284477471895,0.6531531159944817,15.8304,38.0413,31.2842,0.0,0.9694
8,3.1023,38.161,31.6569,6.504100000000001,3823.7993,24.176,44.149892799999954,44.149892799999954,15.5616,0.115,5.206499999999998,0.0,32.2874,26.346131247465575,3758.6454225242164,0.0,1.7569,0.0,0.7258,63.235929542493245,17.678823511137974,11.29460928,0.27956928346025445,0.6388778796781468,15.7616,38.161,31.6569,0.0,0.8958
9,3.314904,38.1238,31.4834,6.640400000000003,3827.6372,24.176,47.93511199999996,47.93511199999996,15.5472,0.113,5.206499999999998,0.0,32.2874,26.38077146547997,3777.2009307748426,0.0,1.7569,0.0,0.807,64.66930952896311,19.213794023954414,12.546590400000001,0.2971083836197328,0.6529991101371124,15.7472,38.1238,31.4834,0.0,0.9770000000000001
10,3.572952,38.0908,31.5316,6.559200000000001,3794.8422,24.3897,48.97464879999996,48.97464879999996,15.3755,0.122,5.206499999999998,0.0,32.2874,26.290220453396476,3785.594357554403,0.0,1.7569,0.0,0.8293,64.37946718312499,19.46227788819434,12.750902150000002,0.30230566886853255,0.6551598031458895,15.5755,38.0908,31.5316,0.0,0.9993000000000001
11,3.794654,38.1641,31.7229,6.4411999999999985,3782.8867,24.3897,48.07495999999996,48.07495999999996,15.2733,0.116,5.206499999999998,0.0,32.2874,26.18283742569289,3785.218122311025,0.0,1.7569,0.0,0.81,63.12756758726314,19.04455736091691,12.371373000000002,0.3016836873144375,0.6496014985041572,15.4733,38.1641,31.7229,0.0,0.9800000000000001
12,4.035668,37.9888,31.7278,6.260999999999999,3782.8867,24.5479,53.54301679999996,53.54301679999996,15.0416,0.116,5.206499999999998,0.0,32.2874,25.8489212577313,3772.6768774353413,0.0,1.7569,0.0,0.9273,61.61283494533308,21.210689613140357,13.94807568,0.3442576474846493,0.6575965201696671,15.2416,37.9888,31.7278,0.0,1.0973
13,4.296238,37.9961,31.553,6.443099999999998,3757.6425,24.5479,47.93511199999996,47.93511199999996,15.1883,0.111,5.206499999999998,0.0,32.2874,25.858439569992044,3777.6391559538692,0.0,1.7569,0.0,0.807,63.557323202446604,18.86243790572866,12.2569581,0.29677835621942245,0.6498077375394552,15.3883,37.9961,31.553,0.0,0.9770000000000001
14,4.53257,38.158,31.594,6.564,3757.6425,24.8016,48.853447199999955,48.853447199999955,15.06,0.111,5.206499999999998,0.0,32.2874,25.82887129351501,3771.744128201391,0.0,1.7569,0.0,0.8267,65.51851019306407,19.22380225774363,12.450102000000001,0.29341024698358753,0.6476399326769458,15.26,38.158,31.594,0.0,0.9967
15,4.762143,37.9142,31.6624,6.251799999999999,3741.3562,24.8016,48.308039999999956,48.308039999999956,14.9453,0.111,5.206499999999998,0.0,32.2874,25.952259087090116,3764.4610633035713,0.0,1.7569,0.0,0.815,62.150343079236535,18.926795616705828,12.1804195,0.30453243987045625,0.6435542363678769,15.145299999999999,37.9142,31.6624,0.0,0.985
