,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM)
0,0.0,41.8976,35.438,6.459599999999995,3562.1838,25.1938,55.86449359999996,55.86449359999996,14.235,0.0,6.459599999999995,3562.1838,35.438,25.567,3258.0,0.0,0.9771,0.0,0.9771,65.4104573168814,20.839188738950224,13.909018499999998,0.3185910876298362,0.6674452961790617,14.434999999999999,41.8976,35.438,0.0,1.1471,25.1938
1,1.65563,42.0076,35.5822,6.425399999999996,3562.1838,25.1938,54.293534399999956,54.293534399999956,14.2015,0.109,6.459599999999995,3562.1838,35.438,25.567,3258.0,0.0,0.9771,0.0,0.9434,65.03565625126515,20.2531722343633,13.3976951,0.3114164352569182,0.6615109448024296,14.401499999999999,42.0076,35.5822,0.0,1.1134,25.1938
2,1.675634,41.9978,35.4698,6.527999999999999,3583.7094,25.6794,55.22119279999996,55.22119279999996,14.2277,0.121,6.459599999999995,3562.1838,35.438,28.501992500524725,3594.192070660969,0.0,0.9771,0.0,0.9633,67.43526703363126,20.723694747386048,13.70554341,0.30731241469023535,0.6613465203509972,14.4277,41.9978,35.4698,0.0,1.1333,25.6794
3,1.931611,42.0192,35.6843,6.3348999999999975,3583.7094,25.6794,52.899715999999955,52.899715999999955,14.2004,0.11,6.459599999999995,3562.1838,35.438,26.44935819928925,3597.684857261752,0.0,0.9771,0.0,0.9135,65.27827679606388,19.852478931013124,12.9720654,0.30412075663446714,0.6534229526235795,14.4004,42.0192,35.6843,0.0,1.0835,25.6794
4,2.159394,41.9013,35.6696,6.2316999999999965,3583.4038,25.8684,52.06528959999996,52.06528959999996,14.2364,0.117,6.459599999999995,3562.1838,35.438,26.33329793141005,3610.3023907955894,0.0,0.9771,0.0,0.8956,64.5974617132255,19.53766486534516,12.750119839999998,0.3024525166651413,0.6525917978363659,14.436399999999999,41.9013,35.6696,0.0,1.0655999999999999,25.8684
5,2.401947,41.9556,35.5725,6.383099999999999,3583.4038,25.8684,54.414735999999955,54.414735999999955,14.1658,0.11,6.459599999999995,3562.1838,35.438,26.313171183829578,3602.1151294619244,0.0,0.9771,0.0,0.946,66.30109640993192,20.419302069996217,13.4008468,0.30797834690011855,0.6562832928404042,14.3658,41.9556,35.5725,0.0,1.1159999999999999,25.8684
6,2.629472,41.8726,35.3947,6.477899999999998,3589.6918,25.5879,54.33548879999996,54.33548879999996,14.2705,0.118,6.459599999999995,3562.1838,35.438,26.341580021895577,3618.0940922758327,0.0,0.9771,0.0,0.9443,66.63734455141073,20.425343021324156,13.47563315,0.306514960324777,0.6597506409528288,14.4705,41.8726,35.3947,0.0,1.1143,25.5879
7,2.872519,42.0473,35.625,6.4223,3589.6918,25.5879,53.77609679999996,53.77609679999996,14.2196,0.109,6.459599999999995,3562.1838,35.438,26.307783681695533,3617.749467327687,0.0,0.9771,0.0,0.9323,66.0184873202797,20.21506105394477,13.25693308,0.3062030330364001,0.6557948573404403,14.419599999999999,42.0473,35.625,0.0,1.1023,25.5879
8,3.102138,42.0778,35.5187,6.559100000000001,3586.6779,25.6461,54.92285039999996,54.92285039999996,14.2782,0.117,6.459599999999995,3562.1838,35.438,26.344596955131063,3623.0966490274586,0.0,0.9771,0.0,0.9569,67.69476642027348,20.628804618805752,13.66280958,0.3047326360613272,0.6623170771390519,14.4782,42.0778,35.5187,0.0,1.1269,25.6461
9,3.339178,41.9996,35.3898,6.6098,3586.6779,25.6461,54.66180079999996,54.66180079999996,14.2736,0.11,6.459599999999995,3562.1838,35.438,26.31964615547201,3626.2242975766103,0.0,0.9771,0.0,0.9513,68.26036762287525,20.53075542516417,13.57847568,0.3007712401813077,0.661372433639588,14.4736,41.9996,35.3898,0.0,1.1213,25.6461
10,3.572838,41.9208,35.504,6.416800000000002,3587.2907,25.4872,54.71773999999996,54.71773999999996,14.2252,0.116,6.459599999999995,3562.1838,35.438,26.3393215666617,3621.6718820206256,0.0,0.9771,0.0,0.9525,65.69769763768981,20.55527732801755,13.549503,0.3128766770698108,0.6591739329895375,14.425199999999998,41.9208,35.504,0.0,1.1225,25.4872
11,3.80679,41.8542,35.4998,6.354399999999998,3587.2907,25.4872,52.92768559999996,52.92768559999996,14.2575,0.109,6.459599999999995,3562.1838,35.438,26.309768806418102,3623.37702544722,0.0,0.9771,0.0,0.9141,65.00588618057144,19.882825128342677,13.03278075,0.30586191953622094,0.6554793227760154,14.4575,41.8542,35.4998,0.0,1.0841,25.4872
12,4.038947,42.1389,35.7295,6.409399999999998,3591.739,25.5149,56.15351279999996,56.15351279999996,14.2047,0.114,6.459599999999995,3562.1838,35.438,26.339557381762194,3613.601138378912,0.0,0.9771,0.0,0.9833,65.68696830485327,21.12079773354802,13.96748151,0.32153710665297236,0.6613141078385606,14.4047,42.1389,35.7295,0.0,1.1533,25.5149
13,4.277785,41.7827,35.435,6.347699999999996,3591.739,25.5149,56.712904799999954,56.712904799999954,14.2899,0.109,6.459599999999995,3562.1838,35.438,26.324853197221632,3624.7668619164347,0.0,0.9771,0.0,0.9953,65.00217411311064,21.33119962466114,14.222737469999998,0.32816132561262645,0.6667575063878264,14.489899999999999,41.7827,35.435,0.0,1.1653,25.5149
14,4.508146,41.8958,35.5163,6.3795,3592.3227,25.7682,52.55941919999996,52.55941919999996,14.2196,0.12,6.459599999999995,3562.1838,35.438,26.335467071705306,3624.2201503968486,0.0,0.9771,0.0,0.9062,66.00393007297606,19.772178273492276,12.88580152,0.29956062088471885,0.6517138042031236,14.419599999999999,41.8958,35.5163,0.0,1.0762,25.7682
15,4.748255,42.0888,35.6183,6.470500000000001,3592.3227,25.7682,54.71773999999996,54.71773999999996,14.2337,0.109,6.459599999999995,3562.1838,35.438,26.31755103261855,3617.7694683867285,0.0,0.9771,0.0,0.9525,67.02394495565261,20.58411083055878,13.55759925,0.3071157754766385,0.6586439104220448,14.4337,42.0888,35.6183,0.0,1.1225,25.7682
16,4.982456,42.0351,35.6061,6.429000000000002,3583.4953,25.8906,52.92768559999996,52.92768559999996,14.217,0.112,6.459599999999995,3562.1838,35.438,26.339661224109335,3617.5060674971264,0.0,0.9771,0.0,0.9141,66.87493021879656,19.861788841963065,12.9957597,0.2969990215613041,0.6543096295809551,14.417,42.0351,35.6061,0.0,1.0841,25.8906
17,5.213531,42.0485,35.5871,6.461399999999998,3583.4953,25.8906,53.52903199999996,53.52903199999996,14.2191,0.109,6.459599999999995,3562.1838,35.438,26.307172775269784,3615.004250089203,0.0,0.9771,0.0,0.927,67.23982542578356,20.087451745645268,13.1811057,0.2987433655344173,0.6561860542045864,14.419099999999998,42.0485,35.5871,0.0,1.097,25.8906
18,5.444097,41.9257,35.6085,6.3172,3581.6008,25.3968,57.00192399999996,57.00192399999996,14.2446,0.122,6.459599999999995,3562.1838,35.438,26.335722549147548,3617.496708902185,0.0,0.9771,0.0,1.0015,64.36435496897982,21.37939004600215,14.2659669,0.33216195604392945,0.6672766093561997,14.4446,41.9257,35.6085,0.0,1.1715,25.3968
19,5.690051,42.0357,35.7344,6.301299999999998,3581.6008,25.3968,53.73414239999996,53.73414239999996,14.1853,0.109,6.459599999999995,3562.1838,35.438,26.319553505639096,3616.7357577892935,0.0,0.9771,0.0,0.9314,64.18870132784033,20.15376163718653,13.21218842,0.31397677815994873,0.6555693501714167,14.385299999999999,42.0357,35.7344,0.0,1.1014,25.3968
20,5.919286,42.0192,35.7154,6.303799999999995,3583.4953,25.5499,53.17475039999996,53.17475039999996,14.2323,0.113,6.459599999999995,3562.1838,35.438,26.333486739357486,3616.6281043808667,0.0,0.9771,0.0,0.9194,64.60343625549554,19.954503058204587,13.08517662,0.3088768061699991,0.6557505632604486,14.4323,42.0192,35.7154,0.0,1.0894,25.5499
21,6.158202,42.0284,35.5743,6.454099999999997,3583.4953,25.5499,53.72015759999996,53.72015759999996,14.2239,0.11,6.459599999999995,3562.1838,35.438,26.324857095445562,3614.3393101288025,0.0,0.9771,0.0,0.9311,66.2738698622257,20.159174063869838,13.243873290000002,0.3041798239000982,0.656965074463852,14.4239,42.0284,35.5743,0.0,1.1011,25.5499
22,6.3879,41.7864,35.4643,6.322099999999999,3587.5971,25.8275,53.02091759999996,53.02091759999996,14.1598,0.112,6.459599999999995,3562.1838,35.438,26.334129916178533,3606.8943677919383,0.0,0.9771,0.0,0.9161,65.51094936198093,19.919549916619367,12.971792780000001,0.3040644367181101,0.6512091304421149,14.3598,41.7864,35.4643,0.0,1.0861,25.8275
23,6.624811,41.9673,35.5663,6.401000000000003,3587.5971,25.8275,56.27471439999996,56.27471439999996,14.2381,0.11,6.459599999999995,3562.1838,35.438,26.326308686942284,3611.908114932762,0.0,0.9771,0.0,0.9859,66.3973711185381,21.141976285493378,14.037342789999999,0.31841586390143317,0.6639560370537242,14.438099999999999,41.9673,35.5663,0.0,1.1559,25.8275
24,6.855422,42.1066,35.5126,6.594000000000001,3589.6821,25.4318,55.30510159999996,55.30510159999996,14.2818,0.12,6.459599999999995,3562.1838,35.438,26.346155202926617,3626.2190917023354,0.0,0.9771,0.0,0.9651,67.5151913762371,20.789775586875862,13.78336518,0.3079273740190139,0.6629876846146017,14.4818,42.1066,35.5126,0.0,1.1351,25.4318
25,7.095392,41.9025,35.5175,6.385000000000005,3589.6821,25.4318,54.01849999999996,54.01849999999996,14.2688,0.109,6.459599999999995,3562.1838,35.438,26.303931568918156,3629.5443630291056,0.0,0.9771,0.0,0.9375,65.20310305940384,20.30612836880954,13.377,0.3114288648242625,0.6587666421210671,14.4688,41.9025,35.5175,0.0,1.1075,25.4318
26,7.301928,42.2067,35.7509,6.455799999999996,3583.7399,25.7424,53.06287199999996,53.06287199999996,14.1738,0.11,6.459599999999995,3562.1838,35.438,26.3412807508932,3614.7732449275154,0.0,0.9771,0.0,0.917,66.79223163792184,19.913878438562392,12.9973746,0.29814662499248074,0.6526792176671686,14.3738,42.2067,35.7509,0.0,1.087,25.7424
27,7.535137,42.1163,35.6843,6.432000000000002,3583.7399,25.7424,56.60568799999996,56.60568799999996,14.182,0.109,6.459599999999995,3562.1838,35.438,26.299139902971778,3610.9798039261414,0.0,0.9771,0.0,0.993,66.52572561710268,21.243456060259795,14.082726000000001,0.3193269350045007,0.6629206641354654,14.382,42.1163,35.6843,0.0,1.163,25.7424
28,7.793149,42.1017,35.5798,6.521900000000002,3583.3425,25.4632,54.47067519999996,54.47067519999996,14.2695,0.115,6.459599999999995,3562.1838,35.438,26.342953427396907,3626.003751654012,0.0,0.9771,0.0,0.9472,66.79995072335844,20.439943767263532,13.516070400000002,0.3059874078637029,0.6612577096052116,14.4695,42.1017,35.5798,0.0,1.1172,25.4632
29,8.030368,42.0516,35.7032,6.348399999999998,3583.3425,25.4632,52.69460559999996,52.69460559999996,14.2166,0.109,6.459599999999995,3562.1838,35.438,26.2963688563136,3622.41910864275,0.0,0.9771,0.0,0.9091,64.8782157500538,19.773479424432214,12.92431106,0.3047784097609962,0.6536184544249029,14.416599999999999,42.0516,35.7032,0.0,1.0791,25.4632
30,8.259619,42.1175,35.6898,6.4277000000000015,3581.2038,25.6029,52.06528959999996,52.06528959999996,14.2273,0.117,6.459599999999995,3562.1838,35.438,26.339641546043136,3615.8472313781376,0.0,0.9771,0.0,0.8956,66.1173283932909,19.525669883729144,12.74196988,0.29531849453418724,0.6525752998937034,14.427299999999999,42.1175,35.6898,0.0,1.0655999999999999,25.6029
31,8.474376,42.1188,35.6549,6.463900000000002,3581.2038,25.6029,54.088423999999954,54.088423999999954,14.2368,0.109,6.459599999999995,3562.1838,35.438,26.30680943536446,3614.9365162074464,0.0,0.9771,0.0,0.939,66.52048962559793,20.284391379917963,13.3683552,0.30493448701424275,0.6590464041842041,14.4368,42.1188,35.6549,0.0,1.109,25.6029
32,8.729876,41.93,35.5266,6.403399999999998,3588.3635,25.6149,55.23517759999996,55.23517759999996,14.2471,0.117,6.459599999999995,3562.1838,35.438,26.33894086340744,3618.991856489748,0.0,0.9771,0.0,0.9636,65.87756020693176,20.755863347050266,13.72850556,0.31506727452948835,0.6614278254992961,14.447099999999999,41.93,35.5266,0.0,1.1336,25.6149
33,8.944886,42.0265,35.7081,6.318399999999997,3588.3635,25.6149,53.86932879999996,53.86932879999996,14.1446,0.11,6.459599999999995,3562.1838,35.438,26.29958082657229,3611.1595208124654,0.0,0.9771,0.0,0.9343,64.93046721295482,20.2426148652434,13.21529978,0.3117583429494348,0.6528454879952634,14.3446,42.0265,35.7081,0.0,1.1043,25.6149
34,9.200945,42.0766,35.716,6.360599999999998,3583.2814,25.5154,52.475510399999955,52.475510399999955,14.2166,0.114,6.459599999999995,3562.1838,35.438,26.337358002123814,3613.071653653073,0.0,0.9771,0.0,0.9044,65.14662487723706,19.69092890488017,12.85749304,0.3022555495696968,0.6529652868135346,14.416599999999999,42.0766,35.716,0.0,1.0744,25.5154
35,9.438744,41.922,35.5663,6.355699999999999,3583.2814,25.5154,53.11881119999996,53.11881119999996,14.3032,0.11,6.459599999999995,3562.1838,35.438,26.315107055806465,3621.0277733845796,0.0,0.9771,0.0,0.9182,65.09223983193611,19.932321322423054,13.13319824,0.3062165532156675,0.6588895506729406,14.5032,41.922,35.5663,0.0,1.0882,25.5154
36,9.668751,42.0858,35.6678,6.417999999999999,3590.6643,25.6263,53.14678079999996,53.14678079999996,14.1721,0.122,6.459599999999995,3562.1838,35.438,26.339882790863747,3609.050323442189,0.0,0.9771,0.0,0.9188,66.06962879294878,19.983906306766105,13.02132548,0.3024673616585972,0.6515905989606882,14.3721,42.0858,35.6678,0.0,1.0888,25.6263
37,9.914773,41.9055,35.5932,6.3123000000000005,3590.6643,25.6263,52.73655999999996,52.73655999999996,14.2079,0.11,6.459599999999995,3562.1838,35.438,26.3026956813749,3610.753688649299,0.0,0.9771,0.0,0.91,64.89136664288726,19.829657753817308,12.929189000000001,0.30558237219666934,0.6520127155251112,14.4079,41.9055,35.5932,0.0,1.08,25.6263
38,10.143296,42.0186,35.6653,6.353299999999997,3589.8728,25.6039,55.56615119999996,55.56615119999996,14.2543,0.122,6.459599999999995,3562.1838,35.438,26.339620632604348,3601.031756046079,0.0,0.9771,0.0,0.9707,65.29128187965826,20.889016565705735,13.83664901,0.31993577035609994,0.6623887231108876,14.343814891924426,41.81834835668247,35.428534377266814,0.0,1.1065159376360914,27.300100118657994
39,10.389454,42.1163,35.7313,6.385000000000005,3589.8728,25.6039,55.74329199999996,55.74329199999996,14.19,0.11,6.459599999999995,3562.1838,35.438,26.307092918688358,3602.479773811712,0.0,0.9771,0.0,0.9745,65.64434017343129,20.955609212951426,13.828155,0.3192294896648674,0.6598784535194345,14.355666751269139,41.81836873764606,35.47351164153884,0.0,1.102981522625797,27.739200073017813
40,10.62307,41.9923,35.548,6.444299999999998,3586.7102,25.4826,55.51021199999996,55.51021199999996,14.1966,0.124,6.459599999999995,3562.1838,35.438,26.336503968262743,3604.621077950477,0.0,0.9771,0.0,0.9695,65.99067016685682,20.84960306490968,13.7636037,0.3159477394636491,0.6601374451662553,14.374828177467519,41.85064936707393,35.53435830383906,0.0,1.0995835984024296,28.092616620051082
41,10.868776,42.0522,35.6812,6.371000000000002,3586.7102,25.4826,54.06045439999996,54.06045439999996,14.1576,0.109,6.459599999999995,3562.1838,35.438,26.311976174853754,3607.515459909911,0.0,0.9771,0.0,0.9384,65.17816010970694,20.30507496077749,13.28549184,0.3115318831737545,0.654294153834106,14.396664419840233,41.902202259643005,35.59839166561354,0.0,1.0969585658240477,28.362966343673854
42,11.096828,42.1408,35.8743,6.266500000000001,3583.8237,25.3013,54.30751919999996,54.30751919999996,14.1541,0.118,6.459599999999995,3562.1838,35.438,26.33519502108816,3611.10059065548,0.0,0.9771,0.0,0.9437,63.56432768341446,20.381456626870378,13.35722417,0.3206429985129602,0.6553616070987873,14.417015881674514,41.96050146380117,35.65535059689729,0.0,1.0957769891142584,28.55387008005468
43,11.338577,42.0894,35.6873,6.402099999999997,3583.8237,25.3013,54.17233279999996,54.17233279999996,14.1864,0.109,6.459599999999995,3562.1838,35.438,26.315742381960728,3613.8612998986237,0.0,0.9771,0.0,0.9408,65.05672190622994,20.330721557606843,13.346565120000001,0.3125076235305969,0.6564727711302659,14.432614660530156,42.01529614738533,35.69853107211731,0.0,1.0964809582194528,28.669833663424214
44,11.570053,42.1102,35.6397,6.470500000000001,3578.976,25.6456,53.73414239999996,53.73414239999996,14.204,0.121,6.459599999999995,3562.1838,35.438,26.33561947696363,3616.377847916813,0.0,0.9771,0.0,0.9314,66.70505827937863,20.13899181874521,13.229605600000001,0.3019110145200342,0.6569149895421275,14.441375139214582,42.05968129707139,35.72528262129832,0.0,1.0990919891559132,28.71611857687239
45,11.787104,42.0546,35.6219,6.432700000000004,3578.976,25.6456,55.70133759999996,55.70133759999996,14.2409,0.109,6.459599999999995,3562.1838,35.438,26.31641250623714,3617.4505094945143,0.0,0.9771,0.0,0.9736,66.28337566328025,20.876275904229654,13.864940240000001,0.31495492942726994,0.6641481605055279,14.442593613203847,42.090368220850024,35.736500667575584,0.0,1.1031982578130755,28.698608693083642
46,12.044831,42.131,35.7392,6.3918000000000035,3578.2138,25.6247,54.93683519999996,54.93683519999996,14.2048,0.113,6.459599999999995,3562.1838,35.438,26.33704256295287,3617.792363000587,0.0,0.9771,0.0,0.9572,65.77346450301886,20.585363524529168,13.596834560000001,0.31297368444966656,0.6605098104679203,14.436990082279163,42.107188361445665,35.735266432373145,0.0,1.1081106584841136,28.623679023463655
47,12.279171,42.032,35.6152,6.416799999999995,3578.2138,25.6247,55.42630319999996,55.42630319999996,14.1572,0.108,6.459599999999995,3562.1838,35.438,26.314673345682458,3617.0171437893046,0.0,0.9771,0.0,0.9677,66.05212783893516,20.768771918495485,13.69992244,0.31443002062157793,0.6596404685728976,14.426465475638791,42.11216888589285,35.72548616418577,0.0,1.1131043288858034,28.49806808065235
48,12.509732,41.9618,35.6079,6.353899999999996,3584.5964,25.6175,54.75969439999996,54.75969439999996,14.0947,0.122,6.459599999999995,3562.1838,35.438,26.33853973906606,3615.691045865649,0.0,0.9771,0.0,0.9534,65.33264863066496,20.55558767384169,13.43788698,0.3146296393101317,0.6537340208035296,14.413518058181998,42.10850730219478,35.711022331019194,0.0,1.117621342611331,28.3287523815084
49,12.725382,41.8829,35.4356,6.4472999999999985,3584.5964,25.6175,54.66180079999996,54.66180079999996,14.2028,0.109,6.459599999999995,3562.1838,35.438,26.31219309474574,3614.108264002392,0.0,0.9771,0.0,0.9513,66.37344233038768,20.518840564502305,13.511123640000001,0.3091423292823279,0.6584740301249921,14.400483485395608,42.09954377648886,35.69509889061605,0.0,1.1213464689099588,28.12282308897634
