,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM)
0,0.0,41.1651,35.0159,6.1492,3442.3508,24.9124,58.69408479999996,58.69408479999996,13.6843,0.0,6.1492,3442.3508,35.0159,25.567,3258.0,0.0,1.0378,0.0,1.0378,61.31615258891289,21.158168847973585,14.201566540000002,0.34506680466118117,0.6712096231976215,13.8843,41.1651,35.0159,0.0,1.2078,24.9124
1,1.661991,41.3404,35.1521,6.188300000000005,3442.3508,24.9124,57.137110399999955,57.137110399999955,13.6597,0.11,6.1492,3442.3508,35.0159,25.567,3258.0,0.0,1.0378,0.0,1.0044,61.739867121136356,20.59690739616929,13.71980268,0.33360789966971005,0.6661098395068609,13.8597,41.3404,35.1521,0.0,1.1743999999999999,24.9124
2,1.681995,41.1571,34.8802,6.276899999999998,3503.7797,25.6518,59.05302799999996,59.05302799999996,13.8365,0.117,6.1492,3442.3508,35.0159,26.715944523089895,3536.001709504592,0.0,1.0378,0.0,1.0455,64.56093360179756,21.667438919782246,14.46606075,0.3356122303531708,0.6676405459619212,14.036499999999998,41.1571,34.8802,0.0,1.2155,25.6518
3,1.931195,41.2225,35.0397,6.182799999999993,3503.7797,25.6518,54.14436319999996,54.14436319999996,14.0713,0.109,6.1492,3442.3508,35.0159,27.723695387434763,3577.526317232797,0.0,1.0378,0.0,0.9402,63.51093552856272,19.86637641149418,13.22983626,0.3128024527769661,0.665941084874721,14.2713,41.2225,35.0397,0.0,1.1102,25.6518
4,2.161339,41.3777,35.0092,6.368499999999997,3567.5366,25.2016,55.81321599999996,55.81321599999996,14.1072,0.11,6.1492,3442.3508,35.0159,27.22033999549512,3592.9094327091675,0.0,1.0378,0.0,0.976,64.43202569801187,20.85134636180858,13.768627200000001,0.3236177372342334,0.6603231734339553,14.3072,41.3777,35.0092,0.0,1.146,25.2016
5,2.393123,41.4699,35.0641,6.405799999999999,3567.5366,25.2016,55.34705599999996,55.34705599999996,14.1142,0.11,6.1492,3442.3508,35.0159,27.10077096117588,3603.7218277487045,0.0,1.0378,0.0,0.966,64.84092651613794,20.677192920802405,13.6343172,0.31889107746873663,0.6593891759012955,14.3142,41.4699,35.0641,0.0,1.136,25.2016
6,2.624278,41.3502,35.1601,6.190100000000001,3583.4953,25.3609,56.68493519999996,56.68493519999996,14.1302,0.122,6.1492,3442.3508,35.0159,26.588865598083082,3591.9219782072737,0.0,1.0378,0.0,0.9947,62.87123226980826,21.271744658768142,14.05530994,0.33833828113121245,0.6607502189157037,14.3302,41.3502,35.1601,0.0,1.1647,25.3609
7,2.869766,41.5793,35.1301,6.449200000000005,3583.4953,25.3609,56.90403039999996,56.90403039999996,14.1129,0.109,6.1492,3442.3508,35.0159,26.63242449009973,3602.7736140818415,0.0,1.0378,0.0,0.9994,65.72956714393007,21.35396292600119,14.10443226,0.3248760619287475,0.6605065443298135,14.312899999999999,41.5793,35.1301,0.0,1.1694,25.3609
8,3.099188,41.7718,35.4747,6.2971,3569.2434,25.8694,56.018326399999964,56.018326399999964,14.0248,0.112,6.1492,3442.3508,35.0159,26.709443578363356,3605.7286367280867,0.0,1.0378,0.0,0.9804,65.33590349568306,20.937986349391526,13.749913920000001,0.3204667759859625,0.6566970524555521,14.2248,41.7718,35.4747,0.0,1.1504,25.8694
9,3.33625,41.6251,35.1888,6.436300000000003,3569.2434,25.8694,58.69408479999996,58.69408479999996,14.0617,0.11,6.1492,3442.3508,35.0159,26.755641613872168,3602.789402148129,0.0,1.0378,0.0,1.0378,66.90231774390463,21.93810535425829,14.59323226,0.3279124863541374,0.6652002086938371,14.2617,41.6251,35.1888,0.0,1.2078,25.8694
10,3.565482,41.6117,35.2144,6.397300000000001,3574.8027,25.6304,52.97896319999996,52.97896319999996,14.1515,0.116,6.1492,3442.3508,35.0159,26.693233349395918,3600.347257838486,0.0,1.0378,0.0,0.9152,65.84941483047395,19.832805356727025,12.9514528,0.3011842308361524,0.6530318110345916,14.3515,41.6117,35.2144,0.0,1.0852,25.6304
11,3.80197,41.5011,35.1558,6.345300000000002,3574.8027,25.6304,56.26072959999996,56.26072959999996,14.0934,0.109,6.1492,3442.3508,35.0159,26.807300092463308,3601.410184600644,0.0,1.0378,0.0,0.9856,65.2696661602092,21.061342691286395,13.89045504,0.32268194293486624,0.6595237181030642,14.2934,41.5011,35.1558,0.0,1.1556,25.6304
12,4.036176,41.6404,35.2364,6.403999999999996,3572.978,25.6464,52.96963999999996,52.96963999999996,14.1032,0.122,6.1492,3442.3508,35.0159,26.67870855084322,3596.6857542726493,0.0,1.0378,0.0,0.915,65.9652669175758,19.819193641840165,12.904428,0.3004489266541501,0.6511076198759947,14.303199999999999,41.6404,35.2364,0.0,1.085,25.6464
13,4.276441,41.5042,35.1558,6.348399999999998,3572.978,25.6464,56.05561919999996,56.05561919999996,14.0743,0.109,6.1492,3442.3508,35.0159,26.83747126504217,3598.3397665775547,0.0,1.0378,0.0,0.9812,65.34499483223553,20.973847880371725,13.809703159999998,0.3209709930227901,0.65842487457553,14.274299999999998,41.5042,35.1558,0.0,1.1512,25.6464
