,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM)
0,0.0,41.8438,35.5034,6.3404000000000025,3520.1765,25.5413,57.05320159999996,57.05320159999996,13.7072,0.0,6.3404000000000025,3520.1765,35.5034,25.567,3258.0,0.0,1.0026,0.0,1.0026,64.98832631997332,21.03163698960427,13.74283872,0.3236217668701597,0.6534364741457334,13.9072,41.8438,35.5034,0.0,1.1725999999999999,25.5413
1,1.65424,41.7137,35.2621,6.451600000000006,3520.1765,25.5413,58.33980319999996,58.33980319999996,13.8314,0.11,6.3404000000000025,3520.1765,35.5034,25.567,3258.0,0.0,1.0026,0.0,1.0302,66.22378668971744,21.505919537166754,14.24910828,0.32474614654595063,0.6625667995909007,14.0314,41.7137,35.2621,0.0,1.2002,25.5413
2,1.674242,41.8121,35.5773,6.2348,3538.5249,25.8917,54.93683519999996,54.93683519999996,13.8406,0.112,6.3404000000000025,3520.1765,35.5034,27.794842275851728,3537.5337945667134,0.0,1.0026,0.0,0.9572,64.6905597726826,20.35703439718952,13.248222320000002,0.31468323150584093,0.6507933356849387,14.0406,41.8121,35.5773,0.0,1.1272,25.8917
3,1.899595,41.6716,35.3739,6.297699999999999,3538.5249,25.8917,53.54301679999996,53.54301679999996,14.1716,0.11,6.3404000000000025,3520.1765,35.5034,27.81697470122565,3599.1584595107765,0.0,1.0026,0.0,0.9273,65.39898210801839,19.840550165636337,13.14132468,0.3033770484816727,0.6623467882841607,14.371599999999999,41.6716,35.3739,0.0,1.0973,25.8917
4,2.158208,41.7363,35.2273,6.509,3606.2646,25.5388,55.15593039999996,55.15593039999996,14.2029,0.113,6.3404000000000025,3520.1765,35.5034,27.590469691702648,3619.675514823935,0.0,1.0026,0.0,0.9619,66.85497088273327,20.82947966618202,13.66176951,0.31156216794586444,0.6558862597120343,14.402899999999999,41.7363,35.2273,0.0,1.1319,25.5388
5,2.391342,41.922,35.4179,6.504099999999994,3606.2646,25.5388,54.73172479999996,54.73172479999996,14.1824,0.11,6.3404000000000025,3520.1765,35.5034,27.741359795564843,3607.385817633279,0.0,1.0026,0.0,0.9528,66.80053596127667,20.669279632289008,13.51299072,0.3094178712019721,0.6537717308197988,14.382399999999999,41.922,35.4179,0.0,1.1228,25.5388
6,2.62569,41.8756,35.5621,6.313499999999998,3606.791,25.5738,55.24916239999996,55.24916239999996,14.124,0.117,6.3404000000000025,3520.1765,35.5034,27.251504073451365,3606.575134096685,0.0,1.0026,0.0,0.9639,64.77177449225465,20.86773404613408,13.614123600000001,0.322173264662209,0.6524006664979579,14.324,41.8756,35.5621,0.0,1.1339,25.5738
7,2.862007,41.7382,35.4264,6.311799999999998,3606.791,25.5738,55.36104079999996,55.36104079999996,14.1499,0.11,6.3404000000000025,3520.1765,35.5034,27.150153449647604,3613.0795923337764,0.0,1.0026,0.0,0.9663,64.75286302524962,20.909990771761965,13.673048370000002,0.32291994198941226,0.6539002584575436,14.3499,41.7382,35.4264,0.0,1.1363,25.5738
8,3.096495,41.7168,35.3831,6.3337,3607.5949,25.7383,52.992947999999956,52.992947999999956,14.1738,0.119,6.3404000000000025,3520.1765,35.5034,26.765214185344487,3613.53467981768,0.0,1.0026,0.0,0.9155,65.4145683065885,20.020017915490122,12.9761139,0.3060483074910657,0.6481569574400815,14.3738,41.7168,35.3831,0.0,1.0855,25.7383
9,3.337828,41.776,35.3702,6.405800000000006,3607.5949,25.7383,54.93683519999996,54.93683519999996,14.1685,0.11,6.3404000000000025,3520.1765,35.5034,26.69572530566091,3606.6196111364798,0.0,1.0026,0.0,0.9572,66.22179619350815,20.75439216788484,13.5620882,0.31340726710640676,0.6534562944698449,14.3685,41.776,35.3702,0.0,1.1272,25.7383
10,3.566501,41.9367,35.7808,6.155900000000003,3607.8386,25.6257,54.04646959999996,54.04646959999996,14.0984,0.122,6.3404000000000025,3520.1765,35.5034,26.752885901616796,3603.2195978533123,0.0,1.0026,0.0,0.9381,63.14646145015156,20.419403381982914,13.22570904,0.3233657581605296,0.6477030103469977,14.298399999999999,41.9367,35.7808,0.0,1.1081,25.6257
11,3.812363,41.886,35.4674,6.418600000000005,3607.8386,25.6257,54.605861599999955,54.605861599999955,14.2125,0.109,6.3404000000000025,3520.1765,35.5034,26.741909687069114,3605.354078302717,0.0,1.0026,0.0,0.9501,66.0747700562973,20.630748377894623,13.50329625,0.3122333738023867,0.6545228511665856,14.4125,41.886,35.4674,0.0,1.1200999999999999,25.6257
12,4.042038,41.8426,35.413,6.429600000000001,3610.093,25.78,54.44270559999996,54.44270559999996,14.2085,0.119,6.3404000000000025,3520.1765,35.5034,26.740962628140533,3604.815747602675,0.0,1.0026,0.0,0.9466,66.59598096279416,20.58195893310019,13.449766100000002,0.3090570727473617,0.6534735660350532,14.4085,41.8426,35.413,0.0,1.1166,25.78
13,4.285913,41.8793,35.5364,6.3429,3610.093,25.78,57.39815999999996,57.39815999999996,14.1911,0.11,6.3404000000000025,3520.1765,35.5034,26.74445778756931,3600.2665282709554,0.0,1.0026,0.0,1.01,65.62371956288942,21.69926271914587,14.333011,0.3306618835945551,0.6605298615677657,14.3911,41.8793,35.5364,0.0,1.18,25.78
14,4.513092,41.8939,35.4442,6.4497,3611.923,26.042,53.897298399999954,53.897298399999954,14.2031,0.119,6.3404000000000025,3520.1765,35.5034,26.723815167723977,3602.0225610091024,0.0,1.0026,0.0,0.9349,67.5004843047204,20.38609752698387,13.278478189999998,0.302014092742713,0.6513496843829018,14.403099999999998,41.8939,35.4442,0.0,1.1049,26.042
15,4.756175,41.8781,35.5871,6.291000000000004,3611.923,26.042,56.81079839999996,56.81079839999996,14.1647,0.108,6.3404000000000025,3520.1765,35.5034,26.757673259260446,3599.613523107252,0.0,1.0026,0.0,0.9974,65.7027218969538,21.488098868573708,14.12787178,0.3270503602921505,0.6574742543027842,14.3647,41.8781,35.5871,0.0,1.1674,26.042
16,4.990321,41.8548,35.3916,6.4632000000000005,3607.0078,25.7301,54.34947359999996,54.34947359999996,14.1164,0.116,6.3404000000000025,3520.1765,35.5034,26.743226028931392,3595.725414938409,0.0,1.0026,0.0,0.9446,66.84314120343221,20.529153453509632,13.33435144,0.30712430750420083,0.6495324549157374,14.3164,41.8548,35.3916,0.0,1.1146,25.7301
17,5.226206,41.9165,35.5963,6.3202,3607.0078,25.7301,55.27713199999996,55.27713199999996,14.1978,0.109,6.3404000000000025,3520.1765,35.5034,26.73975013028013,3593.832683272785,0.0,1.0026,0.0,0.9645,65.24263063913583,20.879553197694776,13.693778100000001,0.32002929669071567,0.6558463186612573,14.3978,41.9165,35.5963,0.0,1.1345,25.7301
18,5.45651,41.9007,35.6305,6.270200000000003,3607.9299,26.0949,56.65696559999996,56.65696559999996,14.1403,0.123,6.3404000000000025,3520.1765,35.5034,26.75288984195138,3590.621675547832,0.0,1.0026,0.0,0.9941,65.60008388523892,21.406221721925604,14.05687223,0.32631393824699595,0.6566722709221526,14.3403,41.9007,35.6305,0.0,1.1641,26.0949
19,5.702922,41.8848,35.5254,6.359400000000001,3607.9299,26.0949,57.12312559999996,57.12312559999996,14.1449,0.109,6.3404000000000025,3520.1765,35.5034,26.775889565567574,3589.4481934774053,0.0,1.0026,0.0,1.0041,66.61259902272562,21.582347008767528,14.20289409,0.3239979722365205,0.6580792202178137,14.344899999999999,41.8848,35.5254,0.0,1.1741,26.0949
20,5.931575,41.8616,35.347,6.5146000000000015,3610.7333,25.935,53.748127199999956,53.748127199999956,14.1969,0.117,6.3404000000000025,3520.1765,35.5034,26.748479571266866,3596.7274182822903,0.0,1.0026,0.0,0.9317,67.95531195340655,20.3229788428943,13.227251729999999,0.2990638738709451,0.6508520149655501,14.396899999999999,41.8616,35.347,0.0,1.1017,25.935
21,6.170624,41.828,35.4771,6.350900000000003,3610.7333,25.935,55.29111679999996,55.29111679999996,14.0962,0.108,6.3404000000000025,3520.1765,35.5034,26.768767351008904,3587.076061042188,0.0,1.0026,0.0,0.9648,66.10852854036906,20.906406519898198,13.60001376,0.3162437128990359,0.6505189568114369,14.296199999999999,41.828,35.4771,0.0,1.1348,25.935
22,6.40318,41.8463,35.5987,6.2475999999999985,3608.5573,25.7522,55.12796079999996,55.12796079999996,14.2025,0.12,6.3404000000000025,3520.1765,35.5034,26.74831529462725,3585.2722395151245,0.0,1.0026,0.0,0.9613,64.48540376348033,20.83215275284471,13.652863250000001,0.32305221859589983,0.6553745746769091,14.4025,41.8463,35.5987,0.0,1.1313,25.7522
23,6.644253,41.8237,35.4753,6.348400000000005,3608.5573,25.7522,55.01608239999996,55.01608239999996,14.1522,0.109,6.3404000000000025,3520.1765,35.5034,26.782098838052292,3589.033553347351,0.0,1.0026,0.0,0.9589,65.61456484803706,20.789875333460394,13.57054458,0.3168484829794973,0.6527477612219638,14.3522,41.8237,35.4753,0.0,1.1289,25.7522
24,6.872253,41.6911,35.2651,6.426000000000002,3604.7963,25.7964,55.63141359999996,55.63141359999996,14.2331,0.119,6.3404000000000025,3520.1765,35.5034,26.767585492892906,3594.6240680299943,0.0,1.0026,0.0,0.9721,66.5979497355148,21.00049065227676,13.83599651,0.315332389896048,0.6588415832322458,14.4331,41.6911,35.2651,0.0,1.1421,25.7964
25,7.115764,41.911,35.5224,6.388600000000004,3604.7963,25.7964,56.65696559999996,56.65696559999996,14.1902,0.109,6.3404000000000025,3520.1765,35.5034,26.7547877326854,3593.8654769032028,0.0,1.0026,0.0,0.9941,66.17827605057661,21.387629748620405,14.10647782,0.32318203230732323,0.6595624660516638,14.3902,41.911,35.5224,0.0,1.1641,25.7964
26,7.347631,42.0675,35.4625,6.605000000000004,3604.6242,25.7262,56.59170319999996,56.59170319999996,14.1371,0.111,6.3404000000000025,3520.1765,35.5034,26.75710803690272,3599.252891192999,0.0,1.0026,0.0,0.9927,68.41984870524757,21.361973713362108,14.03389917,0.3122189557213054,0.6569570470551449,14.3371,42.0675,35.4625,0.0,1.1627,25.7262
27,7.578523,41.9092,35.46,6.449199999999998,3604.6242,25.7262,55.16991519999996,55.16991519999996,14.1567,0.108,6.3404000000000025,3520.1765,35.5034,26.715704776607865,3595.9323284935645,0.0,1.0026,0.0,0.9622,66.67633996656946,20.825283771823585,13.621576740000002,0.3123339370797059,0.6540884095144897,14.3567,41.9092,35.46,0.0,1.1322,25.7262
28,7.812753,41.729,35.3666,6.362400000000001,3603.4182,25.9211,54.78766399999996,54.78766399999996,14.1889,0.117,6.3404000000000025,3520.1765,35.5034,26.72631529111648,3602.1884921325177,0.0,1.0026,0.0,0.954,66.20276517336684,20.674074116305754,13.5362106,0.3122841479833363,0.6547432559179963,14.3889,41.729,35.3666,0.0,1.1239999999999999,25.9211
29,8.050096,41.9685,35.5046,6.463899999999995,3603.4182,25.9211,53.84135919999996,53.84135919999996,14.1848,0.109,6.3404000000000025,3520.1765,35.5034,26.74735416040216,3607.2903758789334,0.0,1.0026,0.0,0.9337,67.34722487038907,20.316986879079945,13.244347759999998,0.301675190301907,0.6518854315763465,14.384799999999998,41.9685,35.5046,0.0,1.1037,25.9211
30,8.278986,41.6844,35.3782,6.306199999999997,3608.3867,26.0436,52.65265119999996,52.65265119999996,14.1343,0.124,6.3404000000000025,3520.1765,35.5034,26.77157814026476,3597.6400072505103,0.0,1.0026,0.0,0.9082,65.87895564310871,19.895824199338286,12.836771259999999,0.30200576200875906,0.6451992705296892,14.334299999999999,41.6844,35.3782,0.0,1.0782,26.0436
31,8.523996,41.8774,35.5389,6.338500000000003,3608.3867,26.0436,55.97637199999996,55.97637199999996,14.1721,0.109,6.3404000000000025,3520.1765,35.5034,26.763189759963968,3592.90703552977,0.0,1.0026,0.0,0.9795,66.24487431611614,21.151756487976478,13.881571950000001,0.3192964996362089,0.6562845954609422,14.3721,41.8774,35.5389,0.0,1.1495,26.0436
32,8.758349,41.8597,35.4943,6.365399999999994,3608.8129,25.7813,59.733621599999964,59.733621599999964,14.1952,0.12,6.3404000000000025,3520.1765,35.5034,26.836813072328834,3594.0186235530014,0.0,1.0026,0.0,1.0601,65.87935844548149,22.574172036345853,15.04833152,0.34265925730025326,0.6666172073009468,14.395199999999999,41.8597,35.4943,0.0,1.2301,25.7813
33,8.971941,41.8903,35.4374,6.452900000000007,3608.8129,25.7813,53.33790639999996,53.33790639999996,14.1935,0.108,6.3404000000000025,3520.1765,35.5034,26.672991146440175,3599.1075002976686,0.0,1.0026,0.0,0.9229,66.86064059582543,20.157141704800168,13.099181150000001,0.301479936853293,0.649853106250704,14.3935,41.8903,35.4374,0.0,1.0929,25.7813
34,9.202654,41.6819,35.3207,6.361199999999997,3613.1137,26.1426,56.139527999999956,56.139527999999956,14.1644,0.118,6.3404000000000025,3520.1765,35.5034,26.840891867650416,3607.42869565239,0.0,1.0026,0.0,0.983,66.75483235108987,21.24119778667913,13.9236052,0.3181971557499138,0.6555000023930774,14.3644,41.6819,35.3207,0.0,1.153,26.1426
35,9.472227,41.5359,35.2908,6.245100000000001,3613.1137,26.1426,55.63141359999996,55.63141359999996,14.2016,0.109,6.3404000000000025,3520.1765,35.5034,26.528611777719924,3599.142491177749,0.0,1.0026,0.0,0.9721,65.43456455170292,21.048945396016716,13.80537536,0.3216793072625242,0.6558701683274125,14.401599999999998,41.5359,35.2908,0.0,1.1421,26.1426
36,9.70209,41.8555,35.5071,6.348399999999998,3612.437,25.7676,56.22343679999996,56.22343679999996,14.1488,0.115,6.3404000000000025,3520.1765,35.5034,26.6717863731094,3610.844476752812,0.0,1.0026,0.0,0.9848,65.6538028276527,21.268961678236053,13.93373824,0.3239562791826247,0.6551207553426557,14.348799999999999,41.8555,35.5071,0.0,1.1548,25.7676
37,9.937323,41.9269,35.5211,6.405800000000006,3612.437,25.7676,54.82495679999996,54.82495679999996,14.2026,0.108,6.3404000000000025,3520.1765,35.5034,26.686797164238587,3618.133794828001,0.0,1.0026,0.0,0.9548,66.29718184945551,20.739925759752683,13.56064248,0.312832690337395,0.6538423829035782,14.4026,41.9269,35.5211,0.0,1.1248,25.7676
38,10.16717,41.6856,35.4949,6.1907,3612.6252,25.9651,54.59653839999996,54.59653839999996,14.1949,0.125,6.3404000000000025,3520.1765,35.5034,26.782620369036465,3615.1291147554252,0.0,1.0026,0.0,0.9499,64.37585802601558,20.654592562392477,13.48373551,0.3208437634189752,0.6528202127090588,14.3949,41.6856,35.4949,0.0,1.1199,25.9651
39,10.413535,41.7644,35.281,6.483400000000003,3612.6252,25.9651,54.34947359999996,54.34947359999996,14.1714,0.11,6.3404000000000025,3520.1765,35.5034,26.767721772141932,3597.9743246128737,0.0,1.0026,0.0,0.9446,67.68178880205905,20.56112468091029,13.38630444,0.30379109424904516,0.6510492323617074,14.309202535893405,41.57801625006704,35.261053968983035,0.0,1.1349514037534185,27.562838394282316
40,10.647569,42.0216,35.5804,6.441200000000002,3615.8334,25.926,52.06528959999996,52.06528959999996,14.2327,0.116,6.3404000000000025,3520.1765,35.5034,26.7245320502224,3588.4684788766954,0.0,1.0026,0.0,0.8956,67.10395442614649,19.714479617988218,12.746806119999999,0.2937901318421651,0.6465707625561338,14.329528341272352,41.60584727860249,35.31547350461964,0.0,1.136930347994512,28.011969962550708
41,10.883614,42.1029,35.6268,6.476099999999995,3615.8334,25.926,54.11639359999996,54.11639359999996,14.1959,0.11,6.3404000000000025,3520.1765,35.5034,26.72158414216157,3591.4428364218,0.0,1.0026,0.0,0.9396,67.49754254242359,20.49112848161759,13.33846764,0.3035833262927831,0.6509386563051333,14.352997597283728,41.65528852283471,35.375474771199265,0.0,1.1386269728438352,28.37420518926703
