,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,41.784,35.2798,6.504199999999997,3544.2978,25.598,53.55700159999996,53.55700159999996,14.1971,0.0,6.504199999999997,3544.2978,35.2798,25.567,3258.0,0.0,0.9276,0.0,0.9276,66.95649587232356,19.878109453269357,13.169229960000001,0.2968809701626869,0.6624991169788561,14.3971,41.784,35.2798,0.0,1.0276,25.598,3544.2978
1,1.900124,41.944,35.5957,6.348300000000002,3553.4196,25.631,56.22343679999996,56.22343679999996,14.1284,0.112,6.504199999999997,3544.2978,35.2798,25.567,3258.0,0.0,0.9276,0.0,0.9848,65.30464192523138,20.921484665087,13.91364832,0.32036749683185517,0.6650411547139664,14.328399999999998,41.944,35.5957,0.0,1.0848,25.631,3553.4196
2,1.920126,42.1701,35.5499,6.620199999999997,3553.4196,25.631,55.687352799999964,55.687352799999964,14.3198,0.11,6.504199999999997,3544.2978,35.2798,28.662076381285974,3607.5465843751044,0.0,0.9276,0.0,0.9733,68.33612949449879,20.722000716336318,13.937461340000002,0.30323638271032727,0.6725924552744715,14.5198,42.1701,35.5499,0.0,1.0733000000000001,25.631,3553.4196
3,2.162178,42.1903,35.4503,6.740000000000002,3563.6225,25.7169,58.23258639999996,58.23258639999996,14.3158,0.11,6.504199999999997,3544.2978,35.2798,26.86856078949825,3623.8330518287867,0.0,0.9276,0.0,1.0279,69.90531134301494,21.73133413888464,14.71521082,0.31086814036564725,0.6771425410863089,14.515799999999999,42.1903,35.4503,0.0,1.1279000000000001,25.7169,3563.6225
4,2.395143,42.1066,35.5492,6.557400000000001,3563.6225,25.7169,52.242430399999954,52.242430399999954,14.3012,0.109,6.504199999999997,3544.2978,35.2798,26.551972756416777,3630.282981259113,0.0,0.9276,0.0,0.8994,67.86263093795262,19.49591768861952,12.86249928,0.2872850259289948,0.6597534666197483,14.501199999999999,42.1066,35.5492,0.0,0.9994,25.7169,3563.6225
5,2.622996,41.9453,35.3501,6.5952000000000055,3564.1152,26.0159,53.26798239999996,53.26798239999996,14.224,0.11,6.504199999999997,3544.2978,35.2798,27.064681272536667,3630.113359652855,0.0,0.9276,0.0,0.9214,69.0794136574643,19.88138328599414,13.1059936,0.28780474867053074,0.6592093423012871,14.424,41.9453,35.3501,0.0,1.0214,26.0159,3564.1152
6,2.857539,42.0302,35.6672,6.3629999999999995,3564.1152,26.0159,54.00451519999996,54.00451519999996,14.2075,0.109,6.504199999999997,3544.2978,35.2798,26.320586106049056,3637.780796265374,0.0,0.9276,0.0,0.9372,66.45167540326824,20.15628183179501,13.315269,0.3033224024748017,0.6606014497671973,14.407499999999999,42.0302,35.6672,0.0,1.0372000000000001,26.0159,3564.1152
7,3.087028,42.2446,35.589,6.6556,3561.7763,25.9064,51.99536559999996,51.99536559999996,14.2245,0.113,6.504199999999997,3544.2978,35.2798,26.364425242923293,3602.1604265621563,0.0,0.9276,0.0,0.8941,69.46931272169486,19.39366518087207,12.71812545,0.27916880736342076,0.655787615769703,14.4245,42.2446,35.589,0.0,0.9941,25.9064,3561.7763
8,3.293877,42.1432,35.7551,6.388100000000001,3561.7763,25.9064,51.27281759999996,51.27281759999996,14.1779,0.109,6.504199999999997,3544.2978,35.2798,26.36147690381161,3606.571959594834,0.0,0.9276,0.0,0.8786,66.45483633181503,19.12416320069735,12.45670294,0.2877768459952059,0.6513593723957435,14.377899999999999,42.1432,35.7551,0.0,0.9786,25.9064,3561.7763
9,3.553688,42.0607,35.5718,6.488899999999994,3557.6638,25.9967,54.86691119999996,54.86691119999996,14.1692,0.125,6.504199999999997,3544.2978,35.2798,26.40713224428058,3605.086655592343,0.0,0.9276,0.0,0.9557,67.82635469980525,20.441089228197548,13.54150444,0.301373843820273,0.6624649150946474,14.3692,42.0607,35.5718,0.0,1.0557,25.9967,3557.6638
10,3.801192,42.4395,35.8431,6.596400000000003,3557.6638,25.9967,54.06045439999996,54.06045439999996,14.2582,0.109,6.504199999999997,3544.2978,35.2798,26.366725635628697,3621.802597217087,0.0,0.9276,0.0,0.9384,69.04200236485963,20.140637552552892,13.37989488,0.29171572177350247,0.6643233038223288,14.4582,42.4395,35.8431,0.0,1.0384,25.9967,3557.6638
11,4.033056,42.2843,35.7594,6.524900000000002,3553.1791,25.8036,55.22119279999996,55.22119279999996,14.1911,0.118,6.504199999999997,3544.2978,35.2798,26.3776750907991,3619.970534210586,0.0,0.9276,0.0,0.9633,67.72662636104485,20.547145661752563,13.670286630000001,0.30338356959074686,0.665313170745975,14.3911,42.2843,35.7594,0.0,1.0633000000000001,25.8036,3553.1791
12,4.271786,41.8377,35.5816,6.256099999999996,3553.1791,25.8036,54.39142799999996,54.39142799999996,14.2479,0.109,6.504199999999997,3544.2978,35.2798,26.344660627116436,3627.546414360741,0.0,0.9276,0.0,0.9455,64.70952015016147,20.238400099657515,13.47138945,0.3127576908728941,0.6656350988054619,14.447899999999999,41.8377,35.5816,0.0,1.0455,25.8036,3553.1791
13,4.505645,41.9141,35.3421,6.571999999999996,3562.341,25.8304,55.08600639999996,55.08600639999996,14.2881,0.118,6.504199999999997,3544.2978,35.2798,26.285252696224,3636.030118448346,0.0,0.9276,0.0,0.9604,68.32618436481314,20.549695691559055,13.72229124,0.30075871911474406,0.6677612868805904,14.4881,41.9141,35.3421,0.0,1.0604,25.8304,3562.341
