,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,41.7443,35.2688,6.475500000000004,3469.6684,25.415,57.35620559999997,57.35620559999997,14.0842,0.0,6.475500000000004,3469.6684,35.2688,25.567,3258.0,0.0,1.0091,0.0,1.0091,66.16053659057923,20.839965761322965,14.21236622,0.3149908818044626,0.6819764668892512,14.284199999999998,41.7443,35.2688,0.0,1.1091000000000002,25.415,3469.6684
1,1.664451,41.5268,35.2193,6.3075000000000045,3469.6684,25.415,56.27471439999996,56.27471439999996,14.0809,0.11,6.475500000000004,3469.6684,35.2688,25.567,3258.0,0.0,1.0091,0.0,0.9859,64.30324355904489,20.44701369374107,13.88235931,0.31797795199811496,0.6789431218628008,14.280899999999999,41.5268,35.2193,0.0,1.0859,25.415,3469.6684
2,1.684453,41.4137,35.132,6.281700000000001,3540.957,25.8056,55.524196799999956,55.524196799999956,14.0375,0.118,6.475500000000004,3469.6684,35.2688,27.569246628214582,3553.172099850793,0.0,1.0091,0.0,0.9698,65.00190141242437,20.58882466818913,13.6135675,0.31674188324979996,0.6612114930986669,14.237499999999999,41.4137,35.132,0.0,1.0698,25.8056,3540.957
3,1.934098,41.6544,35.2841,6.3703,3540.957,25.8056,56.49380959999996,56.49380959999996,13.9652,0.11,6.475500000000004,3469.6684,35.2688,27.569246628214582,3553.172099850793,0.0,1.0091,0.0,0.9906,65.99645620979616,20.948364996294014,13.83392712,0.3174165129367136,0.6603821884164882,14.165199999999999,41.6544,35.2841,0.0,1.0906,25.8056,3540.957
4,2.127006,41.6227,34.9493,6.673400000000001,3536.2194,25.8745,58.35378799999996,58.35378799999996,14.1087,0.117,6.475500000000004,3469.6684,35.2688,27.569246628214582,3553.172099850793,0.0,1.0091,0.0,1.0305,69.58411372949935,21.609109645450886,14.53901535,0.3105465958717811,0.6728188059826301,14.3087,41.6227,34.9493,0.0,1.1305,25.8745,3536.2194
5,2.363576,41.6746,35.3348,6.339799999999997,3536.2194,25.8745,55.687352799999964,55.687352799999964,14.1355,0.11,6.475500000000004,3469.6684,35.2688,26.68606701134054,3584.5587429854704,0.0,1.0091,0.0,0.9733,65.82938088462336,20.621696615823915,13.758082150000002,0.3132597684910143,0.6671653844156952,14.3355,41.6746,35.3348,0.0,1.0733000000000001,25.8745,3536.2194
6,2.634039,41.649,35.1497,6.499299999999998,3545.2612,25.6876,52.96963999999996,52.96963999999996,14.0931,0.121,6.475500000000004,3469.6684,35.2688,26.68606701134054,3584.5587429854704,0.0,1.0091,0.0,0.915,67.13610983507301,19.665449446848715,12.8951865,0.29291910858640724,0.6557280338215908,14.293099999999999,41.649,35.1497,0.0,1.0150000000000001,25.6876,3545.2612
7,2.838667,41.52,35.1075,6.412500000000001,3545.2612,25.6876,55.22119279999996,55.22119279999996,14.0868,0.108,6.475500000000004,3469.6684,35.2688,26.68606701134054,3584.5587429854704,0.0,1.0091,0.0,0.9633,66.16621579954148,20.50135842726298,13.56981444,0.30984631929645656,0.6618983072826374,14.2868,41.52,35.1075,0.0,1.0633000000000001,25.6876,3545.2612
8,3.06804,41.5035,35.1802,6.323300000000003,3544.4831,25.8181,53.897298399999954,53.897298399999954,14.0688,0.119,6.475500000000004,3469.6684,35.2688,27.01091066612722,3585.8844615028993,0.0,1.0091,0.0,0.9349,65.500583238567,20.00545918596441,13.152921119999998,0.305424138180576,0.6574665943797946,14.268799999999999,41.5035,35.1802,0.0,1.0349,25.8181,3544.4831
9,3.324975,41.4363,35.1979,6.238400000000006,3544.4831,25.8181,54.414735999999955,54.414735999999955,14.0853,0.109,6.475500000000004,3469.6684,35.2688,27.01091066612722,3585.8844615028993,0.0,1.0091,0.0,0.946,64.547100132939,20.197520329943448,13.324693799999999,0.31291135137512494,0.6597192913946832,14.2853,41.4363,35.1979,0.0,1.046,25.8181,3544.4831
10,3.539045,41.6312,35.3556,6.275599999999997,3545.4108,25.8108,56.57771839999996,56.57771839999996,14.0273,0.119,6.475500000000004,3469.6684,35.2688,27.01091066612722,3585.8844615028993,0.0,1.0091,0.0,0.9924,64.94651206684016,21.005866958808937,13.92069252,0.3234333344520581,0.6627049741530555,14.2273,41.6312,35.3556,0.0,1.0924,25.8108,3545.4108
11,3.780797,41.5756,35.2749,6.300699999999999,3545.4108,25.8108,56.24674479999996,56.24674479999996,14.0946,0.108,6.475500000000004,3469.6684,35.2688,26.56177439231534,3590.5237107961757,0.0,1.0091,0.0,0.9853,65.22832195047563,20.882984884291098,13.88740938,0.32015210969471863,0.6650107471200914,14.294599999999999,41.5756,35.2749,0.0,1.0853,25.8108,3545.4108
12,4.024917,41.6386,35.2041,6.4345,3543.2666,25.9093,55.08600639999996,55.08600639999996,14.0987,0.112,6.475500000000004,3469.6684,35.2688,26.56177439231534,3590.5237107961757,0.0,1.0091,0.0,0.9604,66.98521879169549,20.43966323944426,13.54039148,0.3051369183850195,0.6624566814716343,14.298699999999998,41.6386,35.2041,0.0,1.0604,25.9093,3543.2666
13,4.2476,41.4614,34.956,6.5053999999999945,3543.2666,25.9093,56.08358879999996,56.08358879999996,14.1119,0.109,6.475500000000004,3469.6684,35.2688,26.56177439231534,3590.5237107961757,0.0,1.0091,0.0,0.9818,67.78428533705274,20.809816199191157,13.85506342,0.3070005989694479,0.6657946080532188,14.3119,41.4614,34.956,0.0,1.0818,25.9093,3543.2666
14,4.478142,41.5298,34.9145,6.615300000000005,3545.9772,25.4522,54.82495679999996,54.82495679999996,14.0664,0.12,6.475500000000004,3469.6684,35.2688,27.171551942701278,3596.3371738904925,0.0,1.0091,0.0,0.9548,67.80517126647078,20.358363031320877,13.430598719999999,0.3002479405488643,0.6597091671534361,14.266399999999999,41.5298,34.9145,0.0,1.0548,25.4522,3545.9772
15,4.760279,41.6111,35.2108,6.400300000000001,3545.9772,25.4522,56.41456239999996,56.41456239999996,14.0427,0.109,6.475500000000004,3469.6684,35.2688,27.171551942701278,3596.3371738904925,0.0,1.0091,0.0,0.9889,65.42479933461057,20.94863742040021,13.88682603,0.32019414095960563,0.6628987724269229,14.2427,41.6111,35.2108,0.0,1.0889,25.4522,3545.9772
16,4.95205,41.7644,35.3776,6.386800000000001,3536.6931,25.8541,54.92285039999996,54.92285039999996,14.0843,0.118,6.475500000000004,3469.6684,35.2688,27.171551942701278,3596.3371738904925,0.0,1.0091,0.0,0.9569,66.30605668190752,20.341316669829325,13.47726667,0.30677916449493403,0.6625562587101242,14.2843,41.7644,35.3776,0.0,1.0569,25.8541,3536.6931
