,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,42.2617,35.8321,6.429600000000001,3456.6296,25.3013,54.66180079999996,54.66180079999996,13.5022,0.0,6.429600000000001,3456.6296,35.8321,25.567,3258.0,0.0,0.9513,0.0,0.9513,65.35938297649123,19.786336797341924,12.84464286,0.3027313890716925,0.6491673012321076,13.7022,42.2617,35.8321,0.0,1.0513000000000001,25.3013,3456.6296
1,1.678572,42.3955,36.0838,6.311700000000002,3456.6296,25.3013,57.44943759999997,57.44943759999997,13.5466,0.109,6.429600000000001,3456.6296,35.8321,25.567,3258.0,0.0,0.9513,0.0,1.0111,64.06179242435299,20.795398331836132,13.696967260000001,0.32461468130777427,0.6586537579821692,13.746599999999999,42.3955,36.0838,0.0,1.1111000000000002,25.3013,3456.6296
2,1.698575,42.3357,36.0649,6.270800000000001,3497.1853,25.8895,53.77609679999996,53.77609679999996,13.5988,0.113,6.429600000000001,3456.6296,35.8321,27.014354546496637,3469.9802709077476,0.0,0.9513,0.0,0.9323,65.09048495336538,19.694118129154752,12.678161240000001,0.3025652388865249,0.6437536911709452,13.7988,42.3357,36.0649,0.0,1.0323,25.8895,3497.1853
3,1.928464,42.2379,35.9317,6.306200000000004,3497.1853,25.8895,52.41957119999996,52.41957119999996,13.8676,0.109,6.429600000000001,3456.6296,35.8321,27.014354546496637,3469.9802709077476,0.0,0.9513,0.0,0.9032,65.48914981501271,19.197325371752125,12.52521632,0.2931374956917113,0.6524459047003606,14.067599999999999,42.2379,35.9317,0.0,1.0032,25.8895,3497.1853
4,2.122007,42.2929,35.9427,6.350200000000001,3560.7617,25.6472,51.244847999999955,51.244847999999955,13.967,0.117,6.429600000000001,3456.6296,35.8321,27.014354546496637,3469.9802709077476,0.0,0.9513,0.0,0.878,65.36711454619137,19.108286169373585,12.263026,0.2923226197459091,0.6417648286875123,14.167,42.2929,35.9427,0.0,0.978,25.6472,3560.7617
5,2.35839,42.3326,35.9329,6.399700000000003,3560.7617,25.6472,52.46152559999996,52.46152559999996,13.9245,0.11,6.429600000000001,3456.6296,35.8321,26.542021773091175,3519.5973450111505,0.0,0.9513,0.0,0.9041,65.91935242338221,19.561963459169956,12.58914045,0.29675600169019783,0.6435519868072679,14.1245,42.3326,35.9329,0.0,1.0041,25.6472,3560.7617
6,2.628649,42.3063,35.8853,6.420999999999999,3575.5634,25.9551,53.65023359999996,53.65023359999996,13.9562,0.11,6.429600000000001,3456.6296,35.8321,26.542021773091175,3519.5973450111505,0.0,0.9513,0.0,0.9296,66.9512104614046,20.08837087889995,12.97368352,0.30004492436294794,0.6458305453543302,14.1562,42.3063,35.8853,0.0,1.0296,25.9551,3575.5634
7,2.821413,42.2263,35.9097,6.316600000000001,3575.5634,25.9551,51.87416399999996,51.87416399999996,13.9249,0.11,6.429600000000001,3456.6296,35.8321,26.542021773091175,3519.5973450111505,0.0,0.9513,0.0,0.8915,65.77250786913302,19.423353367558875,12.414048349999998,0.2953111261350312,0.6391300263699108,14.124899999999998,42.2263,35.9097,0.0,0.9914999999999999,25.9551,3575.5634
8,3.054754,42.387,35.9726,6.4144000000000005,3569.6679,25.543,51.68303839999996,51.68303839999996,13.8984,0.117,6.429600000000001,3456.6296,35.8321,26.918135339935173,3546.2217690756374,0.0,0.9513,0.0,0.8874,65.81486547047764,19.31988197120282,12.33344016,0.29354890924861154,0.6383807198399848,14.0984,42.387,35.9726,0.0,0.9873999999999999,25.543,3569.6679
9,3.311372,42.2758,36.0166,6.2592,3569.6679,25.543,52.50347999999996,52.50347999999996,13.8746,0.11,6.429600000000001,3456.6296,35.8321,26.918135339935173,3546.2217690756374,0.0,0.9513,0.0,0.905,64.09043910706842,19.626575141089383,12.556512999999999,0.30623249605610525,0.6397709691953439,14.074599999999998,42.2758,36.0166,0.0,1.0050000000000001,25.543,3569.6679
10,3.52572,42.2666,35.994,6.272599999999997,3566.5761,25.6841,52.97896319999996,52.97896319999996,13.8493,0.121,6.429600000000001,3456.6296,35.8321,26.918135339935173,3546.2217690756374,0.0,0.9513,0.0,0.9152,64.59418565105884,19.787164640234433,12.67487936,0.30633042960129153,0.6405606659898814,14.049299999999999,42.2666,35.994,0.0,1.0152,25.6841,3566.5761
11,3.767457,42.2043,35.724,6.480300000000007,3566.5761,25.6841,55.48224239999996,55.48224239999996,13.9167,0.109,6.429600000000001,3456.6296,35.8321,26.31628701281768,3558.081224846759,0.0,0.9513,0.0,0.9689,66.9146873045329,20.722116830293043,13.48389063,0.3096796482958278,0.6507004443816427,14.1167,42.2043,35.724,0.0,1.0689,25.6841,3566.5761
12,4.04344,42.3088,36.096,6.212800000000001,3567.6364,25.8558,52.801822399999956,52.801822399999956,13.7899,0.118,6.429600000000001,3456.6296,35.8321,26.31628701281768,3558.081224846759,0.0,0.9513,0.0,0.9114,64.3534280976838,19.726866966420456,12.56811486,0.30653948903042916,0.6371064843390359,13.989899999999999,42.3088,36.096,0.0,1.0114,25.8558,3567.6364
13,4.238456,42.2935,35.8553,6.438200000000002,3567.6364,25.8558,51.860179199999955,51.860179199999955,14.0218,0.11,6.429600000000001,3456.6296,35.8321,26.31628701281768,3558.081224846759,0.0,0.9513,0.0,0.8912,66.88851542915606,19.375067174445203,12.496228160000001,0.2896620899736668,0.6449643785742294,14.2218,42.2935,35.8553,0.0,0.9912,25.8558,3567.6364
14,4.473344,42.222,35.826,6.396000000000001,3576.5988,26.2569,51.65506879999996,51.65506879999996,13.978,0.116,6.429600000000001,3456.6296,35.8321,26.348274589143102,3539.1145357720743,0.0,0.9513,0.0,0.8868,67.44416552963528,19.346917882219213,12.3956904,0.28685828833804883,0.6407062083719423,14.177999999999999,42.222,35.826,0.0,0.9868,26.2569,3576.5988
15,4.723955,42.1512,35.7741,6.377100000000006,3576.5988,26.2569,56.139527999999956,56.139527999999956,13.9252,0.109,6.429600000000001,3456.6296,35.8321,26.348274589143102,3539.1145357720743,0.0,0.9513,0.0,0.983,67.2282985137996,21.026529697750515,13.6884716,0.31276307987230273,0.6510095482596178,14.1252,42.1512,35.7741,0.0,1.083,26.2569,3576.5988
16,4.938889,42.4114,36.0551,6.356299999999997,3574.7114,25.8682,53.92526799999996,53.92526799999996,13.9274,0.123,6.429600000000001,3456.6296,35.8321,26.348274589143102,3539.1145357720743,0.0,0.9513,0.0,0.9355,65.999018041587,20.186541314447624,13.0290827,0.30586123723428393,0.6454341284643452,14.1274,42.4114,36.0551,0.0,1.0355,25.8682,3574.7114
