,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,42.7566,36.1187,6.637900000000002,3534.1516,25.6949,57.97153679999996,57.97153679999996,13.9911,0.0,6.637900000000002,3534.1516,36.1187,25.567,3258.0,0.0,1.0223,0.0,1.0223,68.70433071283546,21.455004299779752,14.30310153,0.3122802314959673,0.6666557288989604,14.191099999999999,42.7566,36.1187,0.0,1.1223,25.6949,3534.1516
1,1.673457,42.99,36.2903,6.6997,3534.1516,25.6949,54.321503999999955,54.321503999999955,13.978,0.11,6.637900000000002,3534.1516,36.1187,25.567,3258.0,0.0,1.0223,0.0,0.944,69.39507363008694,20.104143623297958,13.195231999999999,0.2897056314179282,0.6563438984144804,14.177999999999999,42.99,36.2903,0.0,1.044,25.6949,3534.1516
2,1.693468,42.566,36.1015,6.464500000000001,3621.0329,26.124,54.20962559999996,54.20962559999996,14.0735,0.112,6.637900000000002,3534.1516,36.1187,27.893287279619063,3544.813025805656,0.0,1.0223,0.0,0.9416,67.88121023654736,20.55594732158196,13.2516076,0.3028223458295769,0.6446605156497439,14.273499999999999,42.566,36.1015,0.0,1.0416,26.124,3621.0329
3,1.895375,43.012,36.429,6.582999999999998,3621.0329,26.124,52.95565519999996,52.95565519999996,14.4626,0.11,6.637900000000002,3534.1516,36.1187,27.893287279619063,3544.813025805656,0.0,1.0223,0.0,0.9147,69.22781162819894,20.08044967333362,13.22894022,0.29006333150005487,0.6587970107844612,14.6626,43.012,36.429,0.0,1.0147,26.124,3621.0329
4,2.112629,42.6399,36.0178,6.622099999999996,3690.6003,25.7159,55.18389999999996,55.18389999999996,14.4655,0.12,6.637900000000002,3534.1516,36.1187,27.893287279619063,3544.813025805656,0.0,1.0223,0.0,0.9625,68.58373954706951,21.327405200861303,13.923043750000001,0.31096882937134324,0.6528240833271983,14.6655,42.6399,36.0178,0.0,1.0625,25.7159,3690.6003
5,2.357993,42.6625,35.9702,6.692300000000003,3690.6003,25.7159,52.77851439999996,52.77851439999996,14.3919,0.109,6.637900000000002,3534.1516,36.1187,28.786821831441628,3629.1458603994165,0.0,1.0223,0.0,0.9109,69.36901111598941,20.39777475873023,13.10958171,0.2940473625121144,0.6426966600554853,14.591899999999999,42.6625,35.9702,0.0,1.0109000000000001,25.7159,3690.6003
6,2.599789,42.9338,36.2304,6.703399999999995,3698.728,26.2811,53.62226399999996,53.62226399999996,14.5226,0.114,6.637900000000002,3534.1516,36.1187,28.786821831441628,3629.1458603994165,0.0,1.0223,0.0,0.929,71.02054215564588,20.76950561515022,13.491495400000002,0.2924436365133988,0.6495819231324742,14.7226,42.9338,36.2304,0.0,1.0290000000000001,26.2811,3698.728
7,2.824998,42.8788,36.1547,6.7241,3698.728,26.2811,54.68977039999996,54.68977039999996,14.4654,0.11,6.637900000000002,3534.1516,36.1187,28.786821831441628,3629.1458603994165,0.0,1.0223,0.0,0.9519,71.25718583966854,21.182982751606236,13.76961426,0.2972750397309933,0.6500318874572041,14.6654,42.8788,36.1547,0.0,1.0519,26.2811,3698.728
8,3.05439,42.9478,36.2531,6.694699999999997,3709.2304,25.8351,57.15109519999996,57.15109519999996,14.5298,0.124,6.637900000000002,3534.1516,36.1187,27.134376688736587,3641.9675482567945,0.0,1.0223,0.0,1.0047,69.71752616874008,22.199182690428476,14.598090059999999,0.31841609865357123,0.6575958342058329,14.7298,42.9478,36.2531,0.0,1.1047,25.8351,3709.2304
9,3.313016,42.6863,35.8993,6.787000000000006,3711.2177,25.8351,55.94840239999996,55.94840239999996,14.5194,0.114,6.637900000000002,3534.1516,36.1187,27.134376688736587,3641.9675482567945,0.0,1.0223,0.0,0.9789,70.75479871018717,21.74366448637982,14.213040659999999,0.30731010309904533,0.6536635381263822,14.719399999999998,42.6863,35.8993,0.0,1.0789,25.8351,3711.2177
10,3.533628,42.6515,36.1193,6.532199999999996,3711.2177,25.6588,53.54301679999996,53.54301679999996,14.4459,0.117,6.637900000000002,3534.1516,36.1187,27.134376688736587,3641.9675482567945,0.0,1.0223,0.0,0.9273,67.4280482409215,20.808840698689878,13.39568307,0.30860808286100105,0.6437496093111709,14.6459,42.6515,36.1193,0.0,1.0273,25.6588,3711.2177
