,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,41.4363,35.2474,6.188900000000004,3449.5095,25.6344,55.36104079999996,55.36104079999996,13.2875,0.0,6.188900000000004,3449.5095,35.2474,25.567,3258.0,0.0,0.9663,0.0,0.9663,63.53587470253121,19.998167848401867,12.83971125,0.3147539550219674,0.6420443786317191,13.487499999999999,41.4363,35.2474,0.0,1.0663,25.6344,3449.5095
1,1.68239,41.294,34.9365,6.357499999999995,3454.2167,25.6344,54.56856879999996,54.56856879999996,13.2774,0.113,6.188900000000004,3449.5095,35.2474,25.567,3258.0,0.0,0.9663,0.0,0.9493,65.4158916341808,19.738800626908738,12.604235820000001,0.3017432023596376,0.6385512503134255,13.4774,41.294,34.9365,0.0,1.0493000000000001,25.6344,3454.2167
2,1.702384,41.4559,35.0586,6.397300000000001,3454.2167,25.6145,53.090841599999955,53.090841599999955,13.2623,0.116,6.188900000000004,3449.5095,35.2474,25.911553288523635,3385.534262124457,0.0,0.9663,0.0,0.9176,65.80856468003522,19.20427015958667,12.16948648,0.29182022511748834,0.6336864863320545,13.462299999999999,41.4559,35.0586,0.0,1.0176,25.6145,3454.2167
3,1.722402,41.5488,35.311,6.2378,3455.9316,25.6145,53.14678079999996,53.14678079999996,13.1902,0.116,6.188900000000004,3449.5095,35.2474,25.911553288523635,3385.534262124457,0.0,0.9663,0.0,0.9188,64.03140028498828,19.234049057995275,12.11915576,0.3003846389800812,0.6300886372628995,13.3902,41.5488,35.311,0.0,1.0188,25.6145,3455.9316
4,1.742409,41.4076,35.3629,6.044699999999999,3455.9316,25.5525,55.46825759999996,55.46825759999996,13.2129,0.113,6.188900000000004,3449.5095,35.2474,25.911553288523635,3385.534262124457,0.0,0.9663,0.0,0.9686,61.73008099398987,20.074201518522067,12.79801494,0.3251931828904699,0.6375354421042115,13.412899999999999,41.4076,35.3629,0.0,1.0686,25.5525,3455.9316
5,1.762409,41.5298,35.1613,6.3685000000000045,3456.8583,25.5525,53.98120719999996,53.98120719999996,13.2691,0.118,6.188900000000004,3449.5095,35.2474,25.911553288523635,3385.534262124457,0.0,0.9663,0.0,0.9367,65.32915912673998,19.541270110218605,12.42916597,0.2991201841785246,0.6360469867053569,13.4691,41.5298,35.1613,0.0,1.0367,25.5525,3456.8583
6,1.782417,41.8054,35.4875,6.317900000000002,3456.8583,25.6214,56.754859199999956,56.754859199999956,13.272,0.111,6.188900000000004,3449.5095,35.2474,25.911553288523635,3385.534262124457,0.0,0.9663,0.0,0.9962,64.94137132548187,20.545335890424948,13.2215664,0.3163674476082909,0.6435312846923007,13.472,41.8054,35.4875,0.0,1.0962,25.6214,3456.8583
7,1.841007,41.6483,35.4735,6.174799999999998,3450.4499,25.6214,54.58255359999996,54.58255359999996,13.2698,0.113,6.188900000000004,3449.5095,35.2474,25.911553288523635,3385.534262124457,0.0,0.9663,0.0,0.9496,63.346507806856735,19.72232872956991,12.60100208,0.3113404260532122,0.6389205987174921,13.4698,41.6483,35.4735,0.0,1.0496,25.6214,3450.4499
8,2.0745,41.6984,35.3708,6.327599999999997,3450.4499,25.6076,52.95565519999996,52.95565519999996,13.2985,0.115,6.188900000000004,3449.5095,35.2474,25.911553288523635,3385.534262124457,0.0,0.9663,0.0,0.9147,65.01444232935788,19.134481094416188,12.16413795,0.29431123930099196,0.6357182036961395,13.4985,41.6984,35.3708,0.0,1.0147,25.6076,3450.4499
9,2.316076,41.52,35.512,6.008000000000003,3454.0795,25.6076,51.87416399999996,51.87416399999996,13.1573,0.116,6.188900000000004,3449.5095,35.2474,25.729409708512254,3390.6125436728134,0.0,0.9663,0.0,0.8915,61.45438754258778,18.763422482773223,11.729732949999999,0.30532274802625287,0.6251382422779808,13.357299999999999,41.52,35.512,0.0,0.9914999999999999,25.6076,3454.0795
