,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,43.498,35.471,6.1932,3258.785,25.5675,73.41,73.41,11.9158,0.0,6.1932,3258.785,35.471,25.567,3258.0,0.0,1.467,0.0,1.467,63.41788350863394,25.051835434617317,17.4804786,0.3950279329521722,0.6977723706361648,11.97973070705809,43.51528517565802,35.52406149894459,-9.302144495041046e-05,1.467901613402422,25.686380511078127,3258.874100919126
1,0.1,42.880762000000004,34.804324304187496,6.077144679641648,3258.785,25.705910008839542,71.8301317775597,78.70167199999997,12.324187099641405,0.1,6.1932,3258.785,35.471,25.567,3258.0,0.0,1.467,0.0,1.467,62.46348284061358,24.51269092137722,18.079582475173943,0.3924323429727031,0.7375600880851053,12.272417052903588,42.883655438147464,34.81347968704076,-0.00010498853700511624,1.4679974755879992,25.827974481509997,3258.839547589364
2,0.2,42.44925495644185,35.1820844734335,6.08392424666735,3240.1915145153544,25.85681095989257,71.75778823963225,78.70167199999997,12.324187099641405,0.1,6.1932,3258.785,35.471,26.472219602857333,3264.257003051204,0.0,1.467,0.0,1.467,62.906414303173264,24.34828306008234,18.079582475173943,0.3870556497265512,0.7425403438328847,12.380254223607793,42.39028993743886,35.16364269749999,0.0007293013670393084,1.4666368519897548,25.85860101478123,3240.3192101403197
3,0.30000000000000004,41.97880615143893,35.59625984462148,6.0960175371503995,3221.4022769170897,25.946119020766883,72.6161735986822,78.70167199999997,12.23622998943143,0.1,6.1932,3258.785,35.471,26.68351556013524,3263.658433346514,0.0,1.467,0.0,1.467,63.260178824914576,24.49666366623984,17.95054939449591,0.3872367122773924,0.732775272545972,12.303517242678792,41.958372648940255,35.631961896075275,-0.00016332868368904165,1.466332872923518,26.116723682629118,3221.3583345549305
4,0.4,41.70037934085717,35.842524139924606,6.1366379745395285,3204.935717378921,25.967745397439582,74.53142072399432,78.70167199999997,12.147346867245613,0.1,6.1932,3258.785,35.471,25.194750027722986,3253.4011663496876,0.0,1.467,0.0,1.467,63.77174540573755,25.014241618041396,17.820157854249317,0.3922464636790522,0.7124004847461223,12.1636321393841,41.75828010777923,35.90097137302124,-0.000644139088479146,1.4665344536847131,25.772674826805027,3204.9598763334307
5,0.5,41.632956948942365,35.902285928626995,6.138650501658724,3193.6515650553247,25.946703666520587,75.49500221414684,78.70167199999997,12.069451251962837,0.1,6.1932,3258.785,35.471,24.598515682904946,3204.4113346049435,0.0,1.467,0.0,1.467,63.74278558970184,25.248428461769496,17.70588498662948,0.39609860517059964,0.7012668140292084,12.03538789915053,41.62787603864523,35.86035330352828,-0.0008291040592249072,1.4668801451813773,25.983504252822858,3193.6346988976834
6,0.6,41.69855664925542,35.844139080552736,6.11417078200023,3184.974737708437,25.915910535525338,75.582696383519,78.70167199999997,12.016071188801881,0.1,6.1932,3258.785,35.471,24.41692629317163,3185.1942894846834,0.0,1.467,0.0,1.467,63.39117171378036,25.209079659281674,17.62757643397236,0.3976749281919578,0.6992550569961845,12.041341107078301,41.67272519964284,35.84293099355693,-0.002141561638210279,1.4672699497706525,25.731201849967658,3184.933776717754
7,0.7,41.79455731444621,35.75913011726735,6.085063274508327,3176.535199268042,25.89630510170016,75.43706166175802,78.70167199999997,11.975025164383633,0.1,6.1932,3258.785,35.471,24.417869673697886,3149.1914529505043,0.0,1.467,0.0,1.467,63.01532943560448,25.093835894429017,17.56736191615079,0.3982179593311889,0.7000668207944586,11.922352079641152,41.75172707696951,35.75639076249417,-0.0005858421709694039,1.4661285516173281,25.923333847287672,3176.7031953936157
8,0.7999999999999999,41.855679214939585,35.705059031899786,6.065825599233623,3167.7015923950303,25.892558711743824,75.48857147996182,78.70167199999997,11.935101643140877,0.1,6.1932,3258.785,35.471,24.474259769271512,3120.509865589035,0.0,1.467,0.0,1.467,62.78953818317488,25.04113948813922,17.508794110487667,0.39881069701591243,0.699201173284496,11.981017300838277,41.86477546766682,35.66672559642073,-2.5789220206411675e-05,1.4665634123988558,26.036646821491676,3167.732023828742
9,0.8999999999999999,41.86735896026745,35.694731279205804,6.05683272511593,3159.007364325909,25.89895876578143,75.77743906465213,78.70167199999997,11.893313967886405,0.1,6.1932,3258.785,35.471,24.872791544470573,3106.7573742165487,0.0,1.467,0.0,1.467,62.703746110146035,25.067970780654385,17.447491590889356,0.3997842606822842,0.6960073371536737,11.868154135009204,41.8911265088009,35.699792629761255,-0.0015250200774557983,1.4670088945035367,25.854727812787477,3158.8776642417074
