,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,23.9669,20.7044,3.2624999999999993,1914.8284,19.4261,54.23759519999996,54.23759519999996,6.4013,0.0,3.2624999999999993,1914.8284,20.7044,25.567,3258.0,0.067,0.9422,0.067,0.9422,23.419711265172754,10.875742164667944,6.0313048600000005,0.4643841267522868,0.5545648994506249,6.6013,23.9669,20.7044,0.067,1.0422,19.4261,1914.8284
1,1.238562,23.926,20.6458,3.280199999999997,1924.3927,19.4261,55.08600639999996,55.08600639999996,6.354,0.116,3.2624999999999993,1914.8284,20.7044,25.567,3258.0,0.067,0.9422,0.067,0.9604,23.569279689994517,11.101038439626555,6.1023816,0.4709960841246709,0.549712680771988,6.554,23.926,20.6458,0.067,1.0604,19.4261,1924.3927
2,1.258564,23.9522,20.7331,3.219100000000001,1924.3927,19.5576,57.58928559999996,57.58928559999996,6.2397,0.11,3.2624999999999993,1914.8284,20.7044,12.214992186679119,1960.446416932604,0.067,0.9422,0.067,1.0141,23.209024052955698,11.605504100515661,6.32767977,0.500042745185474,0.5452309279455465,6.4397,23.9522,20.7331,0.067,1.1141,19.5576,1924.3927
3,1.27858,24.0659,20.8065,3.2593999999999994,1911.0552,19.5576,55.53818159999996,55.53818159999996,6.2503,0.12,3.2624999999999993,1914.8284,20.7044,12.214992186679119,1960.446416932604,0.067,0.9422,0.067,0.9701,23.55187206781369,11.114591496189849,6.06341603,0.47191966159578463,0.5455365617421546,6.4503,24.0659,20.8065,0.067,1.0701,19.5576,1911.0552
4,1.298591,23.9669,20.7032,3.2637,1911.0552,19.0989,51.50589759999996,51.50589759999996,6.2576,0.116,3.2624999999999993,1914.8284,20.7044,12.214992186679119,1960.446416932604,0.067,0.9422,0.067,0.8836,23.035215033537693,10.307629723847228,5.52921536,0.4474726938229153,0.5364196724304016,6.4576,23.9669,20.7032,0.067,0.9836,19.0989,1911.0552
5,1.318598,23.9742,20.7228,3.2514000000000003,1907.8144,19.0989,53.608279199999956,53.608279199999956,6.2252,0.113,3.2624999999999993,1914.8284,20.7044,12.214992186679119,1960.446416932604,0.067,0.9422,0.067,0.9287,22.933028304027644,10.710175978329668,5.78134324,0.4670196991144287,0.5397990893611483,6.4252,23.9742,20.7228,0.067,1.0287,19.0989,1907.8144
6,1.517066,23.962,20.7185,3.243500000000001,1907.8144,19.194,51.71100799999996,51.71100799999996,6.2321,0.114,3.2624999999999993,1914.8284,20.7044,12.214992186679119,1960.446416932604,0.067,0.9422,0.067,0.888,22.98126081712886,10.331128026523434,5.5341048,0.449545745498142,0.5356728506114837,6.4321,23.962,20.7185,0.067,0.988,19.194,1907.8144
7,1.754381,24.1007,20.7893,3.311399999999999,1907.9438,19.194,58.558898399999954,58.558898399999954,6.1679,0.116,3.2624999999999993,1914.8284,20.7044,12.214992186679119,1960.446416932604,0.067,0.9422,0.067,1.0349,23.548173663444214,11.700033191861792,6.38315971,0.49685522788651443,0.5455676582558708,6.367900000000001,24.1007,20.7893,0.067,1.1349,19.194,1907.9438
8,1.992049,24.02,20.7515,3.2684999999999995,1907.9438,19.512,53.515047199999955,53.515047199999955,6.2553,0.11,3.2624999999999993,1914.8284,20.7044,19.872122305235777,2008.941816811307,0.067,0.9422,0.067,0.9267,23.574195914704173,10.692274711644004,5.79678651,0.4535584055689807,0.5421471732004076,6.4553,24.02,20.7515,0.067,1.0267,19.512,1907.9438
9,2.23802,23.9504,20.6959,3.2544999999999966,1921.369,19.512,55.64539839999996,55.64539839999996,6.3374,0.117,3.2624999999999993,1914.8284,20.7044,19.872122305235777,2008.941816811307,0.067,0.9422,0.067,0.9724,23.455370084711042,11.196148574799894,6.16248776,0.47733838922021105,0.5504113953855906,6.5374,23.9504,20.6959,0.067,1.0724,19.512,1921.369
