,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,42.7193,36.3276,6.3917,3548.2563,26.1762,51.44995839999996,51.44995839999996,13.8324,0.0,6.3917,3548.2563,36.3276,25.567,3258.0,0.0,0.8824,0.0,0.8824,67.18791572721112,19.117391232342193,12.20570976,0.2845361554295045,0.6384610542128137,14.032399999999999,42.7193,36.3276,0.0,0.9823999999999999,26.1762,3548.2563
1,1.273182,42.5849,36.2048,6.380099999999999,3548.2563,26.2045,53.55700159999996,53.55700159999996,13.8717,0.116,6.3917,3548.2563,36.3276,25.567,3258.0,0.0,0.8824,0.0,0.9276,67.12832951584596,19.90031060585613,12.86738892,0.29645174771045907,0.6465923660615363,14.0717,42.5849,36.2048,0.0,1.0276,26.2045,3548.2563
2,1.293181,42.6802,36.3636,6.316600000000001,3545.3808,26.2045,56.35862319999996,56.35862319999996,13.8702,0.113,6.3917,3548.2563,36.3276,25.866034252810483,3496.0312560526013,0.0,0.8824,0.0,0.9877,66.40450942037194,20.924345431108602,13.699596540000002,0.31510428453958755,0.6547204348687804,14.0702,42.6802,36.3636,0.0,1.0877000000000001,26.2045,3545.3808
3,1.313199,42.7028,36.3001,6.402700000000003,3545.3808,26.2098,54.25157999999996,54.25157999999996,13.9412,0.111,6.3917,3548.2563,36.3276,25.866034252810483,3496.0312560526013,0.0,0.8824,0.0,0.9425,67.399570243662,20.142060533931264,13.139581,0.29884553360079247,0.6523454230447324,14.1412,42.7028,36.3001,0.0,1.0425,26.2098,3545.3808
4,1.333206,42.8238,36.3917,6.432099999999998,3545.3808,26.2098,56.95996959999996,56.95996959999996,13.8164,0.118,6.3917,3548.2563,36.3276,25.866034252810483,3496.0312560526013,0.0,0.8824,0.0,1.0006,67.73476102891215,21.147608156187978,13.82468984,0.312212043490657,0.6537235671238202,14.016399999999999,42.8238,36.3917,0.0,1.1006,26.2098,3545.3808
5,1.353214,42.6625,36.3459,6.316600000000001,3545.3808,26.1832,55.00675919999996,55.00675919999996,13.9384,0.11,6.3917,3548.2563,36.3276,25.866034252810483,3496.0312560526013,0.0,0.8824,0.0,0.9587,66.350533345627,20.422436979379782,13.362744079999999,0.3077961238532497,0.6543168228890682,14.138399999999999,42.6625,36.3459,0.0,1.0587,26.1832,3545.3808
6,1.551331,42.7829,36.3978,6.385100000000001,3548.2563,26.1832,56.95996959999996,56.95996959999996,13.9043,0.117,6.3917,3548.2563,36.3276,25.866034252810483,3496.0312560526013,0.0,0.8824,0.0,1.0006,67.13071247467389,21.164760036531302,13.912642579999998,0.31527685699024927,0.657349412702349,14.104299999999999,42.7829,36.3978,0.0,1.1006,26.1832,3548.2563
7,1.793002,42.5843,36.1846,6.399699999999996,3548.2563,26.0875,53.35189119999996,53.35189119999996,13.9905,0.117,6.3917,3548.2563,36.3276,25.866034252810483,3496.0312560526013,0.0,0.8824,0.0,0.9232,67.05102726009004,19.82409721551407,12.916029600000002,0.295656875451239,0.6515317928269688,14.1905,42.5843,36.1846,0.0,1.0232,26.0875,3548.2563
8,2.030348,42.5642,36.0148,6.549399999999999,3550.1757,26.0875,53.748127199999956,53.748127199999956,13.9585,0.11,6.3917,3548.2563,36.3276,26.136881932529665,3526.5519002295227,0.0,0.8824,0.0,0.9317,68.7498000495083,19.982130953747664,13.00513445,0.29065002282709296,0.6508382154086962,14.1585,42.5642,36.0148,0.0,1.0317,26.0875,3550.1757
9,2.280496,42.756,36.3765,6.3795,3550.1757,26.3538,52.34032399999996,52.34032399999996,13.8302,0.11,6.3917,3548.2563,36.3276,26.136881932529665,3526.5519002295227,0.0,0.8824,0.0,0.9015,67.50391460626649,19.458746989226853,12.4679253,0.2882610157162718,0.6407362872287072,14.030199999999999,42.756,36.3765,0.0,1.0015,26.3538,3550.1757
10,2.49853,42.7047,36.3429,6.361800000000002,3544.3015,26.3538,57.09515599999996,57.09515599999996,13.8629,0.11,6.3917,3548.2563,36.3276,26.136881932529665,3526.5519002295227,0.0,0.8824,0.0,1.0035,67.30100736528308,21.191345876646537,13.911420150000001,0.31487412605324533,0.6564670423000731,14.062899999999999,42.7047,36.3429,0.0,1.1035000000000001,26.3538,3544.3015
11,2.730702,42.613,36.1944,6.418599999999998,3544.3015,26.0642,53.16076559999996,53.16076559999996,13.8598,0.111,6.3917,3548.2563,36.3276,26.028308812228325,3533.445626271501,0.0,0.8824,0.0,0.9191,67.20542352799501,19.731063890900536,12.73854218,0.29359332707250013,0.6456084806392366,14.0598,42.613,36.1944,0.0,1.0191000000000001,26.0642,3544.3015
12,2.980394,42.6368,36.2421,6.3947,3546.3388,26.0642,54.80164879999996,54.80164879999996,13.8573,0.117,6.3917,3548.2563,36.3276,26.028308812228325,3533.445626271501,0.0,0.8824,0.0,0.9543,66.93445220362783,20.351783137216945,13.22402139,0.30405542238999433,0.6497721256579955,14.0573,42.6368,36.2421,0.0,1.0543,26.0642,3546.3388
13,3.20607,42.7309,36.3752,6.355699999999999,3546.3388,25.7324,53.81338959999996,53.81338959999996,13.9431,0.109,6.3917,3548.2563,36.3276,26.028308812228325,3533.445626271501,0.0,0.8824,0.0,0.9331,65.64582770606431,19.98477160814486,13.01030661,0.30443323371027714,0.6510110230480496,14.143099999999999,42.7309,36.3752,0.0,1.0331000000000001,25.7324,3546.3388
14,3.439499,42.467,36.1168,6.350200000000001,3556.9106,25.7324,54.39142799999996,54.39142799999996,13.8862,0.117,6.3917,3548.2563,36.3276,25.405549328226826,3533.0307921454664,0.0,0.8824,0.0,0.9455,65.58426410479174,20.25965419010623,13.1294021,0.30891029222703453,0.6480565747470519,14.0862,42.467,36.1168,0.0,1.0455,25.7324,3556.9106
15,3.694126,42.1512,35.9995,6.151700000000005,3556.9106,26.1363,55.79923119999996,55.79923119999996,13.9582,0.116,6.3917,3548.2563,36.3276,25.405549328226826,3533.0307921454664,0.0,0.8824,0.0,0.9757,64.35692411343562,20.78403104595427,13.61901574,0.3229494158129792,0.6552634428753425,14.158199999999999,42.1512,35.9995,0.0,1.0757,26.1363,3556.9106
16,3.918641,42.5574,36.2194,6.338000000000001,3558.8395,26.1363,55.23517759999996,55.23517759999996,13.9172,0.111,6.3917,3548.2563,36.3276,25.405549328226826,3533.0307921454664,0.0,0.8824,0.0,0.9636,66.47498282743437,20.585090205071108,13.41061392,0.30966672467609263,0.6514721959632858,14.117199999999999,42.5574,36.2194,0.0,1.0636,26.1363,3558.8395
17,4.152264,42.5825,36.2702,6.3123000000000005,3558.8395,26.3683,55.58013599999996,55.58013599999996,13.9311,0.11,6.3917,3548.2563,36.3276,25.317986458614836,3534.6001317449427,0.0,0.8824,0.0,0.971,66.77027206618374,20.7136495777307,13.5270981,0.310222632569162,0.6530523773339788,14.1311,42.5825,36.2702,0.0,1.071,26.3683,3558.8395
18,4.401697,42.6888,36.3368,6.352000000000004,3549.2158,26.3683,55.12796079999996,55.12796079999996,13.8286,0.118,6.3917,3548.2563,36.3276,25.317986458614836,3534.6001317449427,0.0,0.8824,0.0,0.9613,67.22563080066361,20.489575071569444,13.293433180000001,0.30478814148021627,0.648790086352033,14.028599999999999,42.6888,36.3368,0.0,1.0613000000000001,26.3683,3549.2158
19,4.623328,42.486,36.1907,6.2952999999999975,3549.2158,25.9476,55.82253919999996,55.82253919999996,13.8714,0.109,6.3917,3548.2563,36.3276,25.317986458614836,3534.6001317449427,0.0,0.8824,0.0,0.9762,65.51308927351097,20.747731115496443,13.541260679999999,0.3166959663415752,0.6526622407346534,14.071399999999999,42.486,36.1907,0.0,1.0762,25.9476,3549.2158
20,4.857742,42.7755,36.3832,6.392299999999999,3546.2517,25.9476,51.27281759999996,51.27281759999996,13.8943,0.111,6.3917,3548.2563,36.3276,25.613035484938763,3544.7254509453837,0.0,0.8824,0.0,0.8786,66.60792752438199,19.040807324578587,12.20753198,0.2858639809444402,0.6411247050560751,14.094299999999999,42.7755,36.3832,0.0,0.9786,25.9476,3546.2517
21,5.134253,42.8042,36.3099,6.494300000000003,3546.2517,26.1791,54.48465999999996,54.48465999999996,13.9497,0.11,6.3917,3548.2563,36.3276,25.613035484938763,3544.7254509453837,0.0,0.8824,0.0,0.9475,68.36373660779893,20.233565498557148,13.21734075,0.29596927409975576,0.6532383405654593,14.1497,42.8042,36.3099,0.0,1.0475,26.1791,3546.2517
22,5.323697,42.5648,36.1749,6.389899999999997,3552.0974,26.1791,53.748127199999956,53.748127199999956,13.8591,0.118,6.3917,3548.2563,36.3276,25.613035484938763,3544.7254509453837,0.0,0.8824,0.0,0.9317,67.17486147214777,19.992947224349095,12.91252347,0.29762543288070087,0.6458539266423933,14.059099999999999,42.5648,36.1749,0.0,1.0317,26.1791,3552.0974
23,5.565362,42.6289,36.2891,6.339800000000004,3552.0974,26.1479,55.31908639999996,55.31908639999996,13.8736,0.11,6.3917,3548.2563,36.3276,25.599157623340734,3532.230332250049,0.0,0.8824,0.0,0.9654,66.52495964880656,20.57730441060666,13.39357344,0.30931705211452637,0.6508905720953531,14.073599999999999,42.6289,36.2891,0.0,1.0654000000000001,26.1479,3552.0974
