,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,42.7438,36.1993,6.544499999999999,3566.5761,25.9897,56.344638399999965,56.344638399999965,13.8705,0.0,6.544499999999999,3566.5761,36.1993,25.567,3258.0,0.0,0.9874,0.0,0.9874,68.43666642204843,21.044213953497593,13.695731700000001,0.30749910908456696,0.6508074727934299,14.0705,42.7438,36.1993,0.0,1.0874000000000001,25.9897,3566.5761
1,1.295542,42.4872,36.1626,6.324600000000004,3566.5761,26.162,57.16507999999995,57.16507999999995,13.7306,0.119,6.544499999999999,3566.5761,36.1993,25.567,3258.0,0.0,0.9874,0.0,1.005,66.38785271577225,21.35064148692462,13.799253,0.3216046402093103,0.6463156157837611,13.9306,42.4872,36.1626,0.0,1.105,26.162,3566.5761
2,1.315542,42.4719,36.2592,6.212699999999998,3566.5761,26.162,58.64280719999996,58.64280719999996,13.7996,0.11,6.544499999999999,3566.5761,36.1993,25.611449762010952,3498.86013234262,0.0,0.9874,0.0,1.0367,65.11440223598358,21.90255926019944,14.306045319999999,0.3363704266349792,0.6531677485743158,13.9996,42.4719,36.2592,0.0,1.1367,26.162,3566.5761
3,1.335556,42.5977,36.093,6.5047,3564.6386,26.1903,56.74087439999996,56.74087439999996,13.7827,0.118,6.544499999999999,3566.5761,36.1993,25.611449762010952,3498.86013234262,0.0,0.9874,0.0,0.9959,68.51146680527813,21.180692110841395,13.72619093,0.30915543190807343,0.6480520493933346,13.9827,42.5977,36.093,0.0,1.0959,26.1903,3564.6386
4,1.355569,42.4554,36.0551,6.400299999999994,3564.6386,26.1903,53.82737439999996,53.82737439999996,13.8251,0.109,6.544499999999999,3566.5761,36.1993,25.611449762010952,3498.86013234262,0.0,0.9874,0.0,0.9334,67.322083042458,20.093117287268775,12.90434834,0.29846250114686224,0.6422272938294319,14.0251,42.4554,36.0551,0.0,1.0334,26.1903,3564.6386
5,1.375576,42.569,36.1089,6.460100000000004,3566.3039,26.2328,57.22101919999996,57.22101919999996,13.7982,0.118,6.544499999999999,3566.5761,36.1993,25.611449762010952,3498.86013234262,0.0,0.9874,0.0,1.0062,68.11371006288533,21.3699032043181,13.883748839999999,0.3137386465160764,0.6496870251239409,13.998199999999999,42.569,36.1089,0.0,1.1062,26.2328,3566.3039
6,1.537582,42.3949,35.9329,6.462000000000003,3566.3039,26.2328,56.38659279999996,56.38659279999996,13.7609,0.109,6.544499999999999,3566.5761,36.1993,25.611449762010952,3498.86013234262,0.0,0.9874,0.0,0.9883,68.13539106154835,21.058276259387213,13.599897469999998,0.30906517055673405,0.6458219705393754,13.960899999999999,42.3949,35.9329,0.0,1.0883,26.2328,3566.3039
7,1.771098,42.69,36.1877,6.502299999999998,3566.5761,26.4324,58.48897439999996,58.48897439999996,13.8682,0.124,6.544499999999999,3566.5761,36.1993,25.611449762010952,3498.86013234262,0.0,0.9874,0.0,1.0334,69.11718370517572,21.845104097681872,14.33139788,0.3160589440516518,0.6560462159354415,14.0682,42.69,36.1877,0.0,1.1334000000000002,26.4324,3566.5761
8,2.016773,42.5519,36.17,6.381900000000002,3566.5761,26.4324,54.58255359999996,54.58255359999996,13.8063,0.108,6.544499999999999,3566.5761,36.1993,26.377125993682014,3518.6853349960234,0.0,0.9874,0.0,0.9496,67.73283940059885,20.38609118284181,13.11046248,0.30097795047791204,0.6431082036479153,14.0063,42.5519,36.17,0.0,1.0496,26.4324,3566.5761
9,2.265763,42.5678,36.1846,6.383199999999995,3568.2092,26.2045,56.15351279999996,56.15351279999996,13.8545,0.119,6.544499999999999,3566.5761,36.1993,26.377125993682014,3518.6853349960234,0.0,0.9874,0.0,0.9833,67.16366561499505,20.982433518745427,13.62312985,0.31240750972443737,0.6492635774505983,14.054499999999999,42.5678,36.1846,0.0,1.0833,26.2045,3568.2092
