,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,39.1318,34.1074,5.0244,2142.1372,25.1361,100.40608159999998,100.40608159999998,5.6771,0.0,5.0244,2142.1372,34.1074,25.567,3258.0,0.0,1.9326,0.0,1.9326,49.56817955681723,22.523502158484465,10.97156346,0.45439437881044303,0.48711623009599686,5.8771,39.1318,34.1074,0.0,2.0326,25.1361,2142.1372
1,1.237098,39.3487,34.2858,5.062899999999999,2134.2094,25.1361,96.35515119999997,96.35515119999997,5.7754,0.11,5.0244,2142.1372,34.1074,25.567,3258.0,0.0,1.9326,0.0,1.8457,49.98913842057013,21.534787128346167,10.65965578,0.4307893236160433,0.4949970350980963,5.9754000000000005,39.3487,34.2858,0.0,1.9457,25.1361,2134.2094
2,1.257101,39.2803,34.3286,4.951699999999995,2134.2094,25.4288,99.73481119999997,99.73481119999997,5.7006,0.11,5.0244,2142.1372,34.1074,18.99944178202368,2043.94453850244,0.0,1.9326,0.0,1.9182,49.34122365700316,22.290120473370138,10.934890919999999,0.45175451319003573,0.490571189736899,5.9006,39.2803,34.3286,0.0,2.0181999999999998,25.4288,2134.2094
3,1.277123,39.2168,34.1092,5.107599999999998,2142.486,25.4288,97.76761599999996,97.76761599999996,5.7425,0.109,5.0244,2142.1372,34.1074,18.99944178202368,2043.94453850244,0.0,1.9326,0.0,1.876,51.06568321898378,21.935201867306738,10.772929999999999,0.42954877883925535,0.49112518157658186,5.9425,39.2168,34.1092,0.0,1.976,25.4288,2142.486
4,1.29713,39.2607,34.188,5.0726999999999975,2142.486,24.9734,100.71840879999998,100.71840879999998,5.7738,0.11,5.0244,2142.1372,34.1074,18.99944178202368,2043.94453850244,0.0,1.9326,0.0,1.9393,49.772030199237015,22.597243536979803,11.19713034,0.4540149044859779,0.49550868103342716,5.9738,39.2607,34.188,0.0,2.0393,24.9734,2142.486
5,1.317141,39.265,34.1294,5.135600000000004,2136.5676,24.9734,97.43664239999997,97.43664239999997,5.7796,0.111,5.0244,2142.1372,34.1074,18.99944178202368,2043.94453850244,0.0,1.9326,0.0,1.8689,50.455326944884334,21.800555789895014,10.80149444,0.4320763952973527,0.4954687643792414,5.9796000000000005,39.265,34.1294,0.0,1.9689,24.9734,2136.5676
6,1.397033,39.2834,34.1092,5.174199999999999,2136.5676,25.056,98.97030879999997,98.97030879999997,5.7607,0.112,5.0244,2142.1372,34.1074,18.99944178202368,2043.94453850244,0.0,1.9326,0.0,1.9018,51.04291623728422,22.1436995917825,10.95569926,0.4338251264650053,0.49475469149092166,5.9607,39.2834,34.1092,0.0,2.0018,25.056,2136.5676
7,1.630501,39.0799,33.9938,5.086100000000002,2139.8361,25.056,97.84686319999997,97.84686319999997,5.7328,0.121,5.0244,2142.1372,34.1074,18.99944178202368,2043.94453850244,0.0,1.9326,0.0,1.8777,50.082700803285114,21.925829618225276,10.76447856,0.4377924765748072,0.49094965834507387,5.9328,39.0799,33.9938,0.0,1.9777,25.056,2139.8361
8,1.872176,39.3836,34.2314,5.152200000000001,2139.8361,25.42,100.82562559999997,100.82562559999997,5.7254,0.109,5.0244,2142.1372,34.1074,23.13554089034876,2058.914595615945,0.0,1.9326,0.0,1.9416,51.54117529058217,22.593319967119523,11.11643664,0.4383547685853387,0.4920231580032486,5.9254,39.3836,34.2314,0.0,2.0416,25.42,2139.8361
9,2.119203,39.3237,34.1697,5.1540000000000035,2135.3879,25.42,99.14744959999997,99.14744959999997,5.7636,0.111,5.0244,2142.1372,34.1074,23.13554089034876,2058.914595615945,0.0,1.9326,0.0,1.9056,51.56107877370307,22.171084755180075,10.98311616,0.42999652611007166,0.4953801891643526,5.9636000000000005,39.3237,34.1697,0.0,2.0056,25.42,2135.3879
10,2.339442,39.3286,33.7482,5.5804000000000045,2135.3879,24.9045,54.978789599999956,54.978789599999956,11.3717,0.109,5.0244,2142.1372,34.1074,23.13554089034876,2058.914595615945,0.0,1.9326,0.0,0.9581,55.13475460545421,12.294208362156521,10.89522577,0.2229847298701918,0.8862079972173884,11.5717,39.3286,33.7482,0.0,1.0581,24.9045,2135.3879
11,2.568464,39.7801,33.8233,5.956799999999994,2998.2648,24.9045,54.66180079999996,54.66180079999996,12.7987,0.116,5.0244,2142.1372,34.1074,25.62133051168056,2538.2788098137084,0.0,1.9326,0.0,0.9513,59.212390797047,17.162578582447775,12.17540331,0.2898477557049376,0.7094157356081576,12.9987,39.7801,33.8233,0.0,1.0513000000000001,24.9045,2998.2648
12,2.825456,39.7825,33.7818,6.000700000000002,2998.2648,25.1225,52.96963999999996,52.96963999999996,13.0982,0.112,5.0244,2142.1372,34.1074,25.62133051168056,2538.2788098137084,0.0,1.9326,0.0,0.915,60.210445533796346,16.631278071321223,11.984853000000001,0.27621914974846057,0.7206212865063292,13.2982,39.7825,33.7818,0.0,1.0150000000000001,25.1225,2998.2648
