,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,-0.4087,-0.5517,0.14299999999999996,0.0,0.0,10.987270399999947,10.987270399999947,0.0097,0.0,0.14299999999999996,0.0,-0.5517,25.567,3258.0,0.0,0.0144,0.0,0.0144,-0.0,0.0,0.00013968,0.0,0.0,0.2097,-0.4087,-0.5517,0.0,0.1144,0.0,0.0
1,1.143794,-0.4026,-0.5511,0.14850000000000002,0.0,0.0,11.397491199999946,11.397491199999946,0.0066,0.105,0.14299999999999996,0.0,-0.5517,25.567,3258.0,0.0,0.0144,0.0,0.0232,-0.0,0.0,0.00015312,0.0,0.0,0.2066,-0.4026,-0.5511,0.0,0.1232,0.0,0.0
2,1.163796,-0.4002,-0.5529,0.15269999999999995,0.0,0.0,11.383506399999947,11.383506399999947,0.0075,0.106,0.14299999999999996,0.0,-0.5517,23.317986171252016,407.92107592728235,0.0,0.0144,0.0,0.0229,-0.0,0.0,0.00017175,0.0,0.0,0.20750000000000002,-0.4002,-0.5529,0.0,0.12290000000000001,0.0,0.0
3,1.183815,-0.3935,-0.57,0.17649999999999993,0.0,0.0,10.973285599999945,10.973285599999945,0.0073,0.106,0.14299999999999996,0.0,-0.5517,23.317986171252016,407.92107592728235,0.0,0.0144,0.0,0.0141,-0.0,0.0,0.00010292999999999999,0.0,0.0,0.2073,-0.3935,-0.57,0.0,0.11410000000000001,0.0,0.0
4,1.203826,-0.4014,-0.5688,0.1674,0.0,0.0,11.108471999999946,11.108471999999946,0.006,0.105,0.14299999999999996,0.0,-0.5517,23.317986171252016,407.92107592728235,0.0,0.0144,0.0,0.017,-0.0,0.0,0.00010200000000000001,0.0,0.0,0.20600000000000002,-0.4014,-0.5688,0.0,0.117,0.0,0.0
5,1.223827,-0.4032,-0.5627,0.15949999999999998,0.0,0.0,10.903361599999945,10.903361599999945,0.0079,0.105,0.14299999999999996,0.0,-0.5517,23.317986171252016,407.92107592728235,0.0,0.0144,0.0,0.0126,-0.0,0.0,9.954000000000001e-05,0.0,0.0,0.2079,-0.4032,-0.5627,0.0,0.1126,0.0,0.0
6,1.357057,-0.4008,-0.5511,0.15030000000000004,0.0,0.0,11.383506399999947,11.383506399999947,0.0063,0.106,0.14299999999999996,0.0,-0.5517,23.317986171252016,407.92107592728235,0.0,0.0144,0.0,0.0229,-0.0,0.0,0.00014427,0.0,0.0,0.2063,-0.4008,-0.5511,0.0,0.12290000000000001,0.0,0.0
7,1.578265,-0.3922,-0.5505,0.1583,0.0,0.0,12.460335999999947,12.460335999999947,0.0082,0.106,0.14299999999999996,0.0,-0.5517,23.317986171252016,407.92107592728235,0.0,0.0144,0.0,0.046,-0.0,0.0,0.0003772,0.0,0.0,0.20820000000000002,-0.3922,-0.5505,0.0,0.14600000000000002,0.0,0.0
8,1.803471,-0.3971,-0.5541,0.15700000000000003,0.0,0.0,10.973285599999945,10.973285599999945,0.0075,0.105,0.14299999999999996,0.0,-0.5517,19.751148332334605,557.9058047101747,0.0,0.0144,0.0,0.0141,-0.0,0.0,0.00010575,0.0,0.0,0.20750000000000002,-0.3971,-0.5541,0.0,0.11410000000000001,0.0,0.0
9,2.041628,-0.3953,-0.5456,0.1503,0.0,0.0,11.094487199999946,11.094487199999946,0.0125,0.105,0.14299999999999996,0.0,-0.5517,19.751148332334605,557.9058047101747,0.0,0.0144,0.0,0.0167,-0.0,0.0,0.00020875,0.0,0.0,0.21250000000000002,-0.3953,-0.5456,0.0,0.1167,0.0,0.0
10,2.251052,-0.4032,-0.5505,0.1473,0.0,0.0,10.917346399999946,10.917346399999946,0.0056,0.104,0.14299999999999996,0.0,-0.5517,19.751148332334605,557.9058047101747,0.0,0.0144,0.0,0.0129,-0.0,0.0,7.224e-05,0.0,0.0,0.2056,-0.4032,-0.5505,0.0,0.1129,0.0,0.0
