,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,41.3893,35.3965,5.9927999999999955,3474.8437,25.871,54.07443919999996,54.07443919999996,13.4216,0.0,5.9927999999999955,3474.8437,35.3965,25.567,3258.0,0.0298,0.9387,0.0298,0.9387,61.91545210317579,19.676865462058235,12.59885592,0.3178021768987287,0.6402877503174298,13.621599999999999,41.3893,35.3965,0.0298,1.0387,25.871,3474.8437
1,0.826934,41.4137,35.2425,6.171199999999999,3474.8437,25.871,56.15351279999996,56.15351279999996,13.4488,0.109,5.9927999999999955,3474.8437,35.3965,25.567,3258.0,0.0298,0.9387,0.0298,0.9833,63.92310717155465,20.433408703525956,13.22420504,0.31965606191024903,0.647185461411441,13.6488,41.4137,35.2425,0.0298,1.0833,25.871,3474.8437
2,0.846925,41.3392,35.1534,6.1858,3471.746,25.4097,53.33790639999996,53.33790639999996,13.367,0.122,5.9927999999999955,3474.8437,35.3965,25.29020556090982,3409.2765299562343,0.0298,0.9387,0.0298,0.9229,62.944682529952985,19.391550081488894,12.336404300000002,0.30807288720951437,0.6361742226979724,13.567,41.3392,35.1534,0.0298,1.0229000000000001,25.4097,3471.746
3,0.993844,41.3997,35.3519,6.047800000000002,3471.746,25.4097,58.47498959999996,58.47498959999996,13.4242,0.108,5.9927999999999955,3474.8437,35.3965,25.29020556090982,3409.2765299562343,0.0298,0.9387,0.0298,1.0331,61.419367121311176,21.259190055928823,13.86854102,0.3461317016494029,0.6523550983604995,13.6242,41.3997,35.3519,0.0298,1.1331,25.4097,3471.746
4,1.212483,41.5848,35.4533,6.131500000000003,3468.7185,25.8743,56.563733599999956,56.563733599999956,13.4218,0.118,5.9927999999999955,3474.8437,35.3965,25.29020556090982,3409.2765299562343,0.0298,0.9387,0.0298,0.9921,63.484433181243645,20.546400165310285,13.31576778,0.32364469738040724,0.6480827625698543,13.621799999999999,41.5848,35.4533,0.0298,1.0921,25.8743,3468.7185
5,1.449016,41.3227,35.289,6.033699999999996,3468.7185,25.8743,53.65023359999996,53.65023359999996,13.4041,0.108,5.9927999999999955,3474.8437,35.3965,26.263017418983413,3426.305213578647,0.0298,0.9387,0.0298,0.9296,62.383683679404086,19.488090660761745,12.460451359999999,0.3123908290012653,0.63938800249367,13.604099999999999,41.3227,35.289,0.0298,1.0296,25.8743,3468.7185
6,1.693473,41.3685,35.2816,6.0869,3475.0822,25.4296,55.79923119999996,55.79923119999996,13.4761,0.116,5.9927999999999955,3474.8437,35.3965,26.263017418983413,3426.305213578647,0.0298,0.9387,0.0298,0.9757,61.899979811548874,20.30588464383756,13.14863077,0.32804347764987524,0.647528093487439,13.6761,41.3685,35.2816,0.0298,1.0757,25.4296,3475.0822
7,1.919901,41.3111,35.2193,6.091800000000006,3475.0822,25.4296,56.535763999999965,56.535763999999965,13.4232,0.109,5.9927999999999955,3474.8437,35.3965,26.263017418983413,3426.305213578647,0.0298,0.9387,0.0298,0.9915,61.95418197761278,20.57391611580528,13.3091028,0.3320827659905136,0.6468920513278311,13.623199999999999,41.3111,35.2193,0.0298,1.0915000000000001,25.4296,3475.0822
8,2.149367,41.2451,35.0623,6.1828,3479.2509,25.862,58.77799359999997,58.77799359999997,13.4893,0.117,5.9927999999999955,3474.8437,35.3965,26.652949539011708,3442.2078777699076,0.0298,0.9387,0.0298,1.0396,64.03136679062251,21.415544597237297,14.02347628,0.3344539664015673,0.6548269746924434,13.6893,41.2451,35.0623,0.0298,1.1396000000000002,25.862,3479.2509
9,2.402696,41.4095,35.2597,6.149799999999999,3479.2509,25.862,53.799404799999955,53.799404799999955,13.4409,0.109,5.9927999999999955,3474.8437,35.3965,26.652949539011708,3442.2078777699076,0.0298,0.9387,0.0298,0.9328,63.660124810213745,19.60161417961742,12.537671519999998,0.30791039505584666,0.6396244413910154,13.640899999999998,41.4095,35.2597,0.0298,1.0328,25.862,3479.2509
10,2.6201,41.5927,35.3739,6.218800000000002,3471.0319,25.7813,54.414735999999955,54.414735999999955,13.4268,0.119,5.9927999999999955,3474.8437,35.3965,26.652949539011708,3442.2078777699076,0.0298,0.9387,0.0298,0.946,64.2352902941627,19.778973516937416,12.7017528,0.30791444121074996,0.642184630518012,13.6268,41.5927,35.3739,0.0298,1.046,25.7813,3471.0319
11,2.862003,41.3789,35.2022,6.176700000000004,3471.0319,25.7813,56.330653599999955,56.330653599999955,13.474,0.108,5.9927999999999955,3474.8437,35.3965,26.767160099800723,3458.017084050238,0.0298,0.9387,0.0298,0.9871,63.76315339668301,20.47538199479963,13.3001854,0.32111620746574887,0.6495695857287548,13.674,41.3789,35.2022,0.0298,1.0871,25.7813,3471.0319
12,3.132047,41.3184,35.0287,6.289699999999996,3479.4858,25.8181,54.61984639999996,54.61984639999996,13.4076,0.119,5.9927999999999955,3474.8437,35.3965,26.767160099800723,3458.017084050238,0.0298,0.9387,0.0298,0.9504,65.12323303421944,19.901882618047757,12.742583040000001,0.30560341817781345,0.6402702339548803,13.6076,41.3184,35.0287,0.0298,1.0504,25.8181,3479.4858
13,3.332998,41.3404,35.1314,6.209000000000003,3479.4858,25.8181,56.19546719999996,56.19546719999996,13.5076,0.109,5.9927999999999955,3474.8437,35.3965,26.767160099800723,3458.017084050238,0.0298,0.9387,0.0298,0.9842,64.21691870413491,20.47599298779341,13.29417992,0.3188566720575923,0.6492569091972834,13.7076,41.3404,35.1314,0.0298,1.0842,25.8181,3479.4858
14,3.563577,41.6135,35.3837,6.2298000000000044,3476.0368,25.9397,58.09273839999996,58.09273839999996,13.4189,0.116,5.9927999999999955,3474.8437,35.3965,27.14061778210046,3447.2182846275277,0.0298,0.9387,0.0298,1.0249,64.75407026659018,21.14632155909399,13.75303061,0.32656358854409223,0.650374608726476,13.6189,41.6135,35.3837,0.0298,1.1249,25.9397,3476.0368
