,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,41.2164,34.9963,6.220100000000002,3382.6674,25.2325,56.423885599999956,56.423885599999956,12.9859,0.0,6.220100000000002,3382.6674,34.9963,25.567,3258.0,0.0143,0.9891,0.0143,0.9891,62.88219865575609,19.98715156380164,12.84435369,0.31785071118807107,0.6426305243645709,13.1859,41.2164,34.9963,0.0143,1.0891,25.2325,3382.6674
1,1.339735,41.1706,35.1631,6.0075,3382.6674,25.4498,54.68977039999996,54.68977039999996,12.9221,0.116,6.220100000000002,3382.6674,34.9963,25.567,3258.0,0.0143,0.9891,0.0143,0.9519,61.070156055639636,19.372872292480203,12.300546989999999,0.3172232321599116,0.6349366683625223,13.1221,41.1706,35.1631,0.0143,1.0519,25.4498,3382.6674
2,1.359739,41.3019,35.2297,6.072200000000002,3381.9426,25.4498,59.216183999999956,59.216183999999956,12.9944,0.111,6.220100000000002,3382.6674,34.9963,25.532437945421645,3330.826451984712,0.0143,0.9891,0.0143,1.049,61.7864143891482,20.97177873331574,13.631125599999999,0.3394237866147983,0.6499747004456808,13.1944,41.3019,35.2297,0.0143,1.149,25.4498,3381.9426
3,1.379751,41.2231,35.0574,6.165700000000001,3381.9426,25.4209,54.978789599999956,54.978789599999956,12.9887,0.115,6.220100000000002,3382.6674,34.9963,25.532437945421645,3330.826451984712,0.0143,0.9891,0.0143,0.9581,62.75016363968333,19.47107923260845,12.444473469999998,0.3102952741990126,0.6391260248768897,13.188699999999999,41.2231,35.0574,0.0143,1.0581,25.4209,3381.9426
4,1.399752,41.1797,35.2163,5.9634,3396.2746,25.4209,56.563733599999956,56.563733599999956,13.0622,0.11,6.220100000000002,3382.6674,34.9963,25.532437945421645,3330.826451984712,0.0143,0.9891,0.0143,0.9921,60.51315408775847,20.117290291177888,12.95900862,0.3324449137455805,0.6441726709925225,13.2622,41.1797,35.2163,0.0143,1.0921,25.4209,3396.2746
5,1.419764,41.2457,35.2096,6.036099999999998,3396.2746,25.4591,57.34222079999996,57.34222079999996,12.9337,0.115,6.220100000000002,3382.6674,34.9963,25.532437945421645,3330.826451984712,0.0143,0.9891,0.0143,1.0088,61.40920329951649,20.394164747540973,13.047516559999998,0.33210274114892396,0.6397671452356588,13.1337,41.2457,35.2096,0.0143,1.1088,25.4591,3396.2746
6,1.590441,41.2469,35.2444,6.002499999999998,3384.707,25.4591,57.66853279999996,57.66853279999996,12.9147,0.112,6.220100000000002,3382.6674,34.9963,25.532437945421645,3330.826451984712,0.0143,0.9891,0.0143,1.0158,61.037100139814456,20.440362771950756,13.11875226,0.3348842380311171,0.6418062343786863,13.1147,41.2469,35.2444,0.0143,1.1158000000000001,25.4591,3384.707
7,1.824297,41.2744,35.2285,6.045900000000003,3384.707,25.331,59.11829039999996,59.11829039999996,13.018,0.116,6.220100000000002,3382.6674,34.9963,25.532437945421645,3330.826451984712,0.0143,0.9891,0.0143,1.0469,61.2082007787166,20.95422310160687,13.6285442,0.34234339247059037,0.6503960625939359,13.218,41.2744,35.2285,0.0143,1.1469,25.331,3384.707
8,2.06186,41.3526,35.292,6.060600000000001,3382.403,25.331,55.65938319999996,55.65938319999996,12.9356,0.111,6.220100000000002,3382.6674,34.9963,25.573728513571833,3332.268468400463,0.0143,0.9891,0.0143,0.9727,61.37017679114653,19.714799180528363,12.582458120000002,0.32124396916145903,0.6382240064827679,13.1356,41.3526,35.292,0.0143,1.0727,25.331,3382.403
9,2.310863,41.3832,35.1692,6.214000000000006,3382.403,25.4001,60.70323439999996,60.70323439999996,12.9531,0.115,6.220100000000002,3382.6674,34.9963,25.573728513571833,3332.268468400463,0.0143,0.9891,0.0143,1.0809,63.232478622337624,21.501353536460698,14.001005789999999,0.3400365445877855,0.6511685771901726,13.153099999999998,41.3832,35.1692,0.0143,1.1809,25.4001,3382.403
10,2.533752,41.3496,35.1039,6.245699999999999,3384.707,25.4001,56.31666879999996,56.31666879999996,12.9434,0.112,6.220100000000002,3382.6674,34.9963,25.573728513571833,3332.268468400463,0.0143,0.9891,0.0143,0.9868,63.58272666922347,19.96120040667656,12.77254712,0.3139406164589441,0.639868688244214,13.1434,41.3496,35.1039,0.0143,1.0868,25.4001,3384.707
11,2.766136,41.3594,35.1833,6.176099999999998,3384.707,25.4835,58.09273839999996,58.09273839999996,13.0305,0.112,6.220100000000002,3382.6674,34.9963,25.245489598788893,3341.5985882804002,0.0143,0.9891,0.0143,1.0249,63.019973640440554,20.59072061760576,13.354959449999999,0.3267332470668075,0.6485911638556767,13.2305,41.3594,35.1833,0.0143,1.1249,25.4835,3384.707
12,3.014522,41.2433,35.1417,6.101599999999998,3393.9548,25.4835,54.88089599999996,54.88089599999996,13.0402,0.113,6.220100000000002,3382.6674,34.9963,25.245489598788893,3341.5985882804002,0.0143,0.9891,0.0143,0.956,62.19413275176439,19.50544508976977,12.4664312,0.3136219483535835,0.6391256976001232,13.2402,41.2433,35.1417,0.0143,1.056,25.4835,3393.9548
13,3.233168,41.2347,35.1173,6.117399999999996,3393.9548,25.8674,59.57046559999996,59.57046559999996,12.9994,0.11,6.220100000000002,3382.6674,34.9963,25.245489598788893,3341.5985882804002,0.0143,0.9891,0.0143,1.0566,63.308848847341736,21.172184319527492,13.73516604,0.33442693564971504,0.6487363718693779,13.199399999999999,41.2347,35.1173,0.0143,1.1566,25.8674,3393.9548
14,3.46657,41.2775,35.2169,6.060600000000001,3392.5644,25.8674,57.10914079999996,57.10914079999996,12.9488,0.116,6.220100000000002,3382.6674,34.9963,26.068442436643068,3343.136942757509,0.0143,0.9891,0.0143,1.0038,62.66972923008581,20.28907951871482,12.99800544,0.32374608551802486,0.6406404700622583,13.1488,41.2775,35.2169,0.0143,1.1038000000000001,25.8674,3392.5644
15,3.719876,41.3789,35.1222,6.256700000000002,3392.5644,25.2901,58.79197839999996,58.79197839999996,13.0296,0.117,6.220100000000002,3382.6674,34.9963,26.068442436643068,3343.136942757509,0.0143,0.9891,0.0143,1.0399,63.428380325323225,20.886938730133448,13.549481040000002,0.3292995757262703,0.6487059312551272,13.2296,41.3789,35.1222,0.0143,1.1399000000000001,25.2901,3392.5644
16,3.94182,41.2824,35.3214,5.961000000000006,3387.1938,25.2901,56.31666879999996,56.31666879999996,12.9007,0.118,6.220100000000002,3382.6674,34.9963,26.068442436643068,3343.136942757509,0.0143,0.9891,0.0143,0.9868,60.17538900385352,19.97586622950002,12.73041076,0.3319607327876319,0.6372895479846549,13.1007,41.2824,35.3214,0.0143,1.0868,25.2901,3387.1938
17,4.183376,41.349,35.2859,6.063099999999999,3387.1938,25.5651,58.502959199999964,58.502959199999964,12.9485,0.109,6.220100000000002,3382.6674,34.9963,26.018726384847188,3338.0391941967123,0.0143,0.9891,0.0143,1.0337,61.965139433179594,20.75135678140639,13.38486445,0.3348875992409202,0.6450115330286785,13.148499999999999,41.349,35.2859,0.0143,1.1337000000000002,25.5651,3387.1938
18,4.427494,41.3398,35.2034,6.136399999999995,3377.3449,25.5651,57.957551999999964,57.957551999999964,12.9258,0.118,6.220100000000002,3382.6674,34.9963,26.018726384847188,3338.0391941967123,0.0143,0.9891,0.0143,1.022,62.78027999427,20.49812158279361,13.2101676,0.32650573690758444,0.6444574712196453,13.1258,41.3398,35.2034,0.0143,1.122,25.5651,3377.3449
19,4.654316,41.4327,35.281,6.151699999999998,3377.3449,25.1953,58.19063199999996,58.19063199999996,12.943,0.115,6.220100000000002,3382.6674,34.9963,26.018726384847188,3338.0391941967123,0.0143,0.9891,0.0143,1.027,62.03984535359796,20.58055608897353,13.292460999999998,0.3317312603162376,0.6458747247904402,13.142999999999999,41.4327,35.281,0.0143,1.127,25.1953,3377.3449
20,4.893651,41.184,35.154,6.029999999999994,3382.403,25.1953,59.11829039999996,59.11829039999996,12.9749,0.111,6.220100000000002,3382.6674,34.9963,26.315163766338223,3341.1272649903667,0.0143,0.9891,0.0143,1.0469,60.70604402522282,20.9399593765559,13.583422809999998,0.3449402726334059,0.6486842961695435,13.1749,41.184,35.154,0.0143,1.1469,25.1953,3382.403
21,5.14093,41.1412,35.1534,5.9878,3382.403,25.4139,58.269879199999956,58.269879199999956,12.9264,0.114,6.220100000000002,3382.6674,34.9963,26.315163766338223,3341.1272649903667,0.0143,0.9891,0.0143,1.0287,60.76622897230076,20.639448385077444,13.297387679999998,0.3396532701492071,0.644270497539758,13.126399999999999,41.1412,35.1534,0.0143,1.1287,25.4139,3382.403
22,5.362685,41.3581,35.2438,6.1143,3386.091,25.4139,58.70806959999996,58.70806959999996,12.9457,0.111,6.220100000000002,3382.6674,34.9963,26.315163766338223,3341.1272649903667,0.0143,0.9891,0.0143,1.0381,62.16466587467961,20.817330794222833,13.43893117,0.33487400762660535,0.6455645684282221,13.1457,41.3581,35.2438,0.0143,1.1381000000000001,25.4139,3386.091
