,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),eff (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,41.5634,35.2688,6.294600000000003,3290.7219,25.7163,58.078753599999956,58.078753599999956,12.9834,0.0,6.294600000000003,3290.7219,35.2688,25.567,3258.0,0.0,1.0246,0.0,1.0246,64.92126731985795,20.014147059561076,13.302791639999999,0.30828336977702836,0.6646694261020254,0.20490653046649593,13.183399999999999,41.5634,35.2688,0.0,1.1246,25.7163,3290.7219
1,1.698869,41.6716,35.3544,6.3172,3290.7219,25.7163,57.16507999999995,57.16507999999995,12.9891,0.11,6.294600000000003,3290.7219,35.2688,25.567,3258.0,0.0,1.0246,0.0,1.005,65.17407947807502,19.69929185587023,13.054045499999999,0.3022565414598176,0.662665724002155,0.20029504988085742,13.1891,41.6716,35.3544,0.0,1.105,25.7163,3290.7219
2,1.718862,41.5182,35.4264,6.091799999999999,3353.2233,25.6916,54.93683519999996,54.93683519999996,12.9078,0.11,6.294600000000003,3290.7219,35.2688,25.47525444297772,3325.971584353481,0.0,1.0246,0.0,0.9572,62.59249306697841,19.29099949517307,12.35534616,0.3081998902732686,0.640472058645355,0.19739341819759285,13.1078,41.5182,35.4264,0.0,1.0572000000000001,25.6916,3353.2233
3,1.92424,41.542,35.4344,6.107600000000005,3353.2233,25.6916,60.12985759999996,60.12985759999996,12.9277,0.11,6.294600000000003,3290.7219,35.2688,25.47525444297772,3325.971584353481,0.0,1.0246,0.0,1.0686,62.769068090271276,21.114522676516117,13.81454022,0.3363841987609293,0.6542672279001948,0.22008515723274133,13.127699999999999,41.542,35.4344,0.0,1.1686,25.6916,3353.2233
4,2.115685,41.564,35.4533,6.110700000000001,3349.4794,25.8815,57.76642639999996,57.76642639999996,12.9551,0.111,6.294600000000003,3290.7219,35.2688,25.47525444297772,3325.971584353481,0.0,1.0246,0.0,1.0179,63.267927514850925,20.261958908140393,13.18699629,0.3202564032682166,0.6508253397307022,0.20843098245796984,13.1551,41.564,35.4533,0.0,1.1179000000000001,25.8815,3349.4794
5,2.348076,41.5408,35.523,6.017799999999994,3349.4794,25.8815,60.922329599999955,60.922329599999955,12.861,0.11,6.294600000000003,3290.7219,35.2688,25.7360663745962,3321.3327275489137,0.0,1.0246,0.0,1.0856,62.22203708188652,21.368912980626842,13.9619016,0.34342998048271156,0.6533744422403669,0.22438837194651176,13.061,41.5408,35.523,0.0,1.1856,25.8815,3349.4794
6,2.592702,41.6245,35.5352,6.089299999999994,3340.3281,25.163,57.22101919999996,57.22101919999996,12.9029,0.115,6.294600000000003,3290.7219,35.2688,25.7360663745962,3321.3327275489137,0.0,1.0246,0.0,1.0062,61.277299655306145,20.015817543665808,12.98289798,0.326643270122178,0.6486319108213774,0.21187124845629163,13.1029,41.6245,35.5352,0.0,1.1062,25.163,3340.3281
7,2.815035,41.5139,35.4417,6.072200000000002,3340.3281,25.163,64.06890959999996,64.06890959999996,12.8812,0.11,6.294600000000003,3290.7219,35.2688,25.7360663745962,3321.3327275489137,0.0,1.0246,0.0,1.1531,61.090128223959965,22.41119823981078,14.85331172,0.366854660341357,0.6627629438222045,0.2431376746427327,13.081199999999999,41.5139,35.4417,0.0,1.2531,25.163,3340.3281
8,3.048415,41.6679,35.4814,6.186500000000002,3343.4494,25.5418,58.62882239999996,58.62882239999996,12.9402,0.113,6.294600000000003,3290.7219,35.2688,27.162130342029776,3370.3786590209656,0.0,1.0246,0.0,1.0364,63.279696804245496,20.527428287164533,13.411223280000002,0.32439201392929756,0.6533318783232979,0.21193564377350538,13.1402,41.6679,35.4814,0.0,1.1364,25.5418,3343.4494
9,3.297501,41.4082,35.4093,5.998899999999999,3343.4494,25.5418,57.44943759999997,57.44943759999997,12.9211,0.109,6.294600000000003,3290.7219,35.2688,27.162130342029776,3370.3786590209656,0.0,1.0246,0.0,1.0111,61.19537214083111,20.114495945801803,13.06452421,0.32869308972436,0.6495079093804865,0.21348876153468174,13.121099999999998,41.4082,35.4093,0.0,1.1111000000000002,25.5418,3343.4494
10,3.515367,41.4779,35.2969,6.180999999999997,3348.8181,25.4724,57.235003999999954,57.235003999999954,12.9441,0.116,6.294600000000003,3290.7219,35.2688,27.162130342029776,3370.3786590209656,0.0,1.0246,0.0,1.0065,63.04681704740165,20.07159536970718,13.02823665,0.3183601696278558,0.6490882468497106,0.20664384437052138,13.1441,41.4779,35.2969,0.0,1.1065,25.4724,3348.8181
