,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,41.3355,35.281,6.054500000000004,3352.1281,25.2356,57.44943759999997,57.44943759999997,12.9991,0.0,6.054500000000004,3352.1281,35.281,25.567,3258.0,0.0809,1.0111,0.0809,1.0111,61.07208694057774,20.166707795026984,13.143390010000001,0.33021153861417735,0.6517370184359541,13.1991,41.3355,35.281,0.0809,1.1111000000000002,25.2356,3352.1281
1,0.480676,41.3294,35.3116,6.017800000000001,3352.1281,25.378,59.47257199999996,59.47257199999996,12.9326,0.111,6.054500000000004,3352.1281,35.281,25.567,3258.0,0.0809,1.0111,0.0809,1.0545,61.01156644955347,20.87689682348959,13.6374267,0.3421793282549359,0.6532305454829801,13.1326,41.3294,35.3116,0.0809,1.1545,25.378,3352.1281
2,0.500683,41.1626,35.0293,6.133299999999998,3359.5202,25.378,58.47498959999996,58.47498959999996,13.1538,0.11,6.054500000000004,3352.1281,35.281,25.602660482689643,3383.543874176545,0.0809,1.0111,0.0809,1.0331,62.28659647143291,20.571976875189605,13.58919078,0.3302793544775677,0.6605680563635551,13.3538,41.1626,35.0293,0.0809,1.1331,25.378,3359.5202
3,0.652855,41.206,35.0788,6.127200000000002,3359.5202,25.4499,59.18821439999996,59.18821439999996,13.0776,0.11,6.054500000000004,3352.1281,35.281,25.602660482689643,3383.543874176545,0.0809,1.0111,0.0809,1.0484,62.39553449495498,20.82289515996022,13.71055584,0.33372412510776495,0.6584365783276697,13.2776,41.206,35.0788,0.0809,1.1484,25.4499,3359.5202
4,0.8722,41.2799,35.2499,6.030000000000001,3354.6655,25.4499,58.32581839999996,58.32581839999996,12.9928,0.111,6.054500000000004,3352.1281,35.281,25.602660482689643,3383.543874176545,0.0809,1.0111,0.0809,1.0299,61.31948219856562,20.48984537970979,13.381284720000002,0.33414902809125624,0.653069092129456,13.1928,41.2799,35.2499,0.0809,1.1299000000000001,25.4499,3354.6655
5,1.106315,41.2091,35.1045,6.104599999999998,3354.6655,25.4382,55.07202159999996,55.07202159999996,13.0028,0.113,6.054500000000004,3352.1281,35.281,25.779909980464296,3364.1098836331166,0.0809,1.0111,0.0809,0.9601,62.1167713893277,19.346787379704175,12.48398828,0.311458354112528,0.6452744858868081,13.2028,41.2091,35.1045,0.0809,1.0601,25.4382,3354.6655
6,1.384024,41.3331,35.2853,6.047800000000002,3350.6979,25.4382,55.38901039999996,55.38901039999996,13.0299,0.117,6.054500000000004,3352.1281,35.281,25.779909980464296,3364.1098836331166,0.0809,1.0111,0.0809,0.9669,61.48825624487253,19.43513210175409,12.59861031,0.3160787650954856,0.6482389851552864,13.229899999999999,41.3331,35.2853,0.0809,1.0669,25.4382,3350.6979
7,1.581493,41.2873,35.2847,6.002600000000001,3350.6979,25.5336,57.58928559999996,57.58928559999996,12.9924,0.115,6.054500000000004,3352.1281,35.281,25.779909980464296,3364.1098836331166,0.0809,1.0111,0.0809,1.0141,61.21682138458252,20.207174044070747,13.17559284,0.330091853628322,0.6520255039752094,13.1924,41.2873,35.2847,0.0809,1.1141,25.5336,3350.6979
8,1.818953,41.1993,35.1393,6.060000000000002,3359.9877,25.5336,60.10188799999996,60.10188799999996,13.0092,0.114,6.054500000000004,3352.1281,35.281,25.718435132080145,3358.638697018892,0.0809,1.0111,0.0809,1.068,61.85435777101752,21.14727533987905,13.893825600000001,0.34188820484023874,0.657003106863575,13.2092,41.1993,35.1393,0.0809,1.1680000000000001,25.5336,3359.9877
9,2.071703,41.1547,35.1631,5.991599999999998,3359.9877,25.7031,57.80838079999996,57.80838079999996,13.0028,0.111,6.054500000000004,3352.1281,35.281,25.718435132080145,3358.638697018892,0.0809,1.0111,0.0809,1.0188,61.500210732010274,20.340288573466736,13.24725264,0.33073526629201955,0.6512814502189818,13.2028,41.1547,35.1631,0.0809,1.1188,25.7031,3359.9877
