,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,41.3288,35.0709,6.257899999999999,3487.7231,25.5525,58.76400879999996,58.76400879999996,13.6691,0.0,6.257899999999999,3487.7231,35.0709,25.567,3258.0,0.0,1.0393,0.0,1.0393,64.09982607707298,21.46258510989005,14.20629563,0.33483062940114156,0.6619098098976753,13.8691,41.3288,35.0709,0.0,1.1393,25.5525,3487.7231
1,0.881692,41.817,35.4906,6.3264,3489.6115,25.5525,53.48707759999996,53.48707759999996,13.61,0.113,6.257899999999999,3487.7231,35.0709,25.567,3258.0,0.0,1.0393,0.0,0.9261,64.86121227872023,19.545850231965897,12.604221,0.30134882690711795,0.6448540662297034,13.809999999999999,41.817,35.4906,0.0,1.0261,25.5525,3489.6115
2,0.901698,41.8573,35.4716,6.3857,3489.6115,25.8444,54.07443919999996,54.07443919999996,13.6779,0.111,6.257899999999999,3487.7231,35.0709,25.00975744473896,3457.3105232532703,0.0,1.0393,0.0,0.9387,66.26881351361938,19.76049052230788,12.839444729999999,0.2981868766708304,0.6497533406625396,13.877899999999999,41.8573,35.4716,0.0,1.0387,25.8444,3489.6115
3,1.104255,41.7999,35.46,6.3399,3491.5019,25.8444,56.37260799999996,56.37260799999996,13.7386,0.115,6.257899999999999,3487.7231,35.0709,25.00975744473896,3457.3105232532703,0.0,1.0393,0.0,0.988,65.75392528200051,20.611472892530447,13.573736799999999,0.31346376363287065,0.6585524901968113,13.9386,41.7999,35.46,0.0,1.088,25.8444,3491.5019
4,1.301647,41.8933,35.4735,6.419800000000002,3491.5019,25.7883,55.53818159999996,55.53818159999996,13.6419,0.111,6.257899999999999,3487.7231,35.0709,25.00975744473896,3457.3105232532703,0.0,1.0393,0.0,0.9701,66.50748843082991,20.306382215788798,13.23400719,0.30532474906052326,0.6517166400871829,13.841899999999999,41.8933,35.4735,0.0,1.0701,25.7883,3491.5019
5,1.533666,41.9074,35.526,6.381399999999999,3485.8369,25.7883,54.71773999999996,54.71773999999996,13.7122,0.117,6.257899999999999,3487.7231,35.0709,26.095699299787558,3492.5221894567485,0.0,1.0393,0.0,0.9525,66.07672882420731,19.973944180140453,13.0608705,0.30228409510524934,0.6538954140557811,13.912199999999999,41.9074,35.526,0.0,1.0525,25.7883,3485.8369
6,1.817804,41.9318,35.4234,6.508400000000002,3485.8369,26.0462,56.45185519999996,56.45185519999996,13.7509,0.11,6.257899999999999,3487.7231,35.0709,26.095699299787558,3492.5221894567485,0.0,1.0393,0.0,0.9897,68.17643474417244,20.606958632249285,13.60926573,0.3022592587831196,0.660420878833711,13.950899999999999,41.9318,35.4234,0.0,1.0897000000000001,26.0462,3485.8369
7,2.004746,41.6208,35.3617,6.259100000000004,3493.3942,26.0462,55.99035679999996,55.99035679999996,13.7941,0.118,6.257899999999999,3487.7231,35.0709,26.095699299787558,3492.5221894567485,0.0,1.0393,0.0,0.9798,65.35189504567774,20.482805798939015,13.51545918,0.313423287643343,0.6598441303730022,13.9941,41.6208,35.3617,0.0,1.0798,26.0462,3493.3942
8,2.246328,41.9153,35.5902,6.325099999999999,3493.3942,25.4889,57.46342239999996,57.46342239999996,13.7116,0.109,6.257899999999999,3487.7231,35.0709,26.122172695057618,3488.83639830115,0.0,1.0393,0.0,1.0114,64.68535945920227,21.02169353494104,13.867912240000003,0.324983794025287,0.6596952912927573,13.9116,41.9153,35.5902,0.0,1.1114000000000002,25.4889,3493.3942
9,2.519429,41.8658,35.5279,6.337899999999998,3495.2888,25.4889,53.86932879999996,53.86932879999996,13.7617,0.118,6.257899999999999,3487.7231,35.0709,26.122172695057618,3488.83639830115,0.0,1.0393,0.0,0.9343,64.82727896710884,19.71756345788234,12.85755631,0.3041553458982346,0.6520864678571648,13.961699999999999,41.8658,35.5279,0.0,1.0343,25.4889,3495.2888
