,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),eff (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0,41.5695,35.4845,6.085,3300.8208,25.5769,58.3817576,58.3817576,12.7575,0,6.085,3300.8208,35.4845,25.567,3258,0,1.0311,0,1.0311,62.2373942051,20.1803052069,13.15425825,0.3242472707,0.6518364373,0.2113561857,12.9575,41.5695,35.4845,0,1.1311,25.5769,3300.8208
1,2.406557,41.6624,35.7209,5.9415,3300.8208,25.5769,60.3489528,60.3489528,12.7321,0.11,6.085,3300.8208,35.4845,25.567,3258,0,1.0311,0,1.0733,60.6408503959,20.8602881531,13.66536293,0.3439972892,0.6550898449,0.2253491308,12.9321,41.6624,35.7209,0,1.1733,25.5769,3300.8208
2,2.426559,41.7455,35.7759,5.9696,3323.958,25.5703,58.7919784,58.7919784,12.7073,0.113,6.085,3300.8208,35.4845,25.5569129848,3301.9932962928,0,1.0311,0,1.0399,60.9377549505,20.4645509714,13.21432127,0.3358271237,0.645717626,0.2168494931,12.9073,41.7455,35.7759,0,1.1399,25.5703,3323.958
3,2.446576,41.9905,36.0368,5.9537,3323.958,25.5703,58.3677728,58.3677728,12.7361,0.11,6.085,3300.8208,35.4845,25.5569129848,3301.9932962928,0,1.0311,0,1.0308,60.7609013193,20.3168917607,13.12837188,0.3343744303,0.6461801359,0.2160661148,12.9361,41.9905,36.0368,0,1.1308,25.5703,3323.958
4,2.466583,41.8353,35.8938,5.9415,3333.9316,25.5627,60.0645952,60.0645952,12.7422,0.112,6.085,3300.8208,35.4845,25.5569129848,3301.9932962928,0,1.0311,0,1.0672,60.6071832949,20.9702620456,13.59847584,0.3460029143,0.648464755,0.224370695,12.9422,41.8353,35.8938,0,1.1672,25.5627,3333.9316
5,2.486587,41.7369,35.8706,5.8663,3333.9316,25.5627,57.2210192,57.2210192,12.6805,0.11,6.085,3300.8208,35.4845,25.5569129848,3301.9932962928,0,1.0311,0,1.0062,59.7709920861,19.9774886212,12.7591191,0.334233847,0.6386748276,0.2134667446,12.8805,41.7369,35.8706,0,1.1062,25.5627,3333.9316
6,2.584616,42.0302,36.0019,6.0283,3323.8164,25.6657,57.7804112,57.7804112,12.6792,0.12,6.085,3300.8208,35.4845,25.5569129848,3301.9932962928,0,1.0311,0,1.0182,61.8204554743,20.1115837597,12.90996144,0.3253224779,0.6419166981,0.2088299308,12.8792,42.0302,36.0019,0,1.1182,25.6657,3323.8164
7,2.82672,41.8634,35.801,6.0624,3323.8164,25.6657,57.0298936,57.0298936,12.7459,0.11,6.085,3300.8208,35.4845,25.5569129848,3301.9932962928,0,1.0311,0,1.0021,62.2011604265,19.8503516698,12.77266639,0.3191315328,0.6434478644,0.2053445033,12.9459,41.8634,35.801,0,1.1021,25.6657,3323.8164
8,3.055582,41.6514,35.7228,5.9286,3340.0273,25.5916,60.008656,60.008656,12.7974,0.123,6.085,3300.8208,35.4845,25.4928607233,3301.186888952,0,1.0311,0,1.066,60.532098414,20.9890380147,13.6420284,0.3467422833,0.6499596785,0.225368503,12.9974,41.6514,35.7228,0,1.166,25.5916,3340.0273
9,3.342429,41.605,35.4869,6.1181,3340.0273,25.5916,59.2021992,59.2021992,12.738,0.11,6.085,3300.8208,35.4845,25.4928607233,3301.186888952,0,1.0311,0,1.0487,62.6416380362,20.7069661678,13.3583406,0.3305623355,0.6451133639,0.2132501802,12.938,41.605,35.4869,0,1.1487,25.5916,3340.0273
