,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),eff (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM),
0,0,41.5634,35.2688,6.2946,3290.7219,25.7163,58.0787536,58.0787536,12.9834,0,6.2946,3290.7219,35.2688,25.567,3258,0,1.0246,0,1.0246,64.9212673199,20.0141470596,13.30279164,0.3082833698,0.6646694261,0.2049065305,13.1834,41.5634,35.2688,0,0.8246,25.7163,3290.7219,0.8246
1,1.698869,41.6716,35.3544,6.3172,3290.7219,25.7163,57.16508,57.16508,12.9891,0.11,6.2946,3290.7219,35.2688,25.567,3258,0,1.0246,0,1.005,65.1740794781,19.6992918559,13.0540455,0.3022565415,0.662665724,0.2002950499,13.1891,41.6716,35.3544,0,0.805,25.7163,3290.7219,0.805
2,1.718862,41.5182,35.4264,6.0918,3353.2233,25.6916,54.9368352,54.9368352,12.9078,0.11,6.2946,3290.7219,35.2688,25.475254443,3325.9715843535,0,1.0246,0,0.9572,62.592493067,19.2909994952,12.35534616,0.3081998903,0.6404720586,0.1973934182,13.1078,41.5182,35.4264,0,0.7572,25.6916,3353.2233,0.7572
3,1.92424,41.542,35.4344,6.1076,3353.2233,25.6916,60.1298576,60.1298576,12.9277,0.11,6.2946,3290.7219,35.2688,25.475254443,3325.9715843535,0,1.0246,0,1.0686,62.7690680903,21.1145226765,13.81454022,0.3363841988,0.6542672279,0.2200851572,13.1277,41.542,35.4344,0,0.8686,25.6916,3353.2233,0.8686
4,2.115685,41.564,35.4533,6.1107,3349.4794,25.8815,57.7664264,57.7664264,12.9551,0.111,6.2946,3290.7219,35.2688,25.475254443,3325.9715843535,0,1.0246,0,1.0179,63.2679275149,20.2619589081,13.18699629,0.3202564033,0.6508253397,0.2084309825,13.1551,41.564,35.4533,0,0.8179,25.8815,3349.4794,0.8179
5,2.348076,41.5408,35.523,6.0178,3349.4794,25.8815,60.9223296,60.9223296,12.861,0.11,6.2946,3290.7219,35.2688,25.7360663746,3321.3327275489,0,1.0246,0,1.0856,62.2220370819,21.3689129806,13.9619016,0.3434299805,0.6533744422,0.2243883719,13.061,41.5408,35.523,0,0.8856,25.8815,3349.4794,0.8856
6,2.592702,41.6245,35.5352,6.0893,3340.3281,25.163,57.2210192,57.2210192,12.9029,0.115,6.2946,3290.7219,35.2688,25.7360663746,3321.3327275489,0,1.0246,0,1.0062,61.2772996553,20.0158175437,12.98289798,0.3266432701,0.6486319108,0.2118712485,13.1029,41.6245,35.5352,0,0.8062,25.163,3340.3281,0.8062
7,2.815035,41.5139,35.4417,6.0722,3340.3281,25.163,64.0689096,64.0689096,12.8812,0.11,6.2946,3290.7219,35.2688,25.7360663746,3321.3327275489,0,1.0246,0,1.1531,61.090128224,22.4111982398,14.85331172,0.3668546603,0.6627629438,0.2431376746,13.0812,41.5139,35.4417,0,0.9531,25.163,3340.3281,0.9531
8,3.048415,41.6679,35.4814,6.1865,3343.4494,25.5418,58.6288224,58.6288224,12.9402,0.113,6.2946,3290.7219,35.2688,27.162130342,3370.378659021,0,1.0246,0,1.0364,63.2796968042,20.5274282872,13.41122328,0.3243920139,0.6533318783,0.2119356438,13.1402,41.6679,35.4814,0,0.8364,25.5418,3343.4494,0.8364
9,3.297501,41.4082,35.4093,5.9989,3343.4494,25.5418,57.4494376,57.4494376,12.9211,0.109,6.2946,3290.7219,35.2688,27.162130342,3370.378659021,0,1.0246,0,1.0111,61.1953721408,20.1144959458,13.06452421,0.3286930897,0.6495079094,0.2134887615,13.1211,41.4082,35.4093,0,0.8111,25.5418,3343.4494,0.8111
10,3.515367,41.4779,35.2969,6.181,3348.8181,25.4724,57.235004,57.235004,12.9441,0.116,6.2946,3290.7219,35.2688,27.162130342,3370.378659021,0,1.0246,0,1.0065,63.0468170474,20.0715953697,13.02823665,0.3183601696,0.6490882468,0.2066438444,13.1441,41.4779,35.2969,0,0.8065,25.4724,3348.8181,0.8065
11,3.752877,41.6367,35.4918,6.1449,3348.8181,25.4724,59.9667016,59.9667016,12.8782,0.109,6.2946,3290.7219,35.2688,26.8368739416,3348.8848196732,0,1.0246,0,1.0651,62.6468187881,21.0295673286,13.71657082,0.3356845205,0.6522516895,0.2189507957,13.0782,41.6367,35.4918,0,0.8651,25.4724,3348.8181,0.8651
12,4.024284,41.7033,35.5285,6.1748,3343.4548,25.4368,59.8455,59.8455,12.8909,0.126,6.2946,3290.7219,35.2688,26.8368739416,3348.8848196732,0,1.0246,0,1.0625,62.8901016253,20.9534516195,13.69658125,0.333175668,0.6536670663,0.2177859615,13.0909,41.7033,35.5285,0,0.8625,25.4368,3343.4548,0.8625
13,4.232108,41.4736,35.358,6.1156,3343.4548,25.4368,56.2467448,56.2467448,12.9503,0.109,6.2946,3290.7219,35.2688,26.8368739416,3348.8848196732,0,1.0246,0,0.9853,62.235065555,19.693434693,12.75993059,0.3164363132,0.647928144,0.2050279931,13.1503,41.4736,35.358,0,0.7853,25.4368,3343.4548,0.7853
14,4.462592,41.5494,35.5431,6.0063,3349.2016,25.603,59.1602448,59.1602448,12.8853,0.121,6.2946,3290.7219,35.2688,26.9047445163,3357.9135755437,0,1.0246,0,1.0478,61.4244151746,20.7491289583,13.50121734,0.3377993734,0.6506883912,0.2198021308,13.0853,41.5494,35.5431,0,0.8478,25.603,3349.2016,0.8478
