,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),eff (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,41.8267,35.5883,6.238400000000006,3374.8178,25.7972,53.69218799999996,53.69218799999996,13.6481,0.0,6.238400000000006,3374.8178,35.5883,25.567,3258.0,0.0,0.9305,0.0,0.9305,64.4948486352386,18.975361164420832,12.69955705,0.2942151437820896,0.6692656303065215,0.19690808364904408,13.848099999999999,41.8267,35.5883,0.0,1.0305,25.7972,3374.8178
1,2.446757,41.7504,35.4607,6.289699999999996,3374.8178,25.7972,53.67820319999996,53.67820319999996,13.571,0.11,6.238400000000006,3374.8178,35.5883,25.567,3258.0,0.0,0.9305,0.0,0.9302,65.07051515140019,18.97041879494965,12.6237442,0.2915363241064097,0.6654436223285025,0.19400098755370562,13.770999999999999,41.7504,35.4607,0.0,1.0302,25.7972,3374.8178
2,2.466759,41.597,35.3495,6.247500000000002,3468.4458,25.6701,51.61311439999996,51.61311439999996,13.5393,0.122,6.238400000000006,3374.8178,35.5883,25.118326063251644,3431.117291163344,0.0,0.9305,0.0,0.8859,64.27870269398437,18.746646735489545,11.99446587,0.2916463144058441,0.639819272173786,0.18660093261531432,13.7393,41.597,35.3495,0.0,0.9859,25.6701,3468.4458
3,2.486778,41.6575,35.504,6.153500000000001,3468.4458,25.6701,50.45237599999996,50.45237599999996,13.5752,0.109,6.238400000000006,3374.8178,35.5883,25.118326063251644,3431.117291163344,0.0,0.9305,0.0,0.861,63.2290721800897,18.3250493761735,11.688247200000001,0.2898199948906399,0.637828960788353,0.18485558615678266,13.7752,41.6575,35.504,0.0,0.961,25.6701,3468.4458
4,2.506794,41.7308,35.3507,6.380099999999999,3469.0102,25.8873,53.04888719999995,53.04888719999995,13.6918,0.118,6.238400000000006,3374.8178,35.5883,25.118326063251644,3431.117291163344,0.0,0.9305,0.0,0.9167,66.31575510601459,19.271276050252403,12.55127306,0.2905987577076472,0.6512943422776413,0.18926532676790173,13.8918,41.7308,35.3507,0.0,1.0167,25.8873,3469.0102
5,2.526805,41.9428,35.6549,6.2879000000000005,3469.0102,25.8873,54.78766399999996,54.78766399999996,13.5869,0.11,6.238400000000006,3374.8178,35.5883,25.118326063251644,3431.117291163344,0.0,0.9305,0.0,0.954,65.27751282437997,19.90292827655159,12.9619026,0.3048971600694659,0.6512560573948768,0.19856612237773502,13.7869,41.9428,35.6549,0.0,1.054,25.8873,3469.0102
6,2.58892,41.6911,35.3873,6.303799999999995,3468.416,25.8532,56.232759999999956,56.232759999999956,13.6279,0.112,6.238400000000006,3374.8178,35.5883,25.118326063251644,3431.117291163344,0.0,0.9305,0.0,0.985,65.37033640838426,20.424394879636395,13.4234815,0.31244133045362155,0.6572278679053316,0.20534514945953886,13.8279,41.6911,35.3873,0.0,1.085,25.8532,3468.416
7,2.826474,41.6013,35.5663,6.035000000000004,3468.416,25.8532,55.07202159999996,55.07202159999996,13.5581,0.11,6.238400000000006,3374.8178,35.5883,25.118326063251644,3431.117291163344,0.0,0.9305,0.0,0.9601,62.34743067851688,20.00280114257712,13.017131809999999,0.32082799443200644,0.650765446160052,0.20878377293717937,13.758099999999999,41.6013,35.5663,0.0,1.0601,25.8532,3468.416
8,3.055912,41.861,35.5022,6.358799999999995,3465.8039,25.4703,54.032484799999956,54.032484799999956,13.6004,0.12,6.238400000000006,3374.8178,35.5883,25.237973480732933,3469.447917637918,0.0,0.9305,0.0,0.9378,65.01153144277646,19.61044927818353,12.75445512,0.30164570566138355,0.6503907656103132,0.19618758144817042,13.8004,41.861,35.5022,0.0,1.0378,25.4703,3465.8039
9,3.310685,41.6777,35.4723,6.2054000000000045,3465.8039,25.4703,54.40075119999996,54.40075119999996,13.6022,0.109,6.238400000000006,3374.8178,35.5883,25.237973480732933,3469.447917637918,0.0,0.9305,0.0,0.9457,63.311955976107306,19.74410719868803,12.86360054,0.31185432347310627,0.6515159389356825,0.20317806236873287,13.8022,41.6777,35.4723,0.0,1.0457,25.4703,3465.8039
10,3.531413,41.7827,35.5804,6.202300000000001,3467.727,26.177,53.88331359999996,53.88331359999996,13.6226,0.122,6.238400000000006,3374.8178,35.5883,25.237973480732933,3469.447917637918,0.0,0.9305,0.0,0.9346,65.03331311593327,19.56716073622974,12.73168196,0.30087903873739064,0.6506657829220234,0.19577169530489008,13.8226,41.7827,35.5804,0.0,1.0346,26.177,3467.727
11,3.773321,41.8328,35.5725,6.260300000000001,3467.727,26.177,53.86932879999996,53.86932879999996,13.5262,0.108,6.238400000000006,3374.8178,35.5883,25.18475955345849,3449.1141580002536,0.0,0.9305,0.0,0.9343,65.69374632040932,19.562082302644615,12.63752866,0.2977769330924455,0.6460216486407238,0.19237034524356014,13.726199999999999,41.8328,35.5725,0.0,1.0343,26.177,3467.727
12,4.021789,41.9697,35.661,6.308700000000002,3465.0034,25.6659,54.978789599999956,54.978789599999956,13.5484,0.112,6.238400000000006,3374.8178,35.5883,25.18475955345849,3449.1141580002536,0.0,0.9305,0.0,0.9581,64.95145041958084,19.949290606723384,12.98072204,0.30714157232598605,0.6506858963508803,0.19985268929555294,13.7484,41.9697,35.661,0.0,1.0581,25.6659,3465.0034
13,4.24026,41.9911,35.7111,6.280000000000001,3465.0034,25.6659,54.54059919999996,54.54059919999996,13.5768,0.11,6.238400000000006,3374.8178,35.5883,25.18475955345849,3449.1141580002536,0.0,0.9305,0.0,0.9487,64.63103055828823,19.7902913327438,12.88031016,0.3062041740908912,0.6508398458333472,0.19928987745884302,13.7768,41.9911,35.7111,0.0,1.0487,25.6659,3465.0034
14,4.469586,41.754,35.6696,6.084399999999995,3460.799,25.7137,57.915597599999955,57.915597599999955,13.5493,0.121,6.238400000000006,3374.8178,35.5883,25.52746607889392,3439.288645004038,0.0,0.9305,0.0,1.0211,62.56356450525037,20.989424742918906,13.835190229999998,0.33548959220757735,0.6591505198191534,0.2211381390975404,13.7493,41.754,35.6696,0.0,1.1211,25.7137,3460.799
15,4.727314,41.7284,35.5059,6.222500000000004,3460.799,25.7137,55.34705599999996,55.34705599999996,13.6141,0.109,6.238400000000006,3374.8178,35.5883,25.52746607889392,3439.288645004038,0.0,0.9305,0.0,0.966,64.108247213116,20.0585492474331,13.1512206,0.3128856289074971,0.6556416637002284,0.20514085428480366,13.8141,41.7284,35.5059,0.0,1.066,25.7137,3460.799
16,4.944733,41.795,35.6745,6.1205,3466.6196,26.0789,52.256415199999964,52.256415199999964,13.6069,0.119,6.238400000000006,3374.8178,35.5883,25.52746607889392,3439.288645004038,0.0,0.9305,0.0,0.8997,63.8616486425425,18.97030962739909,12.24212793,0.2970532397868868,0.6453309498079315,0.19169764937519487,13.806899999999999,41.795,35.6745,0.0,0.9997,26.0789,3466.6196
17,5.182242,41.7076,35.515,6.192599999999999,3466.6196,26.0789,52.10724399999996,52.10724399999996,13.6352,0.108,6.238400000000006,3374.8178,35.5883,25.648204172187434,3452.729426725807,0.0,0.9305,0.0,0.8965,64.67955873529091,18.916156968043097,12.223956799999998,0.29245958596377886,0.6462177714348172,0.1889925818762625,13.835199999999999,41.7076,35.515,0.0,0.9964999999999999,26.0789,3466.6196
18,5.430876,41.663,35.4448,6.218199999999996,3464.3513,25.6776,55.22119279999996,55.22119279999996,13.6232,0.117,6.238400000000006,3374.8178,35.5883,25.648204172187434,3452.729426725807,0.0,0.9305,0.0,0.9633,63.97021526574708,20.033476720771503,13.123228560000001,0.3131688182937607,0.6550649566679216,0.20514591838534657,13.8232,41.663,35.4448,0.0,1.0633000000000001,25.6776,3464.3513
19,5.653268,41.6563,35.3672,6.289100000000005,3464.3513,25.6776,53.82737439999996,53.82737439999996,13.6043,0.108,6.238400000000006,3374.8178,35.5883,25.648204172187434,3452.729426725807,0.0,0.9305,0.0,0.9334,64.76213597086337,19.52781889171094,12.698253620000001,0.30153142108371084,0.6502648191493667,0.19607527499885077,13.8043,41.6563,35.3672,0.0,1.0334,25.6776,3464.3513
20,5.883803,41.93,35.7448,6.185200000000002,3466.4863,25.8717,53.473092799999954,53.473092799999954,13.5283,0.118,6.238400000000006,3374.8178,35.5883,25.738710731999706,3439.895476011715,0.0,0.9305,0.0,0.9258,64.08239242933499,19.411245816704053,12.524500139999999,0.302910754121879,0.6452187694837305,0.19544370403790762,13.728299999999999,41.93,35.7448,0.0,1.0258,25.8717,3466.4863
21,6.16758,41.5591,35.6061,5.953000000000003,3466.4863,25.8717,53.608279199999956,53.608279199999956,13.5641,0.108,6.238400000000006,3374.8178,35.5883,25.738710731999706,3439.895476011715,0.0,0.9305,0.0,0.9287,61.469219108747104,19.460319777159086,12.59697967,0.3165864160846298,0.6473161702504648,0.20493150641322272,13.7641,41.5591,35.6061,0.0,1.0287,25.8717,3466.4863
22,6.353603,41.7107,35.5572,6.153500000000001,3462.6335,25.5486,53.82737439999996,53.82737439999996,13.5062,0.114,6.238400000000006,3374.8178,35.5883,25.738710731999706,3439.895476011715,0.0,0.9305,0.0,0.9334,62.929800565647966,19.518136014777475,12.60668708,0.31015728382002866,0.6458960563885449,0.20032936647953914,13.706199999999999,41.7107,35.5572,0.0,1.0334,25.5486,3462.6335
23,6.591317,41.7131,35.4839,6.229199999999999,3462.6335,25.5486,55.65938319999996,55.65938319999996,13.6136,0.11,6.238400000000006,3374.8178,35.5883,25.742274233670784,3448.3097468373107,0.0,0.9305,0.0,0.9727,63.77108725930261,20.182433639122856,13.24194872,0.3164825080848648,0.6561125856661311,0.20764815669766287,13.8136,41.7131,35.4839,0.0,1.0727,25.5486,3462.6335
24,6.862421,41.8182,35.5211,6.2971,3463.9663,25.9594,58.461004799999955,58.461004799999955,13.7148,0.116,6.238400000000006,3374.8178,35.5883,25.742274233670784,3448.3097468373107,0.0,0.9305,0.0,1.0328,65.563208006596,21.206478241250053,14.16464544,0.32345089396962656,0.6679395455888313,0.21604564313837363,13.9148,41.8182,35.5211,0.0,1.1328,25.9594,3463.9663
25,7.059258,41.7675,35.6757,6.091799999999999,3463.9663,25.9594,55.263147199999956,55.263147199999956,13.5321,0.109,6.238400000000006,3374.8178,35.5883,25.742274233670784,3448.3097468373107,0.0,0.9305,0.0,0.9642,63.24493470717742,20.046469140396965,13.04765082,0.3169656073361709,0.6508702718977486,0.20630349102912857,13.732099999999999,41.7675,35.6757,0.0,1.0642,25.9594,3463.9663
26,7.291643,41.6514,35.5266,6.1248000000000005,3467.6735,25.8078,54.908865599999956,54.908865599999956,13.5956,0.119,6.238400000000006,3374.8178,35.5883,25.76782516850621,3448.0307933265462,0.0,0.9305,0.0,0.9566,63.24605529815867,19.939271571840873,13.005550959999999,0.31526506242708513,0.6522580783927442,0.2056341838030591,13.795599999999999,41.6514,35.5266,0.0,1.0566,25.8078,3467.6735
27,7.548911,41.9135,35.8077,6.105800000000002,3467.6735,25.8078,53.73414239999996,53.73414239999996,13.4899,0.109,6.238400000000006,3374.8178,35.5883,25.76782516850621,3448.0307933265462,0.0,0.9305,0.0,0.9314,63.03275787001694,19.512689732085256,12.56449286,0.3095642708878988,0.6439139366491261,0.19933274831334338,13.6899,41.9135,35.8077,0.0,1.0314,25.8078,3467.6735
28,7.762691,41.9752,35.7063,6.268900000000002,3459.6127,25.7451,52.43355599999996,52.43355599999996,13.5094,0.12,6.238400000000006,3374.8178,35.5883,25.76782516850621,3448.0307933265462,0.0,0.9305,0.0,0.9035,64.70616154830778,18.99614221969658,12.205742899999999,0.29357547666483974,0.6425379826512458,0.18863339453210404,13.709399999999999,41.9752,35.7063,0.0,1.0035,25.7451,3459.6127
29,8.004391,41.8261,35.5981,6.227999999999994,3459.6127,25.7451,55.53818159999996,55.53818159999996,13.6455,0.109,6.238400000000006,3374.8178,35.5883,25.754743166075464,3454.3367912149783,0.0,0.9305,0.0,0.9701,64.24812627470902,20.12091638981983,13.237499549999999,0.31317514698853305,0.6578974482840905,0.20603713006975086,13.8455,41.8261,35.5981,0.0,1.0701,25.7451,3459.6127
30,8.249483,41.8115,35.5407,6.270800000000001,3469.1586,25.8872,54.44270559999996,54.44270559999996,13.5648,0.113,6.238400000000006,3374.8178,35.5883,25.754743166075464,3454.3367912149783,0.0,0.9305,0.0,0.9466,65.08470237296045,19.778459955910098,12.84043968,0.3038879987892069,0.6492133213922495,0.1972881370251849,13.7648,41.8115,35.5407,0.0,1.0466,25.8872,3469.1586
31,8.471281,41.7345,35.5468,6.1876999999999995,3469.1586,25.8872,54.19564079999996,54.19564079999996,13.549,0.11,6.238400000000006,3374.8178,35.5883,25.754743166075464,3454.3367912149783,0.0,0.9305,0.0,0.9413,64.14893664279798,19.688703923408383,12.7536737,0.3069217504421227,0.6477660362821975,0.19881348573268764,13.748999999999999,41.7345,35.5468,0.0,1.0413000000000001,25.8872,3469.1586
32,8.700748,41.6923,35.5676,6.124700000000004,3464.944,26.0455,56.987939199999964,56.987939199999964,13.5393,0.119,6.238400000000006,3374.8178,35.5883,25.757411822379854,3440.4812115831983,0.0,0.9305,0.0,1.0012,63.82744341323002,20.677964707612126,13.555547160000001,0.32396667643006427,0.6555551937377005,0.21237803733166974,13.7393,41.6923,35.5676,0.0,1.1012000000000002,26.0455,3464.944
33,8.958002,41.765,35.5761,6.188900000000004,3464.944,26.0455,54.88089599999996,54.88089599999996,13.5839,0.108,6.238400000000006,3374.8178,35.5883,25.757411822379854,3440.4812115831983,0.0,0.9305,0.0,0.956,64.5548023189455,19.91342811375308,12.986208399999999,0.3084732258239586,0.6521332402345711,0.2011656442821887,13.7839,41.765,35.5761,0.0,1.056,26.0455,3464.944
34,9.171745,41.5762,35.4582,6.118000000000002,3465.5129,25.712,51.81822479999996,51.81822479999996,13.5804,0.121,6.238400000000006,3374.8178,35.5883,25.757411822379854,3440.4812115831983,0.0,0.9305,0.0,0.8903,62.9352277403826,18.805230802729625,12.090630119999998,0.29880293561984184,0.642939735589154,0.1921122804206841,13.780399999999998,41.5762,35.4582,0.0,0.9903,25.712,3465.5129
35,9.418224,41.6917,35.4955,6.1961999999999975,3465.5129,25.712,53.52903199999996,53.52903199999996,13.6123,0.108,6.238400000000006,3374.8178,35.5883,25.730379407961603,3442.8111103666474,0.0,0.9305,0.0,0.927,63.80985628299814,19.42609584353611,12.6186021,0.30443722921708116,0.6495696408395281,0.19775318164072048,13.812299999999999,41.6917,35.4955,0.0,1.0270000000000001,25.712,3465.5129
36,9.662475,41.8988,35.6219,6.276900000000005,3465.2109,25.8295,57.88762799999996,57.88762799999996,13.5465,0.118,6.238400000000006,3374.8178,35.5883,25.730379407961603,3442.8111103666474,0.0,0.9305,0.0,1.0205,65.00817231023287,21.00603300936674,13.82420325,0.3231291122771683,0.6581063280170839,0.21265331355614725,13.7465,41.8988,35.6219,0.0,1.1205,25.8295,3465.2109
37,9.888461,41.6978,35.705,5.992800000000003,3465.2109,25.8295,54.19564079999996,54.19564079999996,13.5506,0.109,6.238400000000006,3374.8178,35.5883,25.730379407961603,3442.8111103666474,0.0,0.9305,0.0,0.9413,61.8161327393213,19.666299327527856,12.755179779999999,0.3181418580560622,0.6485805777473328,0.20634063010361078,13.750599999999999,41.6978,35.705,0.0,1.0413000000000001,25.8295,3465.2109
38,10.117916,41.8347,35.6268,6.207899999999995,3462.6335,25.86,54.223610399999956,54.223610399999956,13.5831,0.118,6.238400000000006,3374.8178,35.5883,25.706823193446375,3445.4024586474725,0.0,0.9305,0.0,0.9419,64.3087620820497,19.661813618007393,12.79392189,0.305740819469071,0.6506989710391012,0.19894523663317612,13.7831,41.8347,35.6268,0.0,1.0419,25.86,3462.6335
39,10.374786,41.6874,35.6085,6.078899999999997,3462.6335,25.86,58.04146079999996,58.04146079999996,13.482,0.108,6.238400000000006,3374.8178,35.5883,25.706823193446375,3445.4024586474725,0.0,0.9305,0.0,1.0238,62.85765565923589,21.04618958324624,13.8028716,0.33482301181167023,0.6558370837345178,0.2195893476337738,13.682223448764582,41.686150333190454,35.52476714530714,0.0,1.0509778458495578,27.58283569915814,3465.385530196124
40,10.590163,41.7589,35.6177,6.141199999999998,3454.1662,25.7632,54.605861599999955,54.605861599999955,13.578,0.12,6.238400000000006,3374.8178,35.5883,25.706823193446375,3445.4024586474725,0.0,0.9305,0.0,0.9501,63.32054720262948,19.75200158001204,12.900457799999998,0.3119366848932065,0.6531215455680485,0.20373256975682433,13.696945559705918,41.69476619438631,35.54261067838748,0.0,1.0483694318579728,28.02473304859702,3463.1327804288658
41,10.830541,41.685,35.5871,6.097900000000003,3454.1662,25.7632,55.55216639999996,55.55216639999996,13.5318,0.109,6.238400000000006,3374.8178,35.5883,25.72724074394811,3436.4653981514716,0.0,0.9305,0.0,0.9704,62.83529363746833,20.09429842062765,13.131258720000002,0.3197931808286407,0.6534818208193927,0.20897903009352542,13.719033214889564,41.72177093469477,35.576737304203405,0.0,1.0471075141303121,28.37950572273737,3460.283697120167
42,11.075083,41.7357,35.4649,6.270800000000001,3462.2189,25.8644,54.99277439999996,54.99277439999996,13.5718,0.118,6.238400000000006,3374.8178,35.5883,25.72724074394811,3436.4653981514716,0.0,0.9305,0.0,0.9584,65.02737940199012,19.93832958988706,13.00721312,0.3066143795620474,0.6523722592386777,0.20002671550995832,13.743075659265473,41.75134371833488,35.61313447710428,0.0,1.047510755040035,28.64991352246961,3457.212130582061
43,11.301581,42.0076,35.939,6.068599999999996,3462.2189,25.8644,55.15593039999996,55.15593039999996,13.5452,0.108,6.238400000000006,3374.8178,35.5883,25.72724074394811,3436.4653981514716,0.0,0.9305,0.0,0.9619,62.7524674474099,19.997483872209788,13.029127879999999,0.31867247114974095,0.6515383616889117,0.2076273397682592,13.764496169519733,41.769858394931695,35.637590321813846,0.0,1.0495930593464509,28.83972971889539,3455.632147665947
44,11.530923,42.0204,35.8492,6.171199999999999,3458.7299,25.8942,53.98120719999996,53.98120719999996,13.5638,0.117,6.238400000000006,3374.8178,35.5883,25.777121882390308,3440.6238578406796,0.0,0.9305,0.0,0.9367,63.98043066451512,19.551850075598814,12.705211460000001,0.30559109828628706,0.6498214445627534,0.1985796489339134,13.78018216391942,41.774406783648125,35.64457306402907,0.0,1.0530281625975406,28.953622160218554,3457.7028932612434
45,11.7884,41.787,35.6164,6.1706,3458.7299,25.8942,52.31235439999996,52.31235439999996,13.5946,0.109,6.238400000000006,3374.8178,35.5883,25.777121882390308,3440.6238578406796,0.0,0.9305,0.0,0.9009,63.97367240628501,18.947396017671718,12.24737514,0.296174899845366,0.6463883020430464,0.19144399061881545,13.78870443301694,41.7752258704263,35.64250869976206,0.0,1.0572000045969845,28.997026750448963,3461.41520801793
46,12.002036,41.7027,35.3372,6.365499999999997,3462.8364,25.6426,52.73655999999996,52.73655999999996,13.6839,0.121,6.238400000000006,3374.8178,35.5883,25.777121882390308,3440.6238578406796,0.0,0.9305,0.0,0.91,65.52605160176495,19.123720552060753,12.452349,0.29184912083952963,0.6511467769099014,0.19003661437864805,13.79023338932953,41.78696665009942,35.64665163588148,0.0,1.0612767818496425,28.97601509633597,3462.214797527605
47,12.24761,41.8884,35.6965,6.191899999999997,3462.8364,25.6426,53.66421839999995,53.66421839999995,13.6079,0.109,6.238400000000006,3374.8178,35.5883,25.79784280734405,3454.8998532240175,0.0,0.9305,0.0,0.9299,63.58966168635658,19.460114886643282,12.65398621,0.30602639439452356,0.6502523897577417,0.1989943942839841,13.786300173362141,41.814140986198296,35.66225915290481,0.0,1.064306497101595,28.897157297336392,3460.217153447542
48,12.491909,41.9611,35.8388,6.122300000000003,3467.7626,25.9534,55.40299519999996,55.40299519999996,13.585,0.116,6.238400000000006,3374.8178,35.5883,25.79784280734405,3454.8998532240175,0.0,0.9305,0.0,0.9672,63.57464711046267,20.119223729469024,13.139412,0.3164661487544135,0.6530774833401969,0.20667691599089674,13.779395939385324,41.846587521180304,35.67833577153709,0.0,1.0654056057588017,28.767381830021275,3459.9752565946787
49,12.714644,41.8658,35.6855,6.180300000000003,3467.7626,25.9534,58.29784879999996,58.29784879999996,13.5455,0.108,6.238400000000006,3374.8178,35.5883,25.79784280734405,3454.8998532240175,0.0,0.9305,0.0,1.0293,64.22943899375903,21.170470273671366,13.942383150000001,0.32960696224870395,0.6585769219940018,0.21707153866554457,13.772307000056042,41.87032666145718,35.681575674857754,0.0,1.064059686886426,28.593837789308605,3463.2385277139733
50,12.945301,41.6416,35.4332,6.2083999999999975,3465.3295,25.9872,51.13763119999996,51.13763119999996,13.5823,0.111,6.238400000000006,3374.8178,35.5883,25.765030150159273,3455.2287900911174,0.0,0.9305,0.0,0.8757,64.6307357121712,18.557256041645548,11.894020110000001,0.28712741449036083,0.6409363584415635,0.1840303994521933,13.767311972662377,41.87943085093246,35.67148135073809,0.0,1.0603999694387853,28.383765752872222,3467.0375467913786
51,13.192895,41.5445,35.5132,6.031300000000002,3465.3295,25.9872,54.71773999999996,54.71773999999996,13.5938,0.109,6.238400000000006,3374.8178,35.5883,25.765030150159273,3455.2287900911174,0.0,0.9305,0.0,0.9525,62.628758713076294,19.856436197228287,12.9480945,0.31704981234255963,0.652085518840858,0.20674359137979464,13.765620965214682,41.875174293355094,35.656959550929464,0.0,1.055205968710379,28.14437942499879,3468.228758166851
