t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,42.1707,34.8613,7.3094,3290.3791,26.269,100.7463784,100.7463784,11.6289,0.112,7.233498933,3200,35.12,18.85453904,3044.116247,3.16671186,2.043349349,3.2854,1.9399,77.91248378,34.7139472,14.55890311,0.445550514,0.649851282,11.77573206,42.35349893,34.99518563,3.2854,2.022047057,25.55201948,3286.236631
0.191396,42.4444,35.1167,7.3277,3290.3791,26.0692,101.170584,101.170584,11.5824,0.115,7.227887824,3200,35.12,18.85453904,3044.116247,3.16671186,2.043349349,3.2854,1.949,77.52740734,34.86011475,14.5740976,0.449648917,0.647562343,11.76330937,42.34788782,34.97192039,3.2854,2.026160501,25.5669666,3291.465261
0.429156,42.5397,35.1411,7.3986,3292.3618,26.0692,101.030736,101.030736,11.5402,0.115,7.224612351,3200,35.12,18.91416147,3060.22795,3.150658573,2.064767264,3.2854,1.946,78.33140534,34.83290444,14.4572292,0.444686321,0.644713083,11.75652634,42.34461235,34.95124559,3.2854,2.030748777,25.58355198,3294.511136
0.681539,42.2489,34.7819,7.467,3292.3618,26.2009,97.9028024,97.9028024,11.5645,0.11,7.223726077,3200,35.12,18.91416147,3060.22795,3.150658573,2.064767264,3.2854,1.8789,79.50669762,33.75447013,13.72853905,0.424548763,0.643723304,11.7555817,42.34372608,34.93645061,3.2854,2.035343213,25.60171612,3292.329951
0.897561,42.3204,35.0782,7.2422,3282.9235,26.2009,96.0148544,96.0148544,11.5972,0.112,7.22513713,3200,35.12,18.91416147,3060.22795,3.150658573,2.064767264,3.2854,1.8384,76.94461252,33.00865343,13.32029248,0.428992393,0.645900098,11.759505,42.34513713,34.92960315,3.2854,2.039438713,25.6213841,3289.730504
1.133775,42.3161,34.8815,7.4346,3282.9235,25.7824,99.981876,99.981876,11.5921,0.111,7.228583225,3200,35.12,18.95527957,3072.185997,3.130648631,2.0822738,3.2854,1.9235,77.87338804,34.37246367,14.29740435,0.441389087,0.648699627,11.76655267,42.34858323,34.93116241,3.2854,2.042414138,25.64246459,3289.126949
1.38235,42.2892,35,7.2892,3285.8566,25.7824,98.5321184,98.5321184,11.5493,0.11,7.233311326,3200,35.12,18.95527957,3072.185997,3.130648631,2.0822738,3.2854,1.8924,76.2427079,33.90432042,13.85589532,0.444689353,0.64463452,11.77475863,42.35331133,34.93985112,3.2854,2.043535183,25.664848,3287.461324
1.600681,42.4499,35.1442,7.3057,3285.8566,25.8304,99.4038376,99.4038376,11.5183,0.117,7.238081203,3200,35.12,18.95527957,3072.185997,3.130648631,2.0822738,3.2854,1.9111,76.57004581,34.20427385,14.01262313,0.446705673,0.643563527,11.78238639,42.3580812,34.95314399,3.2854,2.042176372,25.68840124,3284.08089
1.838084,42.4542,35.0666,7.3876,3279.0744,25.8304,99.3945144,99.3945144,11.5396,0.115,7.24163475,3200,35.12,19.00049127,3080.988796,3.113431906,2.098235377,3.2854,1.9109,77.49027513,34.13047279,14.05102164,0.440448466,0.646080169,11.78810477,42.36163475,34.9682026,3.2854,2.038120233,25.71296063,3282.619843
2.090944,42.2855,35.1075,7.178,3279.0744,26.0933,98.8584304,98.8584304,11.5224,0.116,7.243305321,3200,35.12,19.00049127,3080.988796,3.113431906,2.098235377,3.2854,1.8994,75.89992805,33.94639019,13.88564656,0.447251942,0.644712043,11.79098306,42.36330532,34.98283713,3.2854,2.031697974,25.73832777,3283.542627
