,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM),,
0,0,42.7566,36.1187,6.6379,3534.1516,25.6949,57.9715368,57.9715368,13.9911,0,6.6379,3534.1516,36.1187,25.567,3258,0,1.0223,0,1.0223,68.7043307128,21.4550042998,14.30310153,0.3122802315,0.6666557289,14.1911,42.7566,36.1187,0,1.1223,25.6949,3334.1516,42.35349893,42.7566
1,1.673457,42.99,36.2903,6.6997,3534.1516,25.6949,54.321504,54.321504,13.978,0.11,6.6379,3534.1516,36.1187,25.567,3258,0,1.0223,0,0.944,69.3950736301,20.1041436233,13.195232,0.2897056314,0.6563438984,14.178,42.99,36.2903,0,1.044,25.6949,3334.1516,42.34788782,42.99
2,1.693468,42.566,36.1015,6.4645,3621.0329,26.124,54.2096256,54.2096256,14.0735,0.112,6.6379,3534.1516,36.1187,27.8932872796,3544.8130258057,0,1.0223,0,0.9416,67.8812102365,20.5559473216,13.2516076,0.3028223458,0.6446605156,14.2735,42.566,36.1015,0,1.0416,26.124,3421.0329,42.34461235,42.566
3,1.895375,43.012,36.429,6.583,3621.0329,26.124,52.9556552,52.9556552,14.4626,0.11,6.6379,3534.1516,36.1187,27.8932872796,3544.8130258057,0,1.0223,0,0.9147,69.2278116282,20.0804496733,13.22894022,0.2900633315,0.6587970108,14.6626,43.012,36.429,0,1.0147,26.124,3421.0329,42.34372608,43.012
4,2.112629,42.6399,36.0178,6.6221,3690.6003,25.7159,55.1839,55.1839,14.4655,0.12,6.6379,3534.1516,36.1187,27.8932872796,3544.8130258057,0,1.0223,0,0.9625,68.5837395471,21.3274052009,13.92304375,0.3109688294,0.6528240833,14.6655,42.6399,36.0178,0,1.0625,25.7159,3490.6003,42.34513713,42.6399
5,2.357993,42.6625,35.9702,6.6923,3690.6003,25.7159,52.7785144,52.7785144,14.3919,0.109,6.6379,3534.1516,36.1187,28.7868218314,3629.1458603994,0,1.0223,0,0.9109,69.369011116,20.3977747587,13.10958171,0.2940473625,0.6426966601,14.5919,42.6625,35.9702,0,1.0109,25.7159,3490.6003,42.34858323,42.6625
6,2.599789,42.9338,36.2304,6.7034,3698.728,26.2811,53.622264,53.622264,14.5226,0.114,6.6379,3534.1516,36.1187,28.7868218314,3629.1458603994,0,1.0223,0,0.929,71.0205421556,20.7695056152,13.4914954,0.2924436365,0.6495819231,14.7226,42.9338,36.2304,0,1.029,26.2811,3498.728,42.35331133,42.9338
7,2.824998,42.8788,36.1547,6.7241,3698.728,26.2811,54.6897704,54.6897704,14.4654,0.11,6.6379,3534.1516,36.1187,28.7868218314,3629.1458603994,0,1.0223,0,0.9519,71.2571858397,21.1829827516,13.76961426,0.2972750397,0.6500318875,14.6654,42.8788,36.1547,0,1.0519,26.2811,3498.728,42.3580812,42.8788
8,3.05439,42.9478,36.2531,6.6947,3709.2304,25.8351,57.1510952,57.1510952,14.5298,0.124,6.6379,3534.1516,36.1187,27.1343766887,3641.9675482568,0,1.0223,0,1.0047,69.7175261687,22.1991826904,14.59809006,0.3184160987,0.6575958342,14.7298,42.9478,36.2531,0,1.1047,25.8351,3509.2304,42.36163475,42.9478
9,3.313016,42.6863,35.8993,6.787,3711.2177,25.8351,55.9484024,55.9484024,14.5194,0.114,6.6379,3534.1516,36.1187,27.1343766887,3641.9675482568,0,1.0223,0,0.9789,70.7547987102,21.7436644864,14.21304066,0.3073101031,0.6536635381,14.7194,42.6863,35.8993,0,1.0789,25.8351,3511.2177,42.36330532,42.6863
10,3.533628,42.6515,36.1193,6.5322,3711.2177,25.6588,53.5430168,53.5430168,14.4459,0.117,6.6379,3534.1516,36.1187,27.1343766887,3641.9675482568,0,1.0223,0,0.9273,67.4280482409,20.8088406987,13.39568307,0.3086080829,0.6437496093,14.6459,42.6515,36.1193,0,1.0273,25.6588,3511.2177,42.36325519,42.6515
11,3.775856,42.7639,36.2433,6.5206,3697.7219,25.6588,54.088424,54.088424,14.4274,0.11,6.6379,3534.1516,36.1187,26.6876724515,3649.8236895237,0,1.0223,0,0.939,67.2985763877,20.944364639,13.5473286,0.3112155674,0.6468245198,14.6274,42.7639,36.2433,0,1.039,25.6588,3497.7219,42.36211554,42.7639
12,4.019848,42.9142,36.2072,6.707,3697.7219,25.6883,56.4798248,56.4798248,14.5273,0.11,6.6379,3534.1516,36.1187,26.6876724515,3649.8236895237,0,1.0223,0,0.9903,69.458820442,21.8703736932,14.38638519,0.3148681989,0.6578024405,14.7273,42.9142,36.2072,0,1.0903,25.6883,3497.7219,42.36047406,42.9142
13,4.238738,42.6753,36.1956,6.4797,3705.8493,25.6883,54.321504,54.321504,14.5287,0.116,6.6379,3534.1516,36.1187,26.6876724515,3649.8236895237,0,1.0223,0,0.944,66.9189250291,21.0808519288,13.7150928,0.3150207795,0.6505948074,14.7287,42.6753,36.1956,0,1.044,25.6883,3505.8493,42.3586586,42.6753
14,4.477309,42.8788,36.1968,6.682,3705.8493,25.6527,53.132796,53.132796,14.5015,0.115,6.6379,3534.1516,36.1187,26.6983712773,3665.389829584,0,1.0223,0,0.9185,69.0835934585,20.6195433219,13.31962775,0.2984723621,0.6459710354,14.7015,42.8788,36.1968,0,1.0185,25.6527,3505.8493,42.35669153,42.8788
15,4.728694,42.7847,36.2488,6.5359,3708.4399,25.6527,52.7085904,52.7085904,14.4677,0.11,6.6379,3534.1516,36.1187,26.6983712773,3665.389829584,0,1.0223,0,0.9094,67.4533054591,20.4692186213,13.15692638,0.3034576064,0.6427664203,14.6677,42.7847,36.2488,0,1.0094,25.6527,3508.4399,42.35432187,42.7847
16,4.947299,42.8476,36.1773,6.6703,3708.4399,25.914,54.7457096,54.7457096,14.4881,0.111,6.6379,3534.1516,36.1187,26.6983712773,3665.389829584,0,1.0223,0,0.9531,69.6553964387,21.2603275838,13.80860811,0.3052215431,0.6495011921,14.6881,42.8476,36.1773,0,1.0531,25.914,3508.4399,42.35135994,42.8476
17,5.180721,43.0492,36.2964,6.7528,3706.6386,25.914,58.1346928,58.1346928,14.4727,0.116,6.6379,3534.1516,36.1187,26.7710812614,3673.3407154787,0,1.0223,0,1.0258,70.5853675044,22.5654627182,14.84609566,0.3196903766,0.6579123081,14.6727,43.0492,36.2964,0,1.1258,25.914,3506.6386,42.34817096,43.0492
18,5.43271,43.0163,36.3679,6.6484,3706.6386,25.4997,51.8601792,51.8601792,14.4845,0.113,6.6379,3534.1516,36.1187,26.7710812614,3673.3407154787,0,1.0223,0,0.8912,68.2988626975,20.1299582733,12.9085864,0.294733433,0.6412624519,14.6845,43.0163,36.3679,0,0.9912,25.4997,3506.6386,42.34566264,43.0163
19,5.652628,42.6265,36.1101,6.5164,3702.6003,25.4997,54.8389416,54.8389416,14.4108,0.114,6.6379,3534.1516,36.1187,26.7710812614,3673.3407154787,0,1.0223,0,0.9551,66.8346976479,21.2629987528,13.76375508,0.3181431128,0.6473101579,14.6108,42.6265,36.1101,0,1.0551,25.4997,3502.6003,42.34448042,42.6265
20,5.889148,42.9173,36.1901,6.7272,3702.6003,25.978,53.5849712,53.5849712,14.4718,0.111,6.6379,3534.1516,36.1187,26.7696484466,3670.5793937174,0,1.0223,0,0.9282,70.4704071852,20.7767900428,13.43272476,0.2948299985,0.6465255091,14.6718,42.9173,36.1901,0,1.0282,25.978,3502.6003,42.34417185,42.9173
