,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0,41.4363,35.2474,6.1889,3449.5095,25.6344,55.3610408,55.3610408,13.2875,0,6.1889,3449.5095,35.2474,25.567,3258,0,0.9663,0,0.9663,63.5358747025,19.9981678484,12.83971125,0.314753955,0.6420443786,13.4875,41.4363,35.2474,0,1.0663,25.6344,3449.5095
1,1.68239,41.294,34.9365,6.3575,3454.2167,25.6344,54.5685688,54.5685688,13.2774,0.113,6.1889,3449.5095,35.2474,25.567,3258,0,0.9663,0,0.9493,65.4158916342,19.7388006269,12.60423582,0.3017432024,0.6385512503,13.4774,41.294,34.9365,0,1.0493,25.6344,3454.2167
2,1.702384,41.4559,35.0586,6.3973,3454.2167,25.6145,53.0908416,53.0908416,13.2623,0.116,6.1889,3449.5095,35.2474,25.9115532885,3385.5342621245,0,0.9663,0,0.9176,65.80856468,19.2042701596,12.16948648,0.2918202251,0.6336864863,13.4623,41.4559,35.0586,0,1.0176,25.6145,3454.2167
3,1.722402,41.5488,35.311,6.2378,3455.9316,25.6145,53.1467808,53.1467808,13.1902,0.116,6.1889,3449.5095,35.2474,25.9115532885,3385.5342621245,0,0.9663,0,0.9188,64.031400285,19.234049058,12.11915576,0.300384639,0.6300886373,13.3902,41.5488,35.311,0,1.0188,25.6145,3455.9316
4,1.742409,41.4076,35.3629,6.0447,3455.9316,25.5525,55.4682576,55.4682576,13.2129,0.113,6.1889,3449.5095,35.2474,25.9115532885,3385.5342621245,0,0.9663,0,0.9686,61.730080994,20.0742015185,12.79801494,0.3251931829,0.6375354421,13.4129,41.4076,35.3629,0,1.0686,25.5525,3455.9316
5,1.762409,41.5298,35.1613,6.3685,3456.8583,25.5525,53.9812072,53.9812072,13.2691,0.118,6.1889,3449.5095,35.2474,25.9115532885,3385.5342621245,0,0.9663,0,0.9367,65.3291591267,19.5412701102,12.42916597,0.2991201842,0.6360469867,13.4691,41.5298,35.1613,0,1.0367,25.5525,3456.8583
6,1.782417,41.8054,35.4875,6.3179,3456.8583,25.6214,56.7548592,56.7548592,13.272,0.111,6.1889,3449.5095,35.2474,25.9115532885,3385.5342621245,0,0.9663,0,0.9962,64.9413713255,20.5453358904,13.2215664,0.3163674476,0.6435312847,13.472,41.8054,35.4875,0,1.0962,25.6214,3456.8583
7,1.841007,41.6483,35.4735,6.1748,3450.4499,25.6214,54.5825536,54.5825536,13.2698,0.113,6.1889,3449.5095,35.2474,25.9115532885,3385.5342621245,0,0.9663,0,0.9496,63.3465078069,19.7223287296,12.60100208,0.3113404261,0.6389205987,13.4698,41.6483,35.4735,0,1.0496,25.6214,3450.4499
8,2.0745,41.6984,35.3708,6.3276,3450.4499,25.6076,52.9556552,52.9556552,13.2985,0.115,6.1889,3449.5095,35.2474,25.9115532885,3385.5342621245,0,0.9663,0,0.9147,65.0144423294,19.1344810944,12.16413795,0.2943112393,0.6357182037,13.4985,41.6984,35.3708,0,1.0147,25.6076,3450.4499
9,2.316076,41.52,35.512,6.008,3454.0795,25.6076,51.874164,51.874164,13.1573,0.116,6.1889,3449.5095,35.2474,25.7294097085,3390.6125436728,0,0.9663,0,0.8915,61.4543875426,18.7634224828,11.72973295,0.305322748,0.6251382423,13.3573,41.52,35.512,0,0.9915,25.6076,3454.0795
10,2.568226,41.4803,35.0953,6.385,3454.0795,25.6768,55.3610408,55.3610408,13.3062,0.113,6.1889,3449.5095,35.2474,25.7294097085,3390.6125436728,0,0.9663,0,0.9663,65.8312442153,20.0246619419,12.85778106,0.3041817329,0.6420972847,13.5062,41.4803,35.0953,0,1.0663,25.6768,3454.0795
11,2.791731,41.9336,35.6238,6.3098,3456.1032,25.6768,57.6032704,57.6032704,13.2702,0.111,6.1889,3449.5095,35.2474,25.7294097085,3390.6125436728,0,0.9663,0,1.0144,64.991320638,20.8479069793,13.46129088,0.3207798638,0.6456902793,13.4702,41.9336,35.6238,0,1.1144,25.6768,3456.1032
12,3.024685,41.371,35.3091,6.0619,3456.1032,25.8107,51.547852,51.547852,13.2946,0.109,6.1889,3449.5095,35.2474,26.1244196984,3411.9579513917,0,0.9663,0,0.8845,62.5469561065,18.6563161434,11.7590737,0.2982769635,0.6302998732,13.4946,41.371,35.3091,0,0.9845,25.8107,3456.1032
13,3.271354,41.5866,35.3091,6.2775,3457.0473,25.8107,55.207208,55.207208,13.2129,0.114,6.1889,3449.5095,35.2474,26.1244196984,3411.9579513917,0,0.9663,0,0.963,64.9675925811,19.986176723,12.7240227,0.3076330202,0.6366411584,13.4129,41.5866,35.3091,0,1.063,25.8107,3457.0473
14,3.491674,41.4962,35.2273,6.2689,3457.0473,25.5096,56.139528,56.139528,13.2696,0.113,6.1889,3449.5095,35.2474,26.1244196984,3411.9579513917,0,0.9663,0,0.983,64.1142702352,20.3236962781,13.0440168,0.3169917743,0.6418132126,13.4696,41.4962,35.2273,0,1.083,25.5096,3457.0473
15,3.72924,41.3649,35.2224,6.1425,3464.2905,25.5096,55.813216,55.813216,13.3368,0.118,6.1889,3449.5095,35.2474,25.8593023618,3421.0865667958,0,0.9663,0,0.976,62.7116769474,20.2478991003,13.0167168,0.3228728697,0.6428675259,13.5368,41.3649,35.2224,0,1.076,25.5096,3464.2905
